E_eV,Sig_b
1e-05,4948.22
1.03125e-05,4872.69
1.0625e-05,4800.53
1.09375e-05,4731.47
1.125e-05,4665.32
1.15625e-05,4601.87
1.1875e-05,4540.94
1.21875e-05,4482.37
1.25e-05,4426.01
1.28125e-05,4371.72
1.3125e-05,4319.38
1.34375e-05,4268.89
1.375e-05,4220.12
1.4375e-05,4127.4
1.5e-05,4040.54
1.5625e-05,3958.95
1.625e-05,3882.11
1.6875e-05,3809.58
1.75e-05,3740.97
1.8125e-05,3675.94
1.875e-05,3614.2
1.9375e-05,3555.46
2e-05,3499.5
2.09375e-05,3420.31
2.1875e-05,3346.27
2.28125e-05,3276.84
2.375e-05,3211.56
2.46875e-05,3150.04
2.5625e-05,3091.93
2.65625e-05,3036.92
2.75e-05,2984.75
2.84375e-05,2935.19
2.9375e-05,2888.01
3.03125e-05,2843.05
3.125e-05,2800.12
3.21875e-05,2759.08
3.3125e-05,2719.8
3.40625e-05,2682.15
3.5e-05,2646.03
3.59375e-05,2611.32
3.6875e-05,2577.95
3.78125e-05,2545.83
3.875e-05,2514.89
3.96875e-05,2485.04
4.0625e-05,2456.24
4.25e-05,2401.52
4.4375e-05,2350.31
4.625e-05,2302.24
4.8125e-05,2257.01
5e-05,2214.36
5.15625e-05,2180.6
5.3125e-05,2148.35
5.46875e-05,2117.49
5.625e-05,2087.92
5.78125e-05,2059.56
5.9375e-05,2032.33
6.09375e-05,2006.16
6.25e-05,1980.97
6.40625e-05,1956.71
6.5625e-05,1933.32
6.71875e-05,1910.76
6.875e-05,1888.97
7.1875e-05,1847.53
7.5e-05,1808.72
7.8125e-05,1772.26
8.125e-05,1737.93
8.4375e-05,1705.52
8.75e-05,1674.87
9.0625e-05,1645.82
9.375e-05,1618.23
9.6875e-05,1591.99
0.0001,1566.99
0.000103125,1543.14
0.00010625,1520.34
0.000109375,1498.54
0.0001125,1477.64
0.000115625,1457.61
0.00011875,1438.36
0.000121875,1419.87
0.000125,1402.07
0.000128125,1384.93
0.00013125,1368.4
0.000134375,1352.46
0.0001375,1337.06
0.00014375,1307.79
0.00015,1280.36
0.00015625,1254.6
0.0001625,1230.35
0.00016875,1207.45
0.000175,1185.8
0.00018125,1165.27
0.0001875,1145.78
0.00019375,1127.24
0.0002,1109.58
0.000209375,1084.59
0.00021875,1061.22
0.000228125,1039.31
0.0002375,1018.72
0.000246875,999.306
0.00025625,980.97
0.000265625,963.616
0.000275,947.157
0.000284375,931.521
0.00029375,916.639
0.000303125,902.454
0.0003125,888.913
0.000321875,875.969
0.00033125,863.579
0.000340625,851.704
0.00035,840.311
0.000359375,829.366
0.00036875,818.842
0.000378125,808.713
0.0003875,798.954
0.000396875,789.542
0.00040625,780.459
0.000425,763.204
0.00044375,747.056
0.0004625,731.901
0.00048125,717.641
0.0005,704.192
0.000515625,693.55
0.00053125,683.382
0.000546875,673.653
0.0005625,664.333
0.000578125,655.393
0.00059375,646.81
0.000609375,638.558
0.000625,630.619
0.000640625,622.972
0.00065625,615.6
0.000671875,608.487
0.0006875,601.618
0.00071875,588.56
0.00075,576.326
0.00078125,564.836
0.0008125,554.015
0.00084375,543.802
0.000875,534.141
0.00090625,524.985
0.0009375,516.292
0.00096875,508.022
0.001,500.144
0.00103125,492.627
0.0010625,485.445
0.00109375,478.572
0.001125,471.989
0.00115625,465.674
0.0011875,459.611
0.00121875,453.783
0.00125,448.174
0.00128125,442.773
0.0013125,437.565
0.00134375,432.541
0.001375,427.689
0.0014375,418.464
0.0015,409.823
0.0015625,401.706
0.001625,394.062
0.0016875,386.847
0.00175,380.023
0.0018125,373.555
0.001875,367.413
0.0019375,361.572
0.002,356.006
0.00209375,348.131
0.0021875,340.767
0.00228125,333.863
0.002375,327.372
0.00246875,321.254
0.0025625,315.476
0.00265625,310.007
0.00275,304.821
0.00284375,299.893
0.0029375,295.203
0.00303125,290.733
0.003125,286.466
0.00321875,282.387
0.0033125,278.483
0.00340625,274.741
0.0035,271.15
0.00359375,267.702
0.0036875,264.385
0.00378125,261.194
0.003875,258.118
0.00396875,255.153
0.0040625,252.291
0.00425,246.854
0.0044375,241.766
0.004625,236.991
0.0048125,232.498
0.005,228.261
0.00515625,224.908
0.0053125,221.704
0.00546875,218.639
0.005625,215.703
0.00578125,212.887
0.0059375,210.183
0.00609375,207.584
0.00625,205.084
0.00640625,202.675
0.0065625,200.354
0.00671875,198.113
0.006875,195.95
0.0071875,191.838
0.0075,187.986
0.0078125,184.367
0.008125,180.96
0.0084375,177.745
0.00875,174.703
0.0090625,171.82
0.009375,169.083
0.0096875,166.48
0.01,164
0.0103125,161.634
0.010625,159.374
0.0109375,157.212
0.01125,155.14
0.0115625,153.154
0.011875,151.247
0.0121875,149.414
0.0125,147.65
0.0128125,145.952
0.013125,144.315
0.0134375,142.736
0.01375,141.211
0.014375,138.312
0.015,135.596
0.015625,133.046
0.01625,130.644
0.016875,128.378
0.0175,126.234
0.018125,124.203
0.01875,122.275
0.019375,120.441
0.02,118.695
0.0206625,116.931
0.021325,115.25
0.0219875,113.647
0.02265,112.115
0.0233125,110.649
0.023975,109.244
0.0246375,107.897
0.0253,106.604
0.0264578,104.462
0.0276156,102.458
0.0287734,100.576
