E_eV,Sig_b
1e-05,83.5464
1.03125e-05,82.2745
1.0625e-05,81.0591
1.09375e-05,79.8963
1.125e-05,78.7824
1.15625e-05,77.7139
1.1875e-05,76.688
1.21875e-05,75.7018
1.25e-05,74.7529
1.28122e-05,73.8397
1.31244e-05,72.9594
1.34366e-05,72.11
1.37488e-05,71.2897
1.43733e-05,69.7302
1.49977e-05,68.2693
1.5e-05,68.2641
1.50073e-05,68.2475
1.50147e-05,68.2309
1.50293e-05,68.1978
1.50586e-05,68.1317
1.51172e-05,68.0001
1.52344e-05,67.7392
1.54687e-05,67.2263
1.59375e-05,66.2347
1.64063e-05,65.286
1.6875e-05,64.3772
1.68859e-05,64.3565
1.69243e-05,64.2839
1.69627e-05,64.2114
1.70394e-05,64.0673
1.71929e-05,63.7821
1.75e-05,63.2228
1.8125e-05,62.1287
1.875e-05,61.0899
1.9375e-05,60.1019
2e-05,59.1606
2.09375e-05,57.8287
2.09443e-05,57.8194
2.09699e-05,57.7843
2.09955e-05,57.7492
2.10467e-05,57.6793
2.11492e-05,57.5403
2.1354e-05,57.2653
2.17638e-05,56.727
2.25832e-05,55.6948
2.34027e-05,54.7174
2.42221e-05,53.7902
2.50416e-05,52.9089
2.58611e-05,52.07
2.66805e-05,51.2701
2.75e-05,50.5063
2.84281e-05,49.6816
2.93563e-05,48.8964
3.02844e-05,48.1476
3.12125e-05,47.4326
3.21406e-05,46.7489
3.30688e-05,46.0943
3.39969e-05,45.4668
3.4925e-05,44.8645
3.5e-05,44.8169
3.52344e-05,44.6691
3.54687e-05,44.5227
3.59375e-05,44.2343
3.6875e-05,43.6742
3.78125e-05,43.1352
3.875e-05,42.6159
3.96875e-05,42.1151
4.0625e-05,41.6319
4.25e-05,40.714
4.4375e-05,39.8552
4.625e-05,39.0493
4.8125e-05,38.2912
5e-05,37.5764
5.15625e-05,37.0109
5.3125e-05,36.4706
5.46875e-05,35.9538
5.625e-05,35.4587
5.78125e-05,34.984
5.9375e-05,34.5283
6.09375e-05,34.0902
6.25e-05,33.6689
6.40625e-05,33.2631
6.5625e-05,32.8719
6.71875e-05,32.4946
6.875e-05,32.1303
7.1875e-05,31.4379
7.5e-05,30.7896
7.8125e-05,30.1808
8.125e-05,29.6077
8.4375e-05,29.067
8.75e-05,28.5558
9.0625e-05,28.0714
9.375e-05,27.6117
9.6875e-05,27.1746
0.0001,26.7584
0.000103125,26.3614
0.00010625,25.9822
0.000109375,25.6195
0.0001125,25.2722
0.000115625,24.9392
0.00011875,24.6196
0.000121875,24.3125
0.000125,24.0171
0.000128122,23.733
0.000131244,23.4592
0.000134366,23.1951
0.000137488,22.9402
0.000143733,22.4559
0.000149977,22.0024
0.00015,22.0008
0.000150073,21.9957
0.000150146,21.9905
0.000150293,21.9803
0.000150586,21.9598
0.000151172,21.9189
0.000152344,21.838
0.000154687,21.679
0.000159375,21.3716
0.000164062,21.0778
0.00016875,20.7964
0.000168859,20.79
0.000169243,20.7675
0.000169627,20.7451
0.000170394,20.7005
0.000171929,20.6123
0.000175,20.4393
0.00018125,20.1011
0.0001875,19.7802
0.00019375,19.4753
0.0002,19.185
0.000209375,18.7746
0.000209443,18.7717
0.000209699,18.7609
0.000209955,18.7501
0.000210467,18.7286
0.000211492,18.6858
0.00021354,18.6012
0.000217638,18.4356
0.000225832,18.1182
0.000234027,17.8181
0.000242221,17.5336
0.000250416,17.2635
0.000258611,17.0066
0.000266805,16.7619
0.000275,16.5286
0.000284281,16.2768
0.000293562,16.0375
0.000302844,15.8095
0.000312125,15.592
0.000321406,15.3843
0.000330687,15.1856
0.000339969,14.9954
0.00034925,14.813
0.00035,14.7986
0.000352344,14.7539
0.000354688,14.7097
0.000359375,14.6225
0.00036875,14.4533
0.000378125,14.2907
0.0003875,14.1342
0.000396875,13.9834
0.00040625,13.8382
0.000425,13.5627
0.00044375,13.3055
0.0004625,13.0647
0.00048125,12.8387
0.0005,12.6261
0.000515625,12.4583
0.00053125,12.2982
0.000546875,12.1454
0.0005625,11.9993
0.000578125,11.8595
0.00059375,11.7255
0.000609375,11.5969
0.000625,11.4735
0.000640625,11.3548
0.00065625,11.2407
0.000671875,11.1308
0.0006875,11.0249
0.00071875,10.8241
0.00075,10.6368
0.00078125,10.4615
0.0008125,10.2972
0.00084375,10.1427
0.000875,9.99711
0.00090625,9.8597
0.0009375,9.72974
0.00096875,9.60662
0.001,9.48978
0.00103125,9.37874
0.0010625,9.27306
0.00109375,9.17234
0.001125,9.07622
0.00115625,8.98439
0.0011875,8.89655
0.00121875,8.81244
0.00125,8.73181
0.00128122,8.65453
0.00131244,8.5803
0.00134366,8.50896
0.00137488,8.44032
0.00143733,8.31055
0.00149977,8.18988
0.0015,8.18945
0.00150073,8.18809
0.00150147,8.18672
0.00150293,8.184
0.00150586,8.17856
0.00151172,8.16775
0.00152344,8.14632
0.00154688,8.1043
0.00159375,8.02338
0.00164062,7.94639
0.0016875,7.87304
0.00168859,7.87137
0.00169243,7.86553
0.00169627,7.8597
0.00170394,7.84812
0.00171929,7.82522
0.00175,7.78045
0.0018125,7.69333
0.001875,7.6112
0.0019375,7.53364
0.002,7.46027
0.00209375,7.35734
0.00209443,7.35662
0.00209699,7.35393
0.00209955,7.35123
0.00210467,7.34587
0.00211492,7.3352
0.0021354,7.31413
0.00217638,7.27303
0.00225832,7.19475
0.00234027,7.12128
0.00242222,7.05219
0.00250416,6.98709
0.00258611,6.92566
0.00266805,6.86758
0.00275,6.81258
0.00284281,6.75373
0.00293563,6.69822
0.00302844,6.64577
0.00312125,6.59615
0.00321406,6.54913
0.00330687,6.5045
0.00339969,6.4621
0.0034925,6.42177
0.0035,6.41859
0.00352344,6.40875
0.00354688,6.39903
0.00359375,6.37994
0.0036875,6.3431
0.00378125,6.30794
0.003875,6.27436
0.00396875,6.24225
0.0040625,6.21152
0.00425,6.15384
0.0044375,6.10074
0.004625,6.05168
0.0048125,6.00624
0.005,5.96402
0.00515625,5.93107
0.0053125,5.89997
0.00546875,5.87056
0.005625,5.84272
0.00578125,5.81632
0.0059375,5.79126
0.00609375,5.76744
0.00625,5.74477
0.00640625,5.72317
0.0065625,5.70257
