E_eV,Sig_b
1e-05,88206
1.03125e-05,86859.5
1.0625e-05,85572.7
1.09375e-05,84341.6
1.125e-05,83162.1
1.15625e-05,82030.7
1.1875e-05,80944.3
1.21875e-05,79900
1.25e-05,78895
1.28125e-05,77927.1
1.3125e-05,76994
1.34375e-05,76093.6
1.375e-05,75224
1.4375e-05,73570.8
1.5e-05,72022.1
1.5625e-05,70567.2
1.625e-05,69197.1
1.6875e-05,67903.8
1.75e-05,66680.4
1.8125e-05,65520.9
1.875e-05,64419.9
1.9375e-05,63372.6
2e-05,62374.7
2.09375e-05,60962.6
2.1875e-05,59642.3
2.28125e-05,58404.2
2.375e-05,57240.2
2.46875e-05,56143.2
2.5625e-05,55106.9
2.65625e-05,54126
2.75e-05,53195.6
2.84375e-05,52311.7
2.9375e-05,51470.4
3.03125e-05,50668.5
3.125e-05,49903
3.21875e-05,49171.1
3.3125e-05,48470.6
3.40625e-05,47799.1
3.5e-05,47154.9
3.59375e-05,46536
3.6875e-05,45940.8
3.78125e-05,45368
3.875e-05,44816
3.96875e-05,44283.8
4.0625e-05,43770.1
4.25e-05,42794.1
4.4375e-05,41880.6
4.625e-05,41023.3
4.8125e-05,40216.6
5e-05,39455.8
5.15625e-05,38853.7
5.3125e-05,38278.3
5.46875e-05,37727.8
5.625e-05,37200.4
5.78125e-05,36694.6
5.9375e-05,36208.8
6.09375e-05,35741.9
6.25e-05,35292.6
6.40625e-05,34859.8
6.5625e-05,34442.6
6.71875e-05,34040
6.875e-05,33651.2
7.1875e-05,32912
7.5e-05,32219.5
7.8125e-05,31569.1
8.125e-05,30956.5
8.4375e-05,30378.2
8.75e-05,29831.3
9.0625e-05,29312.9
9.375e-05,28820.6
9.6875e-05,28352.3
0.0001,27906.2
0.000103125,27480.5
0.00010625,27073.8
0.000109375,26684.6
0.0001125,26311.7
0.000115625,25954
0.00011875,25610.6
0.000121875,25280.5
0.000125,24962.8
0.000128125,24656.8
0.00013125,24361.8
0.000134375,24077.2
0.0001375,23802.3
0.00014375,23279.7
0.00015,22790.1
0.00015625,22330.2
0.0001625,21897.1
0.00016875,21488.3
0.000175,21101.6
0.00018125,20735
0.0001875,20387
0.00019375,20055.9
0.0002,19740.5
0.000209375,19294.1
0.00021875,18876.7
0.000228125,18485.3
0.0002375,18117.4
0.000246875,17770.6
0.00025625,17443
0.000265625,17132.9
0.000275,16838.8
0.000284375,16559.3
0.00029375,16293.4
0.000303125,16039.9
0.0003125,15797.9
0.000321875,15566.5
0.00033125,15345
0.000340625,15132.7
0.00035,14929.1
0.000359375,14733.4
0.00036875,14545.2
0.000378125,14364.1
0.0003875,14189.6
0.000396875,14021.3
0.00040625,13858.9
0.000425,13550.4
0.00044375,13261.5
0.0004625,12990.5
0.00048125,12735.4
0.0005,12494.8
0.000515625,12304.4
0.00053125,12122.5
0.000546875,11948.4
0.0005625,11781.7
0.000578125,11621.7
0.00059375,11468.1
0.000609375,11320.4
0.000625,11178.3
0.000640625,11041.5
0.00065625,10909.5
0.000671875,10782.2
0.0006875,10659.2
0.00071875,10425.5
0.00075,10206.4
0.00078125,10000.7
0.0008125,9806.95
0.00084375,9624.06
0.000875,9451.05
0.00090625,9287.06
0.0009375,9131.34
0.00096875,8983.22
0.001,8842.09
0.00103125,8707.43
0.0010625,8578.75
0.00109375,8455.62
0.001125,8337.65
0.00115625,8224.51
0.0011875,8115.85
0.00121875,8011.4
0.00125,7910.89
0.00128125,7814.08
0.0013125,7720.75
0.00134375,7630.69
0.001375,7543.71
0.0014375,7378.35
0.0015,7223.43
0.0015625,7077.89
0.001625,6940.83
0.0016875,6811.45
0.00175,6689.07
0.0018125,6573.06
0.001875,6462.9
0.0019375,6358.12
0.002,6258.28
0.00209375,6116.98
0.0021875,5984.86
0.00228125,5860.97
0.002375,5744.48
0.00246875,5634.69
0.0025625,5530.98
0.00265625,5432.8
0.00275,5339.69
0.00284375,5251.22
0.0029375,5167.01
0.00303125,5086.75
0.003125,5010.12
0.00321875,4936.86
0.0033125,4866.74
0.00340625,4799.53
0.0035,4735.04
0.00359375,4673.09
0.0036875,4613.52
0.00378125,4556.17
0.003875,4500.92
0.00396875,4447.64
0.0040625,4396.21
0.00425,4298.5
0.0044375,4207.05
0.004625,4121.21
0.0048125,4040.43
0.005,3964.24
0.00515625,3903.95
0.0053125,3846.34
0.00546875,3791.21
0.005625,3738.39
0.00578125,3687.74
0.0059375,3639.09
0.00609375,3592.33
0.00625,3547.33
0.00640625,3504
0.0065625,3462.21
0.00671875,3421.9
0.006875,3382.96
0.0071875,3308.93
0.0075,3239.58
0.0078125,3174.42
0.008125,3113.05
0.0084375,3055.12
0.00875,3000.32
0.0090625,2948.37
0.009375,2899.04
0.0096875,2852.12
0.01,2807.41
0.0103125,2764.75
0.010625,2723.99
0.0109375,2684.98
0.01125,2647.62
0.0115625,2611.78
0.011875,2577.37
0.0121875,2544.29
0.0125,2512.46
0.0128125,2481.8
0.013125,2452.25
0.0134375,2423.73
0.01375,2396.2
0.014375,2343.83
0.015,2294.77
0.015625,2248.67
0.01625,2205.26
0.016875,2164.27
0.0175,2125.49
0.018125,2088.74
0.01875,2053.84
0.019375,2020.64
0.02,1989.02
0.0206625,1957.07
0.021325,1926.63
0.0219875,1897.59
0.02265,1869.83
0.0233125,1843.29
0.023975,1817.88
0.0246375,1793.52
0.0253,1770.15
0.0264578,1731.49
0.0276156,1695.36
0.0287734,1661.46
0.0299312,1629.57
0.0310891,1599.49
0.0322469,1571.04
0.0334047,1544.09
0.0345625,1518.49
0.0355273,1498.12
0.0364922,1478.54
0.037457,1459.73
0.0384219,1441.62
0.0393867,1424.18
0.0403516,1407.36
0.0413164,1391.13
0.0422812,1375.46
0.0442109,1345.67
0.0461406,1317.76
0.0480703,1291.54
0.05,1266.86
0.0515625,1247.88
0.053125,1229.75
0.0546875,1212.4
0.05625,1195.78
0.0578125,1179.83
0.059375,1164.51
0.0609375,1149.78
0.0625,1135.61
0.0640625,1121.97
0.065625,1108.81
0.0671875,1096.12
0.06875,1083.86
0.071875,1060.55
0.075,1038.69
0.078125,1018.15
0.08125,998.788
0.084375,980.511
0.0875,963.219
0.090625,946.826
0.09375,931.257
0.096875,916.445
0.1,902.331
0.103125,888.86
0.10625,875.987
0.109375,863.667
0.1125,851.862
0.115625,840.537
0.11875,829.661
0.121875,819.204
0.125,809.141
0.128125,799.449
0.13125,790.107
0.134375,781.098
0.1375,772.401
0.14375,755.855
0.15,740.331
0.15625,725.739
0.1625,711.993
0.16875,699.016
0.175,686.738
0.18125,675.098
0.1875,664.044
0.19375,653.527
0.2,643.505
0.20625,633.94
0.2125,624.8
0.21875,616.052
0.225,607.67
0.23125,599.629
0.2375,591.907
0.24375,584.482
0.25,577.337
0.25625,570.453
0.2625,563.818
0.26875,557.421
0.275,551.25
0.2875,539.506
0.3,528.479
0.3125,518.118
0.325,508.358
0.3375,499.144
0.35,490.426
0.3625,482.163
0.36875,478.228
0.371875,476.387
0.375,474.792
0.376563,474.179
0.378125,473.772
0.379688,473.66
0.38125,473.958
0.382812,474.805
0.383594,475.483
0.384375,476.358
0.385156,477.453
0.385937,478.787
0.386719,480.382
0.3875,482.256
0.388281,484.427
0.389062,486.907
0.389844,489.71
0.390625,492.84
0.391406,496.301
0.392188,500.089
0.392969,504.198
0.39375,508.612
0.394531,513.313
0.395312,518.276
0.396875,528.86
0.398438,540.072
0.4,551.562
0.4,551.564
0.400098,552.283
0.400195,553.002
0.400391,554.437
0.400781,557.298
0.401563,562.963
0.403125,573.909
0.404688,584.08
0.405469,588.792
0.40625,593.22
0.407031,597.346
0.407813,601.156
0.408594,604.641
0.409375,607.798
0.410156,610.63
0.410938,613.141
0.411719,615.344
0.4125,617.25
0.413281,618.876
0.414063,620.24
0.415625,622.259
0.417188,623.468
0.41875,624.029
0.420313,624.088
0.421875,623.773
0.425,622.416
0.43125,618.459
0.4375,614.16
0.45,605.733
0.4625,597.652
0.475,589.916
0.5,575.318
0.542969,552.568
0.585937,532.337
0.628906,514.22
0.671875,497.881
0.714843,483.033
0.757812,469.472
0.800781,457.019
0.843749,445.529
0.921874,426.832
0.999999,410.244
1,410.244
1,410.243
1.00041,410.162
1.00081,410.081
1.00162,409.92
1.00324,409.597
1.00647,408.956
1.01295,407.685
1.02589,405.178
1.05178,400.269
1.10355,391.009
1.20711,374.316
1.31066,359.652
1.41421,346.64
1.56066,330.408
1.70711,316.304
1.85355,303.911
2,292.919
2.125,284.462
2.25,276.713
2.375,269.586
2.5,263.003
2.75,251.216
3,240.94
3.25,231.855
3.5,223.774
3.75,216.518
4,209.949
4.25,203.971
4.5,198.501
4.75,193.471
5,188.824
5.25,184.502
5.5,180.48
5.75,176.725
6,173.208
6.25,169.905
6.5,166.796
6.75,163.862
7,161.09
7.75,153.573
8.5,147.078
9.25,141.395
10,136.37
11.0355,130.312
12.071,125.06
13.1066,120.449
14.1421,116.36
15.6066,111.199
17.071,106.718
18.5355,102.782
20,99.2897
21.25,96.6116
22.5,94.1612
23.75,91.9089
25,89.8294
27.5,86.1085
30,82.8673
32.5,79.9916
35,77.434
37.5,75.1397
40,73.0657
42.5,71.1796
45,69.4549
47.5,67.8698
50,66.4063
52.5,65.04
55,63.7691
57.5,62.5831
60,61.4731
62.5,60.4313
65,59.451
67.5,58.5264
70,57.6525
73.75,56.4191
77.5,55.2774
85,53.2283
92.5,51.4374
100,49.8552
110.355,47.965
120.71,46.3295
131.066,44.8966
141.421,43.6277
156.066,41.9789
170.71,40.5487
185.355,39.2929
200,38.1789
212.5,37.3363
225,36.5662
237.5,35.8588
250,35.206
275,34.0389
300,33.0233
325,32.123
350,31.3225
375,30.6048
