E_eV,Sig_b
1e-05,7826.44
1.03125e-05,7706.97
1.0625e-05,7592.81
1.09375e-05,7483.59
1.125e-05,7378.94
1.15625e-05,7278.57
1.1875e-05,7182.19
1.21875e-05,7089.54
1.25e-05,7000.39
1.28125e-05,6914.52
1.3125e-05,6831.73
1.34375e-05,6751.85
1.375e-05,6674.71
1.4375e-05,6528.04
1.5e-05,6390.64
1.5625e-05,6261.57
1.625e-05,6140.02
1.6875e-05,6025.29
1.75e-05,5916.76
1.8125e-05,5813.9
1.875e-05,5716.22
1.9375e-05,5623.31
2e-05,5534.79
2.09375e-05,5409.52
2.1875e-05,5292.39
2.28125e-05,5182.56
2.375e-05,5079.3
2.46875e-05,4981.98
2.5625e-05,4890.05
2.65625e-05,4803.03
2.75e-05,4720.5
2.84375e-05,4642.09
2.9375e-05,4567.46
3.03125e-05,4496.33
3.125e-05,4428.42
3.21875e-05,4363.5
3.3125e-05,4301.35
3.40625e-05,4241.79
3.5e-05,4184.64
3.59375e-05,4129.74
3.6875e-05,4076.95
3.78125e-05,4026.14
3.875e-05,3977.18
3.96875e-05,3929.97
4.0625e-05,3884.4
4.25e-05,3797.83
4.4375e-05,3716.81
4.625e-05,3640.76
4.8125e-05,3569.21
5e-05,3501.72
5.15625e-05,3448.32
5.3125e-05,3397.29
5.46875e-05,3348.46
5.625e-05,3301.69
5.78125e-05,3256.82
5.9375e-05,3213.74
6.09375e-05,3172.32
6.25e-05,3132.47
6.40625e-05,3094.09
6.5625e-05,3057.08
6.71875e-05,3021.38
6.875e-05,2986.9
7.1875e-05,2921.34
7.5e-05,2859.93
7.8125e-05,2802.24
8.125e-05,2747.92
8.4375e-05,2696.64
8.75e-05,2648.13
9.0625e-05,2602.16
9.375e-05,2558.51
9.6875e-05,2516.99
0.0001,2477.43
0.000103125,2439.68
0.00010625,2403.61
0.000109375,2369.1
0.0001125,2336.04
0.000115625,2304.33
0.00011875,2273.88
0.000121875,2244.61
0.000125,2216.44
0.000128125,2189.31
0.00013125,2163.16
0.000134375,2137.92
0.0001375,2113.55
0.00014375,2067.22
0.00015,2023.82
0.00015625,1983.05
0.0001625,1944.65
0.00016875,1908.41
0.000175,1874.13
0.00018125,1841.64
0.0001875,1810.79
0.00019375,1781.45
0.0002,1753.49
0.000209375,1713.93
0.00021875,1676.93
0.000228125,1642.25
0.0002375,1609.64
0.000246875,1578.91
0.00025625,1549.88
0.000265625,1522.4
0.000275,1496.34
0.000284375,1471.58
0.00029375,1448.02
0.000303125,1425.56
0.0003125,1404.11
0.000321875,1383.62
0.00033125,1363.99
0.000340625,1345.19
0.00035,1327.15
0.000359375,1309.81
0.00036875,1293.15
0.000378125,1277.1
0.0003875,1261.65
0.000396875,1246.74
0.00040625,1232.35
0.000425,1205.02
0.00044375,1179.44
0.0004625,1155.44
0.00048125,1132.85
0.0005,1111.54
0.000515625,1094.69
0.00053125,1078.58
0.000546875,1063.16
0.0005625,1048.4
0.000578125,1034.23
0.00059375,1020.63
0.000609375,1007.56
0.000625,994.98
0.000640625,982.863
0.00065625,971.182
0.000671875,959.911
0.0006875,949.027
0.00071875,928.333
0.00075,908.947
0.00078125,890.736
0.0008125,873.587
0.00084375,857.4
0.000875,842.088
0.00090625,827.576
0.0009375,813.796
0.00096875,800.688
0.001,788.2
0.00103125,776.283
0.0010625,764.897
0.00109375,754.003
0.001125,743.565
0.00115625,733.554
0.0011875,723.941
0.00121875,714.7
0.00125,705.808
0.00128125,697.243
0.0013125,688.987
0.00134375,681.019
0.001375,673.326
0.0014375,658.698
0.0015,644.994
0.0015625,632.121
0.001625,619.998
0.0016875,608.555
0.00175,597.731
0.0018125,587.471
0.001875,577.729
0.0019375,568.462
0.002,559.633
0.00209375,547.138
0.0021875,535.455
0.00228125,524.499
0.002375,514.199
0.00246875,504.491
0.0025625,495.321
0.00265625,486.641
0.00275,478.409
