E_eV,Sig_b
1e-05,30988.9
1.03125e-05,30515.8
1.0625e-05,30063.7
1.09375e-05,29631.2
1.125e-05,29216.8
1.15625e-05,28819.3
1.1875e-05,28437.6
1.21875e-05,28070.7
1.25e-05,27717.6
1.28125e-05,27377.6
1.3125e-05,27049.7
1.34375e-05,26733.4
1.375e-05,26427.9
1.4375e-05,25847
1.5e-05,25302.9
1.5625e-05,24791.7
1.625e-05,24310.4
1.6875e-05,23856
1.75e-05,23426.2
1.8125e-05,23018.8
1.875e-05,22632
1.9375e-05,22264
2e-05,21913.4
2.09375e-05,21417.3
2.1875e-05,20953.4
2.28125e-05,20518.4
2.375e-05,20109.5
2.46875e-05,19724
2.5625e-05,19359.9
2.65625e-05,19015.3
2.75e-05,18688.4
2.84375e-05,18377.9
2.9375e-05,18082.3
3.03125e-05,17800.6
3.125e-05,17531.6
3.21875e-05,17274.5
3.3125e-05,17028.3
3.40625e-05,16792.4
3.5e-05,16566.1
3.59375e-05,16348.6
3.6875e-05,16139.5
3.78125e-05,15938.3
3.875e-05,15744.3
3.96875e-05,15557.3
4.0625e-05,15376.8
4.25e-05,15033.9
4.4375e-05,14713
4.625e-05,14411.8
4.8125e-05,14128.4
5e-05,13861
5.15625e-05,13649.5
5.3125e-05,13447.3
5.46875e-05,13253.9
5.625e-05,13068.6
5.78125e-05,12890.9
5.9375e-05,12720.2
6.09375e-05,12556.2
6.25e-05,12398.3
6.40625e-05,12246.3
6.5625e-05,12099.7
6.71875e-05,11958.2
6.875e-05,11821.6
7.1875e-05,11561.9
7.5e-05,11318.6
7.8125e-05,11090.1
8.125e-05,10874.9
8.4375e-05,10671.7
8.75e-05,10479.5
9.0625e-05,10297.4
9.375e-05,10124.4
9.6875e-05,9959.93
0.0001,9803.19
0.000103125,9653.63
0.00010625,9510.72
0.000109375,9373.98
0.0001125,9242.97
0.000115625,9117.32
0.00011875,8996.66
0.000121875,8880.68
0.000125,8769.07
0.000128125,8661.57
0.00013125,8557.93
0.000134375,8457.93
0.0001375,8361.36
0.00014375,8177.76
0.00015,8005.76
0.00015625,7844.19
0.0001625,7692.03
0.00016875,7548.41
0.000175,7412.55
0.00018125,7283.79
0.0001875,7161.52
0.00019375,7045.21
0.0002,6934.41
0.000209375,6777.59
0.00021875,6630.98
0.000228125,6493.5
0.0002375,6364.24
0.000246875,6242.42
0.00025625,6127.35
0.000265625,6018.42
0.000275,5915.12
0.000284375,5816.97
0.00029375,5723.56
0.000303125,5634.51
0.0003125,5549.51
0.000321875,5468.25
0.00033125,5390.46
0.000340625,5315.9
0.00035,5244.37
0.000359375,5175.65
0.00036875,5109.57
0.000378125,5045.96
0.0003875,4984.68
0.000396875,4925.58
0.00040625,4868.54
0.000425,4760.17
0.00044375,4658.75
0.0004625,4563.56
0.00048125,4473.99
0.0005,4389.5
0.000515625,4322.65
0.00053125,4258.77
0.000546875,4197.64
0.0005625,4139.09
0.000578125,4082.92
0.00059375,4028.98
0.000609375,3977.13
0.000625,3927.24
0.000640625,3879.19
0.00065625,3832.86
0.000671875,3788.16
0.0006875,3744.99
0.00071875,3662.91
0.00075,3586.01
0.00078125,3513.78
0.0008125,3445.76
0.00084375,3381.55
0.000875,3320.81
0.00090625,3263.23
0.0009375,3208.57
0.00096875,3156.56
0.001,3107.02
0.00103125,3059.74
0.0010625,3014.56
0.00109375,2971.34
0.001125,2929.92
0.00115625,2890.2
0.0011875,2852.05
0.00121875,2815.38
0.00125,2780.1
0.00128125,2746.11
0.0013125,2713.34
0.00134375,2681.72
0.001375,2651.19
0.0014375,2593.13
0.0015,2538.73
0.0015625,2487.64
0.001625,2439.51
0.0016875,2394.09
0.00175,2351.11
0.0018125,2310.38
0.001875,2271.7
0.0019375,2234.9
0.002,2199.85
0.00209375,2150.23
0.0021875,2103.83
0.00228125,2060.32
0.002375,2019.41
0.00246875,1980.85
0.0025625,1944.42
0.00265625,1909.93
0.00275,1877.23
0.00284375,1846.15
0.0029375,1816.56
0.00303125,1788.36
0.003125,1761.44
0.00321875,1735.7
0.0033125,1711.05
0.00340625,1687.43
0.0035,1664.77
0.00359375,1642.99
0.0036875,1622.05
0.00378125,1601.89
0.003875,1582.47
0.00396875,1563.74
0.0040625,1545.65
0.00425,1511.3
0.0044375,1479.13
0.004625,1448.94
0.0048125,1420.53
0.005,1393.72
0.00515625,1372.51
0.0053125,1352.24
0.00546875,1332.84
0.005625,1314.25
0.00578125,1296.41
0.0059375,1279.29
0.00609375,1262.82
0.00625,1246.97
0.00640625,1231.71
0.0065625,1216.99
0.00671875,1202.78
0.006875,1189.06
0.0071875,1162.97
0.0075,1138.52
0.0078125,1115.55
0.008125,1093.91
0.0084375,1073.47
0.00875,1054.14
0.0090625,1035.8
0.009375,1018.39
0.0096875,1001.82
0.01,986.028
0.0103125,970.956
0.010625,956.551
0.0109375,942.764
0.01125,929.553
0.0115625,916.878
0.011875,904.703
0.0121875,892.997
0.0125,881.73
0.0128125,870.875
0.013125,860.408
0.0134375,850.304
0.01375,840.545
0.014375,821.981
0.015,804.58
0.015625,788.223
0.01625,772.808
0.016875,758.25
0.0175,744.47
0.018125,731.401
0.01875,718.984
0.019375,707.167
0.02,695.901
0.0206625,684.517
0.021325,673.66
0.0219875,663.293
0.02265,653.378
0.0233125,643.884
0.023975,634.78
0.0246375,626.042
0.0253,617.644
0.0263613,604.848
0.0274227,592.791
0.028484,581.404
0.0295453,570.628
0.0306066,560.409
0.031668,550.701
0.0327293,541.461
0.0337906,532.654
0.0348037,524.619
0.0358168,516.92
0.0368299,509.534
0.037843,502.441
0.0388561,495.619
0.0398691,489.054
0.0408822,482.728
0.0418953,476.628
0.0429084,470.74
0.0439215,465.053
0.0449346,459.554
0.0459477,454.234
0.0479738,444.093
0.05,434.561
0.0515625,427.587
0.053125,420.916
0.0546875,414.525
0.05625,408.395
0.0578125,402.509
0.059375,396.85
0.0609375,391.405
0.0625,386.159
0.0648438,378.639
0.0671875,371.507
0.0695313,364.729
0.071875,358.276
0.075,350.131
0.078125,342.461
0.08125,335.22
0.084375,328.371
0.0875,321.878
0.090625,315.713
0.09375,309.847
0.096875,304.257
0.1,298.921
0.103125,293.82
0.10625,288.938
0.109375,284.258
0.1125,279.767
0.115625,275.452
0.11875,271.301
0.121875,267.305
0.125,263.453
0.128125,259.738
0.13125,256.15
0.134375,252.683
0.1375,249.33
0.140625,246.086
0.14375,242.944
0.146875,239.9
0.15,236.948
0.15625,231.3
0.1625,225.963
0.16875,220.911
0.175,216.119
0.18125,211.567
0.1875,207.235
0.19375,203.105
0.2,199.161
0.208203,194.247
0.216406,189.604
0.224609,185.211
0.232813,181.045
0.241016,177.088
0.249219,173.319
0.257422,169.722
0.265625,166.288
0.275,162.546
0.284375,158.985
0.29375,155.592
0.303125,152.353
0.3125,149.258
0.321875,146.297
0.33125,143.459
0.340625,140.738
0.35,138.126
0.359375,135.615
0.36875,133.2
0.378125,130.875
0.3875,128.635
0.396875,126.475
0.40625,124.39
0.415625,122.376
0.425,120.431
0.434375,118.55
0.44375,116.729
0.453125,114.967
0.4625,113.261
0.471875,111.608
0.48125,110.008
0.5,106.956
0.53125,102.235
0.5625,97.9239
0.59375,93.9819
0.625,90.3654
0.65625,87.0372
0.6875,83.9663
0.71875,81.1261
0.75,78.4938
0.78125,76.05
0.8125,73.7777
0.84375,71.6621
0.875,69.6904
0.90625,67.8517
0.9375,66.146
1,63.0568
1.0625,60.3542
1.125,58.0047
1.1875,55.9729
1.25,54.2321
1.3125,52.7626
1.375,51.5516
1.4375,50.5925
1.5,49.8852
1.5625,49.4367
1.60938,49.2799
1.65625,49.2859
1.70312,49.4522
1.75,49.8261
1.78125,50.1985
1.8125,50.6777
1.84375,51.2747
1.875,52.0026
1.90625,52.8774
1.9375,53.9182
1.96875,55.1474
2,56.5908
2.02794,58.0942
2.05588,59.8342
2.08382,61.8474
2.11175,64.1802
2.13969,66.8916
2.15366,68.4117
2.16763,70.0558
2.1816,71.8365
2.19557,73.7678
2.20954,75.8661
2.22351,78.1497
2.24129,81.3567
2.25907,84.9466
2.27684,88.9799
2.29462,93.534
2.3124,98.7052
2.32129,101.558
2.33018,104.61
2.33907,107.88
2.34796,111.388
2.35685,115.159
2.36574,119.218
2.37971,126.253
2.38669,130.108
2.39368,134.212
2.40066,138.59
2.40765,143.264
2.41463,148.264
2.42162,153.618
2.4286,159.361
2.43558,165.531
2.44257,172.173
2.44955,179.332
2.45654,187.067
2.46352,195.438
2.47051,204.52
2.47749,214.392
2.48448,225.152
2.49146,236.906
2.49845,249.779
2.50543,263.913
2.51242,279.479
2.5194,296.665
2.52638,315.7
2.53337,336.841
2.54035,360.399
2.54734,386.726
2.55083,401.06
2.55432,416.244
2.55781,432.344
2.56131,449.429
2.5648,467.576
2.56829,486.852
2.57178,507.345
2.57527,529.144
2.57877,552.349
2.58226,577.044
2.58575,603.341
2.58924,631.345
2.59178,652.851
2.59432,675.361
2.59686,698.92
2.5994,723.571
2.6029,759.331
2.60639,797.331
2.60988,837.694
2.61337,880.485
2.61687,925.804
2.62036,973.68
2.62211,998.594
2.62385,1024.16
2.6256,1050.38
2.62734,1077.24
2.63067,1130.18
2.63399,1185.36
2.63732,1242.73
2.64064,1302.11
2.64397,1363.33
2.64729,1426.12
2.65061,1490.21
2.65394,1555.25
2.65651,1605.94
2.65908,1656.73
2.66165,1707.44
2.66422,1757.79
2.66679,1807.57
2.66935,1856.47
2.67449,1950.59
2.67847,2018.76
2.68244,2081.75
2.68641,2138.52
2.69038,2188.1
2.69435,2229.58
2.69832,2262.19
2.70229,2285.32
2.70626,2298.53
2.71,2301.66
2.71421,2294.35
2.71841,2275.74
2.72262,2246.27
2.72682,2206.6
2.73102,2157.55
2.73523,2100.16
2.73943,2035.56
2.74364,1964.99
2.74856,1876.4
2.75349,1783.32
2.75841,1687.66
2.76334,1591.2
2.76826,1495.43
2.77319,1401.69
2.77811,1311.04
2.78304,1224.31
2.78759,1148.16
2.79214,1076.14
2.79669,1008.42
2.80124,945.067
2.80579,886.035
2.81034,831.219
2.81489,780.457
2.81943,733.559
2.82399,690.281
2.82854,650.397
2.83308,613.665
2.83764,579.847
2.84218,548.712
2.84674,520.038
2.85128,493.618
2.85583,469.264
2.86038,446.785
2.86493,426.024
2.86948,406.828
2.87403,389.061
2.87858,372.6
2.88313,357.33
2.88768,343.149
2.89223,329.969
2.89678,317.7
2.90133,306.27
2.90588,295.61
2.91043,285.659
2.91498,276.36
2.91953,267.664
2.92408,259.523
2.92863,251.899
2.9336,244.122
2.93856,236.869
2.94352,230.098
2.94849,223.773
2.95841,212.331
2.96834,202.315
2.97827,193.534
2.98819,185.83
2.99812,179.07
3.00805,173.144
3.01549,169.189
3.02294,165.616
3.03038,162.395
3.03783,159.501
3.05272,154.602
3.06761,150.769
3.0825,147.883
3.09739,145.854
3.11228,144.613
3.12717,144.108
3.14372,144.372
3.16026,145.479
3.17681,147.423
3.19335,150.217
3.2099,153.894
3.22644,158.507
3.24299,164.131
3.25953,170.864
3.27525,178.407
3.29097,187.209
3.29883,192.134
3.30668,197.443
3.31454,203.163
3.3224,209.325
3.33026,215.967
3.33812,223.128
3.34598,230.853
3.35384,239.193
3.3617,248.206
3.36956,257.956
3.37741,268.518
3.38527,279.973
3.39437,294.482
3.40347,310.485
3.41257,328.18
3.42167,347.795
3.43077,369.603
3.43987,393.92
3.44897,421.13
3.45352,435.957
3.45807,451.68
3.46262,468.374
3.46717,486.115
3.47172,504.988
3.47627,525.085
3.48082,546.509
3.48537,569.371
3.48992,593.796
3.49447,619.913
3.49902,647.884
3.50357,677.865
3.50812,710.038
3.51267,744.598
3.51722,781.761
3.52177,821.762
3.52632,864.855
3.53087,911.303
3.53583,966.173
3.54079,1025.8
3.54576,1090.63
3.55072,1161.08
3.55568,1237.66
3.56065,1320.78
3.56561,1410.91
3.57058,1508.44
3.57512,1604.64
3.57968,1707.57
3.58422,1817.33
3.58878,1933.94
3.59333,2057.29
3.59787,2187.1
3.60243,2322.94
3.60697,2464.13
3.61265,2646.57
3.61833,2833.83
3.62968,3211.49
3.63536,3394.92
3.64104,3569.4
3.64672,3730.75
3.65239,3874.64
3.65584,3951.85
3.6593,4020.28
3.66275,4079.15
3.6662,4127.79
3.66965,4165.65
3.6731,4192.27
3.67655,4207.34
3.68,4210.68
