E_eV,Sig_b
1e-05,113.96
1.03125e-05,112.247
1.0625e-05,110.61
1.09375e-05,109.044
1.125e-05,107.545
1.15625e-05,106.107
1.1875e-05,104.726
1.21875e-05,103.399
1.25e-05,102.123
1.28125e-05,100.893
1.3125e-05,99.7087
1.34375e-05,98.5657
1.375e-05,97.4623
1.4375e-05,95.365
1.5e-05,93.4011
1.5625e-05,91.5571
1.625e-05,89.8214
1.6875e-05,88.1837
1.75e-05,86.6353
1.8125e-05,85.1684
1.875e-05,83.7761
1.9375e-05,82.4523
2e-05,81.1917
2.09375e-05,79.4086
2.1875e-05,77.7426
2.28125e-05,76.1815
2.375e-05,74.7147
2.46875e-05,73.3332
2.5625e-05,72.0291
2.65625e-05,70.7955
2.75e-05,69.6264
2.84375e-05,68.5163
2.9375e-05,67.4604
3.03125e-05,66.4547
3.125e-05,65.4951
3.21875e-05,64.5784
3.3125e-05,63.7015
3.40625e-05,62.8616
3.5e-05,62.0562
3.59375e-05,61.283
3.6875e-05,60.54
3.78125e-05,59.8253
3.875e-05,59.1371
3.96875e-05,58.4739
4.0625e-05,57.8342
4.25e-05,56.62
4.4375e-05,55.4851
4.625e-05,54.4213
4.8125e-05,53.4215
5e-05,52.4797
5.15625e-05,51.7353
5.3125e-05,51.0247
5.46875e-05,50.3455
5.625e-05,49.6955
5.78125e-05,49.0727
5.9375e-05,48.4752
6.09375e-05,47.9014
6.25e-05,47.3499
6.40625e-05,46.8192
6.5625e-05,46.3081
6.71875e-05,45.8154
6.875e-05,45.34
7.1875e-05,44.4376
7.5e-05,43.5939
7.8125e-05,42.8028
8.125e-05,42.0593
8.4375e-05,41.3588
8.75e-05,40.6975
9.0625e-05,40.0718
9.375e-05,39.4788
9.6875e-05,38.9157
0.0001,38.3802
0.000103125,37.8702
0.00010625,37.3838
0.000109375,36.9191
0.0001125,36.4748
0.000115625,36.0493
0.00011875,35.6414
0.000121875,35.25
0.000125,34.874
0.000128125,34.5125
0.00013125,34.1645
0.000134375,33.8293
0.0001375,33.5061
0.00014375,32.8932
0.00015,32.3208
0.00015625,31.7847
0.0001625,31.2815
0.00016875,30.8079
0.000175,30.3613
0.00018125,29.9392
0.0001875,29.5395
0.00019375,29.1604
0.0002,28.8002
0.000209375,28.2922
0.00021875,27.8192
0.000228125,27.3773
0.0002375,26.9634
0.000246875,26.5748
0.00025625,26.209
0.000265625,25.8639
0.000275,25.5378
0.000284375,25.229
0.00029375,24.936
0.000303125,24.6577
0.0003125,24.3927
0.000321875,24.1402
0.00033125,23.8993
0.000340625,23.669
0.00035,23.4486
0.000359375,23.2375
0.00036875,23.0351
0.000378125,22.8407
0.0003875,22.654
0.000396875,22.4743
0.00040625,22.3013
0.000425,21.9739
0.00044375,21.6688
0.0004625,21.3837
0.00048125,21.1166
0.0005,20.8657
0.000515625,20.6679
0.00053125,20.4794
0.000546875,20.2996
0.0005625,20.1279
0.000578125,19.9637
0.00059375,19.8064
0.000609375,19.6556
0.000625,19.5108
0.000640625,19.3718
0.00065625,19.238
0.000671875,19.1093
0.0006875,18.9853
0.00071875,18.7502
0.00075,18.5309
0.00078125,18.3257
0.0008125,18.1332
0.00084375,17.9522
0.000875,17.7815
0.00090625,17.6202
0.0009375,17.4676
0.00096875,17.3228
0.001,17.1853
0.00103125,17.0544
0.0010625,16.9296
0.00109375,16.8106
0.001125,16.6968
0.00115625,16.5879
0.0011875,16.4835
0.00121875,16.3835
0.00125,16.2873
0.00128125,16.1949
0.0013125,16.106
0.00134375,16.0204
0.001375,15.9379
0.0014375,15.7813
0.0015,15.6351
0.0015625,15.4982
0.001625,15.3697
0.0016875,15.2487
0.00175,15.1345
0.0018125,15.0266
0.001875,14.9243
0.0019375,14.8272
0.002,14.7349
0.00209375,14.6047
0.0021875,14.4832
0.00228125,14.3696
0.002375,14.2631
0.00246875,14.1629
0.0025625,14.0685
0.00265625,13.9793
0.00275,13.8949
0.00284375,13.8149
0.0029375,13.7388
0.00303125,13.6665
0.003125,13.5975
0.00321875,13.5317
0.0033125,13.4688
0.00340625,13.4086
0.0035,13.3509
0.00359375,13.2955
0.0036875,13.2424
0.00378125,13.1913
0.003875,13.1421
0.00396875,13.0948
0.0040625,13.0491
0.00425,12.9625
0.0044375,12.8816
0.004625,12.8058
0.0048125,12.7347
0.005,12.6676
0.00515625,12.6147
0.0053125,12.5641
0.00546875,12.5158
0.005625,12.4696
0.00578125,12.4254
0.0059375,12.3829
0.00609375,12.3421
0.00625,12.3029
0.00640625,12.2652
0.0065625,12.2288
0.00671875,12.1938
0.006875,12.16
0.0071875,12.0958
0.0075,12.0358
0.0078125,11.9795
0.008125,11.9265
0.0084375,11.8766
0.00875,11.8294
0.0090625,11.7848
0.009375,11.7424
0.0096875,11.7021
0.01,11.6638
0.0103125,11.6273
0.010625,11.5925
0.0109375,11.5591
0.01125,11.5272
0.0115625,11.4967
0.011875,11.4673
0.0121875,11.4392
0.0125,11.4121
0.0128125,11.386
0.013125,11.3609
0.0134375,11.3366
0.01375,11.3133
0.014375,11.2689
0.015,11.2273
0.015625,11.1883
0.01625,11.1516
0.016875,11.117
0.0175,11.0843
0.018125,11.0533
0.01875,11.0239
0.019375,10.996
0.02,10.9694
0.0206625,10.9425
0.021325,10.9169
0.0219875,10.8926
0.02265,10.8693
0.0233125,10.847
0.023975,10.8256
0.0246375,10.8052
0.0253,10.7855
0.0264578,10.753
0.0276156,10.7226
0.0287734,10.6941
0.0299312,10.6672
0.0310891,10.6419
0.0322469,10.618
0.0334047,10.5953
0.0345625,10.5738
0.0355273,10.5567
0.0364922,10.5403
0.037457,10.5245
0.0384219,10.5094
0.0393867,10.4948
0.0403516,10.4807
0.0413164,10.4671
0.0422812,10.454
0.0442109,10.4291
0.0461406,10.4058
0.0480703,10.384
0.05,10.3634
0.0515625,10.3476
0.053125,10.3325
0.0546875,10.3181
0.05625,10.3042
0.0578125,10.291
0.059375,10.2782
0.0609375,10.266
0.0625,10.2542
0.0640625,10.2429
0.065625,10.232
0.0671875,10.2215
0.06875,10.2113
0.071875,10.192
0.075,10.1739
0.078125,10.1568
0.08125,10.1408
0.084375,10.1257
0.0875,10.1114
0.090625,10.0979
