E_eV,Sig_b
1e-05,1588.57
1.03125e-05,1564.34
1.0625e-05,1541.19
1.09375e-05,1519.04
1.125e-05,1497.82
1.15625e-05,1477.47
1.1875e-05,1457.92
1.21875e-05,1439.13
1.25e-05,1421.05
1.28125e-05,1403.64
1.3125e-05,1386.85
1.34375e-05,1370.65
1.375e-05,1355.01
1.4375e-05,1325.27
1.5e-05,1297.41
1.5625e-05,1271.24
1.625e-05,1246.6
1.6875e-05,1223.33
1.75e-05,1201.33
1.8125e-05,1180.47
1.875e-05,1160.67
1.9375e-05,1141.84
2e-05,1123.89
2.09375e-05,1098.5
2.1875e-05,1074.75
2.28125e-05,1052.49
2.375e-05,1031.56
2.46875e-05,1011.83
2.5625e-05,993.2
2.65625e-05,975.563
2.75e-05,958.838
2.84375e-05,942.947
2.9375e-05,927.824
3.03125e-05,913.408
3.125e-05,899.647
3.21875e-05,886.492
3.3125e-05,873.9
3.40625e-05,861.833
3.5e-05,850.254
3.59375e-05,839.131
3.6875e-05,828.436
3.78125e-05,818.142
3.875e-05,808.224
3.96875e-05,798.66
4.0625e-05,789.429
4.25e-05,771.894
4.4375e-05,755.484
4.625e-05,740.084
4.8125e-05,725.594
5e-05,711.928
5.15625e-05,701.114
5.3125e-05,690.782
5.46875e-05,680.897
5.625e-05,671.427
5.78125e-05,662.345
5.9375e-05,653.624
6.09375e-05,645.241
6.25e-05,637.175
6.40625e-05,629.407
6.5625e-05,621.918
6.71875e-05,614.693
6.875e-05,607.715
7.1875e-05,594.451
7.5e-05,582.027
7.8125e-05,570.357
8.125e-05,559.368
8.4375e-05,548.997
8.75e-05,539.189
9.0625e-05,529.893
9.375e-05,521.067
9.6875e-05,512.673
0.0001,504.676
0.000103125,497.047
0.00010625,489.757
0.000109375,482.784
0.0001125,476.103
0.000115625,469.697
0.00011875,463.545
0.000121875,457.632
0.000125,451.944
0.000128125,446.465
0.00013125,441.184
0.000134375,436.088
0.0001375,431.168
0.00014375,421.815
0.00015,413.055
0.00015625,404.828
0.0001625,397.082
0.00016875,389.772
0.000175,382.858
0.00018125,376.307
0.0001875,370.087
0.00019375,364.172
0.0002,358.537
0.000209375,350.565
0.00021875,343.113
0.000228125,336.128
0.0002375,329.562
0.000246875,323.375
0.00025625,317.532
0.000265625,312.003
0.000275,306.76
0.000284375,301.78
0.00029375,297.042
0.000303125,292.526
0.0003125,288.216
0.000321875,284.096
0.00033125,280.153
0.000340625,276.376
0.00035,272.751
0.000359375,269.27
