E_eV,Sig_b
1e-05,505.237
1.03125e-05,497.551
1.0625e-05,490.206
1.09375e-05,483.178
1.125e-05,476.446
1.15625e-05,469.989
1.1875e-05,463.789
1.21875e-05,457.829
1.25e-05,452.095
1.28125e-05,446.572
1.3125e-05,441.248
1.34375e-05,436.11
1.375e-05,431.149
1.4375e-05,421.718
1.5e-05,412.884
1.5625e-05,404.586
1.625e-05,396.772
1.6875e-05,389.397
1.75e-05,382.421
1.8125e-05,375.811
1.875e-05,369.534
1.9375e-05,363.564
2e-05,357.877
2.09375e-05,349.83
2.1875e-05,342.306
2.28125e-05,335.253
2.375e-05,328.622
2.46875e-05,322.374
2.5625e-05,316.473
2.65625e-05,310.888
2.75e-05,305.592
2.84375e-05,300.56
2.9375e-05,295.772
3.03125e-05,291.209
3.125e-05,286.854
3.21875e-05,282.69
3.3125e-05,278.706
3.40625e-05,274.887
3.5e-05,271.224
3.59375e-05,267.705
3.6875e-05,264.322
3.78125e-05,261.066
3.875e-05,257.929
3.96875e-05,254.905
4.0625e-05,251.986
4.25e-05,246.443
4.4375e-05,241.256
4.625e-05,236.389
4.8125e-05,231.811
5e-05,227.494
5.15625e-05,224.078
5.3125e-05,220.816
5.46875e-05,217.695
5.625e-05,214.705
5.78125e-05,211.839
5.9375e-05,209.086
6.09375e-05,206.441
6.25e-05,203.897
6.40625e-05,201.446
6.5625e-05,199.085
6.71875e-05,196.806
6.875e-05,194.606
7.1875e-05,190.425
7.5e-05,186.51
7.8125e-05,182.834
8.125e-05,179.373
8.4375e-05,176.109
8.75e-05,173.021
9.0625e-05,170.096
9.375e-05,167.32
9.6875e-05,164.681
0.0001,162.167
0.000103125,159.769
0.00010625,157.479
0.000109375,155.288
0.0001125,153.19
0.000115625,151.179
0.00011875,149.248
0.000121875,147.393
0.000125,145.609
0.000128125,143.891
0.00013125,142.235
0.000134375,140.638
0.0001375,139.096
0.00014375,136.166
0.00015,133.424
0.00015625,130.849
0.0001625,128.426
0.00016875,126.141
0.000175,123.98
0.00018125,121.934
0.0001875,119.992
0.00019375,118.146
0.0002,116.389
0.000209375,113.903
0.00021875,111.581
0.000228125,109.406
0.0002375,107.363
0.000246875,105.438
0.00025625,103.622
0.000265625,101.904
0.000275,100.276
0.000284375,98.7306
0.00029375,97.2607
0.000303125,95.8606
0.0003125,94.5248
0.000321875,93.2487
0.00033125,92.028
0.000340625,90.8589
0.00035,89.7377
0.000359375,88.6614
0.00036875,87.627
0.000378125,86.6319
0.0003875,85.6737
0.000396875,84.7503
0.00040625,83.8594
0.000425,82.1684
0.00044375,80.5873
0.0004625,79.1049
0.00048125,77.7113
0.0005,76.3981
0.000515625,75.3598
0.00053125,74.3683
0.000546875,73.4203
0.0005625,72.5127
0.000578125,71.6427
0.00059375,70.8077
0.000609375,70.0056
0.000625,69.2342
0.000640625,68.4917
0.00065625,67.7762
0.000671875,67.0862
0.0006875,66.4202
0.00071875,65.1548
0.00075,63.9706
0.00078125,62.8591
0.0008125,61.8133
0.00084375,60.8269
0.000875,59.8946
0.00090625,59.0116
0.0009375,58.1737
0.00096875,57.3772
0.001,56.6188
0.00103125,55.8957
0.0010625,55.205
0.00109375,54.5445
0.001125,53.9121
0.00115625,53.3058
0.0011875,52.7239
0.00121875,52.1648
0.00125,51.627
0.00128125,51.1093
0.0013125,50.6103
0.00134375,50.1291
0.001375,49.6646
0.0014375,48.7818
0.0015,47.9555
0.0015625,47.1797
0.001625,46.4496
0.0016875,45.7608
0.00175,45.1097
0.0018125,44.4928
0.001875,43.9074
0.0019375,43.3508
0.002,42.8207
0.00209375,42.071
0.0021875,41.3704
0.00228125,40.7138
0.002375,40.0968
0.00246875,39.5156
0.0025625,38.9669
0.00265625,38.4477
0.00275,37.9555
0.00284375,37.488
0.0029375,37.0433
0.00303125,36.6195
0.003125,36.2151
0.00321875,35.8286
0.0033125,35.4587
0.00340625,35.1044
0.0035,34.7644
0.00359375,34.438
0.0036875,34.1242
0.00378125,33.8222
0.003875,33.5313
0.00396875,33.2508
0.0040625,32.9802
0.00425,32.4662
0.0044375,31.9853
0.004625,31.5342
0.0048125,31.1099
0.005,30.7097
0.00515625,30.3932
0.0053125,30.0909
0.00546875,29.8016
0.005625,29.5246
0.00578125,29.2589
0.0059375,29.0039
0.00609375,28.7587
0.00625,28.5229
0.00640625,28.2958
0.0065625,28.0769
0.00671875,27.8657
0.006875,27.6618
0.0071875,27.2742
0.0075,26.9112
0.0078125,26.5703
0.008125,26.2493
0.0084375,25.9464
0.00875,25.6599
0.0090625,25.3884
0.009375,25.1307
0.0096875,24.8856
0.01,24.6521
0.0103125,24.4293
0.010625,24.2166
0.0109375,24.013
0.01125,23.818
0.0115625,23.6309
0.011875,23.4514
0.0121875,23.2788
0.0125,23.1128
0.0128125,22.9529
0.013125,22.7988
0.0134375,22.6501
0.01375,22.5065
0.014375,22.2335
0.015,21.9778
0.015625,21.7376
0.01625,21.5114
0.016875,21.298
0.0175,21.0961
0.018125,20.9047
0.01875,20.723
0.019375,20.5502
0.02,20.3855
0.0206625,20.2192
0.021325,20.0608
0.0219875,19.9096
0.02265,19.765
0.0233125,19.6267
0.023975,19.4942
0.0246375,19.367
0.0253,19.2449
0.0264578,19.0427
0.0276156,18.8533
0.0287734,18.6755
0.0299312,18.5081
0.0310891,18.3502
0.0322469,18.2008
0.0334047,18.0593
0.0345625,17.925
0.0355273,17.8181
0.0364922,17.7154
0.037457,17.6168
0.0384219,17.5218
0.0393867,17.4303
0.0403516,17.3422
0.0413164,17.2571
0.0422812,17.175
0.0442109,17.0188
0.0461406,16.8726
0.0480703,16.7352
0.05,16.6058
0.0515625,16.5064
0.053125,16.4114
0.0546875,16.3205
0.05625,16.2334
0.0578125,16.1499
0.059375,16.0696
0.0609375,15.9925
0.0625,15.9183
0.0640625,15.8468
0.065625,15.7779
0.0671875,15.7113
0.06875,15.6471
0.071875,15.5249
0.075,15.4104
0.078125,15.3027
0.08125,15.2012
0.084375,15.1054
0.0875,15.0147
0.090625,14.9287
0.09375,14.847
0.096875,14.7692
