E_eV,Sig_b
1e-05,40.6404
1.03125e-05,40.032
1.0625e-05,39.4507
1.09375e-05,38.8947
1.125e-05,38.3622
1.15625e-05,37.8516
1.1875e-05,37.3615
1.21875e-05,36.8904
1.25e-05,36.4373
1.28125e-05,36.0009
1.3125e-05,35.5804
1.34375e-05,35.1748
1.375e-05,34.7832
1.4375e-05,34.0389
1.5e-05,33.3421
1.5625e-05,32.688
1.625e-05,32.0723
1.6875e-05,31.4915
1.75e-05,30.9424
1.8125e-05,30.4222
1.875e-05,29.9287
1.9375e-05,29.4594
2e-05,29.0126
2.09375e-05,28.3808
2.1875e-05,27.7905
2.28125e-05,27.2375
2.375e-05,26.7181
2.46875e-05,26.229
2.5625e-05,25.7673
2.65625e-05,25.3308
2.75e-05,24.9171
2.84375e-05,24.5243
2.9375e-05,24.1509
3.03125e-05,23.7953
3.125e-05,23.456
3.21875e-05,23.132
3.3125e-05,22.8221
3.40625e-05,22.5254
3.5e-05,22.2409
3.59375e-05,21.9678
3.6875e-05,21.7055
3.78125e-05,21.4532
3.875e-05,21.2103
3.96875e-05,20.9763
4.0625e-05,20.7506
4.25e-05,20.3225
4.4375e-05,19.9224
4.625e-05,19.5476
4.8125e-05,19.1955
5e-05,18.864
5.15625e-05,18.6021
5.3125e-05,18.3522
5.46875e-05,18.1134
5.625e-05,17.8849
5.78125e-05,17.6661
5.9375e-05,17.4562
6.09375e-05,17.2548
6.25e-05,17.0613
6.40625e-05,16.8751
6.5625e-05,16.6959
6.71875e-05,16.5232
6.875e-05,16.3567
7.1875e-05,16.0407
7.5e-05,15.7455
7.8125e-05,15.469
8.125e-05,15.2093
8.4375e-05,14.9648
8.75e-05,14.7342
9.0625e-05,14.5162
9.375e-05,14.3098
9.6875e-05,14.1139
0.0001,13.9278
0.000103125,13.7507
0.00010625,13.582
0.000109375,13.4209
0.0001125,13.267
0.000115625,13.1198
0.00011875,12.9788
0.000121875,12.8436
0.000125,12.7138
0.000128125,12.5891
0.00013125,12.4693
0.000134375,12.3539
0.0001375,12.2428
0.00014375,12.0323
0.00015,11.836
0.00015625,11.6526
0.0001625,11.4808
0.00016875,11.3193
0.000175,11.1673
0.00018125,11.024
0.0001875,10.8885
0.00019375,10.7603
0.0002,10.6386
0.000209375,10.4675
0.00021875,10.3086
0.000228125,10.1606
0.0002375,10.0223
0.000246875,9.89293
0.00025625,9.77148
0.000265625,9.65725
0.000275,9.54961
0.000284375,9.44797
0.00029375,9.35184
0.000303125,9.26076
0.0003125,9.17433
0.000321875,9.0922
0.00033125,9.01404
0.000340625,8.93957
0.00035,8.86852
0.000359375,8.80065
0.00036875,8.73575
0.000378125,8.67363
0.0003875,8.6141
0.000396875,8.557
0.00040625,8.50217
0.000425,8.39884
0.00044375,8.30311
0.0004625,8.21415
0.00048125,8.13126
0.0005,8.05381
0.000515625,7.99305
0.00053125,7.93542
0.000546875,7.88069
0.0005625,7.82864
0.000578125,7.77907
0.00059375,7.73179
0.000609375,7.68666
0.000625,7.64353
0.000640625,7.60225
0.00065625,7.56271
0.000671875,7.5248
0.0006875,7.48842
0.00071875,7.41987
0.00075,7.3564
0.00078125,7.29745
0.0008125,7.24254
0.00084375,7.19125
0.000875,7.14322
0.00090625,7.09814
0.0009375,7.05574
0.00096875,7.01578
0.001,6.97804
0.00103125,6.94233
0.0010625,6.9085
0.00109375,6.87638
0.001125,6.84585
0.00115625,6.81679
0.0011875,6.78909
0.00121875,6.76264
0.00125,6.73737
0.00128125,6.7132
0.0013125,6.69004
