E_eV,Sig_b
1e-05,66.8879
1.03125e-05,65.8703
1.0625e-05,64.898
1.09375e-05,63.9677
1.125e-05,63.0765
1.15625e-05,62.2218
1.1875e-05,61.401
1.21875e-05,60.6121
1.25e-05,59.853
1.28125e-05,59.1219
1.3125e-05,58.4171
1.34375e-05,57.737
1.375e-05,57.0803
1.4375e-05,55.8319
1.5e-05,54.6624
1.5625e-05,53.564
1.625e-05,52.5296
1.6875e-05,51.5534
1.75e-05,50.6301
1.8125e-05,49.755
1.875e-05,48.9242
1.9375e-05,48.134
2e-05,47.3812
2.09375e-05,46.316
2.1875e-05,45.3201
2.28125e-05,44.3865
2.375e-05,43.5089
2.46875e-05,42.6819
2.5625e-05,41.9008
2.65625e-05,41.1616
2.75e-05,40.4606
2.84375e-05,39.7947
2.9375e-05,39.161
3.03125e-05,38.5571
3.125e-05,37.9806
3.21875e-05,37.4297
3.3125e-05,36.9023
3.40625e-05,36.397
3.5e-05,35.9122
3.59375e-05,35.4465
3.6875e-05,34.9988
3.78125e-05,34.568
3.875e-05,34.1529
3.96875e-05,33.7527
4.0625e-05,33.3665
4.25e-05,32.6329
4.4375e-05,31.9466
4.625e-05,31.3027
4.8125e-05,30.697
5e-05,30.1258
5.15625e-05,29.674
5.3125e-05,29.2424
5.46875e-05,28.8296
5.625e-05,28.4341
5.78125e-05,28.0549
5.9375e-05,27.6909
6.09375e-05,27.3411
6.25e-05,27.0045
6.40625e-05,26.6805
6.5625e-05,26.3681
6.71875e-05,26.0669
6.875e-05,25.776
7.1875e-05,25.2232
7.5e-05,24.7055
7.8125e-05,24.2196
8.125e-05,23.7622
8.4375e-05,23.3306
8.75e-05,22.9227
9.0625e-05,22.5362
9.375e-05,22.1694
9.6875e-05,21.8207
0.0001,21.4887
0.000103125,21.172
0.00010625,20.8696
0.000109375,20.5803
0.0001125,20.3034
0.000115625,20.0379
0.00011875,19.7831
0.000121875,19.5383
0.000125,19.3029
0.000128125,19.0762
0.00013125,18.8578
0.000134375,18.6472
0.0001375,18.4439
0.00014375,18.0577
0.00015,17.6963
0.00015625,17.3572
0.0001625,17.0381
0.00016875,16.7373
0.000175,16.453
0.00018125,16.1839
0.0001875,15.9285
0.00019375,15.6859
0.0002,15.455
0.000209375,15.1287
0.00021875,14.824
0.000228125,14.5388
0.0002375,14.271
0.000246875,14.019
0.00025625,13.7814
0.000265625,13.5567
0.000275,13.344
0.000284375,13.1422
0.00029375,12.9505
0.000303125,12.768
0.0003125,12.594
0.000321875,12.4279
0.00033125,12.2691
0.000340625,12.1172
0.00035,11.9717
0.000359375,11.8321
0.00036875,11.698
0.000378125,11.5692
0.0003875,11.4452
0.000396875,11.3258
0.00040625,11.2108
0.000425,10.9927
0.00044375,10.7891
0.0004625,10.5987
0.00048125,10.4199
0.0005,10.2518
0.000515625,10.1191
0.00053125,9.99262
0.000546875,9.87187
0.0005625,9.75644
0.000578125,9.64598
0.00059375,9.54014
0.000609375,9.43863
0.000625,9.34118
0.000640625,9.24751
0.00065625,9.15742
0.000671875,9.07067
0.0006875,8.98708
0.00071875,8.82868
0.00075,8.68091
0.00078125,8.54269
0.0008125,8.41307
0.00084375,8.29123
0.000875,8.17644
0.00090625,8.06809
0.0009375,7.96561
0.00096875,7.86852
0.001,7.77638
0.00103125,7.6888
0.0010625,7.60543
0.00109375,7.52596
0.001125,7.45012
0.00115625,7.37763
0.0011875,7.30828
0.00121875,7.24186
0.00125,7.17817
0.00128125,7.11705
0.0013125,7.05832
0.00134375,7.00186
0.001375,6.94751
0.0014375,6.84471
0.0015,6.74903
0.0015625,6.65973
0.001625,6.57616
0.0016875,6.49777
0.00175,6.42406
0.0018125,6.35461
0.001875,6.28904
0.0019375,6.22703
0.002,6.16826
0.00209375,6.08566
0.0021875,6.00903
0.00228125,5.93772
0.002375,5.87116
0.00246875,5.80888
0.0025625,5.75045
0.00265625,5.69551
0.00275,5.64374
0.00284375,5.59486
0.0029375,5.54862
0.00303125,5.5048
