E_eV,Sig_b
1e-05,187.81
1.03125e-05,184.946
1.0625e-05,182.21
1.09375e-05,179.592
1.125e-05,177.084
1.15625e-05,174.678
1.1875e-05,172.368
1.21875e-05,170.147
1.25e-05,168.011
1.28125e-05,165.952
1.3125e-05,163.968
1.34375e-05,162.054
1.375e-05,160.205
1.4375e-05,156.691
1.5e-05,153.398
1.5625e-05,150.305
1.625e-05,147.392
1.6875e-05,144.643
1.75e-05,142.043
1.8125e-05,139.578
1.875e-05,137.238
1.9375e-05,135.012
2e-05,132.891
2.0625e-05,130.868
2.125e-05,128.934
2.1875e-05,127.084
2.25e-05,125.312
2.3125e-05,123.612
2.375e-05,121.98
2.4375e-05,120.411
2.5e-05,118.901
2.60742e-05,116.435
2.71484e-05,114.116
2.82227e-05,111.931
2.92969e-05,109.868
3.03711e-05,107.915
3.14453e-05,106.063
3.25195e-05,104.304
3.35938e-05,102.63
3.45703e-05,101.177
3.55469e-05,99.784
3.65234e-05,98.4473
3.75e-05,97.1632
3.90625e-05,95.21
4.0625e-05,93.3706
4.21875e-05,91.6346
4.375e-05,89.9926
4.53125e-05,88.4365
4.6875e-05,86.9589
4.84375e-05,85.5536
5e-05,84.2147
5.15625e-05,82.9373
5.3125e-05,81.7168
5.46875e-05,80.5492
5.625e-05,79.4306
5.78125e-05,78.3577
5.9375e-05,77.3276
6.09375e-05,76.3374
6.25e-05,75.3847
6.40625e-05,74.4672
6.5625e-05,73.5827
6.71875e-05,72.7293
6.875e-05,71.9052
7.1875e-05,70.3387
7.5e-05,68.8713
7.8125e-05,67.4932
8.125e-05,66.1955
8.4375e-05,64.9708
8.75e-05,63.8125
9.0625e-05,62.7149
9.375e-05,61.6727
9.6875e-05,60.6816
0.0001,59.7374
0.000103125,58.8367
0.00010625,57.9761
0.000109375,57.1527
0.0001125,56.3641
0.000115625,55.6077
0.00011875,54.8815
0.000121875,54.1836
0.000125,53.512
0.000128125,52.8653
0.00013125,52.2419
0.000134375,51.6405
0.0001375,51.0598
0.00014375,49.9559
0.00015,48.922
0.00015625,47.951
0.0001625,47.0369
0.00016875,46.1743
0.000175,45.3585
0.00018125,44.5854
0.0001875,43.8515
0.00019375,43.1536
0.0002,42.4889
