E_eV,Sig_b
1e-05,7483.39
1.03125e-05,7369.15
1.0625e-05,7259.99
1.09375e-05,7155.54
1.125e-05,7055.47
1.15625e-05,6959.49
1.1875e-05,6867.32
1.21875e-05,6778.73
1.25e-05,6693.47
1.28125e-05,6611.35
1.3125e-05,6532.19
1.34375e-05,6455.8
1.375e-05,6382.03
1.4375e-05,6241.78
1.5e-05,6110.38
1.5625e-05,5986.96
1.625e-05,5870.72
1.6875e-05,5761
1.75e-05,5657.22
1.8125e-05,5558.85
1.875e-05,5465.44
1.9375e-05,5376.59
2e-05,5291.94
2.09375e-05,5172.14
2.1875e-05,5060.13
2.28125e-05,4955.09
2.375e-05,4856.34
2.46875e-05,4763.27
2.5625e-05,4675.36
2.65625e-05,4592.14
2.75e-05,4513.22
2.84375e-05,4438.23
2.9375e-05,4366.86
3.03125e-05,4298.83
3.125e-05,4233.89
3.21875e-05,4171.8
3.3125e-05,4112.37
3.40625e-05,4055.41
3.5e-05,4000.75
3.59375e-05,3948.25
3.6875e-05,3897.76
3.78125e-05,3849.17
3.875e-05,3802.34
3.96875e-05,3757.19
4.0625e-05,3713.61
4.25e-05,3630.82
4.4375e-05,3553.33
4.625e-05,3480.6
4.8125e-05,3412.17
5e-05,3347.62
5.15625e-05,3296.55
5.3125e-05,3247.74
5.46875e-05,3201.04
5.625e-05,3156.3
5.78125e-05,3113.39
5.9375e-05,3072.19
6.09375e-05,3032.58
6.25e-05,2994.46
6.40625e-05,2957.75
6.5625e-05,2922.36
6.71875e-05,2888.21
6.875e-05,2855.23
7.1875e-05,2792.53
7.5e-05,2733.79
7.8125e-05,2678.61
8.125e-05,2626.65
8.4375e-05,2577.6
8.75e-05,2531.21
9.0625e-05,2487.24
9.375e-05,2445.48
9.6875e-05,2405.77
0.0001,2367.93
0.000103125,2331.82
0.00010625,2297.32
0.000109375,2264.31
0.0001125,2232.68
0.000115625,2202.35
0.00011875,2173.22
0.000121875,2145.22
0.000125,2118.28
0.000128125,2092.33
0.00013125,2067.31
0.000134375,2043.18
0.0001375,2019.86
0.00014375,1975.54
0.00015,1934.03
0.00015625,1895.02
0.0001625,1858.3
0.00016875,1823.63
0.000175,1790.84
0.00018125,1759.76
0.0001875,1730.25
0.00019375,1702.18
0.0002,1675.43
0.000209375,1637.58
0.00021875,1602.2
0.000228125,1569.02
0.0002375,1537.82
0.000246875,1508.42
0.00025625,1480.65
0.000265625,1454.37
0.000275,1429.44
0.000284375,1405.75
0.00029375,1383.21
0.000303125,1361.73
0.0003125,1341.21
0.000321875,1321.61
0.00033125,1302.84
0.000340625,1284.85
0.00035,1267.59
0.000359375,1251.01
0.00036875,1235.06
0.000378125,1219.72
0.0003875,1204.93
0.000396875,1190.67
0.00040625,1176.91
0.000425,1150.77
0.00044375,1126.3
0.0004625,1103.34
0.00048125,1081.73
0.0005,1061.35
0.000515625,1045.23
0.00053125,1029.82
0.000546875,1015.08
0.0005625,1000.95
0.000578125,987.408
0.00059375,974.4
0.000609375,961.896
0.000625,949.864
0.000640625,938.276
0.00065625,927.104
0.000671875,916.324
0.0006875,905.915
0.00071875,886.124
