E_eV,Sig_b
1e-05,593.003
1.03125e-05,583.956
1.0625e-05,575.311
1.09375e-05,567.04
1.125e-05,559.116
1.15625e-05,551.515
1.1875e-05,544.217
1.21875e-05,537.201
1.25e-05,530.45
1.28125e-05,523.948
1.3125e-05,517.679
1.34375e-05,511.631
1.375e-05,505.789
1.4375e-05,494.684
1.5e-05,484.281
1.5625e-05,474.508
1.625e-05,465.305
1.6875e-05,456.618
1.75e-05,448.401
1.8125e-05,440.613
1.875e-05,433.218
1.9375e-05,426.184
2e-05,419.482
2.09375e-05,409.998
2.1875e-05,401.131
2.28125e-05,392.817
2.375e-05,385
2.46875e-05,377.633
2.5625e-05,370.674
2.65625e-05,364.088
2.75e-05,357.841
2.84375e-05,351.906
2.9375e-05,346.257
3.03125e-05,340.873
3.125e-05,335.733
3.21875e-05,330.82
3.3125e-05,326.117
3.40625e-05,321.609
3.5e-05,317.284
3.59375e-05,313.13
3.6875e-05,309.135
3.78125e-05,305.29
3.875e-05,301.585
3.96875e-05,298.013
4.0625e-05,294.565
4.25e-05,288.014
4.4375e-05,281.884
4.625e-05,276.131
4.8125e-05,270.718
5e-05,265.612
5.15625e-05,261.572
5.3125e-05,257.712
5.46875e-05,254.019
5.625e-05,250.481
5.78125e-05,247.088
5.9375e-05,243.829
6.09375e-05,240.697
6.25e-05,237.683
6.40625e-05,234.78
6.5625e-05,231.982
6.71875e-05,229.282
6.875e-05,226.675
7.1875e-05,221.718
7.5e-05,217.075
7.8125e-05,212.714
8.125e-05,208.607
8.4375e-05,204.732
8.75e-05,201.065
9.0625e-05,197.591
9.375e-05,194.292
9.6875e-05,191.154
0.0001,188.165
0.000103125,185.313
0.00010625,182.588
0.000109375,179.981
0.0001125,177.483
0.000115625,175.088
0.00011875,172.788
0.000121875,170.577
0.000125,168.45
0.000128125,166.402
0.00013125,164.427
0.000134375,162.521
0.0001375,160.682
0.00014375,157.184
0.00015,153.907
0.00015625,150.83
0.0001625,147.933
0.00016875,145.198
0.000175,142.612
0.00018125,140.161
0.0001875,137.834
0.00019375,135.621
0.0002,133.512
0.000209375,130.529
0.00021875,127.74
0.000228125,125.126
0.0002375,122.668
0.000246875,120.352
0.00025625,118.165
0.000265625,116.095
0.000275,114.132
0.000284375,112.267
0.00029375,110.493
0.000303125,108.801
0.0003125,107.187
0.000321875,105.644
0.00033125,104.167
0.000340625,102.752
0.00035,101.394
0.000359375,100.09
0.00036875,98.8364
0.000378125,97.6296
0.0003875,96.467
0.000396875,95.346
0.00040625,94.2642
0.000425,92.2093
0.00044375,90.2865
0.0004625,88.4822
0.00048125,86.7847
0.0005,85.184
0.000515625,83.9176
0.00053125,82.7076
0.000546875,81.55
0.0005625,80.4412
0.000578125,79.3777
0.00059375,78.3567
0.000609375,77.3753
0.000625,76.4311
0.000640625,75.5217
0.00065625,74.6451
0.000671875,73.7994
0.0006875,72.9828
0.00071875,71.4304
0.00075,69.9763
0.00078125,68.6107
0.0008125,67.3249
0.00084375,66.1114
0.000875,64.9637
0.00090625,63.876
0.0009375,62.8433
0.00096875,61.8612
0.001,60.9256
0.00103125,60.0329
0.0010625,59.1801
0.00109375,58.3641
0.001125,57.5825
0.00115625,56.8329
0.0011875,56.1131
0.00121875,55.4213
0.00125,54.7556
0.00128125,54.1145
0.0013125,53.4965
0.00134375,52.9002
0.001375,52.3244
0.0014375,51.2298
0.0015,50.2045
0.0015625,49.2415
0.001625,48.3347
0.0016875,47.4788
0.00175,46.6693
0.0018125,45.9022
0.001875,45.1738
0.0019375,44.481
0.002,43.821
0.00209375,42.887
0.0021875,42.0139
0.00228125,41.1952
0.002375,40.4256
0.00246875,39.7003
0.0025625,39.0153
0.00265625,38.3669
0.00275,37.752
0.00284375,37.1679
0.0029375,36.6119
0.00303125,36.082
0.003125,35.5762
0.00321875,35.0927
0.0033125,34.6298
0.00340625,34.1863
0.0035,33.7607
0.00359375,33.3518
0.0036875,32.9587
0.00378125,32.5804
0.003875,32.2158
0.00396875,31.8643
0.0040625,31.525
0.00425,30.8805
0.0044375,30.2774
0.004625,29.7113
0.0048125,29.1787
0.005,28.6763
0.00515625,28.2789
0.0053125,27.8991
0.00546875,27.5357
0.005625,27.1875
0.00578125,26.8536
0.0059375,26.533
0.00609375,26.2248
0.00625,25.9283
0.00640625,25.6426
0.0065625,25.3673
0.00671875,25.1016
0.006875,24.845
0.0071875,24.3572
0.0075,23.9003
0.0078125,23.471
0.008125,23.0668
0.0084375,22.6852
0.00875,22.3242
0.0090625,21.9821
0.009375,21.6573
0.0096875,21.3483
0.01,21.0539
0.0103125,20.773
0.010625,20.5046
0.0109375,20.2478
0.01125,20.0018
0.0115625,19.7658
0.011875,19.5392
0.0121875,19.3214
0.0125,19.1119
0.0128125,18.91
0.013125,18.7154
0.0134375,18.5277
0.01375,18.3463
0.014375,18.0016
0.015,17.6786
0.015625,17.3752
0.01625,17.0894
0.016875,16.8196
0.0175,16.5644
0.018125,16.3225
0.01875,16.0928
0.019375,15.8743
0.02,15.6661
0.0206625,15.4558
0.021325,15.2554
0.0219875,15.0641
0.02265,14.8813
0.0233125,14.7063
0.023975,14.5386
0.0246375,14.3778
0.0253,14.2233
0.0264578,13.9673
0.0276156,13.7276
0.0287734,13.5025
0.0299312,13.2906
0.0310891,13.0907
0.0322469,12.9016
0.0334047,12.7225
0.0345625,12.5524
0.0355273,12.417
0.0364922,12.287
0.037457,12.162
0.0384219,12.0418
0.0393867,11.926
0.0403516,11.8143
0.0413164,11.7065
0.0422812,11.6025
0.0442109,11.4047
0.0461406,11.2194
0.0480703,11.0454
0.05,10.8816
0.0515625,10.7556
0.053125,10.6353
0.0546875,10.5202
0.05625,10.4098
0.0578125,10.304
0.059375,10.2024
0.0609375,10.1047
0.0625,10.0107
0.0640625,9.92011
0.065625,9.83281
0.0671875,9.74858
0.06875,9.66723
0.071875,9.51251
0.075,9.36747
0.078125,9.23113
0.08125,9.10266
0.084375,8.98136
0.0875,8.86658
0.090625,8.75775
0.09375,8.65439
0.096875,8.55604
0.1,8.46231
0.103125,8.37284
0.10625,8.28732
0.109375,8.20548
0.1125,8.12704
0.115625,8.05177
0.11875,7.97948
0.121875,7.90997
0.125,7.84306
0.128125,7.77861
0.13125,7.71648
0.134375,7.65653
0.1375,7.59862
0.14375,7.48845
0.15,7.38509
0.15625,7.28787
0.1625,7.19625
0.16875,7.1097
0.175,7.02778
0.18125,6.95007
0.1875,6.87623
0.19375,6.80593
0.2,6.73893
0.204687,6.6907
0.209375,6.6441
0.21875,6.55536
0.228125,6.47196
0.2375,6.39344
0.246875,6.31934
0.25625,6.24926
0.265625,6.18285
0.275,6.1198
0.284375,6.05982
0.29375,6.00266
0.303125,5.94812
0.3125,5.89598
