E_eV,Sig_b
1e-05,13888.4
1.03125e-05,13676.5
1.0625e-05,13473.9
1.09375e-05,13280.1
1.125e-05,13094.4
1.15625e-05,12916.3
1.1875e-05,12745.3
1.21875e-05,12580.9
1.25e-05,12422.7
1.28125e-05,12270.3
1.3125e-05,12123.4
1.34375e-05,11981.7
1.375e-05,11844.8
1.4375e-05,11584.5
1.5e-05,11340.7
1.5625e-05,11111.7
1.625e-05,10896
1.6875e-05,10692.5
1.75e-05,10499.9
1.8125e-05,10317.4
1.875e-05,10144.1
1.9375e-05,9979.19
2e-05,9822.13
2.09375e-05,9599.85
2.1875e-05,9392.02
2.28125e-05,9197.14
2.375e-05,9013.92
2.46875e-05,8841.23
2.5625e-05,8678.12
2.65625e-05,8523.72
2.75e-05,8377.29
2.84375e-05,8238.16
2.9375e-05,8105.75
3.03125e-05,7979.53
3.125e-05,7859.04
3.21875e-05,7743.85
3.3125e-05,7633.58
3.40625e-05,7527.91
3.5e-05,7426.51
3.59375e-05,7329.1
3.6875e-05,7235.43
3.78125e-05,7145.27
3.875e-05,7058.41
3.96875e-05,6974.64
4.0625e-05,6893.79
4.25e-05,6740.19
4.4375e-05,6596.43
4.625e-05,6461.52
4.8125e-05,6334.56
5e-05,6214.82
5.15625e-05,6120.07
5.3125e-05,6029.54
5.46875e-05,5942.91
5.625e-05,5859.92
5.78125e-05,5780.32
5.9375e-05,5703.88
6.09375e-05,5630.4
6.25e-05,5559.7
6.40625e-05,5491.6
6.5625e-05,5425.95
6.71875e-05,5362.6
6.875e-05,5301.43
7.1875e-05,5185.13
7.5e-05,5076.17
7.8125e-05,4973.83
8.125e-05,4877.45
8.4375e-05,4786.48
8.75e-05,4700.43
9.0625e-05,4618.87
9.375e-05,4541.43
9.6875e-05,4467.76
0.0001,4397.58
0.000103125,4330.62
0.00010625,4266.63
0.000109375,4205.41
0.0001125,4146.76
0.000115625,4090.5
0.00011875,4036.49
0.000121875,3984.56
0.000125,3934.59
0.000128125,3886.47
