E_eV,Sig_b
1e-05,345.782
1.03125e-05,340.524
1.0625e-05,335.5
1.09375e-05,330.693
1.125e-05,326.089
1.15625e-05,321.672
1.1875e-05,317.431
1.21875e-05,313.355
1.25e-05,309.432
1.28125e-05,305.655
1.3125e-05,302.013
1.34375e-05,298.499
1.375e-05,295.106
1.4375e-05,288.656
1.5e-05,282.613
1.5625e-05,276.938
1.625e-05,271.594
1.6875e-05,266.55
1.75e-05,261.78
1.8125e-05,257.259
1.875e-05,252.966
1.9375e-05,248.884
2e-05,244.995
2.09375e-05,239.491
2.1875e-05,234.347
2.28125e-05,229.524
2.375e-05,224.99
2.46875e-05,220.718
2.5625e-05,216.683
2.65625e-05,212.864
2.75e-05,209.243
2.84375e-05,205.803
2.9375e-05,202.53
3.03125e-05,199.41
3.125e-05,196.433
3.21875e-05,193.587
3.3125e-05,190.863
3.40625e-05,188.252
3.5e-05,185.748
3.59375e-05,183.343
3.6875e-05,181.031
3.78125e-05,178.805
3.875e-05,176.661
3.96875e-05,174.594
4.0625e-05,172.6
4.25e-05,168.811
4.4375e-05,165.266
4.625e-05,161.941
4.8125e-05,158.813
5e-05,155.863
5.15625e-05,153.53
5.3125e-05,151.301
5.46875e-05,149.168
5.625e-05,147.126
5.78125e-05,145.168
5.9375e-05,143.288
6.09375e-05,141.481
6.25e-05,139.744
6.40625e-05,138.07
6.5625e-05,136.457
6.71875e-05,134.901
6.875e-05,133.399
7.1875e-05,130.544
7.5e-05,127.871
7.8125e-05,125.362
8.125e-05,123
8.4375e-05,120.771
8.75e-05,118.664
9.0625e-05,116.668
9.375e-05,114.774
9.6875e-05,112.973
0.0001,111.258
0.000103125,109.623
0.00010625,108.061
0.000109375,106.567
0.0001125,105.136
0.000115625,103.765
0.00011875,102.449
0.000121875,101.184
0.000125,99.968
0.000128125,98.797
0.00013125,97.6687
0.000134375,96.5805
0.0001375,95.53
0.00014375,93.5344
0.00015,91.6665
0.00015625,89.9135
0.0001625,88.2641
0.00016875,86.7087
0.000175,85.2386
0.00018125,83.8465
0.0001875,82.5257
0.00019375,81.2704
0.0002,80.0755
0.000209375,78.3862
0.00021875,76.8087
0.000228125,75.3312
0.0002375,73.9437
0.000246875,72.6376
0.00025625,71.4052
0.000265625,70.24
0.000275,69.1361
0.000284375,68.0884
0.00029375,67.0923
0.000303125,66.1438
0.0003125,65.2393
0.000321875,64.3754
0.00033125,63.5493
0.000340625,62.7582
0.00035,62
0.000359375,61.2722
0.00036875,60.5731
0.000378125,59.9007
0.0003875,59.2535
0.000396875,58.6298
0.00040625,58.0284
0.000425,56.8874
0.00044375,55.8212
0.0004625,54.822
