E_eV,Sig_b
1e-05,36.3937
1.03125e-05,35.8393
1.0625e-05,35.3095
1.09375e-05,34.8027
1.125e-05,34.3171
1.15625e-05,33.8514
1.1875e-05,33.4041
1.21875e-05,32.9742
1.25e-05,32.5606
1.28125e-05,32.1622
1.3125e-05,31.7781
1.34375e-05,31.4075
1.375e-05,31.0496
1.4375e-05,30.3693
1.5e-05,29.7319
1.5625e-05,29.1333
1.625e-05,28.5695
1.6875e-05,28.0374
1.75e-05,27.5341
1.8125e-05,27.0571
1.875e-05,26.6042
1.9375e-05,26.1734
2e-05,25.763
2.09375e-05,25.1822
2.1875e-05,24.6393
2.28125e-05,24.1302
2.375e-05,23.6516
2.46875e-05,23.2006
2.5625e-05,22.7747
2.65625e-05,22.3715
2.75e-05,21.9891
2.84375e-05,21.6259
2.9375e-05,21.2802
3.03125e-05,20.9507
3.125e-05,20.6362
3.21875e-05,20.3356
3.3125e-05,20.0478
3.40625e-05,19.7721
3.5e-05,19.5075
3.59375e-05,19.2534
3.6875e-05,19.009
3.78125e-05,18.7739
3.875e-05,18.5473
3.96875e-05,18.3288
4.0625e-05,18.118
4.25e-05,17.7175
4.4375e-05,17.3428
4.625e-05,16.9911
4.8125e-05,16.6603
5e-05,16.3483
5.15625e-05,16.1015
5.3125e-05,15.8656
5.46875e-05,15.64
5.625e-05,15.4239
5.78125e-05,15.2167
5.9375e-05,15.0177
6.09375e-05,14.8265
6.25e-05,14.6425
6.40625e-05,14.4653
6.5625e-05,14.2945
6.71875e-05,14.1297
6.875e-05,13.9707
7.1875e-05,13.6682
7.5e-05,13.385
7.8125e-05,13.1191
8.125e-05,12.8687
8.4375e-05,12.6325
8.75e-05,12.4091
9.0625e-05,12.1974
9.375e-05,11.9964
9.6875e-05,11.8054
0.0001,11.6234
0.000103125,11.4498
0.00010625,11.284
0.000109375,11.1254
0.0001125,10.9735
0.000115625,10.8278
0.00011875,10.688
0.000121875,10.5536
0.000125,10.4244
0.000128125,10.2999
0.00013125,10.18
0.000134375,10.0643
0.0001375,9.95258
0.00014375,9.74032
0.00015,9.5416
0.00015625,9.35504
0.0001625,9.17947
0.00016875,9.01384
0.000175,8.85727
0.00018125,8.70896
0.0001875,8.56822
0.00019375,8.43443
0.0002,8.30703
0.000209375,8.12689
0.00021875,7.95861
0.000228125,7.80096
0.0002375,7.65287
0.000246875,7.51342
0.00025625,7.38182
0.000265625,7.25736
0.000275,7.13943
0.000284375,7.02747
0.00029375,6.92101
0.000303125,6.81962
0.0003125,6.72291
0.000321875,6.63054
0.00033125,6.54219
0.000340625,6.45759
0.00035,6.37648
0.000359375,6.29863
0.00036875,6.22383
0.000378125,6.15189
0.0003875,6.08264
0.000396875,6.01591
0.00040625,5.95155
0.000425,5.82944
0.00044375,5.71533
0.0004625,5.60841
0.00048125,5.50795
0.0005,5.41335
0.000515625,5.33859
0.00053125,5.26725
0.000546875,5.19908
0.0005625,5.13384
0.000578125,5.07135
0.00059375,5.01141
0.000609375,4.95387
0.000625,4.89856
0.000640625,4.84535
0.00065625,4.79411
0.000671875,4.74473
0.0006875,4.6971
0.00071875,4.60668
0.00075,4.52218
0.00078125,4.44297
0.0008125,4.36853
0.00084375,4.29842
0.000875,4.23224
0.00090625,4.16964
0.0009375,4.11031
0.00096875,4.05399
0.001,4.00044
0.00103125,3.94943
0.0010625,3.90079
0.00109375,3.85433
0.001125,3.8099
0.00115625,3.76736
0.0011875,3.72658
0.00121875,3.68744
0.00125,3.64985
0.00128125,3.6137
0.0013125,3.5789
0.00134375,3.54538
0.001375,3.51306
0.0014375,3.45175
0.0015,3.39448
0.0015625,3.34084
0.001625,3.29047
0.0016875,3.24305
0.00175,3.1983
0.0018125,3.15601
0.001875,3.11594
0.0019375,3.07791
0.002,3.04177
0.00209375,2.99076
0.0021875,2.94322
0.00228125,2.89877
0.002375,2.85711
0.00246875,2.81795
0.0025625,2.78105
0.00265625,2.74622
0.00275,2.71327
0.00284375,2.68203
0.0029375,2.65237
0.00303125,2.62416
0.003125,2.59728
0.00321875,2.57164
0.0033125,2.54714
0.00340625,2.5237
0.0035,2.50126
0.00359375,2.47973
0.0036875,2.45907
0.00378125,2.43921
0.003875,2.42011
0.00396875,2.40171
0.0040625,2.38399
0.00425,2.35038
0.0044375,2.31901
0.004625,2.28964
0.0048125,2.26208
0.005,2.23613
0.00515625,2.21565
0.0053125,2.1961
0.00546875,2.17743
0.005625,2.15958
0.00578125,2.14247
0.0059375,2.12607
0.00609375,2.11033
0.00625,2.0952
0.00640625,2.08065
0.0065625,2.06664
0.00671875,2.05314
0.006875,2.04011
0.0071875,2.01539
0.0075,1.99228
0.0078125,1.97061
0.008125,1.95024
0.0084375,1.93105
0.00875,1.91293
0.0090625,1.89578
0.009375,1.87952
0.0096875,1.86408
0.01,1.84939
0.0103125,1.83539
0.010625,1.82202
0.0109375,1.80925
0.01125,1.79703
0.0115625,1.78533
0.011875,1.77409
0.0121875,1.76331
0.0125,1.75294
0.0128125,1.74297
0.013125,1.73336
0.0134375,1.72409
0.01375,1.71515
0.014375,1.69818
0.015,1.6823
0.015625,1.66741
0.01625,1.6534
0.016875,1.6402
0.0175,1.62772
0.018125,1.61591
0.01875,1.60471
0.019375,1.59407
0.02,1.58393
0.0206625,1.57371
0.021325,1.56398
0.0219875,1.5547
0.02265,1.54583
0.0233125,1.53736
0.023975,1.52924
0.0246375,1.52146
0.0253,1.514
0.0264578,1.50164
0.0276156,1.49008
0.0287734,1.47924
0.0299312,1.46905
0.0310891,1.45944
0.0322469,1.45036
0.0334047,1.44176
0.0345625,1.43361
0.0355273,1.42713
0.0364922,1.42091
0.037457,1.41493
0.0384219,1.40919
0.0393867,1.40366
0.0403516,1.39833
0.0413164,1.39319
0.0422812,1.38824
0.0442109,1.37882
0.0461406,1.37
0.0480703,1.36174
0.05,1.35396
0.0515625,1.34798
0.053125,1.34228
0.0546875,1.33683
0.05625,1.3316
0.0578125,1.3266
0.059375,1.32179
0.0609375,1.31718
0.0625,1.31274
0.0640625,1.30846
0.065625,1.30435
0.0671875,1.30037
0.06875,1.29654
0.071875,1.28925
0.075,1.28243
0.078125,1.27602
0.08125,1.27
0.084375,1.26431
0.0875,1.25893
0.090625,1.25384
0.09375,1.249
0.096875,1.24441
0.1,1.24003
0.103125,1.23585
0.10625,1.23187
0.109375,1.22805
0.1125,1.2244
0.115625,1.2209
0.11875,1.21754
0.121875,1.21431
0.125,1.2112
0.128125,1.20821
0.13125,1.20533
0.134375,1.20255
0.1375,1.19987
0.14375,1.19476
0.15,1.18999
0.15625,1.1855
0.1625,1.18128
0.16875,1.17729
0.175,1.17352
0.18125,1.16995
0.1875,1.16657
0.19375,1.16335
0.2,1.16028
0.209375,1.15594
0.21875,1.15188
0.228125,1.14808
0.2375,1.1445
0.246875,1.14113
0.25625,1.13795
0.265625,1.13494
0.275,1.13209
0.284375,1.12938
0.29375,1.1268
0.303125,1.12434
0.3125,1.122
0.321875,1.11975
0.33125,1.11761
0.340625,1.11555
0.35,1.11358
0.359375,1.11169
0.36875,1.10987
0.378125,1.10812
0.3875,1.10643
0.396875,1.1048
0.40625,1.10323
0.425,1.10025
0.44375,1.09746
0.4625,1.09484
0.5,1.09006
0.53125,1.08647
0.5625,1.08318
0.59375,1.08016
0.625,1.07736
0.6875,1.07235
0.75,1.06799
0.8125,1.06414
0.875,1.06072
0.9375,1.05765
1,1.05487
1.0625,1.05233
1.125,1.05001
1.1875,1.04788
1.25,1.04591
1.375,1.04238
1.5,1.0393
1.625,1.03659
1.75,1.03417
1.875,1.03201
2,1.03004
2.1875,1.02741
2.375,1.02511
2.5625,1.02306
2.75,1.02123
2.9375,1.01957
3.125,1.01807
3.3125,1.01669
3.5,1.01543
3.875,1.01318
4.25,1.01124
4.625,1.00954
5,1.00803
5.3125,1.0069
5.625,1.00587
5.9375,1.00491
6.25,1.00403
6.875,1.00245
7.5,1.00107
8.125,0.999854
8.75,0.99877
9.375,0.997796
10,0.996912
10.625,0.996106
11.25,0.995368
11.875,0.994688
12.5,0.99406
13.75,0.992932
15,0.991946
16.25,0.991074
17.5,0.990296
18.75,0.989596
20,0.988959
21.875,0.988106
23.75,0.987354
25.625,0.986682
27.5,0.986079
29.375,0.985531
31.25,0.985031
33.125,0.984572
35,0.984148
38.75,0.983388
42.5,0.982724
46.25,0.982136
50,0.98161
53.125,0.981211
56.25,0.980841
59.375,0.980498
62.5,0.980178
68.75,0.979595
75,0.979075
81.25,0.978607
87.5,0.97818
93.75,0.977789
100,0.977426
106.25,0.977088
112.5,0.976772
118.75,0.976474
125,0.976192
137.5,0.97567
150,0.975193
162.5,0.974753
175,0.974342
187.5,0.973956
200,0.973591
218.75,0.973076
237.5,0.972594
256.25,0.972137
275,0.971703
293.75,0.971287
312.5,0.970886
331.25,0.970499
350,0.970124
368.75,0.969758
387.5,0.969402
425,0.968713
462.5,0.968049
500,0.967407
531.25,0.966886
562.5,0.966375
593.75,0.965874
625,0.965381
687.5,0.964416
750,0.963476
812.5,0.962556
875,0.961653
937.5,0.960765
1000,0.95989
1062.5,0.959027
1125,0.958173
1187.5,0.957329
1250,0.956494
1312.5,0.955666
1375,0.954845
1500,0.953224
1625,0.951625
1750,0.950047
1875,0.948488
2000,0.946946
2093.75,0.9458
2187.5,0.944662
2375,0.942409
2562.5,0.940184
2750,0.937985
2937.5,0.935809
3125,0.933655
3312.5,0.93152
3500,0.929404
3687.5,0.927305
3875,0.925222
4062.5,0.923155
4250,0.921101
4625,0.917031
5000,0.913007
5312.5,0.909686
5625,0.906389
5937.5,0.903116
6250,0.899863
6875,0.89341
7500,0.887017
8125,0.880671
8750,0.87436
9375,0.868077
10000,0.861812
10625,0.855559
11250,0.849311
12500,0.83681
13750,0.824269
15000,0.811659
16250,0.798955
