E_eV,Sig_b
1e-05,95.3205
1.03125e-05,93.8726
1.0625e-05,92.4891
1.09375e-05,91.1655
1.125e-05,89.8975
1.15625e-05,88.6814
1.1875e-05,87.5137
1.21875e-05,86.3913
1.25e-05,85.3113
1.28125e-05,84.2711
1.3125e-05,83.2685
1.34375e-05,82.301
1.375e-05,81.3668
1.4375e-05,79.5909
1.5e-05,77.9274
1.5625e-05,76.3649
1.625e-05,74.8938
1.6875e-05,73.5053
1.75e-05,72.1921
1.8125e-05,70.9476
1.875e-05,69.7661
1.9375e-05,68.6424
2e-05,67.5719
2.09375e-05,66.0573
2.1875e-05,64.6414
2.28125e-05,63.314
2.375e-05,62.0663
2.46875e-05,60.8907
2.5625e-05,59.7804
2.65625e-05,58.7296
2.75e-05,57.7333
2.84375e-05,56.7869
2.9375e-05,55.8863
3.03125e-05,55.028
3.125e-05,54.2089
3.21875e-05,53.4259
3.3125e-05,52.6766
3.40625e-05,51.9587
3.5e-05,51.2699
3.59375e-05,50.6083
3.6875e-05,49.9723
3.78125e-05,49.3603
3.875e-05,48.7707
3.96875e-05,48.2023
4.0625e-05,47.6537
4.25e-05,46.6119
4.4375e-05,45.6373
4.625e-05,44.723
4.8125e-05,43.8629
5e-05,43.0521
5.15625e-05,42.4107
5.3125e-05,41.798
5.46875e-05,41.212
5.625e-05,40.6508
5.78125e-05,40.1126
5.9375e-05,39.596
6.09375e-05,39.0996
6.25e-05,38.6221
6.40625e-05,38.1623
6.5625e-05,37.7191
6.71875e-05,37.2917
6.875e-05,36.879
7.1875e-05,36.0948
7.5e-05,35.3607
7.8125e-05,34.6715
8.125e-05,34.0228
8.4375e-05,33.4109
8.75e-05,32.8324
9.0625e-05,32.2845
9.375e-05,31.7645
9.6875e-05,31.2702
0.0001,30.7995
0.000103125,30.3506
0.00010625,29.922
0.000109375,29.5121
0.0001125,29.1196
0.000115625,28.7434
0.00011875,28.3823
0.000121875,28.0354
0.000125,27.7017
0.000128125,27.3805
0.00013125,27.0711
0.000134375,26.7726
0.0001375,26.4846
0.00014375,25.9373
0.00015,25.4252
0.00015625,24.9446
0.0001625,24.4924
0.00016875,24.066
0.000175,23.6631
0.00018125,23.2816
0.0001875,22.9196
0.00019375,22.5756
0.0002,22.2482
0.000209375,21.7853
0.00021875,21.3531
0.000228125,20.9484
0.0002375,20.5683
0.000246875,20.2105
0.00025625,19.8729
0.000265625,19.5537
0.000275,19.2513
0.000284375,18.9643
0.00029375,18.6915
0.000303125,18.4316
0.0003125,18.1839
0.000321875,17.9472
0.00033125,17.7209
0.000340625,17.5042
0.00035,17.2965
0.000359375,17.0971
0.00036875,16.9055
0.000378125,16.7213
0.0003875,16.5439
0.000396875,16.373
0.00040625,16.2082
0.000425,15.8955
0.00044375,15.6032
0.0004625,15.3293
0.00048125,15.0719
0.0005,14.8295
0.000515625,14.6378
0.00053125,14.4549
0.000546875,14.28
0.0005625,14.1127
0.000578125,13.9523
0.00059375,13.7984
0.000609375,13.6506
0.000625,13.5085
0.000640625,13.3718
0.00065625,13.2401
0.000671875,13.113
