E_eV,Sig_b
1e-05,75.6584
1.03125e-05,74.5146
1.0625e-05,73.4218
1.09375e-05,72.3764
1.125e-05,71.3749
1.15625e-05,70.4145
1.1875e-05,69.4924
1.21875e-05,68.6061
1.25e-05,67.7535
1.28125e-05,66.9323
1.3125e-05,66.1407
1.34375e-05,65.377
1.375e-05,64.6397
1.4375e-05,63.2381
1.5e-05,61.9254
1.5625e-05,60.6926
1.625e-05,59.5321
1.6875e-05,58.4369
1.75e-05,57.4013
1.8125e-05,56.42
1.875e-05,55.4884
1.9375e-05,54.6026
2e-05,53.7589
2.09375e-05,52.5653
2.1875e-05,51.4498
2.28125e-05,50.4043
2.375e-05,49.4217
2.46875e-05,48.4961
2.5625e-05,47.6221
2.65625e-05,46.7952
2.75e-05,46.0113
2.84375e-05,45.2668
2.9375e-05,44.5586
3.03125e-05,43.8838
3.125e-05,43.2398
3.21875e-05,42.6245
3.3125e-05,42.0357
3.40625e-05,41.4717
3.5e-05,40.9307
3.59375e-05,40.4113
3.6875e-05,39.912
3.78125e-05,39.4316
3.875e-05,38.969
3.96875e-05,38.523
4.0625e-05,38.0928
4.25e-05,37.276
4.4375e-05,36.5121
4.625e-05,35.7958
4.8125e-05,35.1224
5e-05,34.4878
5.15625e-05,33.986
5.3125e-05,33.5068
5.46875e-05,33.0487
5.625e-05,32.6101
5.78125e-05,32.1897
5.9375e-05,31.7862
6.09375e-05,31.3987
6.25e-05,31.0261
6.40625e-05,30.6674
6.5625e-05,30.3219
6.71875e-05,29.9887
6.875e-05,29.6672
7.1875e-05,29.0565
7.5e-05,28.4852
7.8125e-05,27.9493
8.125e-05,27.4453
8.4375e-05,26.9702
8.75e-05,26.5214
9.0625e-05,26.0966
9.375e-05,25.6938
9.6875e-05,25.3111
0.0001,24.947
0.000103125,24.6
0.00010625,24.2689
0.000109375,23.9525
0.0001125,23.6498
0.000115625,23.3598
0.00011875,23.0817
0.000121875,22.8148
0.000125,22.5582
0.000128125,22.3114
0.00013125,22.0737
0.000134375,21.8447
