E_eV,Sig_b
1e-05,173.483
1.03125e-05,170.838
1.0625e-05,168.312
1.09375e-05,165.894
1.125e-05,163.578
1.15625e-05,161.356
1.1875e-05,159.223
1.21875e-05,157.172
1.25e-05,155.199
1.28125e-05,153.298
1.3125e-05,151.466
1.34375e-05,149.698
1.375e-05,147.991
1.4375e-05,144.745
1.5e-05,141.705
1.5625e-05,138.849
1.625e-05,136.159
1.6875e-05,133.621
1.75e-05,131.22
1.8125e-05,128.944
1.875e-05,126.783
1.9375e-05,124.727
2e-05,122.769
2.09375e-05,119.998
2.1875e-05,117.407
2.28125e-05,114.978
2.375e-05,112.694
2.46875e-05,110.542
2.5625e-05,108.509
2.65625e-05,106.585
2.75e-05,104.76
2.84375e-05,103.026
2.9375e-05,101.377
3.03125e-05,99.804
3.125e-05,98.3028
3.21875e-05,96.8677
3.3125e-05,95.4942
3.40625e-05,94.1778
3.5e-05,92.9148
3.59375e-05,91.7015
3.6875e-05,90.535
3.78125e-05,89.4122
3.875e-05,88.3304
3.96875e-05,87.2873
4.0625e-05,86.2806
4.25e-05,84.3682
4.4375e-05,82.5786
4.625e-05,80.8991
4.8125e-05,79.319
5e-05,77.8289
5.15625e-05,76.6498
5.3125e-05,75.5233
5.46875e-05,74.4456
5.625e-05,73.4131
5.78125e-05,72.4229
5.9375e-05,71.4722
6.09375e-05,70.5584
6.25e-05,69.6791
6.40625e-05,68.8324
6.5625e-05,68.0161
6.71875e-05,67.2285
6.875e-05,66.4681
7.1875e-05,65.0225
7.5e-05,63.6684
7.8125e-05,62.3968
8.125e-05,61.1994
8.4375e-05,60.0695
8.75e-05,59.0008
9.0625e-05,57.9881
9.375e-05,57.0267
9.6875e-05,56.1123
0.0001,55.2413
0.000103125,54.4104
0.00010625,53.6166
0.000109375,52.8572
0.0001125,52.1298
0.000115625,51.4322
0.00011875,50.7624
0.000121875,50.1187
0.000125,49.4994
0.000128125,48.903
0.00013125,48.3282
0.000134375,47.7736
0.0001375,47.2381
0.00014375,46.2203
0.00015,45.2671
0.00015625,44.372
0.0001625,43.5293
0.00016875,42.7342
0.000175,41.9822
0.00018125,41.2698
0.0001875,40.5935
0.00019375,39.9503
0.0002,39.3378
0.000209375,38.4712
0.00021875,37.6614
0.000228125,36.9023
0.0002375,36.1889
0.000246875,35.5168
0.00025625,34.8822
0.000265625,34.2817
0.000275,33.7124
0.000284375,33.1718
0.00029375,32.6574
0.000303125,32.1672
0.0003125,31.6994
0.000321875,31.2524
0.00033125,30.8246
0.000340625,30.4147
0.00035,30.0216
0.000359375,29.644
0.00036875,29.2811
0.000378125,28.9318
0.0003875,28.5954
0.000396875,28.2711
0.00040625,27.9581
0.000425,27.3639
0.00044375,26.808
0.0004625,26.2865
0.00048125,25.796
0.0005,25.3337
0.000515625,24.9679
0.00053125,24.6186
0.000546875,24.2844
0.0005625,23.9644
0.000578125,23.6575
0.00059375,23.363
0.000609375,23.0799
0.000625,22.8076
0.000640625,22.5454
0.00065625,22.2927
0.000671875,22.0489
0.0006875,21.8136
0.00071875,21.3663
0.00075,20.9475
0.00078125,20.5542
0.0008125,20.1841
0.00084375,19.8348
0.000875,19.5046
0.00090625,19.1917
0.0009375,18.8948
0.00096875,18.6124
0.001,18.3434
0.00103125,18.0868
0.0010625,17.8418
0.00109375,17.6073
0.001125,17.3828
0.00115625,17.1675
0.0011875,16.9608
0.00121875,16.7622
0.00125,16.5711
0.00128125,16.3871
0.0013125,16.2097
0.00134375,16.0386
0.001375,15.8734
0.0014375,15.5594
0.0015,15.2654
0.0015625,14.9893
0.001625,14.7293
0.0016875,14.484
0.00175,14.2521
0.0018125,14.0323
0.001875,13.8236
0.0019375,13.6252
0.002,13.4362
0.00209375,13.1688
0.0021875,12.9189
0.00228125,12.6846
0.002375,12.4644
0.00246875,12.2569
0.0025625,12.061
0.00265625,11.8756
0.00275,11.6998
0.00284375,11.5328
0.0029375,11.3738
0.00303125,11.2224
0.003125,11.0778
0.00321875,10.9396
0.0033125,10.8074
0.00340625,10.6807
0.0035,10.5591
0.00359375,10.4423
0.0036875,10.3301
0.00378125,10.222
0.003875,10.1179
0.00396875,10.0176
0.0040625,9.9207
0.00425,9.73672
0.0044375,9.56457
0.004625,9.40303
0.0048125,9.25106
0.005,9.10775
0.00515625,8.99437
0.0053125,8.88604
0.00546875,8.7824
0.005625,8.68313
0.00578125,8.58792
0.0059375,8.4965
0.00609375,8.40864
0.00625,8.3241
0.00640625,8.24268
0.0065625,8.1642
0.00671875,8.08848
0.006875,8.01536
0.0071875,7.87636
0.0075,7.74616
0.0078125,7.62388
0.008125,7.50873
0.0084375,7.40006
0.00875,7.29727
0.0090625,7.19987
0.009375,7.10738
0.0096875,7.01942
0.01,6.93562
0.0103125,6.85568
0.010625,6.77929
0.0109375,6.70622
0.01125,6.63622
0.0115625,6.56908
0.011875,6.50462
0.0121875,6.44267
0.0125,6.38305
0.0128125,6.32564
0.013125,6.2703
0.0134375,6.2169
0.01375,6.16534
0.014375,6.06731
0.015,5.97549
0.015625,5.88924
0.01625,5.80802
0.016875,5.73135
0.0175,5.65884
0.018125,5.59012
0.01875,5.52487
0.019375,5.4628
0.02,5.40368
0.0206625,5.34396
0.021325,5.28706
0.0219875,5.23275
0.02265,5.18085
0.0233125,5.13118
0.023975,5.08359
0.0246375,5.03794
0.0253,4.9941
0.0264578,4.92147
0.0276156,4.85348
0.0287734,4.78965
0.0299312,4.72957
0.0310891,4.67288
0.0322469,4.61929
0.0334047,4.56851
0.0345625,4.52031
0.0355273,4.48196
0.0364922,4.44513
0.037457,4.40973
0.0384219,4.37568
0.0393867,4.34288
0.0403516,4.31127
0.0413164,4.28077
0.0422812,4.25132
0.0442109,4.19534
0.0461406,4.14293
0.0480703,4.0937
