E_eV,Sig_b
1e-05,1544.06
1.03125e-05,1520.51
1.0625e-05,1498.02
1.09375e-05,1476.49
1.125e-05,1455.87
1.15625e-05,1436.09
1.1875e-05,1417.09
1.21875e-05,1398.83
1.25e-05,1381.27
1.28125e-05,1364.34
1.3125e-05,1348.03
1.34375e-05,1332.29
1.375e-05,1317.09
1.4375e-05,1288.19
1.5e-05,1261.12
1.5625e-05,1235.68
1.625e-05,1211.74
1.6875e-05,1189.13
1.75e-05,1167.75
1.8125e-05,1147.48
1.875e-05,1128.24
1.9375e-05,1109.94
2e-05,1092.5
2.09375e-05,1067.82
2.1875e-05,1044.75
2.28125e-05,1023.12
2.375e-05,1002.78
2.46875e-05,983.613
2.5625e-05,965.508
2.65625e-05,948.372
2.75e-05,932.12
2.84375e-05,916.68
2.9375e-05,901.985
3.03125e-05,887.979
3.125e-05,874.608
3.21875e-05,861.826
3.3125e-05,849.592
3.40625e-05,837.867
3.5e-05,826.616
3.59375e-05,815.81
3.6875e-05,805.418
3.78125e-05,795.417
3.875e-05,785.78
3.96875e-05,776.488
4.0625e-05,767.52
4.25e-05,750.484
4.4375e-05,734.54
4.625e-05,719.578
4.8125e-05,705.5
5e-05,692.224
5.15625e-05,681.718
5.3125e-05,671.681
5.46875e-05,662.077
5.625e-05,652.877
5.78125e-05,644.054
5.9375e-05,635.582
6.09375e-05,627.438
6.25e-05,619.602
6.40625e-05,612.056
6.5625e-05,604.781
6.71875e-05,597.762
6.875e-05,590.984
7.1875e-05,578.099
7.5e-05,566.029
7.8125e-05,554.693
8.125e-05,544.019
8.4375e-05,533.945
8.75e-05,524.417
9.0625e-05,515.388
9.375e-05,506.815
9.6875e-05,498.661
0.0001,490.894
0.000103125,483.483
0.00010625,476.403
0.000109375,469.629
0.0001125,463.14
0.000115625,456.917
0.00011875,450.943
0.000121875,445.2
0.000125,439.674
0.000128125,434.353
0.00013125,429.223
0.000134375,424.274
0.0001375,419.495
0.00014375,410.411
0.00015,401.903
0.00015625,393.912
0.0001625,386.388
0.00016875,379.288
0.000175,372.573
0.00018125,366.21
0.0001875,360.169
0.00019375,354.423
0.0002,348.951
