E_eV,Sig_b
1e-05,3653.75
1.03125e-05,3598.72
1.0625e-05,3546.14
1.09375e-05,3495.85
1.125e-05,3447.67
1.15625e-05,3401.47
1.1875e-05,3357.11
1.21875e-05,3314.48
1.25e-05,3273.46
1.28125e-05,3233.96
1.3125e-05,3195.89
1.34375e-05,3159.16
1.375e-05,3123.7
1.4375e-05,3056.29
1.5e-05,2993.16
1.5625e-05,2933.88
1.625e-05,2878.07
1.6875e-05,2825.41
1.75e-05,2775.61
1.8125e-05,2728.43
1.875e-05,2683.64
1.9375e-05,2641.06
2e-05,2600.49
2.09375e-05,2543.11
2.1875e-05,2489.48
2.28125e-05,2439.22
2.375e-05,2391.99
2.46875e-05,2347.49
2.5625e-05,2305.48
2.65625e-05,2265.72
2.75e-05,2228.04
2.84375e-05,2192.25
2.9375e-05,2158.2
3.03125e-05,2125.75
3.125e-05,2094.79
3.21875e-05,2065.21
3.3125e-05,2036.89
3.40625e-05,2009.77
3.5e-05,1983.75
3.59375e-05,1958.77
3.6875e-05,1934.75
3.78125e-05,1911.64
3.875e-05,1889.39
3.96875e-05,1867.93
4.0625e-05,1847.23
4.25e-05,1807.91
4.4375e-05,1771.14
4.625e-05,1736.64
4.8125e-05,1704.2
5e-05,1673.62
5.15625e-05,1649.43
5.3125e-05,1626.32
5.46875e-05,1604.22
5.625e-05,1583.05
5.78125e-05,1562.76
5.9375e-05,1543.27
6.09375e-05,1524.55
6.25e-05,1506.54
6.40625e-05,1489.19
6.5625e-05,1472.48
6.875e-05,1440.78
7.1875e-05,1411.18
7.5e-05,1383.46
7.8125e-05,1357.43
8.125e-05,1332.92
8.4375e-05,1309.78
8.75e-05,1287.9
9.0625e-05,1267.16
9.375e-05,1247.46
9.6875e-05,1228.72
0.0001,1210.87
0.000103125,1193.82
0.00010625,1177.53
0.000109375,1161.94
0.0001125,1147
0.000115625,1132.65
0.00011875,1118.88
0.000121875,1105.62
0.000125,1092.86
0.000128125,1080.57
0.00013125,1068.7
0.0001375,1046.17
0.00014375,1025.1
0.00015,1005.32
0.00015625,986.701
0.0001625,969.133
0.00016875,952.514
0.000175,936.757
0.00018125,921.787
0.0001875,907.536
0.00019375,893.946
0.0002,880.962
0.000209375,862.525
0.00021875,845.213
0.000228125,828.907
0.0002375,813.507
0.000246875,798.926
0.00025625,785.089
0.000265625,771.928
0.000275,759.387
0.000284375,747.414
0.00029375,735.965
0.000303125,724.999
0.0003125,714.481
0.000321875,704.378
0.00033125,694.662
0.000340625,685.307
0.00035,676.29
0.000359375,667.589
0.00036875,659.185
0.000378125,651.062
0.0003875,643.202
0.00040625,628.216
0.000425,614.124
0.00044375,600.84
0.0004625,588.288
0.00048125,576.403
0.0005,565.129
0.000515625,556.166
0.00053125,547.568
0.000546875,539.313
0.0005625,531.38
0.000578125,523.751
0.00059375,516.408
0.000609375,509.337
0.000625,502.522
0.000640625,495.952
0.00065625,489.613
0.000671875,483.495
0.0006875,477.587
0.000703125,471.88
0.00071875,466.364
0.00075,455.874
0.00078125,446.057
0.0008125,436.858
0.00084375,428.23
0.000875,420.129
0.00090625,412.516
0.0009375,405.356
0.00096875,398.617
0.001,392.271
0.00103125,386.289
0.0010625,380.647
0.00109375,375.322
0.001125,370.294
0.00115625,365.542
0.0011875,361.049
0.00121875,356.797
0.00125,352.77
0.00128125,348.955
0.0013125,345.337
0.00134375,341.904
0.001375,338.643
0.00140625,335.544
0.0014375,332.596
0.00146875,329.788
0.0015,327.113
0.0015625,322.124
0.001625,317.568
0.0016875,313.389
0.00175,309.539
0.0018125,305.978
0.001875,302.667
0.0019375,299.576
0.002,296.676
0.00209375,292.632
0.0021875,288.894
0.00228125,285.405
0.002375,282.12
0.00246875,279
0.0025625,276.017
0.00275,270.363
0.0029375,265.014
0.003125,259.877
0.0033125,254.888
0.0035,250.007
0.003875,240.473
0.00425,231.145
0.004625,221.966
0.005,212.907
0.0053125,205.446
0.005625,198.07
0.0059375,190.793
0.00625,183.637
0.0065625,176.631
0.006875,169.81
0.0071875,163.214
0.00734375,160.014
0.0075,156.887
0.00765625,153.838
0.0078125,150.872
0.00796875,147.994
0.008125,145.209
0.00828125,142.522
0.0084375,139.935
0.00859375,137.452
0.00875,135.076
0.00890625,132.808
0.0090625,130.65
0.00921875,128.602
0.009375,126.665
0.00953125,124.838
0.0096875,123.119
0.00984375,121.507
0.01,119.999
0.0101563,118.592
0.0103125,117.283
0.0104688,116.068
0.010625,114.943
0.0107812,113.903
0.0109375,112.945
0.0110937,112.063
0.01125,111.253
0.0114062,110.51
0.0115625,109.829
0.0117188,109.206
0.011875,108.636
0.0120313,108.115
0.0121875,107.639
0.0125,106.805
0.0128125,106.104
0.013125,105.511
0.0134375,105.003
0.01375,104.563
0.0140625,104.175
0.014375,103.826
0.015,103.212
0.01625,102.155
0.0175,101.182
0.02,99.2926
0.0253,95.3522
0.0337906,89.1204
0.0422812,82.9355
0.05,77.3335
0.0625,68.2839
0.075,59.25
0.08125,54.7382
0.084375,52.4899
0.0875,50.2663
0.0890625,49.1765
0.090625,48.1131
0.0921875,47.088
0.0929688,46.5942
0.09375,46.1151
0.0945312,45.6528
0.0953125,45.2088
0.0960938,44.7847
0.096875,44.382
0.0976562,44.0017
0.0984375,43.6448
0.0992188,43.3116
0.1,43.0024
0.100781,42.7169
0.101562,42.4547
0.102344,42.2148
0.103125,41.9962
0.103906,41.7975
0.104688,41.6172
0.105469,41.4536
0.10625,41.3051
0.107813,41.0465
0.109375,40.8284
0.110937,40.6393
0.1125,40.4702
0.115625,40.166
0.11875,39.882
0.125,39.3284
0.15,37.126
0.175,34.9304
0.178125,34.6658
0.18125,34.4184
0.182812,34.307
0.184375,34.2084
0.185938,34.1274
0.1875,34.0697
0.189062,34.0415
0.189844,34.0407
0.190625,34.05
0.191406,34.0702
0.192188,34.1024
0.192969,34.1473
0.19375,34.2059
