E_eV,Sig_b
1e-05,29.8993
1.03125e-05,29.4532
1.0625e-05,29.027
1.09375e-05,28.6194
1.125e-05,28.2291
1.15625e-05,27.8548
1.1875e-05,27.4955
1.21875e-05,27.1502
1.25e-05,26.8181
1.28125e-05,26.4983
1.3125e-05,26.1902
1.34375e-05,25.8929
1.375e-05,25.6059
1.4375e-05,25.0606
1.5e-05,24.5501
1.5625e-05,24.0709
1.625e-05,23.6199
1.6875e-05,23.1945
1.75e-05,22.7924
1.8125e-05,22.4116
1.875e-05,22.0502
1.9375e-05,21.7066
2e-05,21.3796
2.09375e-05,20.9171
2.1875e-05,20.4851
2.28125e-05,20.0805
2.375e-05,19.7005
2.46875e-05,19.3427
2.5625e-05,19.0051
2.65625e-05,18.6858
2.75e-05,18.3833
2.84375e-05,18.0962
2.9375e-05,17.8232
3.03125e-05,17.5633
3.125e-05,17.3154
3.21875e-05,17.0787
3.3125e-05,16.8523
3.40625e-05,16.6356
3.5e-05,16.4278
3.59375e-05,16.2284
3.6875e-05,16.0369
3.78125e-05,15.8527
3.875e-05,15.6755
3.96875e-05,15.5047
4.0625e-05,15.34
4.25e-05,15.0277
4.4375e-05,14.7359
4.625e-05,14.4627
4.8125e-05,14.206
5e-05,13.9644
5.15625e-05,13.7736
5.3125e-05,13.5916
5.46875e-05,13.4177
5.625e-05,13.2514
5.78125e-05,13.0922
5.9375e-05,12.9395
6.09375e-05,12.793
6.25e-05,12.6522
6.40625e-05,12.5168
6.5625e-05,12.3865
6.71875e-05,12.261
6.875e-05,12.14
7.1875e-05,11.9105
7.5e-05,11.6961
7.8125e-05,11.4954
8.125e-05,11.307
8.4375e-05,11.1297
8.75e-05,10.9625
9.0625e-05,10.8046
9.375e-05,10.6551
9.6875e-05,10.5133
0.0001,10.3786
0.000103125,10.2505
0.00010625,10.1284
0.000109375,10.012
0.0001125,9.90082
0.000115625,9.79448
0.00011875,9.69267
0.000121875,9.5951
0.000125,9.50148
0.000128125,9.41157
0.00013125,9.32515
0.000134375,9.242
0.0001375,9.16194
0.00014375,9.01037
0.00015,8.86919
0.00015625,8.73731
0.0001625,8.61381
0.00016875,8.49788
0.000175,8.38882
0.00018125,8.28601
0.0001875,8.18891
0.00019375,8.09704
0.0002,8.00997
0.000209375,7.88754
0.00021875,7.77395
0.000228125,7.66825
0.0002375,7.5696
0.000246875,7.47732
0.00025625,7.39078
0.000265625,7.30944
0.000275,7.23284
0.000284375,7.16057
0.00029375,7.09225
0.000303125,7.02756
0.0003125,6.96622
0.000321875,6.90796
0.00033125,6.85254
0.000340625,6.79977
0.00035,6.74945
0.000359375,6.70141
0.00036875,6.65549
0.000378125,6.61156
0.0003875,6.56947
0.000396875,6.52912
0.00040625,6.49041
0.000425,6.41746
0.00044375,6.34994
0.0004625,6.28723
0.00048125,6.22884
0.0005,6.17432
0.000515625,6.13156
0.00053125,6.09103
0.000546875,6.05255
0.0005625,6.01596
0.000578125,5.98113
0.00059375,5.94793
0.000609375,5.91623
0.000625,5.88595
0.000640625,5.85698
0.00065625,5.82924
0.000671875,5.80264
0.0006875,5.77713
0.00071875,5.72906
0.00075,5.68456
0.00078125,5.64325
0.0008125,5.60477
0.00084375,5.56883
0.000875,5.53518
0.00090625,5.5036
0.0009375,5.4739
0.00096875,5.44591
0.001,5.41947
0.00103125,5.39446
0.0010625,5.37076
0.00109375,5.34826
0.001125,5.32688
