E_eV,Sig_b
1e-05,13.0486
1.03125e-05,12.8555
1.0625e-05,12.6711
1.09375e-05,12.4947
1.125e-05,12.3259
1.15625e-05,12.1639
1.1875e-05,12.0086
1.21875e-05,11.8592
1.25e-05,11.7156
1.28125e-05,11.5774
1.3125e-05,11.4442
1.34375e-05,11.3157
1.375e-05,11.1916
1.4375e-05,10.956
1.5e-05,10.7355
1.54624e-05,10.5811
1.59248e-05,10.4337
1.63871e-05,10.2926
1.68495e-05,10.1575
1.6875e-05,10.1502
1.69531e-05,10.128
1.70313e-05,10.1059
1.71875e-05,10.0622
1.75e-05,9.97665
1.8125e-05,9.81233
1.875e-05,9.65644
1.9375e-05,9.5083
2e-05,9.3673
2.06427e-05,9.22916
2.12854e-05,9.09746
2.19281e-05,8.97171
2.25708e-05,8.85149
2.32136e-05,8.73641
2.38563e-05,8.62612
2.4499e-05,8.5203
2.51417e-05,8.41866
2.63208e-05,8.24221
2.75e-05,8.07753
2.84375e-05,7.95417
2.9375e-05,7.83693
3.03125e-05,7.72532
3.125e-05,7.61893
3.21875e-05,7.51736
3.3125e-05,7.42027
3.40625e-05,7.32734
3.5e-05,7.2383
3.625e-05,7.12518
3.75e-05,7.01796
3.875e-05,6.91616
4e-05,6.81935
4.125e-05,6.72714
4.25e-05,6.63919
4.4375e-05,6.51459
4.625e-05,6.39796
4.8125e-05,6.28851
5e-05,6.18556
5.22464e-05,6.06994
5.44928e-05,5.96189
5.67392e-05,5.86065
5.89856e-05,5.76556
6.07428e-05,5.69508
6.25e-05,5.62777
6.40625e-05,5.57038
6.5625e-05,5.51519
6.71875e-05,5.46205
6.875e-05,5.41084
7.1875e-05,5.31379
7.5e-05,5.22327
7.75e-05,5.1551
8e-05,5.09037
8.375e-05,4.99916
8.75e-05,4.91431
9.0625e-05,4.84798
9.375e-05,4.78526
9.6875e-05,4.72584
0.0001,4.66947
0.000104493,4.59328
0.000108986,4.52228
0.000113478,4.45592
0.000117971,4.39376
0.000121486,4.34779
0.000125,4.30398
0.000128125,4.2667
0.00013125,4.2309
0.000134375,4.19649
0.0001375,4.16339
0.00014375,4.10083
0.00015,4.04267
0.000155,3.99899
0.00016,3.95763
0.0001675,3.89954
0.000175,3.84569
0.00018125,3.80374
0.0001875,3.76419
0.00019375,3.72683
0.0002,3.69149
0.000206827,3.655
0.000213655,3.62053
0.000220482,3.58792
0.00022731,3.55702
0.000234137,3.52769
0.000240964,3.49982
0.000247792,3.4733
0.000254619,3.44803
0.000264809,3.41245
0.000275,3.37922
0.000284358,3.35056
0.000293716,3.32352
0.000294922,3.32015
0.000298057,3.3115
0.000301191,3.30301
0.000307461,3.28648
0.00032,3.25519
0.000335,3.22051
0.00035,3.18852
0.000359375,3.16975
0.00036875,3.15185
0.000378125,3.13475
0.0003875,3.1184
0.000396875,3.10275
0.00040625,3.08776
0.000425,3.0596
0.00044375,3.03362
0.0004625,3.00957
0.00048125,2.98724
0.0005,2.96646
0.000515625,2.9502
0.00053125,2.93483
0.000546875,2.92027
0.0005625,2.90646
0.000578125,2.89334
0.00059375,2.88086
0.000609375,2.86898
0.000625,2.85764
0.00064,2.84724
0.0006675,2.82931
0.000695,2.81269
0.0007225,2.79725
0.00075,2.78287
0.00078125,2.76767
0.0008125,2.75355
0.00084375,2.74041
0.000875,2.72815
0.00090625,2.71667
0.0009375,2.7059
0.00096875,2.69578
0.001,2.68625
0.00103125,2.67725
0.0010625,2.66875
0.00109375,2.66069
0.001125,2.65305
0.00115625,2.64579
0.0011875,2.63889
0.00121875,2.63232
0.00125,2.62604
0.00128,2.62029
0.001335,2.61036
0.00139,2.60115
0.001445,2.5926
0.0015,2.58462
0.0015625,2.57618
0.001625,2.56833
0.0016875,2.56102
0.00175,2.55419
0.0018125,2.5478
0.001875,2.54179
0.0019375,2.53613
0.002,2.5308
0.00207,2.52518
0.00214,2.51989
0.00221,2.51491
0.00228,2.51021
0.00235,2.50576
0.00242,2.50154
0.00249,2.49754
0.00256,2.49374
0.0025625,2.49361
0.00256836,2.4933
0.00257422,2.49299
0.00258594,2.49238
0.00260938,2.49117
0.00265625,2.48881
0.00275,2.4843
0.00284375,2.48007
0.0029375,2.47608
0.00303125,2.47231
0.003125,2.46874
0.00321875,2.46536
0.0033125,2.46215
0.00340625,2.45911
0.0035,2.4562
0.00359375,2.45344
0.0036875,2.4508
0.00378125,2.44827
0.003875,2.44586
0.00396875,2.44355
0.0040625,2.44133
0.00425,2.43715
0.0044375,2.43329
0.004625,2.42971
0.0048125,2.42638
0.005,2.42327
0.00512,2.42138
0.00526125,2.41926
0.0054025,2.41724
0.00554375,2.41531
0.005685,2.41346
0.00582625,2.41169
0.0059675,2.40999
0.00610875,2.40837
0.00625,2.4068
0.00640625,2.40515
0.0065625,2.40356
