E_eV,Sig_b
1e-05,50323.6
1.03125e-05,49555.4
1.0625e-05,48821.3
1.09375e-05,48118.9
1.125e-05,47445.9
1.15625e-05,46800.5
1.1875e-05,46180.7
1.21875e-05,45584.9
1.25e-05,45011.6
1.28125e-05,44459.3
1.3125e-05,43927
1.34375e-05,43413.3
1.375e-05,42917.2
1.4375e-05,41974
1.5e-05,41090.4
1.5625e-05,40260.4
1.625e-05,39478.7
1.6875e-05,38740.9
1.75e-05,38043
1.8125e-05,37381.5
1.875e-05,36753.3
1.9375e-05,36155.8
2e-05,35586.6
2.09375e-05,34780.9
2.1875e-05,34027.7
2.28125e-05,33321.4
2.375e-05,32657.3
2.46875e-05,32031.4
2.5625e-05,31440.2
2.65625e-05,30880.6
2.75e-05,30349.8
2.84375e-05,29845.5
2.9375e-05,29365.6
3.03125e-05,28908.1
3.125e-05,28471.3
3.21875e-05,28053.8
3.3125e-05,27654.1
3.40625e-05,27271.1
3.5e-05,26903.5
3.59375e-05,26550.5
3.6875e-05,26210.9
3.78125e-05,25884.1
3.875e-05,25569.2
3.96875e-05,25265.6
4.0625e-05,24972.5
4.25e-05,24415.7
4.4375e-05,23894.6
4.625e-05,23405.5
4.8125e-05,22945.3
5e-05,22511.2
5.15625e-05,22167.7
5.3125e-05,21839.5
5.46875e-05,21525.5
5.625e-05,21224.6
5.78125e-05,20936
5.9375e-05,20658.9
6.09375e-05,20392.5
6.25e-05,20136.1
6.40625e-05,19889.2
6.5625e-05,19651.2
6.71875e-05,19421.6
6.875e-05,19199.8
7.1875e-05,18778.1
7.5e-05,18383
7.8125e-05,18011.9
8.125e-05,17662.5
8.4375e-05,17332.6
8.75e-05,17020.6
9.0625e-05,16724.8
9.375e-05,16444
9.6875e-05,16176.9
0.0001,15922.4
0.000103125,15679.5
0.00010625,15447.5
0.000109375,15225.4
0.0001125,15012.7
0.000115625,14808.7
0.00011875,14612.8
0.000121875,14424.4
0.000125,14243.2
0.000128125,14068.7
0.00013125,13900.4
0.000134375,13738
0.0001375,13581.2
0.00014375,13283.1
0.00015,13003.8
0.00015625,12741.4
0.0001625,12494.4
0.00016875,12261.1
0.000175,12040.5
0.00018125,11831.4
0.0001875,11632.9
0.00019375,11444
0.0002,11264.1
0.000209375,11009.5
0.00021875,10771.4
0.000228125,10548.1
0.0002375,10338.2
0.000246875,10140.4
0.00025625,9953.52
0.000265625,9776.63
0.000275,9608.86
0.000284375,9449.47
0.00029375,9297.76
0.000303125,9153.15
0.0003125,9015.1
0.000321875,8883.12
0.00033125,8756.78
0.000340625,8635.7
0.00035,8519.51
0.000359375,8407.9
0.00036875,8300.58
0.000378125,8197.27
0.0003875,8097.73
0.000396875,8001.74
0.00040625,7909.09
0.000425,7733.08
0.00044375,7568.34
0.0004625,7413.72
0.00048125,7268.22
0.0005,7130.99
0.000515625,7022.4
0.00053125,6918.63
0.000546875,6819.33
0.0005625,6724.21
0.000578125,6632.96
0.00059375,6545.35
0.000609375,6461.12
0.000625,6380.07
0.000640625,6302
0.00065625,6226.74
0.000671875,6154.12
0.0006875,6083.98
0.00071875,5950.64
0.00075,5825.72
0.00078125,5708.37
0.0008125,5597.85
0.00084375,5493.53
0.000875,5394.85
0.00090625,5301.32
0.0009375,5212.5
0.00096875,5128.01
0.001,5047.52
0.00103125,4970.71
0.0010625,4897.31
0.00109375,4827.08
0.001125,4759.8
0.00115625,4695.26
0.0011875,4633.29
0.00121875,4573.71
0.00125,4516.39
0.00128125,4461.17
0.0013125,4407.93
0.00134375,4356.57
0.001375,4306.96
0.0014375,4212.64
0.0015,4124.28
