E_eV,Sig_b
1e-05,574.609
1.03125e-05,565.842
1.0625e-05,557.465
1.09375e-05,549.45
1.125e-05,541.772
1.15625e-05,534.407
1.1875e-05,527.334
1.21875e-05,520.536
1.25e-05,513.994
1.28125e-05,507.693
1.3125e-05,501.618
1.34375e-05,495.757
1.375e-05,490.097
1.4375e-05,479.335
1.5e-05,469.254
1.5625e-05,459.783
1.625e-05,450.865
1.6875e-05,442.447
1.75e-05,434.485
1.8125e-05,426.938
1.875e-05,419.772
1.9375e-05,412.955
2e-05,406.461
2.09375e-05,397.271
2.1875e-05,388.678
2.28125e-05,380.621
2.375e-05,373.046
2.46875e-05,365.907
2.5625e-05,359.164
2.65625e-05,352.781
2.75e-05,346.728
2.84375e-05,340.976
2.9375e-05,335.503
3.03125e-05,330.285
3.125e-05,325.304
3.21875e-05,320.543
3.3125e-05,315.985
3.40625e-05,311.617
3.5e-05,307.426
3.59375e-05,303.4
3.6875e-05,299.529
3.78125e-05,295.803
3.875e-05,292.212
3.96875e-05,288.75
4.0625e-05,285.409
4.25e-05,279.061
4.4375e-05,273.121
4.625e-05,267.546
4.8125e-05,262.3
5e-05,257.352
5.15625e-05,253.438
5.3125e-05,249.697
5.46875e-05,246.118
5.625e-05,242.689
5.78125e-05,239.401
5.9375e-05,236.243
6.09375e-05,233.208
6.25e-05,230.287
6.40625e-05,227.475
6.5625e-05,224.763
6.71875e-05,222.147
6.875e-05,219.62
7.1875e-05,214.817
7.5e-05,210.317
7.8125e-05,206.091
8.125e-05,202.112
8.4375e-05,198.356
8.75e-05,194.803
9.0625e-05,191.436
9.375e-05,188.239
9.6875e-05,185.199
0.0001,182.302
0.000103125,179.539
0.00010625,176.898
0.000109375,174.372
0.0001125,171.952
0.000115625,169.631
0.00011875,167.402
0.000121875,165.26
0.000125,163.199
0.000128125,161.214
0.00013125,159.301
0.000134375,157.454
0.0001375,155.672
0.00014375,152.283
0.00015,149.108
0.00015625,146.127
0.0001625,143.32
0.00016875,140.671
0.000175,138.165
0.00018125,135.791
0.0001875,133.536
0.00019375,131.392
0.0002,129.35
0.000209375,126.46
0.00021875,123.759
0.000228125,121.227
0.0002375,118.846
0.000246875,116.603
0.00025625,114.485
0.000265625,112.481
0.000275,110.58
0.000284375,108.774
0.00029375,107.056
0.000303125,105.419
0.0003125,103.856
0.000321875,102.363
0.00033125,100.933
0.000340625,99.5633
0.00035,98.2491
0.000359375,96.987
0.00036875,95.7735
0.000378125,94.6057
0.0003875,93.4807
0.000396875,92.396
0.00040625,91.3493
0.000425,89.3612
0.00044375,87.5012
0.0004625,85.756
0.00048125,84.1144
0.0005,82.5665
0.000515625,81.3419
0.00053125,80.1721
0.000546875,79.0531
0.0005625,77.9813
0.000578125,76.9534
0.00059375,75.9666
0.000609375,75.0183
0.000625,74.1059
0.000640625,73.2273
0.00065625,72.3805
0.000671875,71.5635
0.0006875,70.7747
0.00071875,69.2754
0.00075,67.8714
