E_eV,Sig_b
1e-05,66165.8
1.03125e-05,65155.7
1.0625e-05,64190.5
1.09375e-05,63267
1.125e-05,62382.2
1.15625e-05,61533.6
1.1875e-05,60718.6
1.21875e-05,59935.2
1.25e-05,59181.4
1.28125e-05,58455.4
1.3125e-05,57755.4
1.34375e-05,57080
1.375e-05,56427.7
1.4375e-05,55187.7
1.5e-05,54025.9
1.5625e-05,52934.6
1.625e-05,51906.8
1.6875e-05,50936.7
1.75e-05,50019.1
1.8125e-05,49149.3
1.875e-05,48323.4
1.9375e-05,47537.8
2e-05,46789.3
2.09375e-05,45730.1
2.1875e-05,44739.7
2.28125e-05,43811
2.375e-05,42937.8
2.46875e-05,42114.9
2.5625e-05,41337.6
2.65625e-05,40601.8
2.75e-05,39903.9
2.84375e-05,39240.9
2.9375e-05,38609.9
3.03125e-05,38008.3
3.125e-05,37434.1
3.21875e-05,36885.1
3.3125e-05,36359.6
3.40625e-05,35856
3.5e-05,35372.7
3.59375e-05,34908.5
3.6875e-05,34462
3.78125e-05,34032.3
3.875e-05,33618.3
3.96875e-05,33219.1
4.0625e-05,32833.7
4.25e-05,32101.6
4.4375e-05,31416.5
4.625e-05,30773.4
4.8125e-05,30168.3
5e-05,29597.5
5.15625e-05,29145.9
5.3125e-05,28714.4
5.46875e-05,28301.4
5.625e-05,27905.8
5.78125e-05,27526.4
5.9375e-05,27162
6.09375e-05,26811.8
6.25e-05,26474.7
6.40625e-05,26150.1
6.5625e-05,25837.1
6.71875e-05,25535.2
6.875e-05,25243.5
7.1875e-05,24689.1
7.5e-05,24169.7
7.8125e-05,23681.7
8.125e-05,23222.2
8.4375e-05,22788.5
8.75e-05,22378.3
9.0625e-05,21989.4
9.375e-05,21620.1
9.6875e-05,21268.9
0.0001,20934.3
0.000103125,20615
0.00010625,20309.9
0.000109375,20017.9
0.0001125,19738.2
0.000115625,19470
0.00011875,19212.4
0.000121875,18964.7
0.000125,18726.5
0.000128125,18496.9
0.00013125,18275.7
0.000134375,18062.2
0.0001375,17856
0.00014375,17464
0.00015,17096.8
0.00015625,16751.8
0.0001625,16426.9
0.00016875,16120.3
0.000175,15830.2
0.00018125,15555.3
0.0001875,15294.2
0.00019375,15045.9
0.0002,14809.3
0.000209375,14474.5
0.00021875,14161.4
0.000228125,13867.9
0.0002375,13591.9
0.000246875,13331.8
0.00025625,13086
0.000265625,12853.4
0.000275,12632.9
0.000284375,12423.3
0.00029375,12223.8
0.000303125,12033.6
0.0003125,11852.1
0.000321875,11678.6
0.00033125,11512.4
0.000340625,11353.2
0.00035,11200.5
0.000359375,11053.7
0.00036875,10912.6
0.000378125,10776.7
0.0003875,10645.8
0.000396875,10519.6
0.00040625,10397.8
0.000425,10166.3
0.00044375,9949.72
0.0004625,9746.41
0.00048125,9555.09
0.0005,9374.64
0.000515625,9231.84
0.00053125,9095.39
0.000546875,8964.83
0.0005625,8839.74
0.000578125,8719.76
0.00059375,8604.55
0.000609375,8493.79
0.000625,8387.22
0.000640625,8284.56
0.00065625,8185.59
0.000671875,8090.1
0.0006875,7997.88
0.00071875,7822.53
0.00075,7658.27
0.00078125,7503.95
0.0008125,7358.63
0.00084375,7221.45
0.000875,7091.69
0.00090625,6968.69
0.0009375,6851.9
0.00096875,6740.8
0.001,6634.95
0.00103125,6533.95
0.0010625,6437.43
0.00109375,6345.08
0.001125,6256.6
0.00115625,6171.74
0.0011875,6090.24
0.00121875,6011.9
0.00125,5936.52
0.00128125,5863.91
0.0013125,5793.9
0.00134375,5726.35
0.001375,5661.12
0.0014375,5537.09
0.0015,5420.9
0.0015625,5311.74
0.001625,5208.95
0.0016875,5111.91
0.00175,5020.11
0.0018125,4933.11
0.001875,4850.49
0.0019375,4771.89
0.002,4697.01
0.00209375,4591.04
0.0021875,4491.94
0.00228125,4399.02
0.002375,4311.65
0.00246875,4229.3
0.0025625,4151.52
0.00265625,4077.88
0.00275,4008.05
0.00284375,3941.69
0.0029375,3878.54
0.00303125,3818.34
0.003125,3760.86
0.00321875,3705.92
0.0033125,3653.33
0.00340625,3602.92
0.0035,3554.55
0.00359375,3508.09
0.0036875,3463.4
0.00378125,3420.39
0.003875,3378.95
0.00396875,3338.99
0.0040625,3300.42
0.00425,3227.14
0.0044375,3158.55
0.004625,3094.16
0.0048125,3033.58
0.005,2976.44
0.00515625,2931.22
0.0053125,2888.01
0.00546875,2846.66
0.005625,2807.05
0.00578125,2769.05
0.0059375,2732.57
0.00609375,2697.5
0.00625,2663.75
0.00640625,2631.25
0.0065625,2599.91
0.00671875,2569.67
0.006875,2540.47
0.0071875,2484.95
0.0075,2432.93
0.0078125,2384.06
0.008125,2338.03
0.0084375,2294.59
0.00875,2253.48
0.0090625,2214.52
0.009375,2177.52
0.0096875,2142.33
0.01,2108.8
0.0103125,2076.8
0.010625,2046.23
0.0109375,2016.98
0.01125,1988.95
0.0115625,1962.07
0.011875,1936.26
0.0121875,1911.45
0.0125,1887.58
0.0128125,1864.59
0.013125,1842.43
0.0134375,1821.04
0.01375,1800.38
0.014375,1761.11
0.015,1724.31
0.015625,1689.74
0.01625,1657.18
0.016875,1626.44
0.0175,1597.36
0.018125,1569.79
0.01875,1543.61
0.019375,1518.72
0.02,1494.99
0.0206625,1471.03
0.021325,1448.2
0.0219875,1426.41
0.02265,1405.59
0.0233125,1385.66
0.023975,1366.58
0.0246375,1348.28
0.0253,1330.72
0.0263613,1303.99
0.0274227,1278.85
0.028484,1255.13
0.0295453,1232.72
0.0306066,1211.48
0.031668,1191.33
0.0327293,1172.16
0.0337906,1153.91
0.0348037,1137.27
0.0358168,1121.34
