E_eV,Sig_b
1e-05,863.55
1.03125e-05,850.408
1.0625e-05,837.852
1.09375e-05,825.838
1.125e-05,814.328
1.15625e-05,803.289
1.1875e-05,792.689
1.21875e-05,782.5
1.25e-05,772.696
1.28125e-05,763.254
1.3125e-05,754.151
1.34375e-05,745.368
1.375e-05,736.886
1.4375e-05,720.762
1.5e-05,705.657
1.5625e-05,691.47
1.625e-05,678.11
1.6875e-05,665.501
1.75e-05,653.575
1.8125e-05,642.272
1.875e-05,631.54
1.9375e-05,621.332
2e-05,611.608
2.09375e-05,597.848
2.1875e-05,584.984
2.28125e-05,572.923
2.375e-05,561.585
2.46875e-05,550.901
2.5625e-05,540.81
2.65625e-05,531.259
2.75e-05,522.202
2.84375e-05,513.598
2.9375e-05,505.41
3.03125e-05,497.606
3.125e-05,490.157
3.21875e-05,483.037
3.3125e-05,476.222
3.40625e-05,469.691
3.5e-05,463.426
3.59375e-05,457.407
3.6875e-05,451.621
3.78125e-05,446.052
3.875e-05,440.687
3.96875e-05,435.514
4.0625e-05,430.521
4.25e-05,421.038
4.4375e-05,412.165
4.625e-05,403.839
4.8125e-05,396.007
5e-05,388.621
5.15625e-05,382.777
5.3125e-05,377.195
5.46875e-05,371.854
5.625e-05,366.739
5.78125e-05,361.833
5.9375e-05,357.123
6.09375e-05,352.597
6.25e-05,348.242
6.40625e-05,344.048
6.5625e-05,340.005
6.71875e-05,336.105
6.875e-05,332.34
7.1875e-05,325.183
7.5e-05,318.48
7.8125e-05,312.186
8.125e-05,306.26
8.4375e-05,300.669
8.75e-05,295.382
9.0625e-05,290.372
9.375e-05,285.616
9.6875e-05,281.094
0.0001,276.787
0.000103125,272.679
0.00010625,268.754
0.000109375,265
0.0001125,261.404
0.000115625,257.956
0.00011875,254.646
0.000121875,251.465
0.000125,248.406
0.000128125,245.459
0.00013125,242.619
0.000134375,239.88
0.0001375,237.235
0.00014375,232.208
0.00015,227.501
0.00015625,223.082
0.0001625,218.922
0.00016875,214.997
0.000175,211.286
0.00018125,207.77
0.0001875,204.433
0.00019375,201.26
0.0002,198.238
0.000209375,193.964
0.00021875,189.969
0.000228125,186.226
0.0002375,182.708
0.000246875,179.394
0.00025625,176.265
0.000265625,173.305
0.000275,170.498
0.000284375,167.833
0.00029375,165.297
0.000303125,162.881
0.0003125,160.575
0.000321875,158.372
0.00033125,156.264
0.000340625,154.244
0.00035,152.306
0.000359375,150.445
0.00036875,148.656
0.000378125,146.935
0.0003875,145.277
0.000396875,143.678
0.00040625,142.136
0.000425,139.207
0.00044375,136.467
0.0004625,133.897
0.00048125,131.479
0.0005,129.2
0.000515625,127.397
0.00053125,125.674
0.000546875,124.027
0.0005625,122.449
0.000578125,120.936
0.00059375,119.483
0.000609375,118.087
0.000625,116.745
0.000640625,115.451
0.00065625,114.205
0.000671875,113.003
0.0006875,111.842
0.00071875,109.635
0.00075,107.569
0.00078125,105.629
0.0008125,103.802
0.00084375,102.079
0.000875,100.449
0.00090625,98.9043
0.0009375,97.4383
0.00096875,96.0441
0.001,94.7161
0.00103125,93.4493
0.0010625,92.2391
0.00109375,91.0814
0.001125,89.9725
0.00115625,88.9091
0.0011875,87.8881
0.00121875,86.9069
0.00125,85.9629
0.00128125,85.0537
0.0013125,84.1774
0.00134375,83.332
0.001375,82.5157
0.0014375,80.964
0.0015,79.5107
0.0015625,78.146
0.001625,76.861
0.0016875,75.6483
0.00175,74.5015
0.0018125,73.4148
0.001875,72.383
0.0019375,71.4018
0.002,70.467
0.00209375,69.1445
0.0021875,67.9082
0.00228125,66.7492
0.002375,65.6597
0.00246875,64.6331
0.0025625,63.6635
0.00265625,62.7459
0.00275,61.8757
0.00284375,61.0491
0.0029375,60.2625
0.00303125,59.5128
0.003125,58.7972
0.00321875,58.1133
0.0033125,57.4586
0.00340625,56.8312
0.0035,56.2293
0.00359375,55.6512
0.0036875,55.0953
0.00378125,54.5603
0.003875,54.0449
0.00396875,53.5479
0.0040625,53.0683
0.00425,52.1571
0.0044375,51.3045
0.004625,50.5043
0.0048125,49.7515
0.005,49.0416
0.00515625,48.4798
0.0053125,47.9431
0.00546875,47.4296
0.005625,46.9377
0.00578125,46.4659
0.0059375,46.0129
0.00609375,45.5776
0.00625,45.1587
0.00640625,44.7552
0.0065625,44.3663
0.00671875,43.991
0.006875,43.6287
0.0071875,42.9398
0.0075,42.2945
0.0078125,41.6884
0.008125,41.1176
0.0084375,40.5788
0.00875,40.0691
0.0090625,39.5861
0.009375,39.1275
0.0096875,38.6913
0.01,38.2757
0.0103125,37.8792
0.010625,37.5003
0.0109375,37.1379
0.01125,36.7907
0.0115625,36.4577
0.011875,36.1379
0.0121875,35.8306
0.0125,35.5349
0.0128125,35.2501
0.013125,34.9756
0.0134375,34.7107
0.01375,34.455
0.014375,33.9686
0.015,33.513
0.015625,33.085
0.01625,32.6819
0.016875,32.3014
0.0175,31.9414
0.018125,31.6002
0.01875,31.2763
0.019375,30.9681
0.02,30.6746
0.0206625,30.3781
0.021325,30.0955
0.0219875,29.8258
0.02265,29.568
0.0233125,29.3213
0.023975,29.0849
0.0246375,28.8581
0.0253,28.6403
0.0264578,28.2794
0.0276156,27.9415
0.0287734,27.6243
0.0299312,27.3256
0.0310891,27.0439
0.0322469,26.7775
0.0334047,26.5251
0.0345625,26.2854
0.0355273,26.0946
0.0364922,25.9114
0.037457,25.7353
0.0384219,25.5658
0.0393867,25.4026
0.0403516,25.2453
0.0413164,25.0934
0.0422812,24.9468
0.0442109,24.6681
0.0461406,24.4071
0.0480703,24.1619
0.05,23.931
0.0515625,23.7536
0.053125,23.5841
0.0546875,23.4218
0.05625,23.2664
0.0578125,23.1173
0.059375,22.9741
0.0609375,22.8364
0.0625,22.7039
0.0640625,22.5763
0.065625,22.4533
0.0671875,22.3346
0.06875,22.22
0.071875,22.0021
0.075,21.7976
0.078125,21.6054
0.08125,21.4244
0.084375,21.2534
0.0875,21.0916
0.090625,20.9381
0.09375,20.7924
0.096875,20.6537
0.1,20.5215
0.103125,20.3953
0.10625,20.2747
0.109375,20.1592
0.1125,20.0485
0.115625,19.9423
0.11875,19.8403
0.121875,19.7422
0.125,19.6477
0.128125,19.5567
0.13125,19.4689
0.134375,19.3842
0.1375,19.3025
0.14375,19.1468
0.15,19.0007
0.15625,18.8632
0.1625,18.7336
0.16875,18.6111
0.175,18.4951
0.18125,18.385
0.1875,18.2804
0.19375,18.1807
0.2,18.0856
0.204687,18.0172
0.209375,17.951
0.21875,17.825
0.228125,17.7065
0.2375,17.5947
0.246875,17.4892
0.25625,17.3894
0.265625,17.2947
0.275,17.2046
0.284375,17.119
0.29375,17.0372
0.303125,16.9591
0.3125,16.8845
0.321875,16.8129
0.33125,16.7443
0.340625,16.6783
0.35,16.6149
0.359375,16.5538
0.36875,16.495
0.378125,16.4382
0.3875,16.3834
0.396875,16.3304
0.40625,16.2792
0.415625,16.2295
0.425,16.1814
0.434375,16.1348
0.44375,16.0897
0.4625,16.0031
0.5,15.8437
0.53125,15.7229
0.5625,15.6111
0.59375,15.5074
0.625,15.4108
0.65625,15.3204
0.6875,15.2355
0.75,15.0799
0.8125,14.9402
0.875,14.8138
0.9375,14.6981
1,14.5914
1.0625,14.4925
