E_eV,Sig_b
1e-05,971.521
1.03125e-05,956.701
1.0625e-05,942.539
1.09375e-05,928.99
1.125e-05,916.009
1.15625e-05,903.557
1.1875e-05,891.601
1.21875e-05,880.108
1.25e-05,869.049
1.28125e-05,858.397
1.3125e-05,848.128
1.34375e-05,838.219
1.375e-05,828.651
1.4375e-05,810.458
1.5e-05,793.416
1.5625e-05,777.406
1.625e-05,762.33
1.6875e-05,748.1
1.75e-05,734.64
1.8125e-05,721.882
1.875e-05,709.768
1.9375e-05,698.245
2e-05,687.267
2.09375e-05,671.731
2.1875e-05,657.206
2.28125e-05,643.586
2.375e-05,630.781
2.46875e-05,618.714
2.5625e-05,607.315
2.65625e-05,596.525
2.75e-05,586.293
2.84375e-05,576.571
2.9375e-05,567.319
3.03125e-05,558.499
3.125e-05,550.08
3.21875e-05,542.032
3.3125e-05,534.328
3.40625e-05,526.945
3.5e-05,519.861
3.59375e-05,513.056
3.6875e-05,506.512
3.78125e-05,500.214
3.875e-05,494.146
3.96875e-05,488.294
4.0625e-05,482.646
4.25e-05,471.918
4.4375e-05,461.877
4.625e-05,452.454
4.8125e-05,443.588
5e-05,435.226
5.15625e-05,428.609
5.3125e-05,422.288
5.46875e-05,416.239
5.625e-05,410.444
5.78125e-05,404.887
5.9375e-05,399.55
6.09375e-05,394.421
6.25e-05,389.485
6.40625e-05,384.731
6.5625e-05,380.149
6.71875e-05,375.727
6.875e-05,371.458
7.1875e-05,363.341
7.5e-05,355.738
7.8125e-05,348.596
8.125e-05,341.872
8.4375e-05,335.525
8.75e-05,329.522
9.0625e-05,323.833
9.375e-05,318.432
9.6875e-05,313.295
0.0001,308.401
0.000103125,303.732
0.00010625,299.271
0.000109375,295.003
0.0001125,290.915
0.000115625,286.993
0.00011875,283.229
0.000121875,279.61
0.000125,276.128
0.000128125,272.775
0.00013125,269.543
0.000134375,266.425
0.0001375,263.414
0.00014375,257.69
0.00015,252.328
0.00015625,247.293
0.0001625,242.553
0.00016875,238.079
0.000175,233.848
0.00018125,229.839
0.0001875,226.033
0.00019375,222.413
0.0002,218.965
0.000209375,214.086
0.00021875,209.527
0.000228125,205.252
0.0002375,201.235
0.000246875,197.45
0.00025625,193.875
0.000265625,190.493
0.000275,187.286
0.000284375,184.24
0.00029375,181.341
0.000303125,178.579
0.0003125,175.943
0.000321875,173.424
0.00033125,171.013
0.000340625,168.703
0.00035,166.487
0.000359375,164.359
0.00036875,162.313
0.000378125,160.345
0.0003875,158.448
0.000396875,156.62
0.00040625,154.856
0.000425,151.506
0.00044375,148.372
0.0004625,145.432
