E_eV,Sig_b
1e-05,671.367
1.03125e-05,661.126
1.0625e-05,651.34
1.09375e-05,641.977
1.125e-05,633.007
1.15625e-05,624.402
1.1875e-05,616.14
1.21875e-05,608.198
1.25e-05,600.556
1.28125e-05,593.195
1.3125e-05,586.099
1.34375e-05,579.252
1.375e-05,572.64
1.4375e-05,560.068
1.5e-05,548.291
1.5625e-05,537.228
1.625e-05,526.811
1.6875e-05,516.977
1.75e-05,507.675
1.8125e-05,498.859
1.875e-05,490.488
1.9375e-05,482.526
2e-05,474.939
2.09375e-05,464.204
2.1875e-05,454.167
2.28125e-05,444.755
2.375e-05,435.906
2.46875e-05,427.567
2.5625e-05,419.69
2.65625e-05,412.235
2.75e-05,405.164
2.84375e-05,398.445
2.9375e-05,392.052
3.03125e-05,385.957
3.125e-05,380.14
3.21875e-05,374.578
3.3125e-05,369.254
3.40625e-05,364.152
3.5e-05,359.257
3.59375e-05,354.554
3.6875e-05,350.033
3.78125e-05,345.68
3.875e-05,341.487
3.96875e-05,337.443
4.0625e-05,333.54
4.25e-05,326.126
4.4375e-05,319.188
4.625e-05,312.676
4.8125e-05,306.549
5e-05,300.771
5.15625e-05,296.198
5.3125e-05,291.829
5.46875e-05,287.649
5.625e-05,283.645
5.78125e-05,279.804
5.9375e-05,276.116
6.09375e-05,272.571
6.25e-05,269.16
6.40625e-05,265.875
6.5625e-05,262.708
6.71875e-05,259.653
6.875e-05,256.702
7.1875e-05,251.093
7.5e-05,245.838
7.8125e-05,240.902
8.125e-05,236.255
8.4375e-05,231.868
8.75e-05,227.72
9.0625e-05,223.788
9.375e-05,220.055
9.6875e-05,216.504
0.0001,213.121
0.000103125,209.894
0.00010625,206.811
0.000109375,203.861
0.0001125,201.035
0.000115625,198.324
0.00011875,195.722
0.000121875,193.22
0.000125,190.813
0.000128125,188.495
0.00013125,186.261
0.000134375,184.105
0.0001375,182.023
0.00014375,178.066
0.00015,174.359
0.00015625,170.878
0.0001625,167.6
0.00016875,164.506
0.000175,161.58
0.00018125,158.807
0.0001875,156.175
0.00019375,153.671
0.0002,151.286
0.000209375,147.912
0.00021875,144.757
0.000228125,141.8
0.0002375,139.02
0.000246875,136.401
0.00025625,133.927
0.000265625,131.586
0.000275,129.366
0.000284375,127.257
0.00029375,125.25
0.000303125,123.338
0.0003125,121.512
0.000321875,119.768
0.00033125,118.098
0.000340625,116.497
0.00035,114.962
0.000359375,113.488
0.00036875,112.07
0.000378125,110.705
0.0003875,109.391
0.000396875,108.124
0.00040625,106.9
0.000425,104.577
0.00044375,102.404
0.0004625,100.364
0.00048125,98.445
0.0005,96.6356
0.000515625,95.2041
0.00053125,93.8364
0.000546875,92.528
0.0005625,91.2748
0.000578125,90.0728
0.00059375,88.9189
0.000609375,87.8097
0.000625,86.7426
0.000640625,85.7149
0.00065625,84.7243
0.000671875,83.7686
0.0006875,82.8457
0.00071875,81.0915
0.00075,79.4485
0.00078125,77.9054
0.0008125,76.4526
0.00084375,75.0815
0.000875,73.7848
0.00090625,72.5559
0.0009375,71.3893
0.00096875,70.2798
0.001,69.2228
0.00103125,68.2144
0.0010625,67.251
0.00109375,66.3293
0.001125,65.4464
0.00115625,64.5997
0.0011875,63.7867
0.00121875,63.0052
0.00125,62.2534
0.00128125,61.5293
0.0013125,60.8313
0.00134375,60.1578
0.001375,59.5075
0.0014375,58.2713
0.0015,57.1134
0.0015625,56.0259
0.001625,55.0018
0.0016875,54.0354
0.00175,53.1213
0.0018125,52.2551
0.001875,51.4326
0.0019375,50.6503
0.002,49.9051
0.00209375,48.8506
0.0021875,47.8649
0.00228125,46.9406
0.002375,46.0718
0.00246875,45.253
0.0025625,44.4796
0.00265625,43.7477
0.00275,43.0536
0.00284375,42.3942
0.0029375,41.7666
0.00303125,41.1685
0.003125,40.5975
0.00321875,40.0518
0.0033125,39.5294
0.00340625,39.0287
0.0035,38.5483
0.00359375,38.0869
0.0036875,37.6433
0.00378125,37.2163
0.003875,36.8049
0.00396875,36.4081
0.0040625,36.0253
0.00425,35.2979
0.0044375,34.6173
0.004625,33.9785
0.0048125,33.3775
0.005,32.8106
0.00515625,32.3621
0.0053125,31.9336
0.00546875,31.5236
0.005625,31.1308
0.00578125,30.7541
0.0059375,30.3923
0.00609375,30.0446
0.00625,29.7101
0.00640625,29.3878
0.0065625,29.0772
0.00671875,28.7775
0.006875,28.488
0.0071875,27.9378
0.0075,27.4223
0.0078125,26.9381
0.008125,26.4821
0.0084375,26.0518
0.00875,25.6447
0.0090625,25.2588
0.009375,24.8925
0.0096875,24.544
0.01,24.212
0.0103125,23.8953
0.010625,23.5926
0.0109375,23.303
0.01125,23.0256
0.0115625,22.7596
0.011875,22.5041
0.0121875,22.2586
0.0125,22.0223
0.0128125,21.7947
0.013125,21.5754
0.0134375,21.3637
0.01375,21.1593
0.014375,20.7707
0.015,20.4066
0.015625,20.0646
0.01625,19.7425
0.016875,19.4385
0.0175,19.1509
0.018125,18.8784
0.01875,18.6195
0.019375,18.3733
0.02,18.1388
0.0206625,17.9019
0.021325,17.6761
0.0219875,17.4607
0.02265,17.2547
0.0233125,17.0577
0.023975,16.8688
0.0246375,16.6877
0.0253,16.5137
0.0264578,16.2254
0.0276156,15.9556
0.0287734,15.7022
0.0299312,15.4637
0.0310891,15.2387
0.0322469,15.026
0.0334047,14.8244
0.0345625,14.633
0.0355273,14.4807
0.0364922,14.3345
0.037457,14.1939
0.0384219,14.0587
0.0393867,13.9284
0.0403516,13.8029
0.0413164,13.6817
0.0422812,13.5648
0.0442109,13.3424
0.0461406,13.1342
0.0480703,12.9387
0.05,12.7546
0.0515625,12.6131
0.053125,12.478
0.0546875,12.3487
0.05625,12.2248
0.0578125,12.106
0.059375,11.992
0.0609375,11.8823
0.0625,11.7768
0.0640625,11.6753
0.065625,11.5773
0.0671875,11.4829
0.06875,11.3916
0.071875,11.2182
0.075,11.0556
0.078125,10.9029
0.08125,10.759
0.084375,10.6232
0.0875,10.4948
0.090625,10.373
0.09375,10.2574
0.096875,10.1474
0.1,10.0426
0.103125,9.94268
0.10625,9.84717
0.109375,9.75577
0.1125,9.66822
