E_eV,Sig_b
1e-05,14972.9
1.03125e-05,14744.3
1.0625e-05,14525.9
1.09375e-05,14316.9
1.125e-05,14116.7
1.15625e-05,13924.6
1.1875e-05,13740.2
1.21875e-05,13562.9
1.25e-05,13392.3
1.28125e-05,13228
1.3125e-05,13069.6
1.34375e-05,12916.8
1.375e-05,12769.2
1.4375e-05,12488.5
1.5e-05,12225.6
1.54624e-05,12041.4
1.59248e-05,11865.4
1.63871e-05,11696.8
1.68495e-05,11535.2
1.6875e-05,11526.5
1.69531e-05,11499.9
1.70313e-05,11473.5
1.71875e-05,11421.2
1.75e-05,11318.8
1.8125e-05,11122
1.875e-05,10935.1
1.9375e-05,10757.3
2e-05,10587.9
2.09051e-05,10356.2
2.18102e-05,10139.1
2.1875e-05,10124.1
2.2024e-05,10089.8
2.21731e-05,10055.8
2.24711e-05,9988.89
2.30673e-05,9858.99
2.36635e-05,9734.04
2.42596e-05,9613.72
2.48557e-05,9497.75
2.54519e-05,9385.89
2.66442e-05,9173.53
2.75e-05,9029.69
2.84375e-05,8879.64
2.9375e-05,8736.83
3.03125e-05,8600.69
3.125e-05,8470.73
3.21875e-05,8346.5
3.3125e-05,8227.57
3.40625e-05,8113.59
3.5e-05,8004.22
3.625e-05,7865.04
3.75e-05,7732.89
3.875e-05,7607.18
4e-05,7487.42
4.125e-05,7373.14
4.25e-05,7263.94
4.4375e-05,7108.87
4.625e-05,6963.34
4.8125e-05,6826.39
5e-05,6697.23
5.22464e-05,6551.73
5.44928e-05,6415.32
5.67392e-05,6287.1
5.89856e-05,6166.27
6.07428e-05,6076.47
6.25e-05,5990.49
6.40625e-05,5917.02
6.5625e-05,5846.19
6.71875e-05,5777.85
6.875e-05,5711.85
7.1875e-05,5586.37
7.5e-05,5468.81
7.75e-05,5379.94
8e-05,5295.26
8.36203e-05,5179.44
8.72406e-05,5070.9
8.75e-05,5063.39
8.82813e-05,5040.95
8.90625e-05,5018.81
9.0625e-05,4975.38
9.375e-05,4891.82
9.6875e-05,4812.33
0.0001,4736.59
0.000104493,4633.73
0.000108986,4537.29
0.000113478,4446.64
0.000117971,4361.22
0.000121486,4297.73
0.000125,4236.94
0.000128125,4185
0.00013125,4134.93
0.000134375,4086.61
0.0001375,4039.95
0.00014375,3951.24
0.00015,3868.14
0.000155,3805.3
0.00016,3745.44
0.00016724,3663.56
0.000174481,3586.83
0.000175,3581.52
0.000176563,3565.65
0.000178125,3550
0.00018125,3519.3
0.0001875,3460.23
0.00019375,3404.03
