E_eV,Sig_b
1e-05,110250
1.03125e-05,108567
1.0625e-05,106959
1.09375e-05,105420
1.125e-05,103945
1.15625e-05,102531
1.1875e-05,101173
1.21875e-05,99868.1
1.25e-05,98612
1.28125e-05,97402.2
1.3125e-05,96235.8
1.34375e-05,95110.4
1.375e-05,94023.5
1.4375e-05,91957.2
1.5e-05,90021.3
1.5625e-05,88202.9
1.625e-05,86490.3
1.6875e-05,84873.8
1.75e-05,83344.8
1.8125e-05,81895.4
1.875e-05,80519.2
1.9375e-05,79210.2
2e-05,77963
2.09375e-05,76197.9
2.1875e-05,74547.6
2.28125e-05,73000.1
2.375e-05,71545.2
2.46875e-05,70174
2.5625e-05,68878.7
2.65625e-05,67652.6
2.75e-05,66489.8
2.84375e-05,65385
2.9375e-05,64333.5
3.03125e-05,63331.1
3.125e-05,62374.2
3.21875e-05,61459.5
3.3125e-05,60583.8
3.40625e-05,59744.6
3.5e-05,58939.3
3.59375e-05,58165.7
3.6875e-05,57421.9
3.78125e-05,56705.9
3.875e-05,56016
3.96875e-05,55350.7
4.0625e-05,54708.6
4.25e-05,53488.7
4.4375e-05,52346.9
4.625e-05,51275.4
4.8125e-05,50267.1
5e-05,49316
5.15625e-05,48563.4
5.3125e-05,47844.3
5.46875e-05,47156.2
5.625e-05,46497.1
5.78125e-05,45864.8
5.9375e-05,45257.6
6.09375e-05,44674
6.25e-05,44112.3
6.40625e-05,43571.4
6.5625e-05,43049.9
6.71875e-05,42546.7
6.875e-05,42060.7
7.1875e-05,41136.8
7.5e-05,40271.3
7.8125e-05,39458.2
8.125e-05,38692.5
8.4375e-05,37969.8
8.75e-05,37286.1
9.0625e-05,36638.1
9.375e-05,36022.8
9.6875e-05,35437.5
0.0001,34879.9
0.000103125,34347.8
0.00010625,33839.4
0.000109375,33352.9
0.0001125,32886.9
0.000115625,32439.8
0.00011875,32010.6
0.000121875,31597.9
0.000125,31200.8
0.000128125,30818.4
0.00013125,30449.7
0.000134375,30093.9
0.0001375,29750.3
0.00014375,29097.1
0.00015,28485.1
0.00015625,27910.3
0.0001625,27368.9
0.00016875,26857.9
0.000175,26374.5
0.00018125,25916.4
0.0001875,25481.3
0.00019375,25067.5
0.0002,24673.2
0.000209375,24115.3
0.00021875,23593.6
0.000228125,23104.4
0.0002375,22644.4
0.000246875,22211
0.00025625,21801.5
0.000265625,21413.9
0.000275,21046.3
0.000284375,20697
0.00029375,20364.6
0.000303125,20047.7
0.0003125,19745.2
0.000321875,19456
0.00033125,19179.1
0.000340625,18913.8
0.00035,18659.2
0.000359375,18414.6
0.00036875,18179.4
0.000378125,17953.1
0.0003875,17734.9
0.000396875,17524.6
0.00040625,17321.6
0.000425,16935.9
0.00044375,16574.9
0.0004625,16236
0.00048125,15917.2
0.0005,15616.5
0.000515625,15378.5
0.00053125,15151.1
0.000546875,14933.5
0.0005625,14725.1
0.000578125,14525.1
0.00059375,14333.1
0.000609375,14148.5
0.000625,13970.9
0.000640625,13799.8
0.00065625,13634.9
0.000671875,13475.8
0.0006875,13322.1
0.00071875,13029.9
0.00075,12756.1
