E_eV,Sig_b
1e-05,5061.03
1.03125e-05,4983.78
1.0625e-05,4909.96
1.09375e-05,4839.33
1.125e-05,4771.66
1.15625e-05,4706.75
1.1875e-05,4644.43
1.21875e-05,4584.51
1.25e-05,4526.86
1.28125e-05,4471.33
1.3125e-05,4417.8
1.34375e-05,4366.14
1.375e-05,4316.26
1.4375e-05,4221.41
1.5e-05,4132.56
1.5625e-05,4049.1
1.625e-05,3970.5
1.6875e-05,3896.3
1.75e-05,3826.12
1.8125e-05,3759.6
1.875e-05,3696.44
1.9375e-05,3636.36
2e-05,3579.12
2.09375e-05,3498.11
2.1875e-05,3422.37
2.28125e-05,3351.34
2.375e-05,3284.57
2.46875e-05,3221.63
2.5625e-05,3162.19
2.65625e-05,3105.92
2.75e-05,3052.55
2.84375e-05,3001.84
2.9375e-05,2953.59
3.03125e-05,2907.59
3.125e-05,2863.67
3.21875e-05,2821.69
3.3125e-05,2781.5
3.40625e-05,2742.99
3.5e-05,2706.03
3.59375e-05,2670.53
3.6875e-05,2636.39
3.78125e-05,2603.53
3.875e-05,2571.88
3.96875e-05,2541.35
4.0625e-05,2511.88
4.25e-05,2455.9
4.4375e-05,2403.5
4.625e-05,2354.33
4.8125e-05,2308.06
5e-05,2264.42
5.15625e-05,2229.89
5.3125e-05,2196.89
5.46875e-05,2165.32
5.625e-05,2135.07
5.78125e-05,2106.05
5.9375e-05,2078.2
6.09375e-05,2051.41
6.25e-05,2025.64
6.40625e-05,2000.83
6.5625e-05,1976.9
6.71875e-05,1953.81
6.875e-05,1931.51
7.1875e-05,1889.12
7.5e-05,1849.41
7.8125e-05,1812.11
8.125e-05,1776.98
8.4375e-05,1743.82
8.75e-05,1712.46
9.0625e-05,1682.73
9.375e-05,1654.5
9.6875e-05,1627.65
0.0001,1602.08
0.000103125,1577.67
0.00010625,1554.35
0.000109375,1532.03
0.0001125,1510.65
0.000115625,1490.15
0.00011875,1470.46
0.000121875,1451.53
0.000125,1433.32
0.000128125,1415.78
0.00013125,1398.87
0.000134375,1382.55
0.0001375,1366.8
0.00014375,1336.84
0.00015,1308.78
0.00015625,1282.42
0.0001625,1257.59
0.00016875,1234.16
0.000175,1212
0.00018125,1190.99
0.0001875,1171.05
0.00019375,1152.07
0.0002,1134
0.000209375,1108.42
0.00021875,1084.51
0.000228125,1062.09
0.0002375,1041
0.000246875,1021.14
0.00025625,1002.37
0.000265625,984.609
0.000275,967.763
0.000284375,951.758
0.00029375,936.527
0.000303125,922.008
0.0003125,908.148
0.000321875,894.899
0.00033125,882.217
0.000340625,870.062
0.00035,858.4
0.000359375,847.197
0.00036875,836.425
0.000378125,826.056
0.0003875,816.067
0.000396875,806.433
0.00040625,797.136
0.000425,779.473
0.00044375,762.943
0.0004625,747.429
0.00048125,732.832
0.0005,719.065
0.000515625,708.171
0.00053125,697.762
0.000546875,687.803
0.0005625,678.261
0.000578125,669.11
0.00059375,660.323
0.000609375,651.876
0.000625,643.748
0.000640625,635.92
0.00065625,628.373
0.000671875,621.091
0.0006875,614.059
0.00071875,600.69
0.00075,588.166
0.00078125,576.402
0.0008125,565.324
0.00084375,554.867
0.000875,544.977
0.00090625,535.602
0.0009375,526.701
0.00096875,518.235
0.001,510.169
0.00103125,502.472
0.0010625,495.118
0.00109375,488.081
0.001125,481.34
0.00115625,474.875
0.0011875,468.666
0.00121875,462.698
0.00125,456.956
0.00128125,451.424
0.0013125,446.092
0.00134375,440.947
0.001375,435.978
0.0014375,426.532
0.0015,417.683
0.0015625,409.37
0.001625,401.542
0.0016875,394.154
0.00175,387.165
0.0018125,380.54
0.001875,374.25
0.0019375,368.267
0.002,362.567
0.00209375,354.5
0.0021875,346.958
0.00228125,339.885
0.002375,333.236
0.00246875,326.97
0.0025625,321.051
0.00265625,315.448
0.00275,310.134
0.00284375,305.085
0.0029375,300.28
0.00303125,295.7
0.003125,291.328
0.00321875,287.148
0.0033125,283.147
0.00340625,279.313
0.0035,275.633
0.00359375,272.099
0.0036875,268.7
0.00378125,265.429
0.003875,262.277
0.00396875,259.237
0.0040625,256.304
0.00425,250.731
0.0044375,245.515
0.004625,240.619
0.0048125,236.013
0.005,231.668
0.00515625,228.23
0.0053125,224.945
0.00546875,221.802
0.005625,218.79
0.00578125,215.902
0.0059375,213.129
0.00609375,210.463
0.00625,207.897
0.00640625,205.426
0.0065625,203.044
0.00671875,200.746
0.006875,198.526
0.0071875,194.306
0.0075,190.352
0.0078125,186.638
0.008125,183.141
0.0084375,179.839
0.00875,176.716
0.0090625,173.756
0.009375,170.945
0.0096875,168.271
0.01,165.724
0.0103125,163.293
0.010625,160.971
0.0109375,158.749
0.01125,156.62
0.0115625,154.578
0.011875,152.618
0.0121875,150.733
0.0125,148.92
0.0128125,147.173
0.013125,145.489
0.0134375,143.865
0.01375,142.296
0.014375,139.313
0.015,136.518
0.015625,133.893
0.01625,131.42
0.016875,129.086
0.0175,126.878
0.018125,124.785
0.01875,122.798
0.019375,120.908
0.02,119.107
0.0206625,117.288
0.021325,115.554
0.0219875,113.899
0.02265,112.318
0.0233125,110.804
0.023975,109.354
0.0246375,107.963
0.0253,106.626
0.0264578,104.413
0.0276156,102.34
0.0287734,100.394
0.0299312,98.562
0.0310891,96.8336
0.0322469,95.1994
0.0334047,93.6509
0.0345625,92.1808
0.0355273,91.0109
0.0364922,89.8875
0.037457,88.8076
0.0384219,87.7686
0.0393867,86.7679
0.0403516,85.8033
0.0413164,84.8726
0.0422812,83.9739
0.0442109,82.2657
0.0461406,80.6659
0.0480703,79.1634
0.05,77.7488
0.0515625,76.6621
0.053125,75.6237
0.0546875,74.6302
0.05625,73.6784
0.0578125,72.7654
0.059375,71.8888
0.0609375,71.0463
0.0625,70.2356
0.0640625,69.4549
0.065625,68.7025
0.0671875,67.9765
0.06875,67.2756
0.071875,65.9427
0.075,64.6934
0.078125,63.5195
0.08125,62.4137
0.084375,61.3699
0.0875,60.3825
0.090625,59.4467
0.09375,58.5581
0.096875,57.7129
0.1,56.9076
0.103125,56.1393
0.10625,55.4051
0.109375,54.7026
0.1125,54.0296
0.115625,53.3841
0.11875,52.7642
0.121875,52.1684
0.125,51.5951
0.128125,51.0431
0.13125,50.5111
0.134375,49.9979
0.1375,49.5025
0.14375,48.5604
0.15,47.677
0.15625,46.8468
0.1625,46.0649
0.16875,45.3268
0.175,44.6287
0.18125,43.9671
0.1875,43.3389
0.19375,42.7417
0.2,42.173
0.209375,41.3681
0.21875,40.6148
0.228125,39.9082
0.2375,39.2439
0.246875,38.6178
0.25625,38.0264
0.265625,37.4666
0.275,36.9357
0.284375,36.4313
0.29375,35.9513
0.303125,35.4937
0.3125,35.0568
0.321875,34.6392
0.33125,34.2395
0.340625,33.8564
0.35,33.4888
0.359375,33.1357
0.36875,32.7961
0.378125,32.4693
0.3875,32.1544
0.396875,31.8511
0.40625,31.5587
0.425,31.0028
0.44375,30.4815
0.4625,29.9922
0.5,29.0991
0.542969,28.1916
0.585937,27.3841
0.628906,26.661
0.671875,26.0086
0.714843,25.4159
0.757812,24.8744
0.800781,24.3771
0.843749,23.9184
0.921874,23.1771
0.93164,23.1446
0.936523,23.2224
0.938964,23.3248
0.941405,23.5021
0.943847,23.7931
0.945068,23.9978
0.946288,24.2532
0.947509,24.5697
0.94873,24.9593
0.94995,25.436
0.951171,26.0157
0.952392,26.7169
0.953612,27.5601
0.954833,28.5688
0.955444,29.1433
0.956054,29.7692
0.956664,30.4502
0.957274,31.1902
0.957885,31.9935
0.958495,32.864
0.959106,33.8065
0.959716,34.8254
0.960326,35.9259
0.960937,37.1126
0.961547,38.3911
0.962157,39.7663
0.962768,41.2443
0.963378,42.8302
0.963988,44.5304
0.964599,46.3503
0.965209,48.2967
0.965819,50.375
0.96643,52.5923
0.96704,54.9542
0.967651,57.468
0.968261,60.1392
0.968871,62.9753
0.969481,65.9819
0.970092,69.1664
0.970702,72.5341
0.971313,76.0926
0.971923,79.8468
0.972533,83.8042
0.973144,87.9694
0.973754,92.3496
0.974364,96.9487
0.974975,101.774
0.975585,106.828
0.976195,112.118
0.976806,117.646
0.977416,123.418
0.978026,129.435
0.979247,142.223
0.980468,156.029
0.981689,170.864
0.982909,186.729
0.98413,203.617
0.985351,221.51
0.986571,240.379
0.987792,260.184
0.989013,280.877
0.990233,302.395
0.991454,324.668
0.992675,347.616
0.995116,395.173
0.999999,494.035
1,959.245
1.07031,924.389
1.14063,893.02
1.21094,864.602
1.28125,838.711
1.35156,815
1.42188,793.187
1.49219,773.036
