E_eV,Sig_b
1e-05,223.765
1.03125e-05,220.369
1.0625e-05,217.124
1.09375e-05,214.02
1.125e-05,211.046
1.15625e-05,208.194
1.1875e-05,205.456
1.21875e-05,202.823
1.25e-05,200.291
1.28125e-05,197.852
1.3125e-05,195.5
1.34375e-05,193.232
1.375e-05,191.041
1.4375e-05,186.877
1.5e-05,182.976
1.5625e-05,179.313
1.625e-05,175.863
1.6875e-05,172.608
1.75e-05,169.529
1.8125e-05,166.612
1.875e-05,163.842
1.9375e-05,161.207
2e-05,158.698
2.09375e-05,155.148
2.1875e-05,151.829
2.28125e-05,148.718
2.375e-05,145.793
2.46875e-05,143.038
2.5625e-05,140.436
2.65625e-05,137.974
2.75e-05,135.639
2.84375e-05,133.422
2.9375e-05,131.312
3.03125e-05,129.301
3.125e-05,127.382
3.21875e-05,125.548
3.3125e-05,123.792
3.40625e-05,122.111
3.5e-05,120.497
3.59375e-05,118.948
3.6875e-05,117.458
3.78125e-05,116.025
3.875e-05,114.644
3.96875e-05,113.313
4.0625e-05,112.029
4.25e-05,109.59
4.4375e-05,107.309
4.625e-05,105.168
4.8125e-05,103.156
5e-05,101.258
5.15625e-05,99.7575
5.3125e-05,98.3241
5.46875e-05,96.9532
5.625e-05,95.6404
5.78125e-05,94.3817
5.9375e-05,93.1736
6.09375e-05,92.0128
6.25e-05,90.8963
6.40625e-05,89.8214
6.5625e-05,88.7855
6.71875e-05,87.7865
6.875e-05,86.8221
7.1875e-05,84.9897
7.5e-05,83.2746
7.8125e-05,81.6649
8.125e-05,80.1503
8.4375e-05,78.7219
8.75e-05,77.3718
9.0625e-05,76.0933
9.375e-05,74.8803
9.6875e-05,73.7275
0.0001,72.6301
0.000103125,71.5839
0.00010625,70.585
0.000109375,69.63
0.0001125,68.7159
0.000115625,67.8398
0.00011875,66.9992
0.000121875,66.1919
0.000125,65.4157
0.000128125,64.6686
0.00013125,63.9491
0.000134375,63.2553
0.0001375,62.5859
0.00014375,61.3147
0.00015,60.1257
0.00015625,59.0106
0.0001625,57.9622
0.00016875,56.9741
0.000175,56.041
0.00018125,55.1579
0.0001875,54.3207
0.00019375,53.5255
0.0002,52.7692
0.000209375,51.7008
0.00021875,50.7041
0.000228125,49.7717
0.0002375,48.8969
0.000246875,48.0744
0.00025625,47.2991
0.000265625,46.5668
0.000275,45.8738
0.000284375,45.2167
0.00029375,44.5927
0.000303125,43.9992
0.0003125,43.4337
0.000321875,42.8942
0.00033125,42.3789
0.000340625,41.886
0.00035,41.4139
0.000359375,40.9614
0.00036875,40.5271
0.000378125,40.1098
0.0003875,39.7086
0.000396875,39.3224
0.00040625,38.9504
0.000425,38.2456
0.00044375,37.5884
0.0004625,36.9738
0.00048125,36.3975
0.0005,35.8559
0.000515625,35.4287
0.00053125,35.0216
0.000546875,34.6331
0.0005625,34.262
0.000578125,33.907
0.00059375,33.567
0.000609375,33.241
0.000625,32.9281
0.000640625,32.6275
0.00065625,32.3385
0.000671875,32.0602
0.0006875,31.7922
0.00071875,31.2844
0.00075,30.8109
0.00078125,30.3681
0.0008125,29.953
0.00084375,29.5628
0.000875,29.1952
0.00090625,28.8482
0.0009375,28.5201
0.00096875,28.2091
0.001,27.9139
0.00103125,27.6333
0.0010625,27.3661
0.00109375,27.1113
0.001125,26.868
0.00115625,26.6354
0.0011875,26.4128
0.00121875,26.1994
0.00125,25.9947
0.00128125,25.7982
0.0013125,25.6092
0.00134375,25.4274
0.001375,25.2523
0.0014375,24.9207
0.0015,24.6117
0.0015625,24.3228
0.001625,24.052
0.0016875,23.7975
0.00175,23.5578
0.0018125,23.3315
0.001875,23.1175
0.0019375,22.9147
0.002,22.7221
0.00209375,22.4508
0.0021875,22.1984
0.00228125,21.9628
0.002375,21.7423
0.00246875,21.5353
0.0025625,21.3405
0.00265625,21.1569
0.00275,20.9833
0.00284375,20.819
0.0029375,20.6631
0.00303125,20.5149
0.003125,20.3739
0.00321875,20.2395
0.0033125,20.1112
0.00340625,19.9886
0.0035,19.8712
0.00359375,19.7587
0.0036875,19.6508
0.00378125,19.5472
0.003875,19.4475
0.00396875,19.3517
0.0040625,19.2593
0.00425,19.0844
0.0044375,18.9213
0.004625,18.7687
0.0048125,18.6257
0.005,18.4912
0.00515625,18.385
0.0053125,18.2838
0.00546875,18.1872
0.005625,18.0948
0.00578125,18.0064
0.0059375,17.9217
0.00609375,17.8404
0.00625,17.7624
0.00640625,17.6873
0.0065625,17.6151
0.00671875,17.5455
0.006875,17.4784
0.0071875,17.3512
0.0075,17.2323
0.0078125,17.121
0.008125,17.0164
0.0084375,16.9179
0.00875,16.8249
0.0090625,16.737
0.009375,16.6538
0.0096875,16.5747
0.01,16.4995
0.0103125,16.4279
0.010625,16.3596
0.0109375,16.2944
0.01125,16.232
0.0115625,16.1722
0.011875,16.1149
0.0121875,16.0599
0.0125,16.007
0.0128125,15.9562
0.013125,15.9072
0.0134375,15.86
0.01375,15.8145
0.014375,15.7282
0.015,15.6474
0.015625,15.5717
0.01625,15.5006
0.016875,15.4336
0.0175,15.3703
0.018125,15.3103
0.01875,15.2535
0.019375,15.1996
0.02,15.1483
0.0206625,15.0965
0.021325,15.0472
0.0219875,15.0003
0.02265,14.9554
0.0233125,14.9126
0.023975,14.8715
0.0246375,14.8322
0.0253,14.7945
0.0264578,14.7321
0.0276156,14.6738
0.0287734,14.6191
0.0299312,14.5677
0.0310891,14.5193
0.0322469,14.4735
0.0334047,14.4302
0.0345625,14.3892
0.0355273,14.3565
0.0364922,14.3252
0.037457,14.2952
0.0384219,14.2663
0.0393867,14.2385
0.0403516,14.2117
0.0413164,14.1858
0.0422812,14.1609
0.0442109,14.1136
0.0461406,14.0693
0.0480703,14.0278
0.05,13.9888
0.0515625,13.9588
0.053125,13.9302
0.0546875,13.9028
0.05625,13.8766
0.0578125,13.8515
0.059375,13.8275
0.0609375,13.8043
0.0625,13.7821
0.0640625,13.7607
0.065625,13.74
0.0671875,13.7202
0.06875,13.701
0.071875,13.6645
0.075,13.6303
0.078125,13.5983
0.08125,13.5681
0.084375,13.5397
0.0875,13.5128
0.090625,13.4873
0.09375,13.4632
0.096875,13.4402
0.1,13.4183
0.103125,13.3975
0.10625,13.3776
0.109375,13.3585
0.1125,13.3403
0.115625,13.3228
0.11875,13.306
0.121875,13.2899
0.125,13.2744
0.128125,13.2595
0.13125,13.2451
0.134375,13.2312
0.1375,13.2178
0.14375,13.1924
0.15,13.1686
0.15625,13.1462
0.1625,13.1251
0.16875,13.1052
0.175,13.0865
0.18125,13.0687
0.1875,13.0518
0.19375,13.0357
0.2,13.0204
0.209375,12.9988
0.21875,12.9786
0.228125,12.9596
0.2375,12.9418
0.246875,12.925
0.25625,12.9092
0.265625,12.8942
0.275,12.88
0.284375,12.8665
0.29375,12.8536
0.303125,12.8414
0.3125,12.8297
0.321875,12.8185
0.33125,12.8078
0.340625,12.7976
0.35,12.7877
0.359375,12.7783
0.36875,12.7692
0.378125,12.7605
0.3875,12.7521
0.396875,12.744
0.40625,12.7361
0.425,12.7213
0.44375,12.7074
0.4625,12.6943
0.5,12.6704
0.53125,12.6525
0.5625,12.6361
0.59375,12.6209
0.625,12.6069
0.6875,12.5819
0.75,12.56
0.8125,12.5407
0.875,12.5235
0.9375,12.508
1,12.494
1.0625,12.4812
1.125,12.4694
1.1875,12.4586
1.25,12.4486
1.375,12.4306
1.5,12.4149
1.625,12.401
1.75,12.3885
1.875,12.3773
2,12.3671
2.1875,12.3533
2.375,12.3412
2.5625,12.3303
2.75,12.3205
2.9375,12.3115
3.125,12.3033
3.3125,12.2958
3.5,12.2888
3.875,12.2762
4.25,12.2651
4.625,12.2552
5,12.2462
5.3125,12.2394
5.625,12.233
5.9375,12.2271
6.25,12.2215
6.875,12.2112
7.5,12.2019
8.125,12.1934
8.75,12.1855
9.375,12.1782
10,12.1714
10.625,12.165
11.25,12.1589
11.875,12.1531
12.5,12.1476
13.75,12.1371
15,12.1274
16.25,12.1183
17.5,12.1096
18.75,12.1013
20,12.0934
21.25,12.0857
22.5,12.0783
23.75,12.071
25,12.064
27.5,12.0504
30,12.0373
32.5,12.0245
35,12.012
37.5,11.9999
40,11.988
42.5,11.9763
45,11.9648
47.5,11.9535
50,11.9423
52.5,11.9313
55,11.9204
57.5,11.9096
60,11.8988
62.5,11.8882
65,11.8777
67.5,11.8672
70,11.8568
75,11.8363
80,11.816
