E_eV,Sig_b
1e-05,202.158
1.03125e-05,199.083
1.0625e-05,196.144
1.09375e-05,193.333
1.125e-05,190.639
1.15625e-05,188.056
1.1875e-05,185.576
1.21875e-05,183.191
1.25e-05,180.897
1.28125e-05,178.687
1.3125e-05,176.557
1.34375e-05,174.502
1.375e-05,172.517
1.4375e-05,168.744
1.5e-05,165.209
1.54624e-05,162.734
1.59248e-05,160.367
1.63871e-05,158.101
1.68495e-05,155.93
1.6875e-05,155.813
1.69531e-05,155.455
1.70313e-05,155.101
1.71875e-05,154.398
1.75e-05,153.022
1.8125e-05,150.377
1.875e-05,147.866
1.9375e-05,145.478
2e-05,143.203
2.06427e-05,140.972
2.12854e-05,138.843
2.19281e-05,136.809
2.25708e-05,134.862
2.32136e-05,132.997
2.38563e-05,131.208
2.4499e-05,129.491
2.51417e-05,127.839
2.63208e-05,124.969
2.75e-05,122.286
2.84375e-05,120.273
2.9375e-05,118.358
3.03125e-05,116.533
3.125e-05,114.79
3.21875e-05,113.125
3.3125e-05,111.531
3.40625e-05,110.004
3.5e-05,108.538
3.625e-05,106.674
3.75e-05,104.904
3.875e-05,103.221
4e-05,101.617
4.125e-05,100.088
4.25e-05,98.6265
4.4375e-05,96.5519
4.625e-05,94.6055
4.8125e-05,92.7745
5e-05,91.0481
5.22464e-05,89.104
5.44928e-05,87.2821
5.67392e-05,85.5701
5.89856e-05,83.9574
6.07428e-05,82.7593
6.25e-05,81.6123
6.40625e-05,80.6326
6.5625e-05,79.6883
6.71875e-05,78.7774
6.875e-05,77.898
7.1875e-05,76.2265
7.5e-05,74.6615
7.75e-05,73.4788
8e-05,72.3524
8.375e-05,70.7591
8.75e-05,69.2703
9.0625e-05,68.1015
9.375e-05,66.9922
9.6875e-05,65.9375
0.0001,64.9332
0.000104493,63.5698
0.000108986,62.2925
0.000113478,61.0926
0.000117971,59.9628
0.000121486,59.1235
0.000125,58.3203
0.000128125,57.6344
0.00013125,56.9734
0.000134375,56.336
0.0001375,55.7206
0.00014375,54.5516
0.00015,53.4573
0.000155,52.6307
0.00016,51.8437
0.0001675,50.7309
0.000175,49.6916
0.00018125,48.876
0.0001875,48.1022
