E_eV,Sig_b
1e-05,2.47375e+06
1.0325e-05,2.43452e+06
1.065e-05,2.3971e+06
1.0975e-05,2.36135e+06
1.13e-05,2.32715e+06
1.1625e-05,2.2944e+06
1.195e-05,2.263e+06
1.2275e-05,2.23285e+06
1.26e-05,2.20388e+06
1.3e-05,2.16972e+06
1.34e-05,2.1371e+06
1.38e-05,2.10591e+06
1.42e-05,2.07605e+06
1.46e-05,2.04743e+06
1.5e-05,2.01996e+06
1.54e-05,1.99356e+06
1.58e-05,1.96818e+06
1.6325e-05,1.93629e+06
1.685e-05,1.9059e+06
1.7375e-05,1.8769e+06
1.79e-05,1.84918e+06
1.8425e-05,1.82266e+06
1.895e-05,1.79725e+06
1.9475e-05,1.77287e+06
2e-05,1.74946e+06
2.06375e-05,1.72224e+06
2.1275e-05,1.69626e+06
2.19125e-05,1.67142e+06
2.255e-05,1.64764e+06
2.31875e-05,1.62485e+06
2.3825e-05,1.60297e+06
2.44625e-05,1.58197e+06
2.51e-05,1.56176e+06
2.59125e-05,1.5371e+06
2.6725e-05,1.51357e+06
2.75375e-05,1.49109e+06
2.835e-05,1.46959e+06
2.91625e-05,1.44899e+06
2.9975e-05,1.42923e+06
3.07875e-05,1.41026e+06
3.16e-05,1.39203e+06
3.2625e-05,1.37001e+06
3.365e-05,1.349e+06
3.4675e-05,1.32893e+06
3.57e-05,1.30974e+06
3.6725e-05,1.29135e+06
3.775e-05,1.27372e+06
3.8775e-05,1.25679e+06
3.98e-05,1.24052e+06
4.1075e-05,1.22113e+06
4.235e-05,1.20263e+06
4.3625e-05,1.18495e+06
4.49e-05,1.16803e+06
4.6175e-05,1.15181e+06
4.745e-05,1.13625e+06
4.8725e-05,1.12131e+06
5e-05,1.10694e+06
5.01e-05,1.10583e+06
5.05063e-05,1.10138e+06
5.09125e-05,1.09699e+06
5.1725e-05,1.08835e+06
5.335e-05,1.07167e+06
5.4975e-05,1.05574e+06
5.66e-05,1.0405e+06
5.8225e-05,1.0259e+06
5.985e-05,1.0119e+06
6.1475e-05,998460
6.31e-05,985543
6.51375e-05,970035
6.7175e-05,955239
6.92125e-05,941102
7.125e-05,927575
7.32875e-05,914617
7.5325e-05,902189
7.73625e-05,890256
7.94e-05,878785
8.1975e-05,864905
8.455e-05,851664
8.7125e-05,839016
8.97e-05,826916
9.2275e-05,815327
9.485e-05,804213
9.7425e-05,793544
0.0001,783290
0.00010325,770900
0.0001065,759082
0.00010975,747793
0.000113,736995
0.00011625,726655
0.0001195,716739
0.00012275,707220
0.000126,698072
0.00013,687289
0.000134,676992
0.000138,667147
0.000142,657722
0.000146,648687
0.00015,640016
0.000154,631686
0.000158,623675
0.00016325,613611
0.0001685,604022
0.00017375,594872
0.000179,586127
0.00018425,577760
0.0001895,569744
0.00019475,562055
0.0002,554671
0.000206375,546087
0.00021275,537893
0.000219125,530059
0.0002255,522561
0.000231875,515375
0.00023825,508480
0.000244625,501857
0.000251,495488
0.000259125,487716
0.00026725,480301
0.000275375,473218
0.0002835,466442
0.000291625,459952
0.00029975,453729
0.000307875,447754
0.000316,442012
0.00032625,435077
0.0003365,428463
0.00034675,422145
0.000357,416102
0.00036725,410315
0.0003775,404766
0.00038775,399439
0.000398,394320
0.00041075,388223
0.0004235,382405
0.00043625,376844
0.000449,371523
0.00046175,366425
0.0004745,361535
0.00048725,356839
0.0005,352324
0.000501,351978
0.000505062,350580
0.000509125,349198
0.00051725,346486
0.0005335,341247
0.00054975,336245
0.000566,331460
0.00058225,326878
0.0005985,322485
0.00061475,318268
0.000631,314217
0.000651375,309353
0.00067175,304715
0.000692125,300284
0.0007125,296045
0.000732875,291986
0.00075325,288094
0.000773625,284357
0.000794,280767
0.00081975,276423
0.0008455,272282
0.00087125,268326
0.000897,264544
0.00092275,260922
0.0009485,257450
0.00097425,254118
0.001,250917
0.0010325,247050
0.001065,243364
0.0010975,239844
0.00113,236478
0.0011625,233256
0.001195,230168
0.0012275,227205
0.00126,224359
0.0013,221005
0.00134,217804
0.00138,214745
0.00142,211818
0.00146,209013
0.0015,206324
0.00154,203741
0.00158,201258
0.0016325,198141
0.001685,195173
0.0017375,192342
0.00179,189639
0.0018425,187054
0.001895,184580
0.0019475,182207
0.002,179931
0.00206375,177286
0.0021275,174763
0.00219125,172354
0.002255,170049
0.00231875,167842
0.0023825,165726
0.00244625,163695
0.00251,161744
0.00259125,159364
0.0026725,157097
0.00275375,154932
0.002835,152864
0.00291625,150885
0.0029975,148989
0.00307875,147171
0.00316,145425
0.0032625,143318
0.003365,141312
0.0034675,139397
0.00357,137568
0.0036725,135818
0.003775,134142
0.0038775,132536
0.00398,130994
0.0041075,129159
0.004235,127410
0.0043625,125742
0.00449,124147
0.0046175,122621
0.004745,121160
0.0048725,119758
0.005,118412
0.00501,118309
0.00505062,117892
0.00509125,117481
0.0051725,116674
0.005335,115117
0.0054975,113632
0.00566,112215
0.0058225,110859
0.005985,109561
0.0061475,108317
0.00631,107123
0.00651375,105692
0.0067175,104330
0.00692125,103030
0.007125,101788
0.00732875,100601
0.0075325,99464.3
0.00773625,98374.3
0.00794,97328
0.0081975,96063.8
0.008455,94859.8
0.0087125,93711.2
0.00897,92614
0.0092275,91564.2
0.009485,90558.5
0.0097425,89593.9
0.01,88667.4
0.0105275,86878.3
0.011055,85219.6
0.0115825,83675.3
0.01211,82231.6
0.0126375,80877.1
0.013165,79601.6
0.0136925,78396.6
0.01422,77254.8
0.01468,76305.4
0.01514,75395.2
0.0156,74520.8
0.01606,73679.1
0.01698,72083.1
0.0179,70588.2
0.01895,68985.4
0.02,67474.9
0.0206625,66562.1
0.021325,65676.5
0.02265,63975.3
0.023975,62352
0.0253,60791
0.0268,59084.3
0.0281703,57570.3
0.0295406,56091.1
0.0309109,54640.7
0.0322813,53214.8
0.0336516,51810
0.0350219,50424.4
0.0363922,49056.4
0.0377625,47705.5
0.0392922,46217.4
0.0408219,44750.8
0.0423516,43306.4
0.0438813,41885.5
0.0454109,40489.3
0.0469406,39119.3
0.0484703,37777.1
0.05,36464.2
0.05012,36362.4
0.0505256,36020
0.0509313,35679.7
0.0517425,35005.8
0.053365,33684.9
0.0549875,32401
0.05661,31154.9
