E_eV,Sig_b
1e-05,159423
1.03125e-05,156989
1.0625e-05,154664
1.09375e-05,152438
1.125e-05,150307
1.15625e-05,148262
1.1875e-05,146298
1.21875e-05,144411
1.25e-05,142594
1.28125e-05,140845
1.3125e-05,139158
1.34375e-05,137531
1.375e-05,135959
1.4375e-05,132971
1.5e-05,130172
1.5625e-05,127543
1.625e-05,125066
1.6875e-05,122729
1.75e-05,120518
1.8125e-05,118422
1.875e-05,116432
1.9375e-05,114539
2e-05,112736
2.09375e-05,110184
2.1875e-05,107797
2.28125e-05,105560
2.375e-05,103456
2.46875e-05,101473
2.5625e-05,99600.1
2.65625e-05,97827.2
2.75e-05,96145.8
2.84375e-05,94548.2
2.9375e-05,93027.7
3.03125e-05,91578.4
3.125e-05,90194.7
3.21875e-05,88872
3.3125e-05,87605.8
3.40625e-05,86392.3
3.5e-05,85227.9
3.59375e-05,84109.3
3.6875e-05,83033.7
3.78125e-05,81998.3
3.875e-05,81000.8
3.96875e-05,80038.8
4.0625e-05,79110.3
4.25e-05,77346.4
4.4375e-05,75695.5
4.625e-05,74146.1
4.8125e-05,72688.1
5e-05,71312.9
5.15625e-05,70224.7
5.3125e-05,69184.9
5.46875e-05,68190
5.625e-05,67236.9
5.78125e-05,66322.6
5.9375e-05,65444.7
6.09375e-05,64600.8
6.25e-05,63788.7
6.40625e-05,63006.6
6.5625e-05,62252.5
6.71875e-05,61524.9
6.875e-05,60822.3
7.1875e-05,59486.4
7.5e-05,58234.9
7.8125e-05,57059.3
8.125e-05,55952.2
8.4375e-05,54907.2
8.75e-05,53918.7
9.0625e-05,52981.8
9.375e-05,52092.1
9.6875e-05,51245.9
0.0001,50439.7
0.000103125,49670.4
0.00010625,48935.3
0.000109375,48231.9
0.0001125,47558.1
0.000115625,46911.7
0.00011875,46291.1
0.000121875,45694.5
0.000125,45120.4
0.000128125,44567.5
0.00013125,44034.4
0.000134375,43520.1
0.0001375,43023.3
0.00014375,42078.9
0.00015,41194.2
0.00015625,40363.2
0.0001625,39580.5
0.00016875,38841.8
0.000175,38143
0.00018125,37480.7
0.0001875,36851.8
0.00019375,36253.6
0.0002,35683.7
0.000209375,34877.1
0.00021875,34123
0.000228125,33415.8
0.0002375,32751
0.000246875,32124.4
0.00025625,31532.6
0.000265625,30972.3
0.000275,30441
0.000284375,29936.2
0.00029375,29455.7
0.000303125,28997.7
0.0003125,28560.5
0.000321875,28142.6
0.00033125,27742.5
0.000340625,27359
0.00035,26991.1
0.000359375,26637.6
0.00036875,26297.8
0.000378125,25970.6
0.0003875,25655.4
0.000396875,25351.4
0.00040625,25058
0.000425,24500.7
0.00044375,23979
0.0004625,23489.4
0.00048125,23028.7
0.0005,22594.2
0.000515625,22250.4
0.00053125,21921.8
0.000546875,21607.4
0.0005625,21306.2
0.000578125,21017.3
0.00059375,20739.9
0.000609375,20473.2
0.000625,20216.6
0.000640625,19969.4
0.00065625,19731.2
0.000671875,19501.2
0.0006875,19279.2
0.00071875,18857
0.00075,18461.5
0.00078125,18090
0.0008125,17740.1
0.00084375,17409.8
0.000875,17097.4
0.00090625,16801.3
0.0009375,16520.1
0.00096875,16252.6
0.001,15997.8
0.00103125,15754.6
0.0010625,15522.2
0.00109375,15299.9
0.001125,15086.9
0.00115625,14882.6
0.0011875,14686.3
0.00121875,14497.7
0.00125,14316.2
0.00128125,14141.4
0.0013125,13972.8
0.00134375,13810.2
0.001375,13653.1
0.0014375,13354.5
0.0015,13074.7
0.0015625,12811.9
0.001625,12564.3
0.0016875,12330.7
0.00175,12109.6
0.0018125,11900.1
0.001875,11701.1
0.0019375,11511.8
0.002,11331.5
0.00209375,11076.2
0.0021875,10837.5
0.00228125,10613.7
0.002375,10403.2
0.00246875,10204.9
0.0025625,10017.5
0.00265625,9840.05
0.00275,9671.78
0.00284375,9511.88
0.0029375,9359.69
0.00303125,9214.6
0.003125,9076.08
0.00321875,8943.65
0.0033125,8816.86
0.00340625,8695.34
0.0035,8578.72
0.00359375,8466.69
0.0036875,8358.95
0.00378125,8255.23
0.003875,8155.29
0.00396875,8058.9
0.0040625,7965.86
0.00425,7789.07
0.0044375,7623.58
0.004625,7468.23
0.0048125,7322.02
0.005,7184.09
0.00515625,7074.92
0.0053125,6970.58
0.00546875,6870.74
0.005625,6775.07
0.00578125,6683.3
0.0059375,6595.16
0.00609375,6510.41
0.00625,6428.86
0.00640625,6350.29
0.0065625,6274.54
0.00671875,6201.43
0.006875,6130.82
0.0071875,5996.54
0.0075,5870.69
0.0078125,5752.43
0.008125,5641.02
0.0084375,5535.82
0.00875,5436.27
0.0090625,5341.89
0.009375,5252.23
0.0096875,5166.92
0.01,5085.61
0.0103125,5008.01
0.010625,4933.83
0.0109375,4862.84
0.01125,4794.8
0.0115625,4729.53
0.011875,4666.83
0.0121875,4606.54
0.0125,4548.52
0.0128125,4492.61
0.013125,4438.7
0.0134375,4386.66
0.01375,4336.39
0.014375,4240.77
0.015,4151.13
0.015625,4066.85
0.01625,3987.43
0.016875,3912.41
0.0175,3841.4
0.018125,3774.05
0.01875,3710.05
0.019375,3649.14
0.02,3591.07
0.0206625,3532.38
0.021325,3476.41
0.0219875,3422.96
0.02265,3371.83
0.0233125,3322.88
0.023975,3275.93
0.0246375,3230.86
0.0253,3187.55
0.0263613,3121.54
