E_eV,Sig_b
1e-05,42270.1
1.03125e-05,41624.7
1.0625e-05,41008.1
1.09375e-05,40418
1.125e-05,39852.7
1.15625e-05,39310.5
1.1875e-05,38789.8
1.21875e-05,38289.3
1.25e-05,37807.7
1.28125e-05,37343.8
1.3125e-05,36896.6
1.34375e-05,36465
1.375e-05,36048.3
1.4375e-05,35256
1.5e-05,34513.7
1.54624e-05,33993.8
1.59248e-05,33496.7
1.63871e-05,33020.7
1.68495e-05,32564.5
1.6875e-05,32539.9
1.69531e-05,32464.9
1.70313e-05,32390.3
1.71875e-05,32242.8
1.75e-05,31953.6
1.8125e-05,31397.9
1.875e-05,30870.2
1.9375e-05,30368.2
2e-05,29890
2.06427e-05,29421
2.12854e-05,28973.5
2.19281e-05,28545.7
2.25708e-05,28136.4
2.32136e-05,27744.2
2.38563e-05,27367.9
2.4499e-05,27006.6
2.51417e-05,26659.2
2.63208e-05,26055.3
2.75e-05,25490.6
2.84375e-05,25066.9
2.9375e-05,24663.7
3.03125e-05,24279.4
3.125e-05,23912.4
3.21875e-05,23561.7
3.3125e-05,23225.9
3.40625e-05,22904.1
3.5e-05,22595.3
3.625e-05,22202.3
3.75e-05,21829.2
3.875e-05,21474.3
4e-05,21136.1
4.125e-05,20813.5
4.25e-05,20505.1
4.4375e-05,20067.3
4.625e-05,19656.4
4.8125e-05,19269.7
5e-05,18905
5.22464e-05,18494.2
5.44928e-05,18109.1
5.67392e-05,17747
5.89856e-05,17405.9
6.07428e-05,17152.3
6.25e-05,16909.5
6.40625e-05,16702.1
6.5625e-05,16502.1
6.71875e-05,16309.1
6.875e-05,16122.8
7.1875e-05,15768.4
7.5e-05,15436.5
7.75e-05,15185.6
8e-05,14946.5
8.375e-05,14608.1
8.75e-05,14291.7
9.0625e-05,14043.2
9.375e-05,13807.2
9.6875e-05,13582.8
0.0001,13368.9
0.000104493,13078.5
0.000108986,12806.1
0.000113478,12550.2
0.000117971,12308.9
0.000121486,12129.7
0.000125,11958
0.000128125,11811.3
0.00013125,11669.9
0.000134375,11533.5
0.0001375,11401.7
0.00014375,11151.2
0.00015,10916.5
0.000155,10739.1
0.00016,10570
0.0001675,10330.8
0.000175,10107.1
0.00018125,9931.36
0.0001875,9764.52
0.00019375,9605.82
0.0002,9454.62
0.000206827,9297.35
0.000213655,9147.67
0.000220482,9005.01
0.00022731,8868.82
0.000234137,8738.64
0.000240964,8614.03
0.000247792,8494.6
0.000254619,8380.02
0.000264809,8217.3
0.000275,8063.71
0.000284358,7930.01
0.000293716,7802.75
0.000294922,7786.8
0.000298057,7745.77
0.000301191,7705.38
0.000307461,7626.47
0.00032,7475.68
0.000335,7306.52
0.00035,7148.37
0.000359375,7054.59
0.00036875,6964.41
0.000378125,6877.61
0.0003875,6793.97
0.000396875,6713.32
0.00040625,6635.48
0.000425,6487.59
0.00044375,6349.18
0.0004625,6219.27
0.00048125,6097.04
0.0005,5981.74
0.000515625,5890.51
0.00053125,5803.33
0.000546875,5719.91
0.0005625,5640
0.000578125,5563.34
0.00059375,5489.74
0.000609375,5418.98
0.000625,5350.9
0.00064,5287.89
0.0006675,5177.96
0.000695,5074.61
0.0007225,4977.22
0.00075,4885.24
0.00078125,4786.67
0.0008125,4693.84
0.00084375,4606.22
0.000875,4523.34
0.00090625,4444.78
0.0009375,4370.18
0.00096875,4299.22
0.001,4231.62
0.00103125,4167.11
0.0010625,4105.47
0.00109375,4046.49
0.001125,3989.99
0.00115625,3935.79
0.0011875,3883.75
0.00121875,3833.72
0.00125,3785.58
0.00128,3741.04
0.001335,3663.3
0.00139,3590.23
0.001445,3521.37
0.0015,3456.34
0.0015625,3386.64
0.001625,3321.01
0.0016875,3259.05
0.00175,3200.45
0.0018125,3144.91
0.001875,3092.16
0.0019375,3041.99
0.002,2994.19
0.00207,2943.25
0.00214,2894.82
0.00221,2848.72
0.00228,2804.75
0.00235,2762.77
0.00242,2722.62
0.00249,2684.17
0.00256,2647.32
0.0025625,2646.03
0.00256836,2643.02
0.00257422,2640.01
0.00258594,2634.04
0.00260938,2622.22
0.00265625,2599.04
0.00275,2554.47
0.00284375,2512.13
0.0029375,2471.83
0.00303125,2433.41
0.003125,2396.74
0.00321875,2361.68
0.0033125,2328.12
0.00340625,2295.95
0.0035,2265.09
0.00359375,2235.44
0.0036875,2206.93
0.00378125,2179.49
0.003875,2153.05
0.00396875,2127.55
0.0040625,2102.94
0.00425,2056.19
0.0044375,2012.43
0.004625,1971.36
0.0048125,1932.72
0.005,1896.27
0.00512,1874
0.00526125,1848.77
0.0054025,1824.53
0.00554375,1801.23
0.005685,1778.8
0.00582625,1757.19
0.0059675,1736.35
0.00610875,1716.25
0.00625,1696.82
0.00640625,1676.09
0.0065625,1656.1
0.00671875,1636.82
0.006875,1618.19
0.0071875,1582.78
0.0075,1549.6
0.0078125,1518.44
0.008125,1489.09
0.0084375,1461.39
0.00875,1435.18
0.0090625,1410.35
0.009375,1386.76
0.0096875,1364.33
0.01,1342.95
0.0103125,1322.56
0.010625,1303.07
0.0109375,1284.42
0.01125,1266.56
0.0115625,1249.42
0.011875,1232.97
0.0121875,1217.15
0.0125,1201.93
0.0128125,1187.28
0.013125,1173.14
0.0134375,1159.51
0.01375,1146.34
0.014375,1121.3
0.015,1097.85
0.015625,1075.81
0.01625,1055.06
0.016875,1035.47
0.0175,1016.94
0.018125,999.377
0.01875,982.701
0.019375,966.839
0.02,951.726
0.0206625,936.461
0.021325,921.914
0.0219875,908.03
0.02265,894.76
0.0233125,882.061
0.023975,869.891
0.0246375,858.216
0.0253,847.002
0.026113,833.826
0.026926,821.25
0.0277391,809.231
0.0285521,797.728
0.0293651,786.708
0.0301781,776.139
0.0309911,765.99
0.0318042,756.236
0.0331138,741.288
0.0344234,727.201
0.0357331,713.89
0.0370427,701.286
0.0383524,689.329
0.039662,677.97
0.0409716,667.163
0.0422812,656.865
0.0442109,642.539
0.0461406,629.121
0.0480703,616.519
0.05,604.651
0.0506,601.099
0.0520875,592.56
0.053575,584.378
0.0550625,576.528
0.05655,568.988
0.0580375,561.741
0.059525,554.768
0.0610125,548.054
0.0625,541.584
0.0640625,535.036
0.065625,528.727
0.0671875,522.641
0.06875,516.764
0.071875,505.577
0.075,495.08
0.078125,485.214
0.08125,475.93
0.084375,467.178
0.0875,458.904
0.090625,451.062
0.09375,443.612
0.096875,436.524
0.1,429.769
0.102753,424.075
0.105507,418.606
0.10826,413.345
0.111013,408.279
0.113766,403.397
0.116519,398.689
0.119273,394.146
0.122026,389.759
0.125,385.186
0.128125,380.557
0.13125,376.099
0.134375,371.803
0.1375,367.655
0.14375,359.754
0.15,352.326
0.15625,345.35
0.1625,338.787
0.16875,332.603
0.175,326.762
0.18125,321.221
0.1875,315.955
0.19375,310.948
0.2,306.175
0.206804,301.232
0.213608,296.524
0.220413,292.03
0.227217,287.74
0.234021,283.638
0.240825,279.71
0.247629,275.947
0.254433,272.337
0.264717,267.156
0.275,262.286
0.284375,258.074
0.29375,254.045
0.303125,250.206
0.3125,246.543
0.321875,243.035
0.33125,239.683
0.340625,236.479
0.35,233.409
0.359375,230.454
0.36875,227.606
0.378125,224.872
0.3875,222.243
0.396875,219.699
0.40625,217.24
0.415625,214.872
0.425,212.584
0.44375,208.213
0.4625,204.119
0.5,196.635
0.53125,191.017
0.5625,185.908
0.59375,181.153
0.625,176.775
0.6875,168.947
0.75,162.125
0.8125,156.107
0.875,150.752
0.9375,145.94
1,141.592
1.0625,137.63
1.125,134.035
1.1875,130.682
1.25,127.605
1.375,122.092
1.5,117.292
1.625,113.06
1.75,109.297
1.875,105.917
2,102.863
2.14419,99.6752
2.28838,96.821
2.43256,94.1904
2.57675,91.798
2.75,89.1856
2.9375,86.627
3.125,84.3103
3.3125,82.187
3.5,80.2355
3.78125,77.5948
4.0625,75.2368
4.07093,75.1693
4.09332,74.9924
4.1157,74.8182
4.16047,74.475
4.25,73.8006
4.4375,72.4685
4.625,71.2107
4.8125,70.0145
5,68.9051
5.45621,66.4347
5.91242,64.2682
6.36862,62.3465
6.82483,60.6169
6.83818,60.5689
6.8803,60.4199
6.92242,60.2736
7.00666,59.985
7.17515,59.4261
7.51211,58.3298
8.18605,56.3769
8.51855,55.5014
8.53454,55.4606
8.58033,55.3455
8.62613,55.2318
8.71772,55.007
8.9009,54.5659
9.26727,53.7127
10,52.1603
11.0004,50.1262
12.0008,48.2487
13.0012,46.5117
14.0016,44.8828
15.002,43.3422
16.0024,41.8788
17.0028,40.4775
18.0033,39.1299
19.0016,37.8306
19.5008,37.1997
19.7504,36.8846
19.8752,36.728
19.9376,36.6539
20,36.5904
20.0933,36.5211
20.1866,36.4677
20.3732,36.3664
20.7464,36.1679
21.4928,35.7811
22.9856,35.0541
24.4784,34.3764
25.9713,33.7448
28.9569,32.5831
31.9425,31.529
36.4569,30.0932
40.9713,28.8065
45.4856,27.6352
50,26.5699
54.007,25.8502
57.403,25.3028
58.722,25.1052
62.36,24.6025
65.998,24.1598
70,23.7397
72.8626,23.5058
75.7253,23.3032
81.4505,22.9851
87.1758,22.7649
92.901,22.6186
100,22.5253
106.01,22.5452
111.35,22.5976
120.69,22.7616
120.98,22.7682
121.86,22.7888
122.74,22.8103
123.32,22.8249
125.116,22.873
126.913,22.9278
130.505,23.0422
137.69,23.3005
138.82,23.3453
142.28,23.4859
143.55,23.5381
145.53,23.6193
147.99,23.7186
148.49,23.7384
149.76,23.7879
151.03,23.836
154.84,23.9663
158.65,24.0824
158.98,24.0912
159.905,24.1141
160.83,24.1353
162.68,24.1724
166.74,24.2273
173.61,24.2343
175.38,24.2186
175.545,24.2168
175.68,24.2153
175.95,24.212
176.695,24.2023
177.44,24.1913
179.053,24.1636
180.665,24.1304
185.502,23.9952
