E_eV,Sig_b
1e-05,625.548
1.03125e-05,616.012
1.0625e-05,606.9
1.09375e-05,598.182
1.125e-05,589.829
1.15625e-05,581.818
1.1875e-05,574.125
1.21875e-05,566.731
1.25e-05,559.615
1.28125e-05,552.762
1.3125e-05,546.155
1.34375e-05,539.78
1.375e-05,533.623
1.4375e-05,521.919
1.5e-05,510.954
1.5625e-05,500.655
1.625e-05,490.956
1.6875e-05,481.802
1.75e-05,473.143
1.8125e-05,464.936
1.875e-05,457.143
1.9375e-05,449.731
2e-05,442.669
2.09375e-05,432.676
2.1875e-05,423.333
2.28125e-05,414.573
2.375e-05,406.338
2.46875e-05,398.576
2.5625e-05,391.245
2.65625e-05,384.306
2.75e-05,377.726
2.84375e-05,371.474
2.9375e-05,365.524
3.03125e-05,359.853
3.125e-05,354.439
3.21875e-05,349.264
3.3125e-05,344.311
3.40625e-05,339.564
3.5e-05,335.009
3.59375e-05,330.634
3.6875e-05,326.427
3.78125e-05,322.378
3.875e-05,318.477
3.96875e-05,314.715
4.0625e-05,311.084
4.25e-05,304.188
4.4375e-05,297.734
4.625e-05,291.677
4.8125e-05,285.979
5e-05,280.605
5.15625e-05,276.353
5.3125e-05,272.291
5.46875e-05,268.404
5.625e-05,264.681
5.78125e-05,261.11
5.9375e-05,257.682
6.09375e-05,254.386
6.25e-05,251.215
6.40625e-05,248.162
6.5625e-05,245.218
6.71875e-05,242.378
6.875e-05,239.635
7.1875e-05,234.422
7.5e-05,229.539
7.8125e-05,224.954
8.125e-05,220.636
8.4375e-05,216.561
8.75e-05,212.707
9.0625e-05,209.055
9.375e-05,205.589
9.6875e-05,202.291
0.0001,199.151
0.000103125,196.154
0.00010625,193.292
0.000109375,190.554
0.0001125,187.931
0.000115625,185.415
0.00011875,183
0.000121875,180.679
0.000125,178.446
0.000128125,176.296
0.00013125,174.223
0.000134375,172.224
0.0001375,170.293
0.00014375,166.623
0.00015,163.187
0.00015625,159.96
0.0001625,156.922
0.00016875,154.056
0.000175,151.345
0.00018125,148.777
0.0001875,146.339
0.00019375,144.021
0.0002,141.813
0.000209375,138.69
0.00021875,135.772
0.000228125,133.036
0.0002375,130.466
0.000246875,128.044
0.00025625,125.758
0.000265625,123.595
0.000275,121.544
0.000284375,119.596
0.00029375,117.744
0.000303125,115.978
0.0003125,114.294
0.000321875,112.684
0.00033125,111.144
0.000340625,109.668
0.00035,108.253
0.000359375,106.894
0.00036875,105.588
0.000378125,104.331
0.0003875,103.12
0.000396875,101.953
0.00040625,100.827
0.000425,98.6895
0.00044375,96.69
0.0004625,94.8147
0.00048125,93.0513
0.0005,91.3891
0.000515625,90.0745
0.00053125,88.819
0.000546875,87.6183
0.0005625,86.4686
0.000578125,85.3664
0.00059375,84.3084
0.000609375,83.2919
0.000625,82.3142
0.000640625,81.3728
0.00065625,80.4657
0.000671875,79.5908
0.0006875,78.7463
0.00071875,77.1415
0.00075,75.6393
0.00078125,74.2292
0.0008125,72.9022
0.00084375,71.6505
0.000875,70.4672
0.00090625,69.3464
0.0009375,68.2828
0.00096875,67.2716
0.001,66.3088
0.00103125,65.3906
0.0010625,64.5136
0.00109375,63.6749
0.001125,62.8718
0.00115625,62.1019
0.0011875,61.3629
0.00121875,60.6528
0.00125,59.9698
0.00128125,59.3122
0.0013125,58.6785
0.00134375,58.0673
0.001375,57.4772
0.0014375,56.3559
0.0015,55.3062
0.0015625,54.3208
0.001625,53.3933
0.0016875,52.5184
0.00175,51.6912
0.0018125,50.9076
0.001875,50.1639
0.0019375,49.4568
0.002,48.7834
0.00209375,47.8309
0.0021875,46.9408
0.00228125,46.1067
0.002375,45.3229
0.00246875,44.5845
0.0025625,43.8873
0.00265625,43.2277
0.00275,42.6024
0.00284375,42.0085
0.0029375,41.4435
0.00303125,40.9051
0.003125,40.3913
0.00321875,39.9003
0.0033125,39.4304
0.00340625,38.9802
0.0035,38.5483
0.00359375,38.1336
0.0036875,37.7349
0.00378125,37.3512
0.003875,36.9816
0.00396875,36.6252
0.0040625,36.2814
0.00425,35.6284
0.0044375,35.0175
0.004625,34.4443
0.0048125,33.9052
0.005,33.3969
0.00515625,32.9947
0.0053125,32.6106
0.00546875,32.2431
0.005625,31.8911
0.00578125,31.5536
0.0059375,31.2296
0.00609375,30.9182
0.00625,30.6185
0.00640625,30.33
0.0065625,30.0519
0.00671875,29.7836
0.006875,29.5245
0.0071875,29.0321
0.0075,28.5709
0.0078125,28.1378
0.008125,27.7301
0.0084375,27.3453
0.00875,26.9814
0.0090625,26.6366
0.009375,26.3092
0.0096875,25.9979
0.01,25.7013
0.0103125,25.4184
0.010625,25.1481
0.0109375,24.8896
0.01125,24.6419
0.0115625,24.4044
0.011875,24.1763
0.0121875,23.9571
0.0125,23.7463
0.0128125,23.5432
0.013125,23.3474
0.0134375,23.1585
0.01375,22.9762
0.014375,22.6295
0.015,22.3048
0.015625,21.9998
0.01625,21.7126
0.016875,21.4416
0.0175,21.1852
0.018125,20.9423
0.01875,20.7117
0.019375,20.4923
0.02,20.2833
0.0206625,20.0723
0.021325,19.8711
0.0219875,19.6792
0.02265,19.4958
0.0233125,19.3203
0.023975,19.1521
0.0246375,18.9908
0.0253,18.8359
0.0264578,18.5792
0.0276156,18.339
0.0287734,18.1134
0.0299312,17.9011
0.0310891,17.7009
0.0322469,17.5115
0.0334047,17.332
0.0345625,17.1617
0.0355273,17.0262
0.0364922,16.8961
0.037457,16.771
0.0384219,16.6507
0.0393867,16.5348
0.0403516,16.4231
0.0413164,16.3154
0.0422812,16.2113
0.0442109,16.0136
0.0461406,15.8283
0.0480703,15.6544
0.05,15.4907
0.0515625,15.3649
0.053125,15.2447
0.0546875,15.1297
0.05625,15.0195
0.0578125,14.9139
0.059375,14.8124
0.0609375,14.7149
0.0625,14.6211
0.0640625,14.5308
0.065625,14.4437
0.0671875,14.3596
0.06875,14.2785
0.071875,14.1242
0.075,13.9796
0.078125,13.8438
0.08125,13.7158
0.084375,13.595
0.0875,13.4808
0.090625,13.3725
0.09375,13.2696
0.096875,13.1718
0.1,13.0786
0.103125,12.9896
0.10625,12.9046
0.109375,12.8233
0.1125,12.7454
0.115625,12.6706
0.11875,12.5989
0.121875,12.5299
0.125,12.4635
0.128125,12.3996
0.13125,12.3379
0.134375,12.2785
0.1375,12.2211
0.14375,12.1119
0.15,12.0095
0.15625,11.9133
0.1625,11.8226
0.16875,11.737
0.175,11.6561
0.18125,11.5793
0.1875,11.5064
0.19375,11.4371
0.2,11.3711
0.209375,11.2776
0.21875,11.1901
0.228125,11.1079
0.2375,11.0307
0.246875,10.9579
0.25625,10.889
0.265625,10.8239
0.275,10.762
0.284375,10.7033
0.29375,10.6473
0.303125,10.5939
0.3125,10.5429
0.321875,10.4942
0.33125,10.4475
0.340625,10.4027
0.35,10.3597
0.359375,10.3184
0.36875,10.2786
0.378125,10.2403
0.3875,10.2035
0.396875,10.1679
0.40625,10.1336
0.425,10.0683
0.44375,10.007
0.4625,9.94941
0.5,9.84409
0.53125,9.76481
0.5625,9.69192
0.59375,9.6247
0.625,9.56246
0.6875,9.45058
0.75,9.35253
0.8125,9.26561
0.875,9.18799
0.9375,9.11787
1,9.05389
1.0625,8.99532
1.125,8.9414
1.1875,8.89152
1.25,8.84515
1.375,8.76134
1.5,8.68733
1.625,8.62121
1.75,8.56166
1.875,8.50744
2,8.45754
2.1875,8.38977
2.375,8.32898
2.5625,8.27383
2.75,8.22343
2.9375,8.17692
3.125,8.13366
3.3125,8.09324
3.5,8.05529
3.6875,8.0195
3.875,7.98559
4.25,7.92262
4.625,7.86499
5,7.81175
5.3125,7.77014
5.625,7.73064
5.9375,7.69301
6.25,7.65701
6.875,7.58918
7.5,7.52596
8.125,7.46646
8.75,7.41008
9.375,7.35628
10,7.30463
10.625,7.25487
11.25,7.20673
11.875,7.16003
12.5,7.11458
13.75,7.02691
15,6.94281
16.25,6.86163
17.5,6.78287
18.75,6.70612
20,6.63103
21.875,6.52099
23.75,6.41345
25.625,6.30783
27.5,6.20365
29.375,6.10052
31.25,5.99805
