E_eV,Sig_b
1e-05,47203.2
1.03125e-05,46482.5
1.0625e-05,45793.9
1.09375e-05,45134.9
1.125e-05,44503.6
1.15625e-05,43898.1
1.1875e-05,43316.6
1.21875e-05,42757.7
1.25e-05,42219.8
1.28125e-05,41701.8
1.3125e-05,41202.4
1.34375e-05,40720.4
1.375e-05,40255
1.4375e-05,39370.2
1.5e-05,38541.3
1.5625e-05,37762.6
1.625e-05,37029.3
1.6875e-05,36337.1
1.75e-05,35682.3
1.8125e-05,35061.7
1.875e-05,34472.4
1.9375e-05,33911.8
2e-05,33377.7
2.09375e-05,32621.9
2.1875e-05,31915.2
2.28125e-05,31252.5
2.375e-05,30629.5
2.46875e-05,30042.3
2.5625e-05,29487.6
2.65625e-05,28962.6
2.75e-05,28464.6
2.84375e-05,27991.5
2.9375e-05,27541.2
3.03125e-05,27112
3.125e-05,26702.2
3.21875e-05,26310.4
3.3125e-05,25935.5
3.40625e-05,25576.1
3.5e-05,25231.2
3.59375e-05,24899.9
3.6875e-05,24581.4
3.78125e-05,24274.7
3.875e-05,23979.3
3.96875e-05,23694.4
4.0625e-05,23419.4
4.25e-05,22896.9
4.4375e-05,22408
4.625e-05,21949.1
4.8125e-05,21517.2
5e-05,21109.9
5.15625e-05,20787.6
5.3125e-05,20479.7
5.46875e-05,20185
5.625e-05,19902.7
5.78125e-05,19631.9
5.9375e-05,19371.8
6.09375e-05,19121.9
6.25e-05,18881.3
6.40625e-05,18649.6
6.5625e-05,18426.3
6.71875e-05,18210.8
6.875e-05,18002.6
7.1875e-05,17606.9
7.5e-05,17236.2
7.8125e-05,16888
8.125e-05,16560
8.4375e-05,16250.5
8.75e-05,15957.6
9.0625e-05,15680.1
9.375e-05,15416.5
9.6875e-05,15165.9
0.0001,14927
0.000103125,14699.1
0.00010625,14481.3
0.000109375,14272.9
0.0001125,14073.3
0.000115625,13881.8
0.00011875,13698
0.000121875,13521.2
0.000125,13351.1
0.000128125,13187.3
0.00013125,13029.4
0.000134375,12877
0.0001375,12729.8
0.00014375,12450
0.00015,12187.9
0.00015625,11941.6
0.0001625,11709.7
0.00016875,11490.8
0.000175,11283.8
0.00018125,11087.5
0.0001875,10901.2
0.00019375,10723.9
0.0002,10555
0.000209375,10316
0.00021875,10092.5
0.000228125,9882.97
0.0002375,9685.95
0.000246875,9500.27
0.00025625,9324.86
0.000265625,9158.83
0.000275,9001.36
0.000284375,8851.75
0.00029375,8709.35
0.000303125,8573.62
0.0003125,8444.03
0.000321875,8320.16
0.00033125,8201.58
0.000340625,8087.92
0.00035,7978.87
0.000359375,7874.11
0.00036875,7773.38
0.000378125,7676.41
0.0003875,7582.98
0.000396875,7492.89
0.00040625,7405.93
0.000425,7240.72
0.00044375,7086.1
0.0004625,6940.98
0.00048125,6804.43
0.0005,6675.63
0.000515625,6573.71
0.00053125,6476.32
0.000546875,6383.13
0.0005625,6293.85
