E_eV,Sig_b
1e-05,2134.4
1.03125e-05,2101.83
1.0625e-05,2070.7
1.09375e-05,2040.92
1.125e-05,2012.39
1.15625e-05,1985.02
1.1875e-05,1958.74
1.21875e-05,1933.48
1.25e-05,1909.17
1.28125e-05,1885.75
1.3125e-05,1863.18
1.34375e-05,1841.4
1.375e-05,1820.37
1.4375e-05,1780.38
1.5e-05,1742.92
1.5625e-05,1707.72
1.625e-05,1674.58
1.6875e-05,1643.3
1.75e-05,1613.71
1.8125e-05,1585.67
1.875e-05,1559.04
1.9375e-05,1533.7
2e-05,1509.57
2.09375e-05,1475.42
2.1875e-05,1443.48
2.28125e-05,1413.54
2.375e-05,1385.39
2.46875e-05,1358.85
2.5625e-05,1333.79
2.65625e-05,1310.07
2.75e-05,1287.57
2.84375e-05,1266.19
2.9375e-05,1245.85
3.03125e-05,1226.46
3.125e-05,1207.94
3.21875e-05,1190.24
3.3125e-05,1173.3
3.40625e-05,1157.07
3.5e-05,1141.49
3.59375e-05,1126.52
3.6875e-05,1112.13
3.78125e-05,1098.28
3.875e-05,1084.94
3.96875e-05,1072.07
4.0625e-05,1059.64
4.25e-05,1036.05
4.4375e-05,1013.96
4.625e-05,993.235
4.8125e-05,973.732
5e-05,955.338
5.15625e-05,940.782
5.3125e-05,926.874
5.46875e-05,913.567
5.625e-05,900.818
5.78125e-05,888.591
5.9375e-05,876.849
6.09375e-05,865.563
6.25e-05,854.702
6.40554e-05,844.289
6.56108e-05,834.249
6.71661e-05,824.559
6.87215e-05,815.201
6.89453e-05,813.88
6.97022e-05,809.462
7.0459e-05,805.116
7.19727e-05,796.63
7.5e-05,780.435
7.8125e-05,764.716
8.125e-05,749.914
8.4375e-05,735.943
8.75e-05,722.728
9.0625e-05,710.204
9.375e-05,698.312
9.6875e-05,687
0.0001,676.224
0.000103125,665.942
0.00010625,656.117
0.000109375,646.717
0.0001125,637.712
0.000115625,629.075
0.00011875,620.782
0.000121875,612.811
0.000125,605.14
0.000128125,597.753
0.00013125,590.631
0.000134375,583.76
0.0001375,577.124
0.00014375,564.509
0.00015,552.693
0.00015625,541.594
0.0001625,531.143
0.00016875,521.279
0.000175,511.949
0.00018125,503.107
0.0001875,494.712
0.00019375,486.727
0.0002,479.12
0.000206541,471.533
0.000213081,464.299
0.000219622,457.391
0.000226163,450.786
0.000232704,444.462
0.000239244,438.4
0.000245785,432.582
0.000252326,426.992
0.000263663,417.802
0.000275,409.188
0.000284375,402.458
0.00029375,396.054
0.000303125,389.95
0.0003125,384.124
0.000321875,378.555
0.00033125,373.225
0.000340625,368.117
0.00035,363.217
0.000359375,358.51
0.00036875,353.984
0.000378125,349.629
0.0003875,345.432
0.000396875,341.386
0.00040625,337.482
0.000425,330.065
0.00044375,323.125
0.0004625,316.613
0.00048125,310.487
0.0005,304.71
0.000515625,300.14
0.00053125,295.773
0.000546875,291.596
0.0005625,287.595
0.000578125,283.757
0.00059375,280.073
0.000609375,276.532
0.000625,273.126
0.000640625,269.845
0.00065625,266.682
0.000671875,263.631
0.0006875,260.685
0.00071875,255.086
0.00075,249.841
0.00078125,244.916
0.0008125,240.279
0.00084375,235.904
0.000875,231.766
0.00090625,227.844
0.0009375,224.122
0.00096875,220.582
0.001,217.21
0.00103125,213.993
0.0010625,210.92
0.00109375,207.98
0.001125,205.164
0.00115625,202.463
0.0011875,199.871
0.00121875,197.379
0.00125,194.982
0.00128125,192.673
0.0013125,190.447
0.00134375,188.3
0.001375,186.227
0.0014375,182.287
0.0015,178.597
0.0015625,175.131
0.001625,171.868
0.0016875,168.789
0.00175,165.877
0.0018125,163.118
0.001875,160.499
0.0019375,158.008
