E_eV,Sig_b
1e-05,710.212
1.03125e-05,699.382
1.0625e-05,689.033
1.09375e-05,679.132
1.125e-05,669.646
1.15625e-05,660.547
1.1875e-05,651.81
1.21875e-05,643.412
1.25e-05,635.331
1.28125e-05,627.547
1.3125e-05,620.043
1.34375e-05,612.803
1.375e-05,605.811
1.4375e-05,592.517
1.5e-05,580.064
1.5625e-05,568.366
1.625e-05,557.35
1.6875e-05,546.953
1.75e-05,537.118
1.8125e-05,527.796
1.875e-05,518.945
1.9375e-05,510.525
2e-05,502.504
2.04994e-05,496.361
2.09988e-05,490.438
2.14983e-05,484.722
2.19977e-05,479.203
2.29965e-05,468.709
2.39953e-05,458.878
2.49942e-05,449.643
2.5993e-05,440.946
2.69919e-05,432.737
2.79907e-05,424.972
2.93061e-05,415.358
3.06216e-05,406.371
3.1937e-05,397.946
3.32525e-05,390.026
3.45679e-05,382.564
3.58834e-05,375.516
3.71988e-05,368.846
3.85143e-05,362.521
3.995e-05,355.978
4.13857e-05,349.779
4.28214e-05,343.895
4.42571e-05,338.3
4.56929e-05,332.972
4.71286e-05,327.889
4.85643e-05,323.034
5e-05,318.389
5.15625e-05,313.557
5.3125e-05,308.941
5.46875e-05,304.524
5.625e-05,300.292
5.78125e-05,296.234
5.9375e-05,292.337
6.09375e-05,288.592
6.25e-05,284.988
6.40625e-05,281.517
6.5625e-05,278.171
6.71875e-05,274.943
6.875e-05,271.826
7.1875e-05,265.9
7.5e-05,260.349
7.8125e-05,255.136
8.125e-05,250.227
8.4375e-05,245.594
8.75e-05,241.213
9.0625e-05,237.06
9.375e-05,233.118
9.6875e-05,229.369
0.0001,225.797
0.000103125,222.39
0.00010625,219.134
0.000109375,216.02
0.0001125,213.036
0.000115625,210.175
0.00011875,207.428
0.000121875,204.788
0.000125,202.247
0.000128125,199.801
0.00013125,197.443
0.000134375,195.168
0.0001375,192.971
0.00014375,188.796
0.00015,184.885
0.00015625,181.212
0.0001625,177.754
0.00016875,174.491
0.000175,171.406
0.00018125,168.482
0.0001875,165.706
0.00019375,163.067
0.0002,160.553
0.000204994,158.627
0.000209988,156.771
0.000214983,154.981
0.000219977,153.252
0.000229965,149.966
0.000239953,146.888
0.000249942,143.998
0.00025993,141.277
0.000269919,138.71
0.000279907,136.282
0.000293061,133.277
0.000306216,130.469
0.00031937,127.838
0.000332525,125.365
0.000345679,123.036
0.000358834,120.837
0.000371988,118.757
0.000385143,116.785
0.0003995,114.745
0.000413857,112.814
0.000428214,110.981
0.000442571,109.238
0.000456928,107.58
0.000471286,105.998
0.000485643,104.487
0.0005,103.042
0.000515625,101.54
0.00053125,100.104
0.000546875,98.7313
0.0005625,97.4165
0.000578125,96.1557
0.00059375,94.9454
0.000609375,93.7824
0.000625,92.6636
0.000640625,91.5863
0.00065625,90.548
0.000671875,89.5464
0.0006875,88.5794
0.00071875,86.7417
0.00075,85.0209
0.00078125,83.4053
0.0008125,81.8845
0.00084375,80.4496
0.000875,79.0929
0.00090625,77.8075
0.0009375,76.5874
0.00096875,75.4273
0.001,74.3223
0.00103125,73.2684
0.0010625,72.2616
0.00109375,71.2987
0.001125,70.3764
0.00115625,69.492
0.0011875,68.643
0.00121875,67.8271
0.00125,67.0422
0.00128125,66.2864
0.0013125,65.5579
0.00134375,64.8551
0.001375,64.1766
0.0014375,62.8871
0.0015,61.6795
0.0015625,60.5455
0.001625,59.4781
0.0016875,58.4708
0.00175,57.5183
0.0018125,56.6159
0.001875,55.7591
0.0019375,54.9444
0.002,54.1684
0.00204994,53.5742
0.00209988,53.0014
0.00214983,52.4488
0.00219977,51.9152
0.00229965,50.9009
0.00239953,49.951
0.00249942,49.0588
0.0025993,48.2189
0.00269919,47.4262
0.00279907,46.6766
0.00293061,45.7487
0.00306216,44.8815
0.0031937,44.0687
0.00332525,43.3048
0.00345679,42.5852
0.00358834,41.9056
0.00371988,41.2626
0.00385142,40.6529
0.003995,40.0224
0.00413857,39.425
0.00428214,38.8581
0.00442571,38.3191
0.00456929,37.8058
0.00471286,37.3162
0.00485643,36.8486
0.005,36.4013
0.00515625,35.936
0.0053125,35.4915
0.00546875,35.0662
0.005625,34.6588
0.00578125,34.2681
0.0059375,33.893
0.00609375,33.5324
0.00625,33.1855
0.00640625,32.8514
0.0065625,32.5293
0.00671875,32.2186
0.006875,31.9186
0.0071875,31.3482
0.0075,30.8139
0.0078125,30.3121
0.008125,29.8396
0.0084375,29.3936
0.00875,28.9718
0.0090625,28.5721
0.009375,28.1926
0.0096875,27.8316
0.01,27.4878
0.0103125,27.1597
0.010625,26.8462
0.0109375,26.5463
