E_eV,Sig_b
1e-05,246.935
1.03125e-05,243.173
1.0625e-05,239.579
1.09375e-05,236.14
1.125e-05,232.845
1.15625e-05,229.685
1.1875e-05,226.651
1.21875e-05,223.734
1.25e-05,220.927
1.28125e-05,218.224
1.3125e-05,215.618
1.34375e-05,213.103
1.375e-05,210.675
1.4375e-05,206.059
1.5e-05,201.734
1.5625e-05,197.672
1.625e-05,193.847
1.6875e-05,190.237
1.75e-05,186.822
1.8125e-05,183.585
1.875e-05,180.512
1.9375e-05,177.589
2e-05,174.804
2.09375e-05,170.864
2.1875e-05,167.18
2.28125e-05,163.726
2.375e-05,160.479
2.46875e-05,157.419
2.5625e-05,154.528
2.65625e-05,151.793
2.75e-05,149.198
2.84375e-05,146.734
2.9375e-05,144.388
3.03125e-05,142.153
3.125e-05,140.019
3.21875e-05,137.979
3.3125e-05,136.027
3.40625e-05,134.156
3.5e-05,132.361
3.59375e-05,130.636
3.6875e-05,128.978
3.78125e-05,127.383
3.875e-05,125.845
3.96875e-05,124.363
4.0625e-05,122.933
4.25e-05,120.215
4.4375e-05,117.673
4.625e-05,115.287
4.8125e-05,113.042
5e-05,110.925
5.15625e-05,109.25
5.3125e-05,107.65
5.46875e-05,106.12
5.625e-05,104.654
5.78125e-05,103.247
5.9375e-05,101.897
6.09375e-05,100.6
6.25e-05,99.3517
6.40625e-05,98.1495
6.5625e-05,96.9908
6.71875e-05,95.8728
6.875e-05,94.7935
7.1875e-05,92.7418
7.5e-05,90.8203
7.8125e-05,89.016
8.125e-05,87.3174
8.4375e-05,85.7146
8.75e-05,84.199
9.0625e-05,82.7629
9.375e-05,81.3998
9.6875e-05,80.1035
0.0001,78.869
0.000103125,77.6914
0.00010625,76.5665
0.000109375,75.4906
0.0001125,74.4601
0.000115625,73.4721
0.00011875,72.5236
0.000121875,71.6122
0.000125,70.7355
0.000128125,69.8913
0.00013125,69.0777
0.000134375,68.293
0.0001375,67.5354
0.00014375,66.0957
0.00015,64.7479
0.00015625,63.4827
0.0001625,62.292
0.00016875,61.1688
0.000175,60.1071
0.00018125,59.1014
0.0001875,58.1471
0.00019375,57.24
0.0002,56.3763
0.000209375,55.155
0.00021875,54.0143
0.000228125,52.9456
0.0002375,51.942
0.000246875,50.9969
0.00025625,50.1051
0.000265625,49.2618
0.000275,48.4628
0.000284375,47.7044
0.00029375,46.9832
0.000303125,46.2965
0.0003125,45.6416
0.000321875,45.0161
0.00033125,44.418
0.000340625,43.8452
0.00035,43.2962
0.000359375,42.7693
0.00036875,42.2631
0.000378125,41.7763
0.0003875,41.3078
0.000396875,40.8564
0.00040625,40.4211
0.000425,39.5954
0.00044375,38.8241
0.0004625,38.1015
0.00048125,37.4228
0.0005,36.784
0.000515625,36.2793
