E_eV,Sig_b
1e-05,1.46454e+06
1.025e-05,1.44657e+06
1.05e-05,1.42924e+06
1.075e-05,1.41253e+06
1.1e-05,1.39638e+06
1.15e-05,1.36569e+06
1.2e-05,1.33694e+06
1.25e-05,1.30993e+06
1.28125e-05,1.29385e+06
1.3125e-05,1.27836e+06
1.34375e-05,1.26341e+06
1.375e-05,1.24897e+06
1.4375e-05,1.22151e+06
1.5e-05,1.1958e+06
1.5625e-05,1.17164e+06
1.625e-05,1.14888e+06
1.6875e-05,1.12741e+06
1.75e-05,1.10709e+06
1.8125e-05,1.08784e+06
1.875e-05,1.06955e+06
1.9375e-05,1.05216e+06
2e-05,1.03559e+06
2.0625e-05,1.01978e+06
2.125e-05,1.00467e+06
2.1875e-05,990216
2.25e-05,976366
2.3125e-05,963082
2.375e-05,950326
2.4375e-05,938063
2.5e-05,926263
2.5625e-05,914898
2.625e-05,903941
2.6875e-05,893369
2.75e-05,883159
2.875e-05,863747
3e-05,845561
3.125e-05,828478
3.25e-05,812390
3.375e-05,797204
3.5e-05,782839
3.625e-05,769224
3.75e-05,756296
3.875e-05,743998
4e-05,732281
4.125e-05,721101
4.25e-05,710418
4.375e-05,700196
4.5e-05,690403
4.625e-05,681010
4.75e-05,671990
4.875e-05,663319
5e-05,654975
5.125e-05,646939
5.25e-05,639191
5.375e-05,631716
5.5e-05,624496
5.75e-05,610770
6e-05,597911
6.25e-05,585832
6.40625e-05,578644
6.5625e-05,571714
6.71875e-05,565028
6.875e-05,558570
7.1875e-05,546293
7.5e-05,534792
7.75e-05,526096
8e-05,517812
8.375e-05,506087
8.75e-05,495125
9.0625e-05,486514
9.375e-05,478337
9.6875e-05,470560
0.0001,463150
0.0001025,457467
0.000105,451989
0.0001075,446703
0.00011,441598
0.000115,431893
0.00012,422800
0.000125,414259
0.000128125,409176
0.00013125,404277
0.000134375,399549
0.0001375,394983
0.00014375,386302
0.00015,378170
0.00015625,370531
0.0001625,363336
0.00016875,356546
0.000175,350122
0.00018125,344034
0.0001875,338252
0.00019375,332753
0.0002,327514
0.00020625,322514
0.0002125,317737
0.00021875,313166
0.000225,308787
0.00023125,304587
0.0002375,300553
0.00024375,296676
0.00025,292945
0.00025625,289351
0.0002625,285887
0.00026875,282544
0.000275,279316
0.0002875,273178
0.0003,267428
0.0003125,262027
0.000325,256940
0.0003375,252139
0.00035,247598
0.0003625,243293
0.000375,239205
0.0003875,235317
0.0004,231613
0.0004125,228078
0.000425,224701
0.00044375,219905
0.0004625,215403
0.00048125,211168
0.0005,207173
0.0005125,204632
0.000525,202183
0.0005375,199820
0.00055,197537
0.000575,193198
0.0006,189133
0.000625,185315
0.000643462,182639
0.000661923,180076
0.000680384,177618
0.000698846,175258
0.0007,175114
0.000703125,174724
0.00070625,174338
0.0007125,173572
0.000725,172071
0.00075,169181
0.000775,166433
0.0008,163814
0.0008375,160108
0.000875,156643
0.0009,154455
0.000925,152356
0.00095,150340
0.000975,148402
0.001,146538
0.00102644,144640
0.00105288,142815
0.00107932,141057
0.00110576,139363
0.0011322,137728
0.00115864,136150
0.00121152,133150
0.00126441,130340
0.00131729,127701
0.00137017,125217
0.00142305,122872
0.00145911,121347
0.00149517,119878
0.00153123,118461
0.00156729,117093
0.00163941,114493
0.00171152,112060
0.00178364,109776
0.00185576,107627
0.00192788,105599
0.002,103683
0.00204985,102417
0.00209971,101197
0.00214956,100020
0.00219942,98882.7
0.00229912,96720.6
0.00239883,94694.8
0.00249854,92791.5
0.00259825,90999
0.00269796,89306.8
0.00279766,87706
0.00292891,85724.6
0.00306016,83872.2
0.00319141,82135.3
0.00332266,80502.3
0.00345391,78963.4
0.00358516,77509.7
0.00371641,76133.6
0.00384766,74828.6
0.0039917,73471.1
0.00413574,72185
0.00427979,70964.4
0.00442383,69803.8
0.00456787,68698.5
0.00471191,67644.2
0.00485596,66637.1
0.005,65673.8
0.00512969,64841.3
0.00525938,64039.7
0.00538906,63267.2
0.00551875,62522
0.00577812,61107.4
0.0060375,59784.6
0.00629687,58544.1
0.00655625,57377.7
0.00681562,56278.3
0.007075,55239.6
0.00725781,54541
0.00744063,53868.1
0.00762344,53219.5
0.00780625,52593.7
0.00817188,51405.3
0.0085375,50293.5
0.00890313,49250.5
0.00926875,48269.4
0.00963437,47344.3
0.01,46470.1
0.0102672,45860.7
0.0105344,45274.5
0.0108016,44710.1
0.0110688,44166.1
0.011336,43641.3
0.0116032,43134.6
0.0121376,42171.7
0.0126719,41270
0.0132063,40423.4
0.0137407,39626.6
0.0142751,38874.8
0.0146329,38394.6
0.0149907,37931.7
0.0153485,37485
0.0157063,37053.8
0.0164219,36234
0.0171376,35466.3
0.0178532,34745.4
0.0185688,34066.8
0.0192844,33426.5
0.02,32821.2
0.0206625,32289.4
0.021325,31782.8
0.0219875,31299.6
0.02265,30838.1
0.0233125,30396.8
0.023975,29974.3
0.0246375,29569.4
0.0253,29180.9
0.0259938,28790.7
0.0266875,28416.3
0.0273813,28056.7
0.028075,27711.1
0.0287688,27378.6
0.0294625,27058.4
0.0301563,26749.8
0.03085,26452.1
0.0322376,25886.8
0.0336251,25357.8
0.0350126,24861.1
0.0364001,24393
0.0381001,23853.9
0.0398001,23348
0.0415001,22871.3
0.0432,22420.5
0.0449,21993
0.0466,21586.7
0.0483,21200.1
0.05,20831.9
0.0519167,20437.7
0.0538335,20064.6
0.0557502,19711.4
0.057667,19377.2
0.0595837,19061
0.0615005,18761.7
0.0634172,18478.3
0.065334,18209.5
0.0671225,17970.8
0.0689111,17742.9
0.0706997,17524.8
0.0724883,17315.6
0.0742768,17114.4
0.0760654,16920.4
0.0796426,16550.8
0.0832197,16202
0.0867969,15870.1
0.090374,15552.9
0.0939512,15249.1
0.0969756,15002.5
0.1,14765.2
0.102408,14583
0.104816,14406.9
0.107224,14236.8
0.109632,14072.9
0.11204,13914.9
0.114448,13762.8
0.116856,13616.5
0.119264,13475.8
0.12408,13210.4
0.128896,12964.8
0.133712,12736.9
0.138528,12524.9
0.14237,12365.7
0.146212,12214.2
0.150054,12069.2
0.153896,11929.8
0.16158,11663.8
0.169264,11409.9
0.176948,11164.2
0.184632,10925.4
0.192316,10694.3
0.2,10472.6
0.205263,10327.3
0.210525,10187.8
0.215788,10054.3
0.22105,9926.91
0.226313,9805.35
0.231575,9689.32
0.236838,9578.41
0.2421,9472.2
0.247363,9370.28
0.252626,9272.29
0.263151,9086.98
0.273676,8914.29
0.284201,8752.55
0.291945,8639.54
0.299689,8530.84
0.315176,8323.93
0.330664,8128.74
0.346151,7945.01
0.353895,7857.67
0.361639,7773.35
0.369383,7691.93
0.377127,7613.2
0.38487,7536.92
0.392614,7462.88
0.408102,7320.98
0.419589,7220.79
0.431076,7124.76
0.442564,7032.68
0.454051,6944.23
0.465538,6859.09
0.477025,6777.01
0.5,6621.59
0.537785,6389.86
0.57557,6185.47
0.651141,5830.55
0.688926,5667.62
0.726711,5519.62
0.764497,5385.79
0.802282,5260.13
0.851712,5107.01
0.901141,4969.09
0.95057,4841.56
1,4723.12
1.06756,4577.18
1.13511,4449.77
1.20267,4344.83
1.27022,4250.1
1.40533,4063.29
1.54044,3876.84
1.65533,3722.7
1.71278,3654.88
1.77022,3596.06
1.88511,3490.49
2,3392.79
2.1572,3275.65
2.2358,3222.11
2.3144,3175.91
2.4716,3098.01
2.6288,3022.61
2.786,2947.26
2.9432,2871.98
3.2576,2721.91
3.3665,2673.12
3.4754,2631.91
3.6932,2562.4
3.911,2495.59
4.1288,2437.07
4.3466,2382.77
4.5644,2333.66
5,2260.83
5.38826,2197.83
5.77651,2134.92
6.55302,2009.3
6.74715,1979.5
6.94128,1955.3
7.32954,1914.65
7.71779,1874.57
8.10605,1838.4
8.57954,1799.63
9.05302,1762.68
9.52651,1736.69
10,1712.53
10.8946,1666.84
11.7891,1621.26
12.6836,1575.76
13.5782,1531.72
14.0255,1517.94
14.4727,1506.05
15.3673,1482.36
16.2618,1458.71
17.1563,1434.93
17.8673,1416.22
18.2227,1408.76
18.5782,1404.05
19.2891,1395.83
20,1387.48
21.7874,1366.53
23.5749,1345.8
25.3623,1325.29
26.2561,1314.94
27.1498,1305.17
28.9372,1299.78
30.7247,1295.73
32.5121,1291.84
34.2996,1287.35
36.2508,1283.36
38.8129,1290.08
40.429,1294.04
42.8218,1300.36
45.2145,1307.55
47.6073,1321.05
50,1335.89
51.321,1344.45
52.642,1352.41
53.963,1360.12
55.284,1370.63
57.926,1395.05
60.5679,1417.72
63.2099,1441.81
64.5309,1456.77
65.8519,1471.04
67.1729,1485.41
68.4939,1500.36
71.1359,1531.79
72.247,1543.64
73.3581,1557.88
74.4692,1573.32
75.5803,1589.28
77.8025,1622.47
78.9136,1636.7
80.0247,1651.42
81.1358,1666.93
82.2469,1683.37
83.358,1700.78
83.9136,1709.25
84.4691,1716.7
85.5802,1730.09
86.6913,1744.5
87.8025,1760.14
88.9136,1777.11
90.2994,1799.88
91.6852,1820.34
92.3781,1831.07
93.071,1842.42
93.7639,1853.5
94.4568,1863.66
95.1497,1873.65
95.8426,1884.56
96.5355,1896.05
97.2284,1906.79
98.6142,1926.65
100,1949.35
100.227,1952.83
101.035,1964.01
101.511,1970.71
101.987,1978.13
102.939,1994.49
103.415,2002.32
103.891,2009.36
104.843,2023.14
108.652,2082.15
108.75,2083.42
109.062,2087.11
109.374,2090.53
109.843,2096.07
110.311,2102.63
111.248,2116.2
112.546,2130.42
113.844,2149.18
115.142,2162.81
116.441,2181.54
117.127,2187.56
117.47,2190.57
117.813,2194.34
118.425,2202.4
118.731,2206.02
119.037,2208.61
119.686,2210.99
120.011,2212.12
120.335,2214.22
121.633,2228.97
122.931,2234.13
124.23,2249.86
125.528,2253.92
126.826,2269.12
127.157,2269.3
127.487,2267.93
127.818,2266.88
128.149,2267.54
128.467,2270
128.785,2273.41
129.104,2276.34
129.422,2277.56
129.825,2276.4
130.228,2274.13
130.631,2273.31
131.034,2275.24
132.018,2285.06
132.343,2286.01
132.667,2285.57
132.992,2284.86
133.316,2285.07
133.644,2286.87
133.972,2290.27
134.3,2294.98
134.627,2300.79
134.955,2307.48
135.283,2314.67
135.938,2328.19
136.422,2335.97
136.905,2342.01
137.389,2346.19
137.631,2347.02
137.873,2346.56
138.114,2344.53
138.356,2340.77
138.598,2335.29
138.84,2328.39
139.323,2313.87
139.565,2308.9
139.807,2307.07
139.969,2307.75
140.132,2309.76
140.456,2316.01
140.781,2321.7
140.943,2323.18
141.106,2323.37
141.268,2322.21
141.43,2319.79
141.755,2312.48
142.079,2305.45
142.242,2303.53
142.404,2303.25
142.566,2304.71
142.728,2307.71
143.053,2316.26
143.377,2323.76
143.54,2325.65
143.702,2325.8
143.864,2324.13
144.026,2320.75
144.351,2310.31
144.675,2298.99
144.838,2294.66
145,2291.87
145.162,2290.78
145.325,2291.25
145.649,2294.93
