E_eV,Sig_b
1e-05,385.894
1.03125e-05,380.015
1.0625e-05,374.397
1.09375e-05,369.022
1.125e-05,363.873
1.15625e-05,358.934
1.1875e-05,354.191
1.21875e-05,349.633
1.25e-05,345.246
1.28125e-05,341.021
1.3125e-05,336.948
1.34375e-05,333.018
1.375e-05,329.223
1.4375e-05,322.007
1.5e-05,315.249
1.5625e-05,308.9
1.625e-05,302.921
1.6875e-05,297.278
1.75e-05,291.941
1.8125e-05,286.882
1.875e-05,282.079
1.9375e-05,277.51
2e-05,273.157
2.09375e-05,266.998
2.1875e-05,261.24
2.28125e-05,255.841
2.375e-05,250.765
2.46875e-05,245.982
2.5625e-05,241.464
2.65625e-05,237.188
2.75e-05,233.133
2.84375e-05,229.28
2.9375e-05,225.614
3.03125e-05,222.12
3.125e-05,218.784
3.21875e-05,215.595
3.3125e-05,212.543
3.40625e-05,209.618
3.5e-05,206.812
3.59375e-05,204.117
3.6875e-05,201.525
3.78125e-05,199.03
3.875e-05,196.627
3.96875e-05,194.31
4.0625e-05,192.073
4.25e-05,187.825
4.4375e-05,183.85
4.625e-05,180.119
4.8125e-05,176.61
5e-05,173.3
5.15625e-05,170.682
5.3125e-05,168.18
5.46875e-05,165.786
5.625e-05,163.494
5.78125e-05,161.295
5.9375e-05,159.184
6.09375e-05,157.155
6.25e-05,155.203
6.40625e-05,153.323
6.5625e-05,151.511
6.71875e-05,149.762
6.875e-05,148.074
7.1875e-05,144.865
7.5e-05,141.859
7.8125e-05,139.037
8.125e-05,136.38
8.4375e-05,133.872
8.75e-05,131.501
9.0625e-05,129.254
9.375e-05,127.121
9.6875e-05,125.093
0.0001,123.161
0.000103125,121.318
0.00010625,119.557
0.000109375,117.873
0.0001125,116.26
0.000115625,114.713
0.00011875,113.228
0.000121875,111.801
0.000125,110.428
0.000128125,109.106
0.00013125,107.832
0.000134375,106.603
0.0001375,105.416
0.00014375,103.161
0.00015,101.049
0.00015625,99.0659
0.0001625,97.1995
0.00016875,95.4386
0.000175,93.7736
0.00018125,92.1963
0.0001875,90.6992
0.00019375,89.2758
0.0002,87.9203
0.000209375,86.003
0.00021875,84.2115
0.000228125,82.5327
0.0002375,80.9553
0.000246875,79.4695
0.00025625,78.0669
0.000265625,76.74
0.000275,75.4823
0.000284375,74.2881
0.00029375,73.1521
0.000303125,72.0698
0.0003125,71.0372
0.000321875,70.0505
0.00033125,69.1065
0.000340625,68.2023
0.00035,67.3351
0.000359375,66.5024
0.00036875,65.7021
0.000378125,64.9322
0.0003875,64.1907
0.000396875,63.4759
0.00040625,62.7864
0.000425,61.4773
0.00044375,60.2532
0.0004625,59.1052
0.00048125,58.0259
0.0005,57.0087
0.000515625,56.2044
0.00053125,55.4363
0.000546875,54.7017
0.0005625,53.9985
0.000578125,53.3243
0.00059375,52.6773
0.000609375,52.0556
0.000625,51.4578
0.000640625,50.8822
0.00065625,50.3277
0.000671875,49.7928
0.0006875,49.2766
0.00071875,48.2957
0.00075,47.3776
0.00078125,46.516
0.0008125,45.7052
0.00084375,44.9404
0.000875,44.2176
0.00090625,43.533
0.0009375,42.8834
0.00096875,42.2658
0.001,41.6778
0.00103125,41.1171
0.0010625,40.5817
0.00109375,40.0696
0.001125,39.5793
0.00115625,39.1093
0.0011875,38.6581
0.00121875,38.2246
0.00125,37.8077
0.00128125,37.4064
0.0013125,37.0196
0.00134375,36.6465
0.001375,36.2864
0.0014375,35.6022
0.0015,34.9616
0.0015625,34.3603
0.001625,33.7944
0.0016875,33.2606
0.00175,32.7559
0.0018125,32.2779
0.001875,31.8242
0.0019375,31.3928
0.002,30.982
0.00209375,30.401
0.0021875,29.8582
0.00228125,29.3494
0.002375,28.8714
0.00246875,28.4211
0.0025625,27.996
0.00265625,27.5937
0.00275,27.2124
0.00284375,26.8503
0.0029375,26.5058
0.00303125,26.1775
0.003125,25.8642
0.00321875,25.5648
0.0033125,25.2784
0.00340625,25.0039
0.0035,24.7406
0.00359375,24.4878
0.0036875,24.2447
0.00378125,24.0108
0.003875,23.7855
0.00396875,23.5683
0.0040625,23.3587
0.00425,22.9606
0.0044375,22.5883
0.004625,22.2389
0.0048125,21.9104
0.005,21.6005
0.00515625,21.3555
0.0053125,21.1214
0.00546875,20.8974
0.005625,20.6829
0.00578125,20.4772
0.0059375,20.2798
0.00609375,20.09
0.00625,19.9074
0.00640625,19.7316
0.0065625,19.5621
0.00671875,19.3987
0.006875,19.2408
0.0071875,18.9408
0.0075,18.6598
0.0078125,18.3959
0.008125,18.1475
0.0084375,17.9131
0.00875,17.6914
0.0090625,17.4813
0.009375,17.2819
0.0096875,17.0922
0.01,16.9116
0.0103125,16.7392
0.010625,16.5746
0.0109375,16.4171
0.01125,16.2662
0.0115625,16.1216
0.011875,15.9827
0.0121875,15.8492
0.0125,15.7207
0.0128125,15.597
0.013125,15.4778
0.0134375,15.3628
0.01375,15.2517
0.014375,15.0406
0.015,14.8428
0.015625,14.6571
0.01625,14.4822
0.016875,14.3172
0.0175,14.1611
0.018125,14.0132
0.01875,13.8727
0.019375,13.7391
0.02,13.6119
0.0206625,13.4834
0.021325,13.361
0.0219875,13.2441
0.02265,13.1324
0.0233125,13.0256
0.023975,12.9232
0.0246375,12.825
0.0253,12.7307
0.0264578,12.5745
0.0276156,12.4282
0.0287734,12.2909
0.0299312,12.1617
0.0310891,12.0398
0.0322469,11.9246
0.0334047,11.8154
0.0345625,11.7117
0.0355273,11.6293
0.0364922,11.5501
0.037457,11.474
0.0384219,11.4008
0.0393867,11.3303
0.0403516,11.2623
0.0413164,11.1967
0.0422812,11.1334
0.0442109,11.0131
0.0461406,10.9004
0.0480703,10.7946
0.05,10.695
0.0515625,10.6185
0.053125,10.5454
0.0546875,10.4755
0.05625,10.4085
0.0578125,10.3442
0.059375,10.2825
0.0609375,10.2233
0.0625,10.1662
0.0640625,10.1113
0.065625,10.0583
0.0671875,10.0073
0.06875,9.95793
0.071875,9.86414
0.075,9.77628
0.078125,9.69372
0.08125,9.61597
0.084375,9.54257
0.0875,9.47315
0.090625,9.40736
0.09375,9.34489
0.096875,9.28547
0.1,9.22887
0.103125,9.17486
0.10625,9.12326
0.109375,9.07389
0.1125,9.0266
0.115625,8.98124
0.11875,8.93768
0.121875,8.89582
0.125,8.85555
0.128125,8.81677
0.13125,8.77939
0.134375,8.74334
0.1375,8.70852
0.14375,8.64233
0.15,8.58029
0.15625,8.52199
0.1625,8.46708
0.16875,8.41525
0.175,8.36623
0.18125,8.31977
0.1875,8.27567
0.19375,8.23374
0.2,8.19381
0.209375,8.13729
0.21875,8.08441
0.228125,8.03482
0.2375,7.98819
0.246875,7.94425
0.25625,7.90274
0.265625,7.86346
0.275,7.8262
0.284375,7.7908
0.29375,7.75712
0.303125,7.72501
0.3125,7.69436
0.321875,7.66506
0.33125,7.63701
0.340625,7.61014
0.35,7.58435
0.359375,7.55957
0.36875,7.53575
0.378125,7.51283
0.3875,7.49075
0.396875,7.46947
0.40625,7.44895
0.425,7.40995
0.44375,7.3734
0.4625,7.33908
0.5,7.27645
0.53125,7.22942
0.5625,7.18626
0.59375,7.14655
0.625,7.10987
0.6875,7.04417
0.75,6.98687
0.8125,6.93633
0.875,6.89143
0.9375,6.8511
1,6.81449
1.0625,6.78116
1.125,6.75066
1.1875,6.7226
1.25,6.69668
1.375,6.65024
1.5,6.60975
1.625,6.57403
1.75,6.54228
1.875,6.51376
2,6.48786
2.1875,6.45328
2.375,6.42291
2.5625,6.39594
2.75,6.37182
2.9375,6.35005
3.125,6.33023
3.3125,6.31212
3.5,6.29548
3.875,6.26591
4.25,6.24035
4.625,6.21797
5,6.19817
5.3125,6.18331
5.625,6.16968
5.9375,6.15715
6.25,6.14556
6.875,6.12482
7.5,6.10672
8.125,6.09076
8.75,6.07655
9.375,6.06379
10,6.05223
10.625,6.04171
11.25,6.03208
11.875,6.02322
12.5,6.01503
13.75,6.00036
15,5.98757
16.25,5.97629
17.5,5.96624
18.75,5.95722
20,5.94905
21.25,5.94161
22.5,5.9348
23.75,5.92853
24.375,5.92562
24.4531,5.92529
24.5312,5.92566
24.5508,5.92636
24.5703,5.92781
24.5898,5.9306
24.5996,5.9328
24.6094,5.93576
24.6192,5.93972
24.6289,5.94497
24.6387,5.95188
24.6484,5.96088
24.6533,5.96635
24.6582,5.97255
24.6631,5.97958
24.668,5.98753
24.6729,5.99654
24.6777,6.00667
24.6826,6.01807
24.6875,6.03087
24.6924,6.04526
24.6973,6.06133
24.7022,6.07932
24.707,6.09934
24.7119,6.12167
24.7168,6.14643
24.7217,6.17389
24.7266,6.20429
24.7315,6.23795
24.7363,6.275
24.7412,6.3158
24.7461,6.36063
24.751,6.40992
24.7559,6.46379
24.7607,6.52267
24.7656,6.58691
24.7705,6.65703
24.7754,6.73311
24.7803,6.81568
24.7852,6.90512
24.7901,7.00203
24.7949,7.10644
24.7998,7.21893
24.8047,7.33991
24.8096,7.47007
24.8145,7.60929
24.8193,7.75821
24.8242,7.91723
24.8291,8.08708
24.834,8.26745
24.8389,8.45902
24.8438,8.66212
24.8486,8.87752
24.8535,9.1046
24.8584,9.34407
24.8633,9.59614
24.8682,9.86156
24.873,10.1394
24.8779,10.4303
24.8828,10.7343
24.8877,11.0521
24.8926,11.3825
24.8975,11.7259
24.9023,12.0822
24.9121,12.8338
24.9219,13.6337
24.9316,14.4806
24.9414,15.3692
24.9512,16.2968
24.9609,17.2563
24.9805,19.2506
25,21.2992
25,36.6191
26.25,35.873
27.5,35.1803
30,33.9316
32.5,32.8253
35,31.8437
37.5,30.9591
40,30.1615
42.5,29.4317
45,28.7655
47.5,28.1542
50,27.5907
52.5,27.0649
55,26.5763
60,25.6947
63,25.2153
66,24.7697
72,23.9654
78.5,23.1991
85,22.5239
92.5,21.8347
100,21.2252
106.25,20.766
112.5,20.3469
118.75,19.9625
125,19.6083
131.25,19.2778
137.5,18.9708
143.75,18.6846
150,18.4171
160,18.0211
170,17.6614
185,17.1774
200,16.7501
212.5,16.429
225,16.1356
237.5,15.866
250,15.6173
262.5,15.3867
275,15.1722
287.5,14.972
300,14.7845
325,14.4437
350,14.14
375,13.8686
400,13.6227
425,13.4007
450,13.1972
475,13.0098
500,12.8363
525,12.6776
550,12.5295
600,12.2608
630,12.1174
660,11.9835
720,11.7401
760,11.5962
800,11.4626
850,11.3123
900,11.174
950,11.046
1000,10.927
1062.5,10.7956
1125,10.6743
1187.5,10.5619
1250,10.4573
1375,10.2773
1500,10.118
1600,10.008
1700,9.90667
1850,9.77521
2000,9.65691
2125,9.57338
2250,9.49593
2500,9.35636
2750,9.24448
3000,9.14482
3250,9.06278
3500,8.98835
3750,8.9259
4000,8.86853
4250,8.82144
4500,8.7778
5000,8.6992
5500,8.64027
6000,8.58808
6500,8.54816
7000,8.51233
7500,8.48461
8000,8.45955
8500,8.44151
9000,8.42523
9500,8.41045
10000,8.39697
10625,8.38719
11250,8.37873
11875,8.37139
12500,8.36502
13750,8.3617
15000,8.36053
16000,8.36404
17000,8.36824
18500,8.37917
20000,8.3908
21250,8.40393
22500,8.41718
23750,8.43045
25000,8.4437
26250,8.45907
27500,8.47433
28750,8.48946
30000,8.50443
32500,8.53621
35000,8.56708
37500,8.59847
40000,8.62889
42500,8.65945
45000,8.68907
47500,8.7178
50000,8.74567
52500,8.77316
55000,8.79986
57500,8.82581
60000,8.85105
62500,8.87546
65000,8.89924
70000,8.94502
75000,8.98754
80000,9.02813
85000,9.06485
89999.9,9.10003
94999.9,9.1338
99999.9,9.16626
100000,9.15029
106250,9.17042
112500,9.18971
118750,9.20823
125000,9.22603
131250,9.24317
137500,9.2597
150000,9.29109
162500,9.28853
175000,9.28638
187500,9.28454
200000,9.28297
219102,9.24746
238205,9.21517
238205,9.21517
238942,9.21335
239680,9.21154
241154,9.20793
242628,9.20435
244103,9.20079
247051,9.19374
250000,9.18679
256250,9.16664
262500,9.14702
268750,9.12791
275000,9.10928
281250,9.09111
287500,9.07337
300000,9.03914
311063,8.98232
322126,8.92782
333188,8.87548
344251,8.82515
353985,8.78239
363720,8.74098
383188,8.66196
402657,8.58752
422126,8.5172
441594,8.4506
461063,8.38736
480531,8.32719
500000,8.26982
512500,8.21107
525000,8.15416
537500,8.09897
550000,8.04543
562500,7.99344
575000,7.94293
587500,7.89382
600000,7.84606
612500,7.79956
625000,7.75428
637500,7.71017
650000,7.66716
662500,7.6252
675000,7.58427
687500,7.5443
700000,7.50527
715948,7.44782
731897,7.39207
733817,7.38533
735737,7.37862
737550,7.37212
739363,7.36566
742988,7.35282
750240,7.32751
757491,7.3027
764742,7.27835
766946,7.2705
769149,7.2627
773556,7.24729
782371,7.21715
791186,7.1879
800000,7.15951
807492,7.13469
810383,7.12436
813274,7.11411
819056,7.09384
824837,7.07389
830619,7.05426
842182,7.01588
853746,6.97867
865310,6.94258
876873,6.90756
888436,6.87358
900000,6.84059
912500,6.80073
925000,6.76186
937500,6.72395
950000,6.68695
962500,6.65084
975000,6.61558
987500,6.58114
1e+06,6.5475
1.00266e+06,6.54002
1.00532e+06,6.53258
1.00797e+06,6.52517
1.01063e+06,6.5178
1.01341e+06,6.50981
1.01619e+06,6.50186
1.01897e+06,6.49395
1.02175e+06,6.48608
1.02453e+06,6.47824
1.0273e+06,6.47044
1.03008e+06,6.46268
1.03286e+06,6.45495
1.03564e+06,6.44726
1.03842e+06,6.43961
1.0412e+06,6.43199
1.04398e+06,6.4244
1.04676e+06,6.41685
1.04954e+06,6.40934
1.05232e+06,6.40185
1.0551e+06,6.39441
1.05788e+06,6.38699
1.06065e+06,6.37961
1.06343e+06,6.37226
1.06621e+06,6.36495
1.06899e+06,6.35767
1.07177e+06,6.35042
1.07455e+06,6.34321
1.07733e+06,6.33602
1.08011e+06,6.32887
1.08289e+06,6.32175
1.08566e+06,6.31466
1.08844e+06,6.30761
1.09122e+06,6.30058
1.094e+06,6.29359
1.09678e+06,6.28662
1.09956e+06,6.27969
1.09956e+06,6.27968
1.1017e+06,6.27394
1.10383e+06,6.26823
1.10596e+06,6.26254
1.10809e+06,6.25687
1.11022e+06,6.25122
1.11235e+06,6.24558
1.11449e+06,6.23997
1.11662e+06,6.23437
1.11875e+06,6.2288
1.12088e+06,6.22324
1.12301e+06,6.2177
1.12514e+06,6.21218
1.12728e+06,6.20668
1.12941e+06,6.2012
1.13154e+06,6.19573
1.13367e+06,6.19028
1.1358e+06,6.18485
1.13793e+06,6.17944
1.14007e+06,6.17405
1.1422e+06,6.16867
1.14433e+06,6.16332
1.14646e+06,6.15797
1.14859e+06,6.15265
1.15072e+06,6.14735
1.15286e+06,6.14206
1.15499e+06,6.13679
1.15712e+06,6.13154
1.15925e+06,6.1263
1.16138e+06,6.12108
1.16352e+06,6.11588
1.16565e+06,6.1107
1.16778e+06,6.10553
1.16991e+06,6.10038
1.17204e+06,6.09524
1.17418e+06,6.09013
1.17631e+06,6.08502
1.17844e+06,6.07994
1.18057e+06,6.07487
1.1827e+06,6.06982
1.18484e+06,6.06478
1.18697e+06,6.05976
1.1891e+06,6.05476
1.19123e+06,6.04977
1.19336e+06,6.0448
1.1955e+06,6.03984
1.19763e+06,6.0349
1.19976e+06,6.02997
1.20189e+06,6.02506
1.20402e+06,6.02017
1.20615e+06,6.01529
1.20829e+06,6.01043
1.21042e+06,6.00558
1.21255e+06,6.00074
1.21468e+06,5.99593
1.21681e+06,5.99112
1.21894e+06,5.98634
1.22108e+06,5.98156
1.22321e+06,5.9768
1.22534e+06,5.97206
1.22747e+06,5.96733
1.22960e+06,5.96262
1.23174e+06,5.95792
1.23387e+06,5.95323
1.236e+06,5.94856
1.2395e+06,5.94055
1.243e+06,5.93257
1.2465e+06,5.92462
1.25e+06,5.91672
1.25235e+06,5.91138
1.25469e+06,5.90605
1.25704e+06,5.90075
1.25938e+06,5.89546
1.26173e+06,5.89018
1.26408e+06,5.88492
1.26642e+06,5.87968
1.26877e+06,5.87446
1.27112e+06,5.86925
1.27346e+06,5.86405
1.27581e+06,5.85888
1.27816e+06,5.85372
1.2805e+06,5.84857
1.28285e+06,5.84344
1.28519e+06,5.83833
1.28754e+06,5.83323
1.28754e+06,5.83323
1.28983e+06,5.82809
1.29212e+06,5.82296
1.29441e+06,5.81784
1.2967e+06,5.81274
1.29899e+06,5.80766
1.30128e+06,5.80259
1.30357e+06,5.79754
1.30586e+06,5.7925
1.30815e+06,5.78747
1.31044e+06,5.78246
1.31273e+06,5.77747
1.31502e+06,5.77249
