E_eV,Sig_b
1e-05,124.227
1.03125e-05,122.358
1.0625e-05,120.573
1.09375e-05,118.865
1.125e-05,117.23
1.15625e-05,115.661
1.1875e-05,114.155
1.21875e-05,112.708
1.25e-05,111.315
1.28125e-05,109.974
1.3125e-05,108.682
1.34375e-05,107.435
1.375e-05,106.232
1.4375e-05,103.944
1.5e-05,101.801
1.5625e-05,99.7898
1.625e-05,97.8963
1.6875e-05,96.1098
1.75e-05,94.4206
1.8125e-05,92.8202
1.875e-05,91.3012
1.9375e-05,89.857
2e-05,88.4816
2.09375e-05,86.5363
2.1875e-05,84.7186
2.28125e-05,83.0152
2.375e-05,81.4148
2.46875e-05,79.9075
2.5625e-05,78.4845
2.65625e-05,77.1385
2.75e-05,75.8627
2.84375e-05,74.6513
2.9375e-05,73.4992
3.03125e-05,72.4016
3.125e-05,71.3544
3.21875e-05,70.354
3.3125e-05,69.397
3.40625e-05,68.4804
3.5e-05,67.6014
3.59375e-05,66.7576
3.6875e-05,65.9466
3.78125e-05,65.1666
3.875e-05,64.4154
3.96875e-05,63.6915
4.0625e-05,62.9933
4.25e-05,61.668
4.4375e-05,60.4291
4.625e-05,59.2679
4.8125e-05,58.1765
5e-05,57.1484
5.15625e-05,56.3357
5.3125e-05,55.56
5.46875e-05,54.8185
5.625e-05,54.1088
5.78125e-05,53.4287
5.9375e-05,52.7764
6.09375e-05,52.1499
6.25e-05,51.5477
6.40625e-05,50.9682
6.5625e-05,50.4101
6.71875e-05,49.8721
6.875e-05,49.353
7.1875e-05,48.3676
7.5e-05,47.4462
7.8125e-05,46.5823
8.125e-05,45.7702
8.4375e-05,45.0052
8.75e-05,44.2829
9.0625e-05,43.5995
9.375e-05,42.9517
9.6875e-05,42.3367
0.0001,41.7518
0.000103125,41.1947
0.00010625,40.6633
0.000109375,40.1558
0.0001125,39.6704
0.000115625,39.2056
0.00011875,38.76
0.000121875,38.3324
0.000125,37.9217
0.000128125,37.5267
0.00013125,37.1466
0.000134375,36.7804
0.0001375,36.4273
0.00014375,35.7577
0.00015,35.1323
0.00015625,34.5467
0.0001625,33.997
0.00016875,33.4796
0.000175,32.9917
0.00018125,32.5306
0.0001875,32.094
0.00019375,31.6799
0.0002,31.2865
0.000209375,30.7317
0.00021875,30.215
0.000228125,29.7324
0.0002375,29.2804
0.000246875,28.8561
0.00025625,28.4567
0.000265625,28.08
0.000275,27.724
0.000284375,27.387
0.00029375,27.0673
0.000303125,26.7635
0.0003125,26.4744
0.000321875,26.199
0.00033125,25.9361
0.000340625,25.6849
0.00035,25.4446
0.000359375,25.2144
0.00036875,24.9937
0.000378125,24.7818
0.0003875,24.5783
0.000396875,24.3825
0.00040625,24.194
0.000425,23.8372
0.00044375,23.505
0.0004625,23.1946
0.00048125,22.9038
0.0005,22.6307
0.000515625,22.4155
0.00053125,22.2105
0.000546875,22.015
0.0005625,21.8283
0.000578125,21.6498
0.00059375,21.4788
0.000609375,21.315
0.000625,21.1578
0.000640625,21.0067
0.00065625,20.8615
0.000671875,20.7218
0.0006875,20.5871
0.00071875,20.3321
0.00075,20.0942
0.00078125,19.8718
0.0008125,19.6632
0.00084375,19.467
0.000875,19.2821
0.00090625,19.1076
0.0009375,18.9424
0.00096875,18.7857
0.001,18.6369
0.00103125,18.4954
0.0010625,18.3605
0.00109375,18.2319
0.001125,18.1089
0.00115625,17.9913
0.0011875,17.8786
0.00121875,17.7705
0.00125,17.6668
0.00128125,17.5671
0.0013125,17.4711
0.00134375,17.3787
0.001375,17.2897
0.0014375,17.1209
0.0015,16.9634
0.0015625,16.8159
0.001625,16.6774
0.0016875,16.5471
0.00175,16.4242
0.0018125,16.308
0.001875,16.198
0.0019375,16.0936
0.002,15.9944
0.00209375,15.8544
0.0021875,15.7238
0.00228125,15.6018
0.002375,15.4874
0.00246875,15.3798
0.0025625,15.2785
0.00265625,15.1828
0.00275,15.0923
0.00284375,15.0064
0.0029375,14.9249
0.00303125,14.8473
0.003125,14.7734
0.00321875,14.7029
0.0033125,14.6355
0.00340625,14.571
0.0035,14.5092
0.00359375,14.4499
0.0036875,14.393
0.00378125,14.3383
0.003875,14.2857
0.00396875,14.235
0.0040625,14.1861
0.00425,14.0934
0.0044375,14.0069
0.004625,13.9259
0.0048125,13.8498
0.005,13.7781
0.00515625,13.7215
0.0053125,13.6675
0.00546875,13.6159
0.005625,13.5666
0.00578125,13.5193
0.0059375,13.4739
0.00609375,13.4303
0.00625,13.3885
0.00640625,13.3482
0.0065625,13.3094
0.00671875,13.272
0.006875,13.236
0.0071875,13.1675
0.0075,13.1034
0.0078125,13.0434
0.008125,12.9869
0.0084375,12.9336
0.00875,12.8834
0.0090625,12.8358
0.009375,12.7906
0.0096875,12.7477
0.01,12.7069
0.0103125,12.668
0.010625,12.6308
0.0109375,12.5954
0.01125,12.5614
0.0115625,12.5288
0.011875,12.4976
0.0121875,12.4676
0.0125,12.4387
0.0128125,12.411
0.013125,12.3842
0.0134375,12.3585
0.01375,12.3336
0.014375,12.2863
0.015,12.2421
0.015625,12.2006
0.01625,12.1616
0.016875,12.1247
0.0175,12.0899
0.018125,12.057
0.01875,12.0258
0.019375,11.996
0.02,11.9678
0.0206625,11.9392
0.021325,11.912
0.0219875,11.8861
0.02265,11.8613
0.0233125,11.8377
0.023975,11.815
0.0246375,11.7932
0.0253,11.7724
0.0264578,11.7378
0.0276156,11.7055
0.0287734,11.6752
0.0299312,11.6467
0.0310891,11.6198
0.0322469,11.5944
0.0334047,11.5703
0.0345625,11.5475
0.0355273,11.5293
0.0364922,11.5119
0.037457,11.4951
0.0384219,11.479
0.0393867,11.4635
0.0403516,11.4486
0.0413164,11.4342
0.0422812,11.4203
0.0442109,11.3938
0.0461406,11.3691
0.0480703,11.3459
0.05,11.324
0.0515625,11.3072
0.053125,11.2912
0.0546875,11.2759
0.05625,11.2612
0.0578125,11.2471
0.059375,11.2336
0.0609375,11.2206
0.0625,11.2081
0.0640625,11.1961
0.065625,11.1845
0.0671875,11.1733
0.06875,11.1625
0.071875,11.142
0.075,11.1228
0.078125,11.1047
0.08125,11.0877
0.084375,11.0716
0.0875,11.0564
0.090625,11.042
0.09375,11.0284
0.096875,11.0154
0.1,11.003
0.103125,10.9911
0.10625,10.9798
0.109375,10.969
0.1125,10.9587
0.115625,10.9487
0.11875,10.9392
0.121875,10.93
0.125,10.9212
0.128125,10.9127
0.13125,10.9045
0.134375,10.8966
0.1375,10.8889
0.14375,10.8744
0.15,10.8608
0.15625,10.848
0.1625,10.8359
0.16875,10.8245
0.175,10.8137
0.18125,10.8035
0.1875,10.7937
0.19375,10.7845
0.2,10.7756
0.209375,10.7631
0.21875,10.7514
0.228125,10.7404
0.2375,10.73
0.246875,10.7202
0.25625,10.711
0.265625,10.7022
0.275,10.6939
0.284375,10.6859
0.29375,10.6784
0.303125,10.6711
0.3125,10.6642
0.321875,10.6576
0.33125,10.6513
0.340625,10.6452
0.35,10.6393
0.359375,10.6337
0.36875,10.6282
0.378125,10.623
0.3875,10.6179
0.396875,10.613
0.40625,10.6083
0.425,10.5993
0.44375,10.5908
0.4625,10.5828
0.5,10.5681
0.53125,10.557
0.5625,10.5467
0.59375,10.5371
0.625,10.5282
0.6875,10.5121
0.75,10.4977
0.8125,10.4848
0.875,10.4731
0.9375,10.4624
1,10.4525
1.0625,10.4433
1.125,10.4347
1.1875,10.4267
1.25,10.419
1.375,10.405
1.5,10.3922
1.625,10.3805
1.75,10.3696
1.875,10.3594
2,10.3498
2.1875,10.3363
2.375,10.3237
2.5625,10.3119
2.75,10.3007
2.9375,10.29
3.125,10.2797
3.3125,10.2697
3.5,10.2602
3.875,10.2418
4.25,10.2243
4.625,10.2076
5,10.1914
5.3125,10.1784
5.625,10.1655
5.9375,10.153
6.25,10.1407
6.875,10.1166
7.5,10.0932
8.125,10.0704
8.75,10.048
9.375,10.026
10,10.0044
10.625,9.98303
11.25,9.96196
11.875,9.94114
12.5,9.92055
13.75,9.87997
15,9.84011
16.25,9.80089
17.5,9.76225
18.75,9.72413
20,9.68648
21.875,9.63086
23.75,9.57618
25.625,9.52236
27.5,9.46936
29.375,9.41713
31.25,9.36563
33.125,9.31484
35,9.26472
36.875,9.21525
38.75,9.16642
40.625,9.1182
42.5,9.07056
46.25,8.97702
50,8.88567
53.125,8.81114
56.25,8.738
59.375,8.6662
62.5,8.5957
65.625,8.52645
68.75,8.45841
71.875,8.39155
75,8.32581
78.125,8.26118
81.25,8.19761
87.5,8.07355
93.75,7.95338
100,7.83687
106.25,7.72382
112.5,7.61405
118.75,7.50737
125,7.40362
131.25,7.30263
137.5,7.20428
143.75,7.10841
150,7.01489
156.25,6.92361
162.5,6.83444
168.75,6.74727
175,6.662
181.25,6.57852
187.5,6.49674
193.75,6.41655
200,6.33787
209.966,6.21529
219.931,6.09592
229.897,5.97939
239.863,5.86532
249.829,5.75328
259.794,5.64278
269.76,5.53322
274.743,5.47856
279.726,5.42382
284.397,5.37229
289.068,5.3204
293.74,5.26796
298.411,5.21472
300.747,5.1878
303.083,5.16049
305.418,5.13281
307.754,5.10468
310.09,5.07605
312.425,5.04681
314.761,5.01684
317.097,4.98602
318.966,4.96059
320.834,4.93454
322.703,4.90753
324.571,4.87953
326.44,4.85031
328.308,4.8197
330.177,4.78738
331.111,4.77051
332.046,4.75308
332.98,4.73503
333.914,4.71636
334.848,4.69689
335.783,4.67657
336.717,4.65531
337.651,4.63299
338.585,4.60948
339.52,4.58462
340.259,4.56385
340.999,4.54201
341.739,4.51896
342.478,4.49457
343.218,4.46864
343.958,4.441
344.697,4.41145
345.437,4.37963
345.865,4.36002
346.293,4.33947
346.722,4.3179
347.15,4.29519
347.578,4.27124
348.006,4.24593
348.434,4.21912
348.863,4.19065
349.233,4.16457
349.602,4.13699
349.972,4.10774
350.342,4.07666
350.712,4.04354
351.082,4.00819
351.266,3.9896
351.451,3.97035
351.636,3.9504
351.821,3.92969
352.035,3.90471
352.249,3.87861
352.464,3.8513
352.678,3.82269
352.892,3.79268
353.106,3.76118
353.32,3.72807
353.534,3.69323
353.748,3.65653
353.962,3.61781
354.069,3.59764
354.176,3.57694
354.283,3.55563
354.39,3.53374
354.498,3.51121
354.605,3.48805
354.712,3.4642
354.819,3.4397
354.926,3.41446
355.033,3.38852
355.14,3.3618
355.247,3.33435
355.354,3.30608
355.461,3.27703
355.568,3.24717
355.675,3.21654
355.782,3.18509
355.889,3.15291
355.996,3.11996
356.103,3.08638
356.21,3.05219
356.317,3.01757
356.425,2.98263
356.478,2.96513
356.531,2.94766
356.585,2.93022
356.639,2.91292
356.692,2.8958
356.746,2.87891
356.799,2.86234
356.853,2.84618
356.906,2.83053
356.96,2.81553
357.038,2.79514
357.115,2.77698
357.193,2.76176
357.232,2.75553
357.271,2.75041
357.31,2.74652
357.349,2.74407
357.388,2.74326
357.427,2.74432
357.466,2.74755
357.505,2.75326
357.544,2.76182
357.583,2.7737
357.636,2.79652
357.69,2.82843
357.716,2.84858
357.743,2.8719
357.77,2.89902
357.797,2.93026
357.823,2.9665
357.85,3.00839
357.877,3.05686
357.904,3.11279
357.93,3.17796
357.957,3.25351
357.984,3.34201
358.011,3.44522
358.035,3.55516
358.059,3.68224
358.084,3.83071
358.108,4.00319
358.132,4.20565
358.145,4.31953
358.157,4.44181
358.169,4.57533
358.181,4.71878
358.193,4.87552
358.205,5.04402
358.218,5.2282
358.23,5.42796
358.242,5.64466
358.254,5.87772
358.266,6.13255
358.279,6.40896
358.291,6.70876
358.303,7.03111
358.315,7.38337
358.327,7.76521
358.339,8.17899
358.351,8.62339
358.364,9.10844
358.376,9.62897
358.388,10.1966
358.4,10.8052
358.412,11.4343
358.423,12.1113
358.435,12.8394
358.446,13.615
358.458,14.4551
358.469,15.3489
358.481,16.3158
358.493,17.3431
358.504,18.4529
358.516,19.6303
358.527,20.9003
358.539,22.2457
358.55,23.6946
358.562,25.2269
358.574,26.8744
358.585,28.6139
358.599,30.8817
358.613,33.3235
358.627,35.9491
358.641,38.7685
358.651,40.9943
358.662,43.3136
358.672,45.7514
358.682,48.3115
358.695,51.5077
358.707,54.8878
358.719,58.4582
358.731,62.1935
358.743,66.1614
358.755,70.3028
358.768,74.6914
358.78,79.2606
358.793,84.5782
358.806,90.1719
358.82,96.0469
358.833,102.208
358.847,108.658
358.86,115.4
358.873,122.436
358.887,129.71
358.899,136.984
358.912,144.524
358.938,160.328
358.963,177.142
358.989,194.912
359.011,210.955
359.033,227.517
359.055,244.6
359.077,262.12
359.13,306.069
359.184,350.592
359.237,393.535
359.264,413.838
359.291,432.914
359.317,450.649
359.344,466.722
359.365,477.855
359.385,487.763
359.412,498.562
359.439,507.095
359.469,513.784
359.5,517.143
359.503,517.293
359.513,517.539
359.523,517.421
359.543,516.105
359.568,512.334
359.587,508.241
359.605,503.015
359.628,494.62
359.652,484.542
359.675,472.817
359.699,459.627
359.736,436.699
359.772,411.32
359.819,375.721
359.866,338.461
359.913,300.708
359.961,263.801
359.984,245.914
360.008,228.571
360.031,211.86
360.055,195.919
360.079,180.671
360.102,166.228
360.126,152.62
360.149,139.915
360.173,128.012
360.185,122.38
360.196,116.96
360.208,111.75
360.22,106.747
360.232,101.947
360.243,97.3869
360.255,92.9834
360.267,88.7725
360.279,84.75
360.291,80.9111
360.303,77.2508
360.314,73.7642
360.326,70.446
360.338,67.3168
360.355,62.9963
360.372,59.0159
360.389,55.3116
360.406,51.9097
360.424,48.7532
360.441,45.8623
360.458,43.1869
360.475,40.7423
360.492,38.4846
360.509,36.4255
360.526,34.5269
360.544,32.7974
360.561,31.2044
360.578,29.7545
360.595,28.4268
360.612,27.2111
360.624,26.4324
360.636,25.6994
360.648,25.0093
360.659,24.3593
360.671,23.747
360.683,23.1699
360.695,22.6258
360.706,22.1168
360.718,21.6321
360.73,21.1743
360.742,20.7417
360.754,20.3326
360.765,19.9455
360.777,19.5787
360.789,19.2311
360.801,18.904
360.824,18.2929
360.848,17.7398
360.871,17.2372
360.895,16.7805
360.919,16.3603
360.942,15.9738
