E_eV,Sig_b
1e-05,4517.97
1.03125e-05,4448.99
1.0625e-05,4383.08
1.09375e-05,4320.02
1.125e-05,4259.6
1.15625e-05,4201.65
1.1875e-05,4146
1.21875e-05,4092.5
1.25e-05,4041.02
1.28125e-05,3991.44
1.3125e-05,3943.64
1.34375e-05,3897.52
1.375e-05,3852.98
1.4375e-05,3768.3
1.5e-05,3688.96
1.5625e-05,3614.43
1.625e-05,3544.25
1.6875e-05,3478
1.75e-05,3415.34
1.8125e-05,3355.94
1.875e-05,3299.54
1.9375e-05,3245.89
2e-05,3194.78
2.09375e-05,3122.44
2.1875e-05,3054.81
2.28125e-05,2991.39
2.375e-05,2931.76
2.46875e-05,2875.57
2.5625e-05,2822.48
2.65625e-05,2772.23
2.75e-05,2724.58
2.84375e-05,2679.3
2.9375e-05,2636.2
3.03125e-05,2595.12
3.125e-05,2555.91
3.21875e-05,2518.42
3.3125e-05,2482.53
3.40625e-05,2448.14
3.5e-05,2415.13
3.59375e-05,2383.43
3.6875e-05,2352.94
3.78125e-05,2323.6
3.875e-05,2295.32
3.96875e-05,2268.06
4.0625e-05,2241.74
4.25e-05,2191.74
4.4375e-05,2144.95
4.625e-05,2101.03
4.8125e-05,2059.71
5e-05,2020.73
5.15625e-05,1989.89
5.3125e-05,1960.41
5.46875e-05,1932.21
5.625e-05,1905.2
5.63079e-05,1904.22
5.65014e-05,1900.96
5.66949e-05,1897.71
5.70819e-05,1891.27
5.78559e-05,1878.58
5.94039e-05,1853.95
6.0952e-05,1830.26
6.25e-05,1807.46
6.40625e-05,1785.29
6.5625e-05,1763.92
6.71875e-05,1743.29
6.875e-05,1723.38
7.1875e-05,1685.51
7.5e-05,1650.04
7.8125e-05,1616.71
8.125e-05,1585.33
8.4375e-05,1555.71
8.75e-05,1527.69
9.0625e-05,1501.13
9.375e-05,1475.92
9.6875e-05,1451.93
0.0001,1429.07
0.000103125,1407.27
0.00010625,1386.43
0.000109375,1366.49
0.0001125,1347.39
0.000115625,1329.07
0.00011875,1311.48
0.000121875,1294.57
0.000125,1278.29
0.000128125,1262.62
0.00013125,1247.51
0.000134375,1232.93
0.0001375,1218.85
