E_eV,Sig_b
1e-05,2304.53
1.03125e-05,2269.38
1.0625e-05,2235.8
1.09375e-05,2203.67
1.125e-05,2172.88
1.15625e-05,2143.35
1.1875e-05,2115
1.21875e-05,2087.74
1.25e-05,2061.52
1.28125e-05,2036.26
1.3125e-05,2011.9
1.34375e-05,1988.41
1.375e-05,1965.71
1.4375e-05,1922.57
1.5e-05,1882.16
1.5625e-05,1844.19
1.625e-05,1808.44
1.6875e-05,1774.69
1.75e-05,1742.77
1.8125e-05,1712.52
1.875e-05,1683.79
1.9375e-05,1656.47
2e-05,1630.44
2.09375e-05,1593.6
2.1875e-05,1559.15
2.28125e-05,1526.86
2.375e-05,1496.49
2.46875e-05,1467.88
2.5625e-05,1440.85
2.65625e-05,1415.26
2.75e-05,1391
2.84375e-05,1367.95
2.9375e-05,1346.01
3.03125e-05,1325.09
3.125e-05,1305.13
3.21875e-05,1286.05
3.3125e-05,1267.78
3.40625e-05,1250.27
3.5e-05,1233.48
3.59375e-05,1217.34
3.6875e-05,1201.82
3.78125e-05,1186.89
3.875e-05,1172.5
3.96875e-05,1158.63
4.0625e-05,1145.24
4.25e-05,1119.8
4.4375e-05,1095.99
4.625e-05,1073.65
4.8125e-05,1052.63
5e-05,1032.8
5.15625e-05,1017.11
5.3125e-05,1002.12
5.46875e-05,987.782
5.625e-05,974.043
5.78125e-05,960.865
5.9375e-05,948.213
6.09375e-05,936.051
6.25e-05,924.348
6.40625e-05,913.077
6.5625e-05,902.212
6.71875e-05,891.728
6.875e-05,881.605
7.1875e-05,862.359
7.5e-05,844.332
7.8125e-05,827.399
8.125e-05,811.454
8.4375e-05,796.406
8.75e-05,782.172
9.0625e-05,768.683
9.375e-05,755.875
9.6875e-05,743.694
0.0001,732.089
0.000103125,721.017
0.00010625,710.438
0.000109375,700.317
0.0001125,690.621
0.000115625,681.322
0.00011875,672.394
0.000121875,663.811
0.000125,655.554
0.000128125,647.601
0.00013125,639.935
0.000134375,632.538
0.0001375,625.396
0.00014375,611.818
0.00015,599.1
0.00015625,587.155
0.0001625,575.907
0.00016875,565.292
0.000175,555.252
0.00018125,545.738
0.0001875,536.704
0.00019375,528.112
0.0002,519.928
0.000209375,508.347
0.00021875,497.521
0.000228125,487.371
0.0002375,477.829
0.000246875,468.838
0.00025625,460.346
0.000265625,452.31
0.000275,444.688
0.000284375,437.448
0.00029375,430.558
0.000303125,423.992
0.0003125,417.723
0.000321875,411.732
0.00033125,405.997
0.000340625,400.501
0.00035,395.228
0.000359375,390.164
0.00036875,385.294
0.000378125,380.607
0.0003875,376.092
0.000396875,371.737
0.00040625,367.535
0.000425,359.553
0.00044375,352.084
0.0004625,345.074
0.00048125,338.479
0.0005,332.26
0.000515625,327.339
0.00053125,322.637
0.000546875,318.139
0.0005625,313.83
0.000578125,309.697
0.00059375,305.728
0.000609375,301.914
0.000625,298.244
0.000640625,294.709
0.00065625,291.302
0.000671875,288.014
0.0006875,284.839
0.00071875,278.804
0.00075,273.15
0.00078125,267.84
0.0008125,262.84
0.00084375,258.121
0.000875,253.657
0.00090625,249.427
0.0009375,245.41
0.00096875,241.59
0.001,237.95
0.00103125,234.478
0.0010625,231.16
0.00109375,227.985
0.001125,224.944
0.00115625,222.027
0.0011875,219.227
0.00121875,216.535
0.00125,213.944
0.00128125,211.449
0.0013125,209.044
0.00134375,206.724
0.001375,204.483
0.0014375,200.222
0.0015,196.231
0.0015625,192.483
0.001625,188.953
0.0016875,185.621
0.00175,182.47
0.0018125,179.483
0.001875,176.647
0.0019375,173.949
0.002,171.379
0.00209375,167.742
0.0021875,164.342
0.00228125,161.153
0.002375,158.156
0.00246875,155.331
0.0025625,152.663
0.00265625,150.137
0.00275,147.742
0.00284375,145.466
0.0029375,143.3
0.00303125,141.236
0.003125,139.265
0.00321875,137.382
0.0033125,135.578
0.00340625,133.85
0.0035,132.192
0.00359375,130.599
0.0036875,129.068
0.00378125,127.594
0.003875,126.173
0.00396875,124.804
0.0040625,123.482
0.00425,120.97
0.0044375,118.62
0.004625,116.414
0.0048125,114.338
0.005,112.381
0.00515625,110.831
0.0053125,109.351
0.00546875,107.935
0.005625,106.578
0.00578125,105.277
0.0059375,104.027
0.00609375,102.826
0.00625,101.67
0.00640625,100.557
0.0065625,99.4841
0.00671875,98.4486
0.006875,97.4487
0.0071875,95.5476
0.0075,93.7666
0.0078125,92.0936
0.008125,90.5179
0.0084375,89.0306
0.00875,87.6237
0.0090625,86.2901
0.009375,85.0238
0.0096875,83.8193
0.01,82.6718
0.0103125,81.5768
0.010625,80.5306
0.0109375,79.5296
0.01125,78.5707
0.0115625,77.6509
0.011875,76.7678
0.0121875,75.919
0.0125,75.1023
0.0128125,74.3156
0.013125,73.5573
0.0134375,72.8256
0.01375,72.119
0.014375,70.7756
0.015,69.5169
0.015625,68.3344
0.01625,67.2206
0.016875,66.1693
0.0175,65.1747
0.018125,64.2321
0.01875,63.3369
0.019375,62.4855
0.02,61.6744
0.0206625,60.855
0.021325,60.0742
0.0219875,59.3289
0.02265,58.6166
0.0233125,57.9348
0.023975,57.2814
0.0246375,56.6544
0.0253,56.0522
0.0264578,55.0544
0.0276156,54.1198
0.0287734,53.2422
0.0299312,52.416
0.0310891,51.6366
0.0322469,50.8998
0.0334047,50.2016
0.0345625,49.5388
0.0355273,49.0113
0.0364922,48.5047
0.037457,48.0178
0.0384219,47.5492
0.0393867,47.098
0.0403516,46.663
0.0413164,46.2433
0.0422812,45.8382
0.0442109,45.068
0.0461406,44.3467
0.0480703,43.6694
0.05,43.0317
0.0515625,42.5418
0.053125,42.0737
0.0546875,41.6259
0.05625,41.1968
0.0578125,40.7853
0.059375,40.3901
0.0609375,40.0103
0.0625,39.6449
0.0640625,39.293
0.065625,38.9539
0.0671875,38.6268
0.06875,38.3109
0.071875,37.7103
0.075,37.1473
0.078125,36.6182
0.08125,36.1198
0.084375,35.6494
0.0875,35.2045
0.090625,34.7828
0.09375,34.3824
0.096875,34.0016
0.1,33.6388
0.103125,33.2926
0.10625,32.9618
0.109375,32.6453
0.1125,32.342
0.115625,32.0512
0.11875,31.772
0.121875,31.5035
0.125,31.2452
0.128125,30.9965
0.13125,30.7568
0.134375,30.5257
0.1375,30.3026
0.14375,29.8783
0.15,29.4803
0.15625,29.1063
0.1625,28.7541
0.16875,28.4217
0.175,28.1073
0.18125,27.8092
0.1875,27.5263
0.19375,27.2571
0.2,27.0007
0.20625,26.756
0.2125,26.5222
0.21875,26.2985
0.225,26.0843
0.23125,25.8787
0.2375,25.6814
0.24375,25.4916
0.25,25.3091
0.25625,25.1333
0.2625,24.9638
0.26875,24.8005
0.275,24.6429
0.2875,24.3431
0.3,24.0618
0.3125,23.7974
0.325,23.5485
0.3375,23.3136
0.35,23.0913
0.35625,22.985
0.359375,22.9342
0.3625,22.8899
0.364063,22.8747
0.365625,22.8702
0.366406,22.8745
0.367188,22.8854
0.367969,22.9052
0.36875,22.9366
0.369531,22.9835
0.369922,23.0141
0.370312,23.0505
0.370703,23.0934
0.371094,23.1437
0.371484,23.2024
0.371875,23.2705
0.372266,23.3494
0.372656,23.4403
0.373047,23.5447
0.373438,23.6642
0.373828,23.8006
0.374219,23.9559
0.374414,24.0413
0.374609,24.1322
0.374805,24.229
0.375,24.3319
0.375195,24.4413
0.375391,24.5575
0.375586,24.6808
0.375781,24.8116
0.375977,24.9503
0.376172,25.0973
0.376367,25.2529
0.376563,25.4177
0.376758,25.5921
0.376953,25.7764
0.377148,25.9711
0.377344,26.1768
0.377539,26.3939
0.377734,26.6229
0.37793,26.8645
0.378125,27.119
0.37832,27.3872
0.378516,27.6695
0.378711,27.9665
0.378906,28.2789
0.379102,28.6073
0.379297,28.9523
0.379492,29.3145
0.379688,29.6947
0.379883,30.0938
0.380078,30.512
0.380273,30.9503
0.380469,31.4093
0.380664,31.8899
0.380859,32.3928
0.381055,32.9188
0.38125,33.4687
0.381445,34.0435
0.381641,34.6434
0.381836,35.2697
0.382031,35.9231
0.382227,36.6045
0.382422,37.3147
0.382617,38.0545
0.382812,38.8249
0.383008,39.6272
0.383203,40.4613
0.383399,41.3285
0.383594,42.2299
0.383789,43.1661
0.383984,44.1382
0.38418,45.147
0.384375,46.1934
0.38457,47.2788
0.384766,48.403
0.384961,49.5674
0.385156,50.7729
0.385352,52.0203
0.385547,53.3105
0.385742,54.6442
0.385937,56.0225
0.386133,57.4466
0.386328,58.9161
0.386523,60.4323
0.386719,61.9961
0.386914,63.6081
0.387109,65.2691
0.387305,66.9797
0.3875,68.7406
0.387695,70.5533
0.387891,72.4166
0.388086,74.332
0.388281,76.3
0.388477,78.3211
0.388672,80.3957
0.388867,82.5243
0.389062,84.7073
0.389258,86.9461
0.389453,89.2387
0.389649,91.5866
0.389844,93.9899
0.390039,96.4489
0.390234,98.9636
0.39043,101.534
0.390625,104.16
