E_eV,Sig_b
1e-05,311.363
1.03125e-05,306.634
1.0625e-05,302.114
1.09375e-05,297.791
1.125e-05,293.649
1.15625e-05,289.676
1.1875e-05,285.861
1.21875e-05,282.195
1.25e-05,278.667
1.28125e-05,275.269
1.3125e-05,271.994
1.34375e-05,268.833
1.375e-05,265.782
1.4375e-05,259.98
1.5e-05,254.546
1.5625e-05,249.442
1.625e-05,244.636
1.6875e-05,240.101
1.75e-05,235.811
1.8125e-05,231.745
1.875e-05,227.886
1.9375e-05,224.215
2e-05,220.718
2.09375e-05,215.77
2.1875e-05,211.144
2.28125e-05,206.808
2.375e-05,202.732
2.46875e-05,198.891
2.5625e-05,195.264
2.65625e-05,191.831
2.75e-05,188.576
2.84375e-05,185.484
2.9375e-05,182.542
3.03125e-05,179.738
3.125e-05,177.062
3.21875e-05,174.504
3.3125e-05,172.056
3.40625e-05,169.711
3.5e-05,167.46
3.59375e-05,165.299
3.6875e-05,163.221
3.78125e-05,161.221
3.875e-05,159.295
3.96875e-05,157.438
4.0625e-05,155.645
4.25e-05,152.242
4.4375e-05,149.057
4.625e-05,146.069
4.8125e-05,143.259
5e-05,140.61
5.23437e-05,137.502
5.46875e-05,134.597
5.70313e-05,131.875
5.9375e-05,129.316
5.95886e-05,129.09
6.03165e-05,128.331
6.10443e-05,127.585
6.25e-05,126.133
6.48108e-05,123.93
6.71216e-05,121.843
6.94324e-05,119.862
7.17432e-05,117.978
7.1875e-05,117.873
7.22656e-05,117.565
7.26563e-05,117.259
7.34375e-05,116.654
7.5e-05,115.473
7.8125e-05,113.22
8.125e-05,111.1
8.4375e-05,109.1
8.75e-05,107.208
9.0625e-05,105.417
9.375e-05,103.717
9.6875e-05,102.1
0.0001,100.561
0.000103125,99.0934
0.00010625,97.6915
0.000109375,96.3509
0.0001125,95.0671
0.000115625,93.8364
0.00011875,92.6553
0.000121875,91.5204
0.000125,90.4288
0.000128125,89.378
0.00013125,88.3654
0.000134375,87.3888
0.0001375,86.4461
0.00014375,84.6551
0.00015,82.9788
0.00015625,81.4054
0.0001625,79.9251
0.00016875,78.5289
0.000175,77.2093
0.00018125,75.9596
0.0001875,74.7738
0.00019375,73.6468
0.0002,72.5738
0.000207662,71.3261
0.000215325,70.1466
0.000222987,69.0294
0.000230649,67.9692
0.000238312,66.9615
0.000245974,66.0019
0.000253637,65.0869
0.000261299,64.2131
0.000268149,63.4643
0.000275,62.7441
0.000284375,61.8018
0.00029375,60.9057
0.000303125,60.0522
0.0003125,59.238
0.000321875,58.4602
0.00033125,57.7163
0.000340625,57.0038
0.00035,56.3206
0.000359375,55.6647
0.00036875,55.0345
0.000378125,54.4282
0.0003875,53.8445
0.000396875,53.2818
0.00040625,52.7391
0.000425,51.709
0.00044375,50.7459
0.0004625,49.8429
0.00048125,48.994
0.0005,48.1941
0.000515625,47.5617
0.00053125,46.9578
0.000546875,46.3803
0.0005625,45.8275
0.000578125,45.2976
0.00059375,44.789
0.000609375,44.3004
0.000625,43.8305
0.000640625,43.3782
0.00065625,42.9424
0.000671875,42.522
0.0006875,42.1163
0.00071875,41.3455
0.00075,40.624
0.00078125,39.9469
0.0008125,39.3097
0.00084375,38.7086
0.000875,38.1405
0.00090625,37.6024
0.0009375,37.0918
0.00096875,36.6064
0.001,36.1442
0.00103125,35.7033
0.0010625,35.2824
0.00109375,34.8797
0.001125,34.4942
0.00115625,34.1246
0.0011875,33.7698
0.00121875,33.4289
0.00125,33.101
0.00128125,32.7853
0.0013125,32.4811
0.00134375,32.1876
0.001375,31.9043
0.0014375,31.3659
0.0015,30.8618
0.0015625,30.3886
0.001625,29.9432
0.0016875,29.523
0.00175,29.1257
0.0018125,28.7493
0.001875,28.392
0.0019375,28.0523
0.002,27.7287
0.00208203,27.3266
0.00216406,26.9476
0.00224609,26.5898
0.00232812,26.2512
0.00241016,25.9302
0.00249219,25.6252
0.00257422,25.335
0.00265625,25.0584
0.00275,24.7577
0.00284375,24.4721
0.0029375,24.2003
0.00303125,23.9414
0.003125,23.6942
0.00321875,23.4579
0.0033125,23.2318
0.00340625,23.0151
0.0035,22.8073
0.00359375,22.6076
0.0036875,22.4157
0.00378125,22.2309
0.003875,22.053
0.00396875,21.8814
0.0040625,21.7157
0.00425,21.4012
0.0044375,21.1068
0.004625,20.8305
0.0048125,20.5706
0.005,20.3255
0.00515625,20.1315
0.0053125,19.9462
0.00546875,19.7689
0.005625,19.599
0.00578125,19.4361
0.0059375,19.2796
0.00609375,19.1292
0.00625,18.9845
0.00640625,18.8451
0.0065625,18.7107
0.00671875,18.581
0.006875,18.4557
0.0071875,18.2176
0.0075,17.9944
0.0078125,17.7847
0.008125,17.5872
0.0084375,17.4007
0.00875,17.2243
0.0090625,17.057
0.009375,16.8981
0.0096875,16.7469
0.01,16.6029
0.0103125,16.4653
0.010625,16.3339
0.0109375,16.208
0.01125,16.0874
0.0115625,15.9717
0.011875,15.8606
0.0121875,15.7537
0.0125,15.6508
0.0128125,15.5517
0.013125,15.456
0.0134375,15.3637
0.01375,15.2745
0.014375,15.1048
0.015,14.9456
0.015625,14.7959
0.01625,14.6548
0.016875,14.5215
0.0175,14.3952
0.018125,14.2753
0.01875,14.1614
0.019375,14.0529
0.02,13.9494
0.0206625,13.8447
0.021325,13.7449
0.0219875,13.6494
0.02265,13.558
0.0233125,13.4705
0.023975,13.3864
0.0246375,13.3057
0.0253,13.228
0.0260719,13.1412
0.0268437,13.058
0.0276156,12.9781
0.0283875,12.9014
0.0291594,12.8276
0.0299312,12.7566
0.0307031,12.6881
0.031475,12.6221
0.0328258,12.5119
0.0341766,12.408
0.0355273,12.3097
0.0368781,12.2166
0.0382289,12.1281
0.0395797,12.0439
0.0409305,11.9636
0.0422812,11.8869
0.0442109,11.783
0.0461406,11.6852
0.0480703,11.5928
0.05,11.5054
0.0515625,11.438
0.053125,11.3732
0.0546875,11.311
0.05625,11.2511
0.0578125,11.1934
0.059375,11.1377
0.0609375,11.084
0.0625,11.032
0.0640625,10.9818
0.065625,10.9331
0.0671875,10.8859
0.06875,10.8402
0.071875,10.7526
0.075,10.6697
0.078125,10.5912
0.08125,10.5166
0.0819369,10.5007
0.0847185,10.4379
0.0875,10.3777
