E_eV,Sig_b
1e-05,50.5947
1.03125e-05,49.8274
1.0625e-05,49.0943
1.09375e-05,48.393
1.125e-05,47.7211
1.15625e-05,47.0768
1.1875e-05,46.4581
1.21875e-05,45.8634
1.25e-05,45.2912
1.28125e-05,44.7401
1.3125e-05,44.2089
1.34375e-05,43.6964
1.375e-05,43.2015
1.4375e-05,42.2608
1.5e-05,41.3796
1.54624e-05,40.7625
1.59248e-05,40.1726
1.63871e-05,39.6079
1.68495e-05,39.0667
1.6875e-05,39.0375
1.69531e-05,38.9485
1.70313e-05,38.8601
1.71875e-05,38.6851
1.75e-05,38.3421
1.8125e-05,37.6831
1.875e-05,37.0574
1.9375e-05,36.4624
2e-05,35.8957
2.08305e-05,35.1825
2.16611e-05,34.511
2.24916e-05,33.8772
2.33221e-05,33.2778
2.41526e-05,32.7096
2.49832e-05,32.1702
2.58137e-05,31.6572
2.66442e-05,31.1685
2.75e-05,30.6884
2.84375e-05,30.1878
2.9375e-05,29.7114
3.03125e-05,29.2574
3.125e-05,28.8241
3.21875e-05,28.4101
3.3125e-05,28.0139
3.40625e-05,27.6342
3.5e-05,27.2701
3.625e-05,26.8069
3.75e-05,26.3672
3.875e-05,25.9491
4e-05,25.551
4.125e-05,25.1712
4.25e-05,24.8085
4.4375e-05,24.2937
4.625e-05,23.8108
4.8125e-05,23.3568
5e-05,22.9287
5.15625e-05,22.5902
5.3125e-05,22.2669
5.46875e-05,21.9577
5.625e-05,21.6617
5.78125e-05,21.3778
5.9375e-05,21.1054
6.09375e-05,20.8437
6.25e-05,20.592
6.40625e-05,20.3497
6.5625e-05,20.1162
6.71875e-05,19.891
6.875e-05,19.6736
7.1875e-05,19.2607
7.5e-05,18.8742
7.75e-05,18.5823
8e-05,18.3044
8.375e-05,17.9115
8.75e-05,17.5446
9.0625e-05,17.2568
9.375e-05,16.9837
9.6875e-05,16.7242
0.0001,16.4772
0.000103125,16.2418
0.00010625,16.0171
0.000109375,15.8023
0.0001125,15.5967
0.000115625,15.3997
0.00011875,15.2107
0.000121875,15.0292
0.000125,14.8548
0.000128125,14.6869
0.00013125,14.5253
0.000134375,14.3694
0.0001375,14.2191
0.00014375,13.9336
0.00015,13.6668
0.000155,13.4654
0.00016,13.2738
0.0001675,13.0032
0.000175,12.7508
0.00018125,12.5529
0.0001875,12.3655
0.00019375,12.1875
0.0002,12.0182
0.000208203,11.8082
0.000216406,11.6108
0.000224609,11.4248
0.000232813,11.2491
0.000241016,11.0829
0.000249219,10.9253
0.000257422,10.7758
0.000265625,10.6335
0.000275,10.4793
0.000284358,10.3334
0.000293716,10.1949
0.00029375,10.1944
0.000293853,10.1929
0.000293955,10.1914
0.00029416,10.1885
0.00029457,10.1826
0.000295391,10.1708
0.000297031,10.1475
0.000300313,10.1014
0.000306875,10.0116
0.00032,9.8408
0.000335,9.65881
0.00035,9.48941
0.000359375,9.38932
0.00036875,9.29335
0.000378125,9.20121
0.0003875,9.11268
0.000396875,9.02753
0.00040625,8.94557
0.000425,8.79049
0.00044375,8.64612
0.0004625,8.51134
0.00048125,8.38518
0.0005,8.2668
0.000515625,8.17357
0.00053125,8.08487
0.000546875,8.00036
0.0005625,7.91974
0.000578125,7.84273
0.00059375,7.76909
0.000609375,7.6986
0.000625,7.63105
0.00064,7.56879
0.0006675,7.46075
0.000695,7.3599
0.0007225,7.26554
0.00075,7.17703
0.00078125,7.08287
0.0008125,6.99489
