E_eV,Sig_b
1e-05,20203.7
1.03125e-05,19895.3
1.0625e-05,19600.6
1.09375e-05,19318.6
1.125e-05,19048.4
1.15625e-05,18789.3
1.1875e-05,18540.4
1.21875e-05,18301.3
1.25e-05,18071.1
1.28125e-05,17849.4
1.3125e-05,17635.6
1.34375e-05,17429.4
1.375e-05,17230.2
1.4375e-05,16851.6
1.5e-05,16496.9
1.5625e-05,16163.6
1.625e-05,15849.8
1.6875e-05,15553.6
1.75e-05,15273.4
1.8125e-05,15007.8
1.875e-05,14755.6
1.9375e-05,14515.7
2e-05,14287.2
2.09375e-05,13963.8
2.1875e-05,13661.4
2.28125e-05,13377.8
2.375e-05,13111.2
2.46875e-05,12859.9
2.5625e-05,12622.6
2.65625e-05,12397.9
2.75e-05,12184.8
2.84375e-05,11982.4
2.9375e-05,11789.7
3.03125e-05,11606
3.125e-05,11430.7
3.21875e-05,11263
3.3125e-05,11102.6
3.40625e-05,10948.8
3.5e-05,10801.2
3.59375e-05,10659.5
3.6875e-05,10523.2
3.78125e-05,10392
3.875e-05,10265.6
3.96875e-05,10143.7
4.0625e-05,10026
4.25e-05,9802.45
4.4375e-05,9593.25
4.625e-05,9396.9
4.8125e-05,9212.14
5e-05,9037.87
5.15625e-05,8899.97
5.3125e-05,8768.2
5.46875e-05,8642.13
5.625e-05,8521.34
5.78125e-05,8405.48
5.9375e-05,8294.23
6.09375e-05,8187.29
6.25e-05,8084.38
6.40625e-05,7985.26
6.5625e-05,7889.71
6.71875e-05,7797.51
6.875e-05,7708.47
7.1875e-05,7539.18
7.5e-05,7380.59
7.8125e-05,7231.62
8.125e-05,7091.32
8.4375e-05,6958.9
8.75e-05,6833.64
9.0625e-05,6714.91
9.375e-05,6602.18
9.6875e-05,6494.94
0.0001,6392.78
0.000103125,6295.29
0.00010625,6202.14
0.000109375,6113.01
0.0001125,6027.62
0.000115625,5945.72
0.00011875,5867.08
0.000121875,5791.48
0.000125,5718.73
0.000128125,5648.66
0.00013125,5581.11
0.000134375,5515.93
0.0001375,5452.99
0.00014375,5333.32
0.00015,5221.22
0.00015625,5115.91
0.0001625,5016.73
0.00016875,4923.12
0.000175,4834.58
0.00018125,4750.65
0.0001875,4670.96
0.00019375,4595.16
0.0002,4522.94
0.000209375,4420.74
0.00021875,4325.18
0.000228125,4235.58
0.0002375,4151.34
0.000246875,4071.94
0.00025625,3996.95
0.000265625,3925.96
0.000275,3858.63
0.000284375,3794.67
0.00029375,3733.79
0.000303125,3675.76
0.0003125,3620.36
0.000321875,3567.4
0.00033125,3516.71
0.000340625,3468.12
0.00035,3421.5
0.000359375,3376.72
0.00036875,3333.65
0.000378125,3292.2
0.0003875,3252.26
0.000396875,3213.75
0.00040625,3176.58
0.000425,3105.96
0.00044375,3039.86
0.0004625,2977.83
0.00048125,2919.46
0.0005,2864.41
0.000515625,2820.85
0.00053125,2779.22
0.000546875,2739.39
0.0005625,2701.23
0.000578125,2664.63
0.00059375,2629.49
0.000609375,2595.7
0.000625,2563.19
