E_eV,Sig_b
1e-05,79.5754
1.03125e-05,78.3952
1.0625e-05,77.268
1.09375e-05,76.1898
1.125e-05,75.1574
1.15625e-05,74.1676
1.1875e-05,73.2175
1.21875e-05,72.3046
1.25e-05,71.4265
1.28125e-05,70.5811
1.3125e-05,69.7665
1.34375e-05,68.9808
1.375e-05,68.2223
1.4375e-05,66.7813
1.5e-05,65.4324
1.5625e-05,64.1664
1.625e-05,62.9752
1.6875e-05,61.8518
1.75e-05,60.79
1.8125e-05,59.7845
1.875e-05,58.8306
1.9375e-05,57.9239
2e-05,57.0608
2.09375e-05,55.8407
2.1875e-05,54.7014
2.28125e-05,53.6344
2.375e-05,52.6324
2.46875e-05,51.6893
2.5625e-05,50.7996
2.65625e-05,49.9585
2.75e-05,49.1617
2.84375e-05,48.4056
2.9375e-05,47.6869
3.03125e-05,47.0027
3.125e-05,46.3503
3.21875e-05,45.7274
3.3125e-05,45.1319
3.40625e-05,44.5618
3.5e-05,44.0154
3.59375e-05,43.4912
3.6875e-05,42.9878
3.78125e-05,42.5037
3.875e-05,42.0379
3.96875e-05,41.5893
4.0625e-05,41.1568
4.25e-05,40.3366
4.4375e-05,39.5707
4.625e-05,38.8536
4.8125e-05,38.1804
5e-05,37.547
5.15625e-05,37.0468
5.3125e-05,36.5697
5.46875e-05,36.1141
5.625e-05,35.6785
5.78125e-05,35.2614
5.9375e-05,34.8617
6.09375e-05,34.4781
6.25e-05,34.1097
6.40625e-05,33.7556
6.5625e-05,33.4147
6.71875e-05,33.0865
6.875e-05,32.7701
7.1875e-05,32.1701
7.5e-05,31.61
7.8125e-05,31.0858
8.125e-05,30.5938
8.4375e-05,30.1311
8.75e-05,29.6948
9.0625e-05,29.2828
9.375e-05,28.8928
9.6875e-05,28.5231
0.0001,28.172
0.000103125,27.8381
0.00010625,27.5201
0.000109375,27.2168
0.0001125,26.9271
0.000115625,26.6501
0.00011875,26.385
0.000121875,26.1309
0.000125,25.8871
0.000128125,25.653
0.00013125,25.428
0.000134375,25.2115
0.0001375,25.0031
0.00014375,24.6085
0.00015,24.2409
0.00015625,23.8975
0.0001625,23.5759
0.00016875,23.2739
0.000175,22.9898
0.00018125,22.7218
0.0001875,22.4686
0.00019375,22.229
