E_eV,Sig_b
1e-05,41.3851
1.03125e-05,40.7639
1.0625e-05,40.1706
1.09375e-05,39.603
1.125e-05,39.0594
1.15625e-05,38.5381
1.1875e-05,38.0376
1.21875e-05,37.5567
1.25e-05,37.094
1.28125e-05,36.6485
1.3125e-05,36.2191
1.34375e-05,35.8049
1.375e-05,35.405
1.4375e-05,34.6449
1.5e-05,33.9332
1.5625e-05,33.265
1.625e-05,32.6361
1.6875e-05,32.0428
1.75e-05,31.4818
1.8125e-05,30.9504
1.875e-05,30.446
1.9375e-05,29.9665
2e-05,29.5099
2.09375e-05,28.8641
2.1875e-05,28.2608
2.28125e-05,27.6955
2.375e-05,27.1644
2.46875e-05,26.6643
2.5625e-05,26.1922
2.65625e-05,25.7457
2.75e-05,25.3225
2.84375e-05,24.9208
2.9375e-05,24.5387
3.03125e-05,24.1748
3.125e-05,23.8277
3.21875e-05,23.496
3.3125e-05,23.1788
3.40625e-05,22.8751
3.5e-05,22.5838
3.59375e-05,22.3042
3.6875e-05,22.0356
3.78125e-05,21.7772
3.875e-05,21.5284
3.96875e-05,21.2887
4.0625e-05,21.0575
4.25e-05,20.6188
4.4375e-05,20.2088
4.625e-05,19.8245
4.8125e-05,19.4635
5e-05,19.1235
5.15625e-05,18.8548
5.3125e-05,18.5983
5.46875e-05,18.3533
5.625e-05,18.1188
5.78125e-05,17.8942
5.9375e-05,17.6787
6.09375e-05,17.4718
6.25e-05,17.273
6.40625e-05,17.0818
6.5625e-05,16.8976
6.71875e-05,16.7201
6.875e-05,16.5489
7.1875e-05,16.224
7.5e-05,15.9204
7.8125e-05,15.6358
8.125e-05,15.3684
8.4375e-05,15.1166
8.75e-05,14.879
9.0625e-05,14.6544
9.375e-05,14.4415
9.6875e-05,14.2395
0.0001,14.0475
0.000103125,13.8647
0.00010625,13.6904
0.000109375,13.524
0.0001125,13.3649
0.000115625,13.2127
0.00011875,13.0669
0.000121875,12.927
0.000125,12.7927
0.000128125,12.6636
0.00013125,12.5394
0.000134375,12.4199
0.0001375,12.3046
0.00014375,12.0863
0.00015,11.8826
0.00015625,11.6921
0.0001625,11.5134
0.00016875,11.3454
0.000175,11.1872
0.00018125,11.0378
0.0001875,10.8965
0.00019375,10.7626
0.0002,10.6356
0.000209375,10.4567
0.00021875,10.2903
0.000228125,10.1352
0.0002375,9.99022
0.000246875,9.85429
0.00025625,9.72658
0.000265625,9.60634
0.000275,9.49289
0.000284375,9.38566
0.00029375,9.28412
0.000303125,9.1878
0.0003125,9.09631
0.000321875,9.00927
0.00033125,8.92635
0.000340625,8.84724
0.00035,8.77169
0.000359375,8.69945
0.00036875,8.63029
0.000378125,8.56402
0.0003875,8.50044
0.000396875,8.4394
0.00040625,8.38073
0.000425,8.26995
0.00044375,8.16712
0.0004625,8.07137
0.00048125,7.98196
0.0005,7.89825
0.000515625,7.83246
0.00053125,7.76996
0.000546875,7.7105
0.0005625,7.65386
0.000578125,7.59983
0.00059375,7.54823
0.000609375,7.49888
0.000625,7.45165
0.000640625,7.40638
0.00065625,7.36295
0.000671875,7.32125
0.0006875,7.28117
0.00071875,7.20549
0.00075,7.13521
0.00078125,7.06976
0.0008125,7.00862
0.00084375,6.95137
0.000875,6.89762
0.00090625,6.84704
0.0009375,6.79934
0.00096875,6.75428
0.001,6.71163
0.00103125,6.67118
0.0010625,6.63277
0.00109375,6.59622
0.001125,6.56141
0.00115625,6.5282
0.0011875,6.49648
0.00121875,6.46614
0.00125,6.4371
0.00128125,6.40925
0.0013125,6.38253
0.00134375,6.35687
0.001375,6.33219
0.0014375,6.28557
0.0015,6.24224
0.0015625,6.20185
0.001625,6.16409
0.0016875,6.12869
0.00175,6.09542
0.0018125,6.06408
0.001875,6.0345
0.0019375,6.00653
0.002,5.98002
0.00209375,5.94275
0.0021875,5.90816
0.00228125,5.87595
0.002375,5.84587
0.00246875,5.81769
0.0025625,5.79123
0.00265625,5.76633
0.00275,5.74283
0.00284375,5.72063
0.0029375,5.6996
0.00303125,5.67964
0.003125,5.66068
0.00321875,5.64263
0.0033125,5.62542
0.00340625,5.60899
0.0035,5.59329
0.00359375,5.57826
0.0036875,5.56386
0.00378125,5.55005
0.003875,5.53679
0.00396875,5.52404
0.0040625,5.51177
0.00425,5.48857
0.0044375,5.46697
0.004625,5.44682
0.0048125,5.42794
0.005,5.41023
0.00515625,5.39627
0.0053125,5.38298
0.00546875,5.3703
0.005625,5.3582
0.00578125,5.34663
0.0059375,5.33556
0.00609375,5.32494
0.00625,5.31476
0.00640625,5.30497
0.0065625,5.29557
