E_eV,Sig_b
1e-05,1421.46
1.03125e-05,1399.79
1.0625e-05,1379.08
1.09375e-05,1359.26
1.125e-05,1340.27
1.15625e-05,1322.06
1.1875e-05,1304.58
1.21875e-05,1287.77
1.25e-05,1271.6
1.28102e-05,1256.13
1.31205e-05,1241.21
1.34307e-05,1226.82
1.37409e-05,1212.91
1.43613e-05,1186.47
1.49818e-05,1161.69
1.5e-05,1160.98
1.50391e-05,1159.48
1.50781e-05,1157.98
1.51562e-05,1155
1.53125e-05,1149.1
1.5625e-05,1137.57
1.625e-05,1115.52
1.6875e-05,1094.72
1.75e-05,1075.03
1.8125e-05,1056.37
1.875e-05,1038.66
1.9375e-05,1021.81
2e-05,1005.76
2.09341e-05,983.117
2.18683e-05,961.946
2.28024e-05,942.091
2.37365e-05,923.42
2.46707e-05,905.822
2.56048e-05,889.196
2.6539e-05,873.457
2.74731e-05,858.528
2.75e-05,858.11
2.75586e-05,857.2
2.76172e-05,856.293
2.78479e-05,852.751
2.80786e-05,849.252
2.854e-05,842.383
2.94629e-05,829.132
3.03857e-05,816.49
3.13086e-05,804.412
3.22315e-05,792.858
3.31543e-05,781.789
3.40772e-05,771.174
3.5e-05,760.982
3.59375e-05,751.033
3.6875e-05,741.467
3.78125e-05,732.259
3.875e-05,723.388
3.96875e-05,714.833
4.0625e-05,706.577
4.25e-05,690.893
4.4375e-05,676.215
4.625e-05,662.441
4.8125e-05,649.481
5e-05,637.258
5.15625e-05,627.586
5.3125e-05,618.346
5.46875e-05,609.504
5.625e-05,601.035
5.78125e-05,592.912
5.9375e-05,585.112
6.09375e-05,577.615
6.25e-05,570.401
6.40625e-05,563.453
6.5625e-05,556.756
6.71875e-05,550.294
6.875e-05,544.054
7.1875e-05,532.191
7.5e-05,521.08
7.8125e-05,510.643
8.125e-05,500.816
8.4375e-05,491.542
8.75e-05,482.77
9.0625e-05,474.456
9.375e-05,466.564
9.6875e-05,459.057
0.0001,451.906
0.000103125,445.083
0.00010625,438.564
0.000109375,432.328
0.0001125,426.354
0.000115625,420.625
0.00011875,415.124
0.000121875,409.836
0.000125,404.749
0.000128125,399.849
0.00013125,395.126
0.000134375,390.57
0.0001375,386.17
0.00014375,377.806
0.00015,369.972
0.00015625,362.615
0.0001625,355.687
0.00016875,349.15
0.000175,342.967
0.00018125,337.108
0.0001875,331.545
0.00019375,326.255
0.0002,321.216
0.000209375,314.086
0.00021875,307.421
0.000228125,301.173
0.0002375,295.3
0.000246875,289.766
0.00025625,284.539
0.000265625,279.593
0.000275,274.903
0.000284375,270.448
0.00029375,266.209
0.000303125,262.169
0.0003125,258.312
0.000321875,254.626
0.00033125,251.098
0.000340625,247.718
0.00035,244.475
0.000359375,241.36
0.00036875,238.365
0.000378125,235.482
0.0003875,232.705
0.000396875,230.028
0.00040625,227.444
0.000425,222.536
0.00044375,217.944
0.0004625,213.635
0.00048125,209.581
0.0005,205.758
0.000515625,202.734
0.00053125,199.844
0.000546875,197.08
0.0005625,194.432
0.000578125,191.893
0.00059375,189.454
