E_eV,Sig_b
1e-05,13938.6
1.03125e-05,13725.8
1.0625e-05,13522.5
1.09375e-05,13327.9
1.125e-05,13141.5
1.15625e-05,12962.7
1.1875e-05,12791
1.21875e-05,12626
1.25e-05,12467.2
1.28125e-05,12314.2
1.3125e-05,12166.8
1.34375e-05,12024.5
1.375e-05,11887.1
1.4375e-05,11625.8
1.5e-05,11381
1.5625e-05,11151.1
1.625e-05,10934.6
1.6875e-05,10730.2
1.75e-05,10536.9
1.8125e-05,10353.6
1.875e-05,10179.6
1.9375e-05,10014.1
2e-05,9856.42
2.09375e-05,9633.26
2.1875e-05,9424.6
2.28125e-05,9228.94
2.375e-05,9044.98
2.46875e-05,8871.61
2.5625e-05,8707.84
2.65625e-05,8552.81
2.75e-05,8405.79
2.84375e-05,8266.09
2.9375e-05,8133.14
3.03125e-05,8006.41
3.125e-05,7885.42
3.21875e-05,7769.76
3.3125e-05,7659.04
3.40625e-05,7552.93
3.5e-05,7451.11
3.59375e-05,7353.3
3.6875e-05,7259.25
3.78125e-05,7168.71
3.875e-05,7081.49
3.96875e-05,6997.37
4.0625e-05,6916.18
4.25e-05,6761.93
4.4375e-05,6617.57
4.625e-05,6482.08
4.8125e-05,6354.59
5e-05,6234.34
5.15625e-05,6139.18
5.3125e-05,6048.26
5.46875e-05,5961.26
5.625e-05,5877.91
5.78125e-05,5797.96
5.9375e-05,5721.19
6.09375e-05,5647.39
6.25e-05,5576.38
6.40625e-05,5507.98
6.5625e-05,5442.04
6.71875e-05,5378.42
6.875e-05,5316.97
7.1875e-05,5200.15
7.5e-05,5090.71
7.8125e-05,4987.91
8.125e-05,4891.09
8.4375e-05,4799.71
8.75e-05,4713.26
9.0625e-05,4631.33
9.375e-05,4553.53
9.6875e-05,4479.53
0.0001,4409.02
0.000103125,4341.74
0.00010625,4277.46
0.000109375,4215.95
0.0001125,4157.02
0.000115625,4100.5
0.00011875,4046.22
0.000121875,3994.05
0.000125,3943.84
0.000128125,3895.48
0.00013125,3848.87
0.000134375,3803.88
0.0001375,3760.44
0.00014375,3677.85
0.00015,3600.48
0.00015625,3527.8
0.0001625,3459.36
0.00016875,3394.75
0.000175,3333.64
0.00018125,3275.72
0.0001875,3220.72
0.00019375,3168.4
0.0002,3118.56
0.000209375,3048.02
0.00021875,2982.07
0.000228125,2920.23
0.0002375,2862.09
0.000246875,2807.29
0.00025625,2755.53
0.000265625,2706.54
0.000275,2660.07
0.000284375,2615.92
0.00029375,2573.91
0.000303125,2533.86
0.0003125,2495.62
0.000321875,2459.07
0.00033125,2424.08
0.000340625,2390.55
0.00035,2358.38
0.000359375,2327.47
0.00036875,2297.75
0.000378125,2269.15
0.0003875,2241.58
0.000396875,2215
0.00040625,2189.35
0.000425,2140.62
0.00044375,2095.01
0.0004625,2052.2
0.00048125,2011.92
0.0005,1973.93
0.000515625,1943.87
0.00053125,1915.15
0.000546875,1887.67
0.0005625,1861.34
0.000578125,1836.08
0.00059375,1811.83
0.000609375,1788.52
0.000625,1766.09
0.000640625,1744.49
0.00065625,1723.67
0.000671875,1703.57
0.0006875,1684.17
0.00071875,1647.27
0.00075,1612.71
0.00078125,1580.25
0.0008125,1549.68
0.00084375,1520.82
0.000875,1493.53
0.00090625,1467.66
0.0009375,1443.1
0.00096875,1419.74
0.001,1397.48
0.00103125,1376.25
0.0010625,1355.96
0.00109375,1336.54
0.001125,1317.95
0.00115625,1300.11
0.0011875,1282.98
0.00121875,1266.52
0.00125,1250.68
0.00128125,1235.42
0.0013125,1220.71
0.00134375,1206.52
0.001375,1192.81
0.0014375,1166.76
0.0015,1142.36
0.0015625,1119.43
0.001625,1097.85
0.0016875,1077.47
0.00175,1058.2
0.0018125,1039.94
0.001875,1022.6
0.0019375,1006.11
0.002,990.401
0.00209375,968.17
0.0021875,947.387
0.00228125,927.902
0.002375,909.585
0.00246875,892.324
0.0025625,876.022
0.00265625,860.594
0.00275,845.963
0.00284375,832.065
0.0029375,818.84
0.00303125,806.235
0.003125,794.204
0.00321875,782.705
0.0033125,771.699
0.00340625,761.153
0.0035,751.036
0.00359375,741.318
0.0036875,731.975
0.00378125,722.983
0.003875,714.321
0.00396875,705.97
0.0040625,697.91
0.00425,682.602
0.0044375,668.28
0.004625,654.841
0.0048125,642.201
0.005,630.282
0.00515625,620.853
0.0053125,611.846
0.00546875,603.23
0.005625,594.979
0.00578125,587.066
0.0059375,579.471
0.00609375,572.171
0.00625,565.149
0.00640625,558.388
0.0065625,551.871
0.006875,539.516
0.0071875,527.982
0.0075,517.181
0.0078125,507.041
0.008125,497.497
0.0084375,488.492
0.00875,479.979
0.0090625,471.915
0.009375,464.261
0.0096875,456.986
0.01,450.058
0.0103125,443.452
0.010625,437.144
0.0109375,431.112
0.01125,425.337
0.0115625,419.801
0.011875,414.489
0.0121875,409.386
0.0125,404.479
0.0128125,399.755
0.013125,395.204
0.0135937,388.678
0.0140625,382.487
0.0145312,376.603
0.015,371.001
0.015625,363.934
0.01625,357.287
0.016875,351.02
0.0175,345.099
0.018125,339.494
0.01875,334.178
0.019375,329.129
0.02,324.324
0.0206625,319.478
0.021325,314.866
0.0219875,310.47
0.02265,306.274
0.0233125,302.264
0.023975,298.428
0.0246375,294.752
0.0253,291.227
0.0264578,285.398
0.0276156,279.955
0.0287734,274.857
0.0299312,270.071
0.0310891,265.568
0.0322469,261.322
0.0334047,257.31
0.0345625,253.511
0.0355273,250.496
0.0364922,247.606
0.037457,244.835
0.0384219,242.176
0.0393867,239.62
0.0403516,237.163
0.0422812,232.52
0.0442109,228.206
0.0461406,224.187
0.0480703,220.432
0.05,216.916
0.0515625,214.228
0.053125,211.671
0.0546875,209.235
0.05625,206.914
0.0578125,204.698
0.059375,202.581
0.0609375,200.557
0.0625,198.619
0.065625,194.981
0.06875,191.626
0.071875,188.524
0.075,185.65
0.078125,182.982
0.08125,180.499
0.084375,178.185
0.0875,176.024
0.090625,174.004
0.09375,172.112
0.096875,170.339
0.1,168.675
0.103125,167.111
0.10625,165.642
0.109375,164.26
0.1125,162.961
0.115625,161.739
0.11875,160.589
0.125,158.483
0.13125,156.609
0.1375,154.946
0.14375,153.473
0.15,152.172
0.15625,151.028
0.1625,150.027
0.16875,149.158
0.175,148.411
0.18125,147.777
0.1875,147.25
0.19375,146.823
0.2,146.492
0.209375,146.158
0.217578,146.016
0.225781,146.007
0.233984,146.125
0.242188,146.364
0.250391,146.72
0.258594,147.189
0.266797,147.766
0.275,148.449
0.281445,149.059
0.287891,149.736
0.294336,150.477
0.300781,151.281
0.307227,152.15
0.310449,152.608
0.313672,153.081
0.316895,153.571
0.320117,154.077
0.32334,154.598
0.326562,155.136
0.329492,155.638
0.332422,156.154
0.335352,156.683
0.338281,157.226
0.341211,157.783
0.344141,158.353
0.34707,158.937
0.35,159.534
0.353223,160.208
0.356445,160.898
0.359668,161.606
0.361279,161.966
0.362891,162.331
0.364502,162.7
0.366113,163.073
0.367725,163.451
0.369336,163.833
0.370947,164.22
0.372559,164.611
0.37417,165.006
0.375781,165.406
0.377686,165.885
0.37959,166.37
0.381494,166.861
0.383399,167.359
0.385303,167.863
0.387207,168.374
0.389111,168.891
0.391016,169.415
0.392627,169.864
0.394238,170.318
0.39585,170.776
0.397461,171.239
0.399072,171.707
0.400684,172.181
0.402295,172.659
0.403906,173.142
0.405151,173.519
0.406397,173.898
0.407642,174.281
0.408887,174.667
0.410132,175.056
0.411377,175.448
0.412622,175.844
0.413867,176.242
0.415479,176.762
0.41709,177.288
0.418701,177.819
0.420312,178.355
0.421484,178.748
0.422656,179.145
0.423828,179.544
0.425,179.946
0.426611,180.504
0.428223,181.067
0.429834,181.637
0.431445,182.211
0.433203,182.845
0.434961,183.486
0.436572,184.079
0.438184,184.678
0.439795,185.283
0.441406,185.894
0.442871,186.455
0.444336,187.021
0.445142,187.334
0.445947,187.649
0.446753,187.966
0.447559,188.284
0.448364,188.603
0.44917,188.924
0.450781,189.572
0.452393,190.225
0.454004,190.885
0.455615,191.551
0.457227,192.224
0.458838,192.904
0.460449,193.59
0.461841,194.188
0.463232,194.791
0.464624,195.399
0.466016,196.012
0.467627,196.729
0.469238,197.453
0.47085,198.183
0.472461,198.921
0.474072,199.666
0.475684,200.418
0.477295,201.178
0.478906,201.945
0.480518,202.72
0.482129,203.502
0.48374,204.292
0.485352,205.09
0.486304,205.565
0.487256,206.042
0.488208,206.523
0.48916,207.006
0.490112,207.492
0.491065,207.981
0.492017,208.473
0.492969,208.967
0.493848,209.426
0.494727,209.888
0.495606,210.352
0.496484,210.818
0.497363,211.287
0.498242,211.759
0.5,212.709
0.502686,214.181
0.505371,215.677
0.508057,217.198
0.510742,218.744
0.513428,220.316
0.516113,221.913
0.518799,223.538
0.521484,225.189
0.524048,226.791
0.526611,228.419
0.529175,230.073
0.531738,231.753
0.534302,233.46
0.536865,235.194
0.539429,236.957
0.541992,238.748
0.544556,240.568
0.547119,242.417
0.549683,244.297
0.552246,246.208
0.55481,248.15
0.557373,250.124
0.559937,252.131
0.5625,254.171
0.565186,256.345
0.567871,258.556
0.573242,263.097
0.578613,267.801
0.583984,272.674
0.589355,277.724
0.594727,282.959
0.600098,288.388
0.605469,294.02
0.610352,299.324
0.615234,304.812
0.620117,310.49
0.625,316.368
0.630371,323.076
0.635742,330.049
0.641113,337.302
0.646484,344.848
0.651856,352.703
0.657227,360.884
0.662598,369.408
0.667969,378.295
0.67334,387.564
0.678711,397.238
0.684082,407.34
0.689453,417.894
0.694824,428.928
0.700195,440.471
0.705566,452.554
0.710938,465.211
0.71582,477.246
0.720703,489.815
0.725586,502.949
0.730469,516.682
0.735352,531.053
0.740234,546.099
0.745117,561.864
0.75,578.394
0.755371,597.521
0.760742,617.706
0.766113,639.03
0.771484,661.579
0.776855,685.449
0.782227,710.744
0.787598,737.581
0.792969,766.088
0.79834,796.404
0.803711,828.688
0.809082,863.114
0.814453,899.875
0.819824,939.188
0.825195,981.295
0.830566,1026.47
0.835938,1075.01
0.84082,1122.36
0.845703,1173.08
0.850586,1227.49
0.855469,1285.95
0.860352,1348.9
0.865234,1416.79
0.870117,1490.17
0.875,1569.65
0.877686,1616.21
0.880371,1664.96
0.883057,1716.02
0.885742,1769.56
0.888428,1825.74
0.891113,1884.73
0.893799,1946.72
0.896484,2011.93
0.89917,2080.59
0.901856,2152.93
0.904541,2229.24
0.907227,2309.8
0.909912,2394.95
0.912598,2485.03
0.915283,2580.45
0.917969,2681.62
0.921631,2829.75
0.925293,2990.87
0.928955,3166.56
0.932617,3358.66
0.936279,3569.32
0.938111,3682.38
0.939941,3801.05
0.941773,3925.73
0.943604,4056.81
0.945435,4194.78
0.947266,4340.1
0.949951,4567.71
0.952637,4814.25
0.955322,5081.92
0.958008,5373.23
0.960694,5691.11
0.963379,6038.94
0.966064,6420.68
0.96875,6840.97
0.970093,7067.25
0.971436,7305.3
0.972778,7555.96
0.974121,7820.14
0.975464,8098.88
0.976807,8393.26
0.97815,8704.5
0.979492,9033.89
0.980835,9382.95
0.982178,9753.26
0.983521,10146.6
0.984863,10564.8
0.986206,11010.2
0.987549,11485.1
0.988892,11992.1
0.990234,12533.9
0.991455,13059.5
0.992676,13619.3
0.993896,14216
0.995117,14852.7
0.996338,15532.8
0.997559,16260
0.998779,17038.2
1,17871.6
1.00173,19154.7
1.00259,19845.5
1.00345,20570.7
1.00432,21334
1.00518,22136.6
1.00605,22980.5
1.00691,23866.8
1.00777,24799.8
1.00864,25780.6
1.0095,26811.6
1.01036,27893.8
1.01123,29031.9
1.01209,30225.7
1.01296,31480
1.01382,32794.2
1.01468,34173.5
1.01555,35618.4
1.01641,37130.7
1.01727,38710.3
1.01814,40362.4
1.019,42086.5
1.02073,45752.3
1.02246,49716.5
1.02418,53972.7
1.02591,58514.4
1.02764,63324.6
1.02933,68278.2
