E_eV,Sig_b
1e-05,652.682
1.03125e-05,642.759
1.0625e-05,633.277
1.09375e-05,624.206
1.125e-05,615.515
1.15625e-05,607.18
1.1875e-05,599.177
1.21875e-05,591.484
1.25e-05,584.081
1.28125e-05,576.952
1.3125e-05,570.079
1.34375e-05,563.448
1.375e-05,557.044
1.4375e-05,544.871
1.5e-05,533.467
1.5625e-05,522.757
1.625e-05,512.671
1.6875e-05,503.153
1.75e-05,494.15
1.8125e-05,485.618
1.875e-05,477.517
1.9375e-05,469.812
2e-05,462.473
2.09375e-05,452.087
2.1875e-05,442.378
2.28125e-05,433.276
2.375e-05,424.719
2.46875e-05,416.657
2.5625e-05,409.042
2.65625e-05,401.835
2.75e-05,395.001
2.84375e-05,388.509
2.9375e-05,382.331
3.03125e-05,376.444
3.125e-05,370.824
3.21875e-05,365.453
3.3125e-05,360.312
3.40625e-05,355.385
3.5e-05,350.659
3.59375e-05,346.119
3.6875e-05,341.755
3.78125e-05,337.555
3.875e-05,333.508
3.96875e-05,329.607
4.0625e-05,325.842
4.25e-05,318.691
4.4375e-05,312
4.625e-05,305.723
4.8125e-05,299.818
5e-05,294.25
5.15625e-05,289.845
5.3125e-05,285.637
5.46875e-05,281.612
5.625e-05,277.757
5.78125e-05,274.06
5.9375e-05,270.51
6.09375e-05,267.099
6.25e-05,263.818
6.40625e-05,260.658
6.5625e-05,257.612
6.71875e-05,254.674
6.875e-05,251.838
7.1875e-05,246.447
7.5e-05,241.398
7.8125e-05,236.658
8.125e-05,232.196
8.4375e-05,227.987
8.75e-05,224.006
9.0625e-05,220.235
9.375e-05,216.656
9.6875e-05,213.253
0.0001,210.012
0.000103125,206.92
0.00010625,203.968
0.000109375,201.143
0.0001125,198.439
0.000115625,195.846
0.00011875,193.357
0.000121875,190.965
0.000125,188.664
0.000128125,186.449
0.00013125,184.314
0.000134375,182.255
0.0001375,180.267
0.00014375,176.489
0.00015,172.953
0.00015625,169.633
0.0001625,166.508
0.00016875,163.561
0.000175,160.774
0.00018125,158.135
0.0001875,155.63
0.00019375,153.249
0.0002,150.981
0.000209375,147.774
0.00021875,144.778
0.000228125,141.971
0.0002375,139.333
0.000246875,136.849
0.00025625,134.504
0.000265625,132.286
0.000275,130.183
0.000284375,128.187
0.00029375,126.288
0.000303125,124.478
0.0003125,122.752
0.000321875,121.103
0.00033125,119.525
0.000340625,118.013
0.00035,116.563
0.000359375,115.171
0.00036875,113.833
0.000378125,112.545
0.0003875,111.305
0.000396875,110.11
0.00040625,108.957
0.000425,106.768
0.00044375,104.72
0.0004625,102.799
0.00048125,100.993
0.0005,99.2907
0.000515625,97.9442
0.00053125,96.6583
0.000546875,95.4283
0.0005625,94.2505
0.000578125,93.1213
0.00059375,92.0373
0.000609375,90.9957
0.000625,89.9938
0.000640625,89.0292
0.00065625,88.0995
0.000671875,87.2027
0.0006875,86.337
0.00071875,84.6917
0.00075,83.1513
0.00078125,81.7051
0.0008125,80.3438
0.00084375,79.0596
0.000875,77.8452
0.00090625,76.6948
0.0009375,75.6029
0.00096875,74.5646
0.001,73.5758
0.00103125,72.6326
0.0010625,71.7316
0.00109375,70.8698
0.001125,70.0445
0.00115625,69.2531
0.0011875,68.4933
0.00121875,67.7632
0.00125,67.0608
0.00128125,66.3844
0.0013125,65.7325
0.00134375,65.1036
0.001375,64.4965
0.0014375,63.3425
0.0015,62.2618
0.0015625,61.247
0.001625,60.2918
0.0016875,59.3904
0.00175,58.538
0.0018125,57.7303
0.001875,56.9636
0.0019375,56.2345
0.002,55.54
0.00209375,54.5575
0.0021875,53.6391
0.00228125,52.7783
0.002375,51.9691
0.00246875,51.2068
0.0025625,50.4869
0.00265625,49.8056
0.00275,49.1596
0.00284375,48.546
0.0029375,47.9621
0.00303125,47.4057
0.003125,46.8746
0.00321875,46.367
0.0033125,45.8812
0.00340625,45.4156
0.0035,44.969
0.00359375,44.5401
0.0036875,44.1277
0.00378125,43.7308
0.003875,43.3484
0.00396875,42.9797
0.0040625,42.6239
0.00425,41.9481
0.0044375,41.3158
0.004625,40.7224
0.0048125,40.1641
0.005,39.6377
0.00515625,39.2212
0.0053125,38.8233
0.00546875,38.4426
0.005625,38.0779
0.00578125,37.7282
0.0059375,37.3924
0.00609375,37.0697
0.00625,36.7593
0.00640625,36.4602
0.0065625,36.172
0.00671875,35.8939
0.006875,35.6253
0.0071875,35.1148
0.0075,34.6367
0.0078125,34.1876
0.008125,33.7647
0.0084375,33.3655
0.00875,32.988
0.0090625,32.6302
0.009375,32.2905
0.0096875,31.9674
0.01,31.6596
0.0103125,31.366
0.010625,31.0854
0.0109375,30.817
0.01125,30.5599
0.0115625,30.3133
0.011875,30.0766
0.0121875,29.849
