E_eV,Sig_b
1e-05,63.935
1.03125e-05,62.972
1.0625e-05,62.0519
1.09375e-05,61.1718
1.125e-05,60.3287
1.15625e-05,59.5202
1.1875e-05,58.7441
1.21875e-05,57.9981
1.25e-05,57.2804
1.28125e-05,56.5893
1.3125e-05,55.9231
1.34375e-05,55.2805
1.375e-05,54.66
1.4375e-05,53.4807
1.5e-05,52.3763
1.5625e-05,51.3394
1.625e-05,50.3632
1.6875e-05,49.4421
1.75e-05,48.5712
1.8125e-05,47.7461
1.875e-05,46.9629
1.9375e-05,46.2183
2e-05,45.5091
2.09375e-05,44.506
2.1875e-05,43.5686
2.28125e-05,42.6902
2.375e-05,41.8649
2.46875e-05,41.0874
2.5625e-05,40.3535
2.65625e-05,39.6593
2.75e-05,39.0012
2.84375e-05,38.3763
2.9375e-05,37.782
3.03125e-05,37.2158
3.125e-05,36.6756
3.21875e-05,36.1595
3.3125e-05,35.6657
3.40625e-05,35.1928
3.5e-05,34.7393
3.59375e-05,34.3039
3.6875e-05,33.8854
3.78125e-05,33.4829
3.875e-05,33.0953
3.96875e-05,32.7218
4.0625e-05,32.3614
4.25e-05,31.6775
4.4375e-05,31.0381
4.625e-05,30.4387
4.8125e-05,29.8754
5e-05,29.3447
5.15625e-05,28.9252
5.3125e-05,28.5248
5.46875e-05,28.142
5.625e-05,27.7756
5.78125e-05,27.4245
5.9375e-05,27.0878
6.09375e-05,26.7643
6.25e-05,26.4534
6.40625e-05,26.1542
6.5625e-05,25.8661
6.71875e-05,25.5883
6.875e-05,25.3203
7.1875e-05,24.8115
7.5e-05,24.3357
7.8125e-05,23.8897
8.125e-05,23.4704
8.4375e-05,23.0754
8.75e-05,22.7025
9.0625e-05,22.3496
9.375e-05,22.0152
9.6875e-05,21.6977
0.0001,21.3958
0.000103125,21.1082
0.00010625,20.834
0.000109375,20.572
0.0001125,20.3215
0.000115625,20.0816
0.00011875,19.8517
0.000121875,19.6311
0.000125,19.4192
0.000128125,19.2155
0.00013125,19.0194
0.000134375,18.8306
0.0001375,18.6485
0.00014375,18.3033
0.00015,17.981
0.00015625,17.6793
0.0001625,17.3962
0.00016875,17.1298
0.000175,16.8787
0.00018125,16.6415
0.0001875,16.417
0.00019375,16.2041
0.0002,16.002
0.000209375,15.7171
0.00021875,15.452
0.000228125,15.2045
0.0002375,14.973
0.000246875,14.7558
0.00025625,14.5515
0.000265625,14.3591
0.000275,14.1774
0.000284375,14.0055
0.00029375,13.8426
0.000303125,13.6879
0.0003125,13.541
0.000321875,13.401
0.00033125,13.2677
0.000340625,13.1403
0.00035,13.0187
0.000359375,12.9022
0.00036875,12.7907
0.000378125,12.6838
0.0003875,12.5812
0.000396875,12.4826
0.00040625,12.3878
0.000425,12.2087
0.00044375,12.0423
0.0004625,11.8872
0.00048125,11.7423
0.0005,11.6065
0.000515625,11.4997
0.00053125,11.3982
0.000546875,11.3016
0.0005625,11.2096
0.000578125,11.1217
0.00059375,11.0378
0.000609375,10.9575
0.000625,10.8805
0.000640625,10.8068
0.00065625,10.7361
0.000671875,10.6681
0.0006875,10.6028
0.00071875,10.4794
0.00075,10.3647
0.00078125,10.2579
0.0008125,10.1581
0.00084375,10.0646
0.000875,9.97679
0.00090625,9.89416
0.0009375,9.81623
0.00096875,9.74259
0.001,9.67288
0.00103125,9.60678
0.0010625,9.54399
0.00109375,9.48426
0.001125,9.42736
0.00115625,9.37307
0.0011875,9.32122
0.00121875,9.27164
0.00125,9.22416
0.00128125,9.17865
0.0013125,9.13499
0.00134375,9.09305
0.001375,9.05273
0.0014375,8.97655
0.0015,8.90578
0.0015625,8.83981
0.001625,8.77815
0.0016875,8.72035
0.00175,8.66605
0.0018125,8.61491
0.001875,8.56665
0.0019375,8.52102
0.002,8.47778
0.00209375,8.41701
0.0021875,8.36062
0.00228125,8.30812
0.002375,8.2591
0.00246875,8.2132
0.0025625,8.17011
0.00265625,8.12956
0.00275,8.09132
0.00284375,8.05518
0.0029375,8.02095
0.00303125,7.98849
0.003125,7.95764
0.00321875,7.92829
0.0033125,7.90031
0.00340625,7.8736
0.0035,7.84808
0.00359375,7.82366
0.0036875,7.80026
0.00378125,7.77782
0.003875,7.75627
0.00396875,7.73556
0.0040625,7.71564
0.00425,7.67796
0.0044375,7.64291
0.004625,7.61019
0.0048125,7.57957
0.005,7.55083
0.00515625,7.52819
0.0053125,7.50664
0.00546875,7.48609
0.005625,7.46647
0.00578125,7.44772
0.0059375,7.42977
0.00609375,7.41257
0.00625,7.39606
0.00640625,7.38021
0.0065625,7.36498
0.00671875,7.35031
0.006875,7.33619
0.0071875,7.30944
0.0075,7.2845
0.0078125,7.26118
0.008125,7.23931
0.0084375,7.21875
0.00875,7.19937
0.0090625,7.18107
0.009375,7.16376
0.0096875,7.14734
0.01,7.13175
0.0103125,7.11692
0.010625,7.10279
0.0109375,7.0893
0.01125,7.07642
0.0115625,7.0641
0.011875,7.05229
0.0121875,7.04097
0.0125,7.03009
0.0128125,7.01965
0.013125,7.0096
0.0134375,6.99992
0.01375,6.99059
0.014375,6.97291
0.015,6.9564
0.015625,6.94095
0.01625,6.92644
0.016875,6.91279
0.0175,6.89991
0.018125,6.88774
0.01875,6.87621
0.019375,6.86527
0.02,6.85487
0.0206625,6.84439
0.021325,6.83443
0.0219875,6.82494
0.02265,6.81589
0.0233125,6.80724
0.023975,6.79897
0.0246375,6.79106
0.0253,6.78347
0.0264578,6.77092
0.0276156,6.75921
0.0287734,6.74824
0.0299312,6.73794
0.0310891,6.72824
0.0322469,6.71909
0.0334047,6.71044
0.0345625,6.70224
0.0355273,6.69573
0.0364922,6.68949
0.037457,6.6835
0.0384219,6.67774
0.0393867,6.67221
0.0403516,6.66688
0.0413164,6.66174
0.0422812,6.65679
0.0442109,6.64739
0.0461406,6.63861
0.0480703,6.63037
0.05,6.62264
0.0515625,6.61671
0.053125,6.61104
0.0546875,6.60564
0.05625,6.60046
0.0578125,6.5955
0.059375,6.59075
0.0609375,6.58618
0.0625,6.5818
