E_eV,Sig_b
1e-05,841854
1.03125e-05,829014
1.0625e-05,816745
1.09375e-05,805006
1.125e-05,793759
1.15625e-05,782972
1.1875e-05,772613
1.21875e-05,762656
1.25e-05,753074
1.28125e-05,743846
1.3125e-05,734949
1.34375e-05,726364
1.375e-05,718074
1.4375e-05,702313
1.5e-05,687548
1.5625e-05,673678
1.625e-05,660616
1.6875e-05,648288
1.75e-05,636627
1.8125e-05,625574
1.875e-05,615079
1.9375e-05,605096
2e-05,595586
2.09375e-05,582127
2.1875e-05,569543
2.28125e-05,557744
2.375e-05,546651
2.46875e-05,536197
2.5625e-05,526322
2.65625e-05,516975
2.75e-05,508111
2.84375e-05,499689
2.9375e-05,491674
3.03125e-05,484034
3.125e-05,476740
3.21875e-05,469768
3.3125e-05,463095
3.40625e-05,456699
3.5e-05,450562
3.59375e-05,444668
3.6875e-05,438999
3.78125e-05,433543
3.875e-05,428287
3.96875e-05,423218
4.0625e-05,418326
4.25e-05,409032
4.4375e-05,400335
4.625e-05,392173
4.8125e-05,384493
5e-05,377250
5.15625e-05,371519
5.3125e-05,366043
5.46875e-05,360804
5.625e-05,355785
5.78125e-05,350971
5.9375e-05,346349
6.09375e-05,341906
6.25e-05,337631
6.40625e-05,333514
6.5625e-05,329545
6.71875e-05,325715
6.875e-05,322017
7.1875e-05,314987
7.5e-05,308402
7.8125e-05,302217
8.125e-05,296393
8.4375e-05,290897
8.75e-05,285698
9.0625e-05,280771
9.375e-05,276093
9.6875e-05,271644
0.0001,267406
0.000103125,263362
0.00010625,259499
0.000109375,255803
0.0001125,252262
0.000115625,248867
0.00011875,245606
0.000121875,242473
0.000125,239458
0.000128125,236554
0.00013125,233755
0.000134375,231054
0.0001375,228447
0.00014375,223490
0.00015,218847
0.00015625,214487
0.0001625,210381
0.00016875,206507
0.000175,202843
0.00018125,199371
0.0001875,196075
0.00019375,192940
0.0002,189954
0.000209375,185729
0.00021875,181780
0.000228125,178078
0.0002375,174599
0.000246875,171320
0.00025625,168224
0.000265625,165294
0.000275,162516
0.000284375,159878
0.00029375,157367
0.000303125,154974
0.0003125,152691
0.000321875,150508
0.00033125,148419
0.000340625,146418
0.00035,144497
0.000359375,142653
0.00036875,140880
0.000378125,139174
0.0003875,137531
0.000396875,135946
0.00040625,134417
0.000425,131513
0.00044375,128795
0.0004625,126246
0.00048125,123848
0.0005,121587
0.000515625,119799
0.00053125,118090
0.000546875,116456
0.0005625,114890
0.000578125,113389
0.00059375,111948
0.000609375,110563
0.000625,109230
0.000640625,107947
0.00065625,106710
0.000671875,105517
0.0006875,104365
0.00071875,102175
0.00075,100125
0.00078125,98199.1
0.0008125,96386.3
0.00084375,94675.7
0.000875,93058.1
0.00090625,91525.4
0.0009375,90070.3
0.00096875,88686.6
0.001,87368.7
0.00103125,86111.4
0.0010625,84910.2
0.00109375,83761.2
0.001125,82660.6
0.00115625,81605.2
0.0011875,80591.9
0.00121875,79618
0.00125,78681
0.00128125,77778.7
0.0013125,76909
0.00134375,76069.9
0.001375,75259.7
0.0014375,73719.7
0.0015,72277.3
