E_eV,Sig_b
1e-05,309.643
1.03125e-05,304.925
1.0625e-05,300.417
1.09375e-05,296.104
1.125e-05,291.972
1.15625e-05,288.009
1.1875e-05,284.204
1.21875e-05,280.546
1.25e-05,277.026
1.28125e-05,273.636
1.3125e-05,270.367
1.34375e-05,267.214
1.375e-05,264.168
1.4375e-05,258.379
1.5e-05,252.955
1.5625e-05,247.861
1.625e-05,243.063
1.6875e-05,238.535
1.75e-05,234.252
1.8125e-05,230.193
1.875e-05,226.339
1.9375e-05,222.673
2e-05,219.18
2.09375e-05,214.238
2.1875e-05,209.618
2.28125e-05,205.285
2.375e-05,201.213
2.46875e-05,197.374
2.5625e-05,193.749
2.65625e-05,190.318
2.75e-05,187.064
2.84375e-05,183.972
2.9375e-05,181.03
3.03125e-05,178.226
3.125e-05,175.549
3.21875e-05,172.991
3.3125e-05,170.542
3.40625e-05,168.195
3.5e-05,165.943
3.59375e-05,163.78
3.6875e-05,161.7
3.78125e-05,159.698
3.875e-05,157.77
3.96875e-05,155.91
4.0625e-05,154.116
4.25e-05,150.707
4.4375e-05,147.516
4.625e-05,144.523
4.8125e-05,141.707
5e-05,139.051
5.15625e-05,136.949
5.3125e-05,134.942
5.46875e-05,133.021
5.625e-05,131.181
5.78125e-05,129.417
5.9375e-05,127.722
6.09375e-05,126.094
6.25e-05,124.527
6.40625e-05,123.019
6.5625e-05,121.564
6.71875e-05,120.161
6.875e-05,118.806
7.1875e-05,116.231
7.5e-05,113.819
7.8125e-05,111.554
8.125e-05,109.421
8.4375e-05,107.409
8.75e-05,105.506
9.0625e-05,103.702
9.375e-05,101.99
9.6875e-05,100.362
0.0001,98.8114
0.000103125,97.3321
0.00010625,95.9188
0.000109375,94.567
0.0001125,93.2722
0.000115625,92.0305
0.00011875,90.8385
0.000121875,89.6929
0.000125,88.5908
0.000128125,87.5295
0.00013125,86.5067
0.000134375,85.5199
0.0001375,84.5672
0.00014375,82.7564
0.00015,81.0609
0.00015625,79.4688
0.0001625,77.9701
0.00016875,76.5561
0.000175,75.2192
0.00018125,73.9525
0.0001875,72.7502
0.00019375,71.607
0.0002,70.5183
0.000209375,68.9783
0.00021875,67.5393
0.000228125,66.1907
0.0002375,64.9234
0.000246875,63.7297
0.00025625,62.6027
0.000265625,61.5364
0.000275,60.5257
0.000284375,59.5659
0.00029375,58.6528
0.000303125,57.7828
0.0003125,56.9527
0.000321875,56.1595
0.00033125,55.4005
0.000340625,54.6734
0.00035,53.976
0.000359375,53.3064
0.00036875,52.6627
0.000378125,52.0434
0.0003875,51.4469
0.000396875,50.8719
0.00040625,50.3171
0.000425,49.2638
0.00044375,48.2786
0.0004625,47.3546
0.00048125,46.4857
0.0005,45.6667
0.000515625,45.019
0.00053125,44.4003
0.000546875,43.8087
0.0005625,43.2421
0.000578125,42.6989
0.00059375,42.1775
0.000609375,41.6765
0.000625,41.1947
0.000640625,40.7307
0.00065625,40.2836
0.000671875,39.8524
0.0006875,39.4361
0.00071875,38.645
0.00075,37.9043
0.00078125,37.2091
0.0008125,36.5547
0.00084375,35.9374
0.000875,35.3538
0.00090625,34.801
0.0009375,34.2762
0.00096875,33.7774
0.001,33.3023
0.00103125,32.8492
0.0010625,32.4164
0.00109375,32.0025
0.001125,31.606
0.00115625,31.226
0.0011875,30.8611
0.00121875,30.5105
0.00125,30.1733
0.00128125,29.8485
0.0013125,29.5356
0.00134375,29.2337
0.001375,28.9422
0.0014375,28.3883
0.0015,27.8697
0.0015625,27.3827
0.001625,26.9243
0.0016875,26.4919
0.00175,26.0829
0.0018125,25.6955
0.001875,25.3278
0.0019375,24.9781
0.002,24.645
0.00209375,24.1739
0.0021875,23.7336
0.00228125,23.3209
0.002375,22.9331
0.00246875,22.5677
0.0025625,22.2227
0.00265625,21.8962
0.00275,21.5867
0.00284375,21.2927
0.0029375,21.0129
0.00303125,20.7464
0.003125,20.492
0.00321875,20.2488
0.0033125,20.0161
0.00340625,19.7932
0.0035,19.5793
0.00359375,19.3739
0.0036875,19.1764
0.00378125,18.9863
0.003875,18.8032
0.00396875,18.6267
0.0040625,18.4564
0.00425,18.1329
0.0044375,17.8302
0.004625,17.5462
0.0048125,17.2791
0.005,17.0272
0.00515625,16.8279
0.0053125,16.6376
0.00546875,16.4555
0.005625,16.281
0.00578125,16.1138
0.0059375,15.9532
0.00609375,15.7988
0.00625,15.6503
0.00640625,15.5073
0.0065625,15.3695
0.00671875,15.2365
0.006875,15.1081
0.0071875,14.8641
0.0075,14.6355
0.0078125,14.4208
0.008125,14.2187
0.0084375,14.028
0.00875,13.8477
0.0090625,13.6768
0.009375,13.5145
0.0096875,13.3602
0.01,13.2132
0.0103125,13.073
0.010625,12.9391
0.0109375,12.811
0.01125,12.6882
0.0115625,12.5705
0.011875,12.4575
0.0121875,12.3489
0.0125,12.2445
0.0128125,12.1439
0.013125,12.0469
0.0134375,11.9533
0.01375,11.863
0.014375,11.6913
0.015,11.5305
0.015625,11.3795
0.01625,11.2373
0.016875,11.1031
0.0175,10.9762
0.018125,10.8559
0.01875,10.7417
0.019375,10.6332
0.02,10.5298
0.0206625,10.4253
0.021325,10.3259
0.0219875,10.2309
0.02265,10.1402
0.0233125,10.0534
0.023975,9.97027
0.0246375,9.89052
0.0253,9.81394
0.0264578,9.68712
0.0276156,9.56843
0.0287734,9.45702
0.0299312,9.3522
0.0310891,9.25333
0.0322469,9.15987
0.0334047,9.07136
0.0345625,8.98735
0.0355273,8.92051
0.0364922,8.85636
0.037457,8.79472
0.0384219,8.73542
0.0393867,8.67833
0.0403516,8.62331
0.0413164,8.57024
0.0422812,8.51901
0.0442109,8.42167
0.0461406,8.33055
0.0480703,8.24502
0.05,8.16455
0.0515625,8.10275
0.053125,8.04373
0.0546875,7.98728
0.05625,7.93323
0.0578125,7.88141
0.059375,7.83169
0.0609375,7.78391
0.0625,7.73796
0.0640625,7.69373
0.065625,7.65111
0.06875,7.57031
0.071875,7.49488
0.075,7.42424
0.078125,7.35792
0.08125,7.29551
0.084375,7.23665
0.0875,7.18102
0.090625,7.12834
0.09375,7.07835
0.096875,7.03084
0.1,6.98562
0.103125,6.9425
0.10625,6.90132
0.109375,6.86196
0.1125,6.82429
0.115625,6.78818
0.11875,6.75354
0.121875,6.72027
0.125,6.6883
0.128125,6.65754
0.13125,6.62791
0.1375,6.57177
0.14375,6.51938
0.15,6.47035
0.15625,6.42436
0.1625,6.38112
0.16875,6.34037
0.175,6.3019
0.18125,6.26548
0.1875,6.23098
0.19375,6.19822
0.2,6.16708
0.209375,6.12309
0.21875,6.08203
0.228125,6.04361
0.2375,6.00758
0.246875,5.97371
0.25625,5.9418
0.265625,5.91168
0.275,5.88319
0.284375,5.85619
0.29375,5.83056
0.303125,5.8062
0.3125,5.78301
0.321875,5.7609
0.33125,5.73979
0.340625,5.71962
0.35,5.70033
0.359375,5.68185
0.36875,5.66414
0.378125,5.64715
0.3875,5.63086
0.40625,5.6001
0.425,5.57152
0.44375,5.54494
0.4625,5.52015
0.5,5.47539
0.53125,5.44221
0.5625,5.41212
0.625,5.35991
0.6875,5.31627
0.75,5.27941
0.8125,5.24803
0.875,5.22126
0.9375,5.19827
1,5.17839
1.0625,5.16132
1.125,5.14668
1.25,5.12369
1.375,5.10776
1.5,5.0978
1.625,5.09308
1.75,5.09322
1.875,5.09785
2,5.10668
2.09375,5.11614
2.1875,5.12812
2.28125,5.14265
2.375,5.15983
2.46875,5.1798
2.5625,5.20272
2.65625,5.22882
2.75,5.25833
2.84375,5.29157
2.9375,5.32888
3.03125,5.37068
3.125,5.41746
3.21875,5.46981
3.3125,5.52838
3.40625,5.59398
3.5,5.66755
3.59375,5.75021
3.6875,5.84331
3.78125,5.94843
