E_eV,Sig_b
1e-05,21.6235
1.03125e-05,21.296
1.0625e-05,20.9832
1.09375e-05,20.6838
1.125e-05,20.3971
1.15625e-05,20.1221
1.1875e-05,19.858
1.21875e-05,19.6043
1.25e-05,19.3601
1.28125e-05,19.1249
1.3125e-05,18.8982
1.34375e-05,18.6795
1.375e-05,18.4684
1.4375e-05,18.0669
1.5e-05,17.691
1.5625e-05,17.3379
1.625e-05,17.0054
1.6875e-05,16.6917
1.75e-05,16.395
1.8125e-05,16.1139
1.875e-05,15.847
1.9375e-05,15.5932
2e-05,15.3515
2.09375e-05,15.0095
2.1875e-05,14.6898
2.28125e-05,14.3902
2.375e-05,14.1086
2.46875e-05,13.8433
2.5625e-05,13.5927
2.65625e-05,13.3557
2.75e-05,13.131
2.84375e-05,12.9175
2.9375e-05,12.7144
3.03125e-05,12.5209
3.125e-05,12.3363
3.21875e-05,12.1598
3.3125e-05,11.991
3.40625e-05,11.8292
3.5e-05,11.674
3.59375e-05,11.525
3.6875e-05,11.3818
3.78125e-05,11.244
3.875e-05,11.1112
3.96875e-05,10.9833
4.0625e-05,10.8598
4.25e-05,10.6254
4.4375e-05,10.4062
4.625e-05,10.2005
4.8125e-05,10.0072
5e-05,9.82501
5.15625e-05,9.68092
5.3125e-05,9.54333
5.46875e-05,9.41175
5.625e-05,9.28577
5.78125e-05,9.16501
5.9375e-05,9.04913
6.09375e-05,8.93779
6.25e-05,8.83073
6.40625e-05,8.72766
6.5625e-05,8.62837
6.875e-05,8.4402
7.1875e-05,8.26466
7.5e-05,8.10042
7.8125e-05,7.94632
8.125e-05,7.80137
8.4375e-05,7.66473
8.75e-05,7.53562
9.0625e-05,7.41341
9.375e-05,7.2975
9.6875e-05,7.18738
0.0001,7.0826
0.000103125,6.98273
0.00010625,6.88742
0.000109375,6.79634
0.0001125,6.70918
0.000115625,6.62569
0.00011875,6.54561
0.000121875,6.46872
0.000125,6.39482
0.000128125,6.32374
0.00013125,6.25528
0.0001375,6.12568
0.00014375,6.00492
0.00015,5.89206
0.00015625,5.7863
0.0001625,5.68694
0.00016875,5.59337
0.000175,5.50507
0.00018125,5.42158
0.0001875,5.34249
0.00019375,5.26744
0.0002,5.1961
0.000209375,5.09545
0.00021875,5.00166
0.000228125,4.91403
0.0002375,4.83193
0.000246875,4.75482
0.00025625,4.68224
0.000265625,4.61378
0.000275,4.54907
0.000284375,4.4878
0.00029375,4.42969
0.000303125,4.37449
0.0003125,4.32197
0.000321875,4.27193
0.00033125,4.2242
0.000340625,4.17861
0.00035,4.135
0.000359375,4.09326
0.00036875,4.05326
0.0003875,3.97803
0.00040625,3.90853
0.000425,3.84411
0.00044375,3.78422
0.0004625,3.72838
0.00048125,3.67617
0.0005,3.62724
0.000515625,3.58876
0.00053125,3.55218
0.000546875,3.51736
0.0005625,3.48418
0.000578125,3.45252
0.00059375,3.42228
0.000625,3.36567
0.00065625,3.31369
0.0006875,3.26579
0.00071875,3.2215
0.00075,3.18041
0.00078125,3.1422
0.0008125,3.10656
0.00084375,3.07324
0.000875,3.04202
0.00090625,3.01271
0.0009375,2.98514
0.00096875,2.95916
0.001,2.93463
0.00103125,2.91143
0.0010625,2.88946
0.001125,2.84885
0.0011875,2.81213
0.00125,2.77877
0.0013125,2.74834
0.001375,2.72046
0.0014375,2.69484
0.0015,2.67121
0.0015625,2.64936
0.001625,2.62908
0.0016875,2.61022
0.00175,2.59264
0.0018125,2.57621
0.001875,2.56082
0.002,2.53282
0.00209375,2.51392
0.0021875,2.49659
0.00228125,2.48064
0.002375,2.46591
0.0025625,2.4396
0.00275,2.4168
0.0029375,2.39686
0.003125,2.37928
0.0033125,2.36367
0.0035,2.34971
0.0036875,2.33716
0.003875,2.32582
0.00425,2.30612
0.004625,2.28961
0.005,2.27556
0.0053125,2.26537
0.005625,2.25631
0.00625,2.24091
0.006875,2.2283
0.0075,2.2178
0.008125,2.2089
0.00875,2.20128
0.01,2.1889
0.01125,2.17927
0.0125,2.17156
0.01375,2.16526
0.015,2.16
0.01625,2.15555
0.0175,2.15174
0.02,2.14555
0.02265,2.14047
0.0253,2.13646
0.0274227,2.13381
0.0295453,2.13154
0.0337906,2.12785
0.0380359,2.12498
0.0422812,2.12269
0.0461406,2.12097
0.05,2.11952
0.05625,2.11759
0.0625,2.11605
0.06875,2.11478
0.075,2.11373
0.08125,2.11284
0.0875,2.11208
0.1,2.11083
0.1125,2.10987
0.125,2.1091
0.1375,2.10846
0.15,2.10794
0.1625,2.10749
0.175,2.10711
