E_eV,Sig_b
1e-05,142.276
1.03125e-05,140.116
1.0625e-05,138.052
1.09375e-05,136.078
1.125e-05,134.186
1.15625e-05,132.372
1.1875e-05,130.63
1.21875e-05,128.956
1.25e-05,127.345
1.28125e-05,125.793
1.3125e-05,124.297
1.34375e-05,122.854
1.375e-05,121.461
1.4375e-05,118.812
1.5e-05,116.33
1.5625e-05,114
1.625e-05,111.805
1.6875e-05,109.734
1.75e-05,107.776
1.8125e-05,105.92
1.875e-05,104.157
1.9375e-05,102.481
2e-05,100.885
2.09375e-05,98.6257
2.1875e-05,96.5141
2.28125e-05,94.5345
2.375e-05,92.6738
2.46875e-05,90.9205
2.5625e-05,89.2648
2.65625e-05,87.6979
2.75e-05,86.2121
2.84375e-05,84.8008
2.9375e-05,83.458
3.03125e-05,82.1783
3.125e-05,80.9568
3.21875e-05,79.7895
3.3125e-05,78.6723
3.40625e-05,77.6018
3.5e-05,76.5748
3.59375e-05,75.5886
3.6875e-05,74.6404
3.78125e-05,73.7279
3.875e-05,72.849
3.96875e-05,72.0016
4.0625e-05,71.1839
4.25e-05,69.6309
4.4375e-05,68.1781
4.625e-05,66.8152
4.8125e-05,65.5334
5e-05,64.3249
5.15625e-05,63.369
5.3125e-05,62.4559
5.46875e-05,61.5825
5.625e-05,60.7462
5.78125e-05,59.9442
5.9375e-05,59.1744
6.09375e-05,58.4347
6.25e-05,57.7232
6.40625e-05,57.0381
6.5625e-05,56.3779
6.71875e-05,55.741
6.875e-05,55.1263
7.1875e-05,53.958
7.5e-05,52.8643
7.8125e-05,51.8377
8.125e-05,50.8715
8.4375e-05,49.9602
8.75e-05,49.0987
9.0625e-05,48.2827
9.375e-05,47.5084
9.6875e-05,46.7723
0.0001,46.0715
0.000103125,45.4032
0.00010625,44.7651
0.000109375,44.1548
0.0001125,43.5706
0.000115625,43.0105
0.00011875,42.4731
0.000121875,41.9567
0.000125,41.4602
0.000128125,40.9822
0.00013125,40.5217
0.000134375,40.0776
0.0001375,39.649
0.00014375,38.8347
0.00015,38.0728
0.00015625,37.3579
0.0001625,36.6853
0.00016875,36.0512
0.000175,35.452
0.00018125,34.8846
0.0001875,34.3464
0.00019375,33.835
0.0002,33.3482
0.000209375,32.6602
0.00021875,32.0177
0.000228125,31.4162
0.0002375,30.8514
0.000246875,30.3197
0.00025625,29.8182
0.000265625,29.344
0.000275,28.8948
0.000284375,28.4686
0.00029375,28.0634
0.000303125,27.6775
0.0003125,27.3096
0.000321875,26.9582
0.00033125,26.6222
0.000340625,26.3005
0.00035,25.9922
0.000359375,25.6962
0.00036875,25.4119
0.000378125,25.1385
0.0003875,24.8753
0.000396875,24.6217
0.00040625,24.3772
0.000425,23.9132
0.00044375,23.4796
0.0004625,23.0733
0.00048125,22.6916
0.0005,22.332
0.000515625,22.0479
0.00053125,21.7766
0.000546875,21.5174
0.0005625,21.2692
0.000578125,21.0315
0.00059375,20.8034
0.000609375,20.5843
0.000625,20.3737
0.000640625,20.171
0.00065625,19.9758
0.000671875,19.7876
0.0006875,19.606
0.00071875,19.2611
0.00075,18.9384
0.00078125,18.6357
0.0008125,18.351
0.00084375,18.0827
0.000875,17.8291
0.00090625,17.589
0.0009375,17.3613
0.00096875,17.1449
0.001,16.9389
0.00103125,16.7426
0.0010625,16.5551
0.00109375,16.3759
0.001125,16.2043
0.00115625,16.0399
0.0011875,15.8821
0.00121875,15.7306
0.00125,15.5848
0.00128125,15.4446
0.0013125,15.3094
0.00134375,15.1791
0.001375,15.0533
0.0014375,14.8144
0.0015,14.5908
0.0015625,14.3809
0.001625,14.1835
0.0016875,13.9973
0.00175,13.8214
0.0018125,13.6547
0.001875,13.4966
0.0019375,13.3463
0.002,13.2032
0.00209375,13.0009
0.0021875,12.8118
0.00228125,12.6347
0.002375,12.4684
0.00246875,12.3117
0.0025625,12.1638
0.00265625,12.0239
0.00275,11.8914
0.00284375,11.7655
0.0029375,11.6457
0.00303125,11.5316
0.003125,11.4228
0.00321875,11.3188
0.0033125,11.2193
0.00340625,11.1239
0.0035,11.0325
0.00359375,10.9447
0.0036875,10.8603
0.00378125,10.7791
0.003875,10.7009
0.00396875,10.6256
0.0040625,10.5528
0.00425,10.4147
0.0044375,10.2855
0.004625,10.1644
0.0048125,10.0504
0.005,9.94298
0.00515625,9.85801
0.0053125,9.77685
0.00546875,9.69923
0.005625,9.62489
0.00578125,9.55361
0.0059375,9.48518
0.00609375,9.41943
0.00625,9.35618
0.00640625,9.29527
0.0065625,9.23657
0.00671875,9.17994
0.006875,9.12527
0.0071875,9.02137
0.0075,8.92407
0.0078125,8.83271
0.008125,8.7467
0.0084375,8.66555
0.00875,8.58881
0.0090625,8.5161
0.009375,8.44708
0.0096875,8.38144
0.01,8.31892
0.0103125,8.25929
0.010625,8.20232
0.0109375,8.14782
0.01125,8.09563
0.0115625,8.04558
0.011875,7.99753
0.0121875,7.95135
0.0125,7.90693
0.0128125,7.86415
0.013125,7.82291
0.0134375,7.78313
0.01375,7.74472
0.014375,7.6717
0.015,7.60332
0.015625,7.53909
0.01625,7.47861
0.016875,7.42154
0.0175,7.36755
0.018125,7.3164
0.01875,7.26783
0.019375,7.22164
0.02,7.17763
