E_eV,Sig_b
1e-05,2167.71
1.03125e-05,2134.63
1.0625e-05,2103.01
1.09375e-05,2072.77
1.125e-05,2043.79
1.15625e-05,2016
1.1875e-05,1989.31
1.21875e-05,1963.65
1.25e-05,1938.97
1.28125e-05,1915.19
1.3125e-05,1892.26
1.34375e-05,1870.15
1.375e-05,1848.78
1.4375e-05,1808.17
1.5e-05,1770.13
1.54624e-05,1743.48
1.59248e-05,1718
1.63871e-05,1693.6
1.68495e-05,1670.22
1.6875e-05,1668.96
1.69531e-05,1665.11
1.70313e-05,1661.29
1.71875e-05,1653.73
1.75e-05,1638.91
1.8125e-05,1610.43
1.875e-05,1583.38
1.9375e-05,1557.66
2e-05,1533.15
2.09051e-05,1499.62
2.18102e-05,1468.21
2.1875e-05,1466.03
2.2024e-05,1461.07
2.21731e-05,1456.15
2.24711e-05,1446.47
2.30673e-05,1427.68
2.36635e-05,1409.6
2.42596e-05,1392.19
2.48557e-05,1375.41
2.54519e-05,1359.23
2.66442e-05,1328.5
2.75e-05,1307.69
2.84375e-05,1285.98
2.9375e-05,1265.32
3.03125e-05,1245.63
3.125e-05,1226.83
3.21875e-05,1208.85
3.3125e-05,1191.65
3.40625e-05,1175.16
3.5e-05,1159.34
3.625e-05,1139.21
3.75e-05,1120.09
3.875e-05,1101.91
4e-05,1084.58
4.125e-05,1068.05
4.25e-05,1052.26
4.4375e-05,1029.83
4.625e-05,1008.78
4.8125e-05,988.973
5e-05,970.293
5.22464e-05,949.251
5.44928e-05,929.525
5.67392e-05,910.983
5.89856e-05,893.511
6.07428e-05,880.526
6.25e-05,868.092
6.40625e-05,857.469
6.5625e-05,847.228
6.71875e-05,837.347
6.875e-05,827.805
7.1875e-05,809.664
7.5e-05,792.669
7.75e-05,779.821
8e-05,767.581
8.36203e-05,750.838
8.72406e-05,735.151
8.75e-05,734.064
8.82813e-05,730.821
8.90625e-05,727.621
9.0625e-05,721.344
9.375e-05,709.267
9.6875e-05,697.779
0.0001,686.835
0.000104493,671.97
0.000108986,658.035
0.000113478,644.937
0.000117971,632.596
0.000121486,623.424
0.000125,614.641
0.000128125,607.138
0.00013125,599.905
0.000134375,592.926
0.0001375,586.187
0.00014375,573.374
0.00015,561.372
0.000155,552.299
0.00016,543.655
0.00016724,531.833
0.000174481,520.755
0.000175,519.987
0.000176563,517.697
0.000178125,515.438
0.00018125,511.006
0.0001875,502.478
0.00019375,494.367
0.0002,486.64
0.000206827,478.603
0.000213655,470.956
0.000220482,463.667
0.00022731,456.709
0.000234137,450.059
0.000240964,443.694
0.000247792,437.594
0.000254619,431.742
0.000264809,423.432
0.000275,415.59
0.000284358,408.764
0.000293716,402.267
0.000294336,401.848
0.000294922,401.452
0.000296489,400.401
0.000298057,399.358
0.000301191,397.297
0.000307461,393.269
0.00032,385.572
0.000334481,377.229
0.000348962,369.412
0.00035,368.87
0.000352344,367.656
0.000354688,366.454
0.000359375,364.086
0.00036875,359.485
0.000378125,355.057
0.0003875,350.791
0.000396875,346.678
0.00040625,342.708
0.000425,335.166
0.00044375,328.109
0.0004625,321.486
0.00048125,315.256
0.0005,309.379
0.000515625,304.73
0.00053125,300.287
0.000546875,296.037
0.0005625,291.966
0.000578125,288.061
0.00059375,284.311
0.000609375,280.708
0.000625,277.24
0.00064,274.031
0.0006675,268.433
0.000695,263.171
0.0007225,258.213
0.00075,253.531
0.00078125,248.514
0.0008125,243.79
0.00084375,239.331
0.000875,235.114
0.00090625,231.118
0.0009375,227.323
0.00096875,223.714
0.001,220.275
0.00103125,216.994
0.0010625,213.86
0.00109375,210.861
0.001125,207.988
0.00115625,205.232
0.0011875,202.586
0.00121875,200.043
0.00125,197.596
0.00128,195.332
0.001335,191.381
0.00139,187.667
0.001445,184.168
0.0015,180.863
0.0015625,177.322
0.001625,173.988
0.0016875,170.84
0.00175,167.863
0.0018125,165.042
0.001875,162.363
0.0019375,159.815
0.002,157.387
0.00207,154.8
0.00214,152.341
0.00221,150
0.00228,147.768
0.00235,145.636
0.00242,143.597
0.00249,141.646
0.00256,139.774
0.0025625,139.709
0.00256836,139.556
0.00257422,139.404
0.00259619,138.837
0.00261816,138.277
0.00266211,137.179
0.00275,135.061
