E_eV,Sig_b
1e-05,31.0307
1.03125e-05,30.5687
1.0625e-05,30.1273
1.09375e-05,29.7052
1.125e-05,29.3009
1.15625e-05,28.9133
1.1875e-05,28.5412
1.21875e-05,28.1837
1.25e-05,27.8397
1.28125e-05,27.5086
1.3125e-05,27.1895
1.34375e-05,26.8817
1.375e-05,26.5846
1.4375e-05,26.02
1.5e-05,25.4915
1.5625e-05,24.9954
1.625e-05,24.5286
1.6875e-05,24.0883
1.75e-05,23.6721
1.8125e-05,23.2779
1.875e-05,22.9039
1.9375e-05,22.5484
2e-05,22.2099
2.09375e-05,21.7314
2.1875e-05,21.2845
2.28125e-05,20.8659
2.375e-05,20.4728
2.46875e-05,20.1027
2.5625e-05,19.7535
2.65625e-05,19.4234
2.75e-05,19.1106
2.84375e-05,18.8137
2.9375e-05,18.5315
3.03125e-05,18.2628
3.125e-05,18.0066
3.21875e-05,17.7619
3.3125e-05,17.5279
3.40625e-05,17.304
3.5e-05,17.0893
3.59375e-05,16.8833
3.6875e-05,16.6854
3.78125e-05,16.4951
3.875e-05,16.312
3.96875e-05,16.1356
4.0625e-05,15.9656
4.25e-05,15.643
4.4375e-05,15.3418
4.625e-05,15.0597
4.8125e-05,14.7948
5e-05,14.5456
5.15625e-05,14.3487
5.3125e-05,14.1609
5.46875e-05,13.9816
5.625e-05,13.81
5.78125e-05,13.6458
5.9375e-05,13.4884
6.09375e-05,13.3373
6.25e-05,13.1922
6.40625e-05,13.0527
6.5625e-05,12.9185
6.71875e-05,12.7891
6.875e-05,12.6645
7.1875e-05,12.428
7.5e-05,12.2073
7.8125e-05,12.0007
8.125e-05,11.8068
8.4375e-05,11.6244
8.75e-05,11.4524
9.0625e-05,11.29
9.375e-05,11.1363
9.6875e-05,10.9905
0.0001,10.8521
0.000103125,10.7205
0.00010625,10.5952
0.000109375,10.4756
0.0001125,10.3615
0.000115625,10.2523
0.00011875,10.1479
0.000121875,10.0478
0.000125,9.95176
0.000128125,9.85958
0.00013125,9.77098
0.000134375,9.68577
0.0001375,9.60374
0.00014375,9.44849
0.00015,9.30394
0.00015625,9.16898
0.0001625,9.04264
0.00016875,8.92411
0.000175,8.81264
0.00018125,8.70761
0.0001875,8.60844
0.00019375,8.51466
0.0002,8.42581
0.000209375,8.30094
0.00021875,8.18516
0.000228125,8.07747
0.0002375,7.97703
0.000246875,7.88311
0.00025625,7.79508
0.000265625,7.71239
0.000275,7.63455
0.000284375,7.56115
0.00029375,7.49179
0.000303125,7.42616
0.0003125,7.36394
0.000321875,7.30487
0.00033125,7.24872
0.000340625,7.19526
0.00035,7.14431
0.000359375,7.09568
0.00036875,7.04923
0.000378125,7.00479
0.0003875,6.96225
0.000396875,6.92147
0.00040625,6.88235
0.000425,6.8087
0.00044375,6.74056
0.0004625,6.67733
0.00048125,6.61848
0.0005,6.56356
0.000515625,6.52052
0.00053125,6.47973
0.000546875,6.44102
0.0005625,6.40424
0.000578125,6.36923
0.00059375,6.33588
0.000609375,6.30405
0.000625,6.27365
0.000640625,6.24458
0.00065625,6.21674
0.000671875,6.19007
0.0006875,6.16449
0.00071875,6.11632
0.00075,6.07176
0.00078125,6.0304
0.0008125,5.9919
0.00084375,5.95596
0.000875,5.92233
0.00090625,5.89079
0.0009375,5.86113
0.00096875,5.83318
0.001,5.8068
0.00103125,5.78185
0.0010625,5.75822
0.00109375,5.73579
0.001125,5.71448
0.00115625,5.6942
0.0011875,5.67487
0.00121875,5.65642
0.00125,5.63879
0.00128125,5.62193
0.0013125,5.60579
0.00134375,5.59031
0.001375,5.57545
0.0014375,5.54747
0.0015,5.52156
0.0015625,5.49748
0.001625,5.47505
0.0016875,5.45408
0.00175,5.43444
0.0018125,5.41599
0.001875,5.39863
0.0019375,5.38225
0.002,5.36677
0.00209375,5.34507
0.0021875,5.325
0.00228125,5.30638
0.002375,5.28905
0.00246875,5.27286
0.0025625,5.25771
0.00265625,5.24348
0.00275,5.2301
0.00284375,5.21749
0.0029375,5.20557
0.00303125,5.1943
0.003125,5.1836
0.00321875,5.17345
0.0033125,5.16379
0.00340625,5.15459
0.0035,5.14581
0.00359375,5.13743
0.0036875,5.12941
0.00378125,5.12174
0.003875,5.11438
0.00396875,5.10732
0.0040625,5.10054
0.00425,5.08775
0.0044375,5.07588
0.004625,5.06484
0.0048125,5.05453
0.005,5.04488
0.00515625,5.0373
0.0053125,5.03009
0.00546875,5.02323
0.005625,5.0167
0.00578125,5.01046
0.0059375,5.0045
0.00609375,4.9988
0.00625,4.99334
0.00640625,4.9881
0.0065625,4.98308
0.00671875,4.97825
0.006875,4.9736
0.0071875,4.96482
0.0075,4.95666
0.0078125,4.94904
0.008125,4.94192
0.0084375,4.93524
0.00875,4.92895
0.0090625,4.92303
0.009375,4.91744
0.0096875,4.91215
0.01,4.90713
0.0103125,4.90236
0.010625,4.89783
0.0109375,4.89351
0.01125,4.8894
0.0115625,4.88546
