E_eV,Sig_b
1e-05,8436.09
1.03125e-05,8307.72
1.0625e-05,8185.06
1.09375e-05,8067.7
1.125e-05,7955.28
1.15625e-05,7847.44
1.1875e-05,7743.9
1.21875e-05,7644.37
1.25e-05,7548.61
1.28125e-05,7456.37
1.3125e-05,7367.45
1.34375e-05,7281.66
1.375e-05,7198.81
1.4375e-05,7041.31
1.5e-05,6893.77
1.54624e-05,6790.43
1.59248e-05,6691.64
1.63871e-05,6597.07
1.68495e-05,6506.42
1.6875e-05,6501.53
1.69531e-05,6486.62
1.70313e-05,6471.81
1.71875e-05,6442.49
1.75e-05,6385.04
1.8125e-05,6274.64
1.875e-05,6169.82
1.9375e-05,6070.12
2e-05,5975.14
2.06427e-05,5882.01
2.12854e-05,5793.15
2.19281e-05,5708.23
2.25708e-05,5626.97
2.32136e-05,5549.12
2.38563e-05,5474.44
2.4499e-05,5402.73
2.51417e-05,5333.8
2.63208e-05,5213.97
2.75e-05,5101.96
2.84375e-05,5017.94
2.9375e-05,4937.98
3.03125e-05,4861.78
3.125e-05,4789.04
3.21875e-05,4719.51
3.3125e-05,4652.97
3.40625e-05,4589.2
3.5e-05,4528.03
3.625e-05,4450.19
3.75e-05,4376.3
3.875e-05,4306.03
4e-05,4239.09
4.125e-05,4175.23
4.25e-05,4114.22
4.4375e-05,4027.61
4.625e-05,3946.34
4.8125e-05,3869.9
5e-05,3797.82
5.22464e-05,3716.66
5.44928e-05,3640.59
5.67392e-05,3569.12
5.89856e-05,3501.79
6.07428e-05,3451.76
6.25e-05,3403.88
6.40625e-05,3362.98
6.5625e-05,3323.56
6.875e-05,3248.81
7.1875e-05,3179.03
7.5e-05,3113.69
7.75e-05,3064.32
8e-05,3017.3
8.375e-05,2950.78
8.75e-05,2888.63
9.0625e-05,2839.85
9.375e-05,2793.54
9.6875e-05,2749.52
0.0001,2707.6
0.000104493,2650.69
0.000108986,2597.39
0.000113478,2547.31
0.000117971,2500.17
0.000121486,2465.15
0.000125,2431.63
0.000128125,2403.01
0.00013125,2375.44
0.0001375,2323.18
0.00014375,2274.41
0.00015,2228.78
0.000155,2194.31
0.00016,2161.49
0.0001675,2115.1
0.000175,2071.78
0.00018125,2037.79
0.0001875,2005.55
0.00019375,1974.92
0.0002,1945.76
0.000206827,1915.47
0.000213655,1886.67
0.000220482,1859.25
0.00022731,1833.11
0.000234137,1808.15
0.000240964,1784.28
0.000247792,1761.44
0.000254619,1739.54
0.000264809,1708.49
0.000275,1679.23
0.000284358,1653.81
0.000293716,1629.64
0.000294922,1626.62
0.000298057,1618.84
0.000301191,1611.18
0.000307461,1596.24
0.00032,1567.72
0.000335,1535.81
0.00035,1506.05
0.000359375,1488.44
0.00036875,1471.54
0.000378125,1455.29
0.0003875,1439.65
0.00040625,1410.1
0.000425,1382.62
0.00044375,1356.97
0.0004625,1332.98
0.00048125,1310.48
0.0005,1289.32
0.000515625,1272.63
0.00053125,1256.72
0.000546875,1241.54
0.0005625,1227.03
0.000578125,1213.15
0.00059375,1199.86
0.000609375,1187.12
0.000625,1174.9
0.00064,1163.61
0.0006675,1143.99
0.000695,1125.63
0.0007225,1108.42
0.00075,1092.23
0.00078125,1074.98
0.0008125,1058.81
0.00084375,1043.64
0.000875,1029.37
0.00090625,1015.91
0.0009375,1003.2
0.00096875,991.175
0.001,979.782
0.00103125,968.971
0.0010625,958.696
0.00109375,948.919
0.001125,939.603
0.00115625,930.717
0.0011875,922.231
0.00125,906.356
0.00128,899.211
0.001335,886.838
0.00139,875.32
0.001445,864.573
0.0015,854.522
0.0015625,843.864
0.001625,833.941
0.0016875,824.68
0.00175,816.019
0.0018125,807.903
0.001875,800.284
0.0019375,793.121
0.002,786.374
0.00207,779.271
0.00214,772.608
0.00221,766.346
0.00228,760.453
0.00235,754.9
0.00242,749.659
0.00256,740.024
0.0025625,739.862
0.00256836,739.482
0.00257422,739.104
0.00258594,738.353
0.00262695,735.777
0.00266797,733.281
0.00275,728.514
0.00284375,723.409
0.0029375,718.639
0.003125,709.992
0.0033125,702.38
0.0035,695.649
0.00364063,691.101
0.00378125,686.932
0.00392188,683.104
0.0040625,679.582
0.00407392,679.309
0.00411794,678.272
0.00416196,677.26
0.00425,675.313
0.0044375,671.475
0.004625,668.018
0.0048125,664.897
0.005,662.075
0.00512,660.411
0.0053517,657.477
0.0055834,654.873
0.005625,654.437
0.00578125,652.879
0.0059375,651.438
0.00602315,650.695
0.00625,648.872
0.00653545,646.848
0.0068209,645.087
0.006875,644.779
0.00703125,643.936
0.0071875,643.153
0.0075,641.752
0.0078125,640.546
0.008125,639.506
0.00875,637.838
0.009375,636.599
0.01,635.678
0.01125,634.477
0.0125,633.779
0.015,632.9
0.0175,631.892
0.02,630.331
0.0215912,628.983
0.0233722,627.139
0.023975,626.436
0.0253,624.756
0.0275314,621.533
0.0297628,617.855
0.0299312,617.561
0.0303172,616.877
0.0307031,616.182
0.031475,614.757
0.0318042,614.136
0.0331138,611.591
0.0344234,608.934
0.0370427,603.321
0.039662,597.369
0.0422812,591.141
0.0461406,581.577
0.05,571.687
0.0506,570.128
0.0527938,564.391
0.0549875,558.61
0.059375,546.979
0.0595257,546.579
0.0598975,545.592
0.0602693,544.605
0.0610129,542.631
0.0625,538.685
0.065625,530.418
0.06875,522.202
0.075,505.999
0.08125,490.2
0.0875,474.886
0.09375,460.089
0.1,445.837
0.10625,432.151
0.1125,419.025
0.11875,406.437
0.125,394.378
0.13125,382.841
0.1375,371.806
0.14375,361.24
0.15,351.122
0.15625,341.437
0.1625,332.166
0.16875,323.291
0.175,314.789
0.18125,306.641
0.1875,298.827
0.19375,291.33
0.2,284.134
0.205311,278.243
0.210622,272.55
0.215933,267.047
0.221245,261.726
0.226556,256.577
0.231867,251.594
0.237178,246.769
0.242489,242.099
0.250617,235.234
0.258745,228.686
0.266872,222.44
0.275,216.478
0.279688,213.163
0.284375,209.933
0.29375,203.714
0.303125,197.799
0.3125,192.174
0.321875,186.817
0.33125,181.708
0.340625,176.833
0.35,172.178
0.359375,167.73
0.36875,163.475
0.378125,159.404
0.3875,155.506
0.396875,151.77
0.40625,148.187
0.415625,144.749
0.425,141.449
0.434375,138.277
0.44375,135.228
0.453125,132.294
0.4625,129.471
0.471875,126.754
0.48125,124.14
0.5,119.183
0.53125,111.657
0.5625,104.95
0.59375,98.9052
0.625,93.4565
0.65625,88.5482
0.6875,84.0835
0.71875,80.0197
0.75,76.3037
0.78125,72.9038
0.8125,69.7741
0.84375,66.8953
0.875,64.237
0.913705,61.2137
0.952411,58.466
1,55.4037
1.01773,54.3417
1.0625,51.8432
1.07855,51.0045
1.13303,48.3755
1.1875,46.0045
1.22193,44.6316
1.25,43.5896
1.30707,41.6356
1.36413,39.8833
1.375,39.5687
1.40625,38.703
1.4375,37.8901
1.5,36.394
1.5596,35.1263
1.6192,33.9916
1.625,33.8871
1.64062,33.6123
1.65625,33.3473
1.6875,32.8452
1.75,31.9261
1.8125,31.1223
1.875,30.4246
1.9375,29.8331
2,29.3414
2.0594,28.9699
2.11879,28.6865
2.17819,28.4904
2.23758,28.3952
2.28274,28.3904
2.3279,28.4482
2.37306,28.5715
2.41823,28.7687
2.46339,29.0512
2.50855,29.4224
2.55371,29.892
2.59887,30.4765
2.63686,31.077
2.67485,31.7828
2.71284,32.613
2.75083,33.5895
2.78883,34.7368
2.82682,36.0894
2.86481,37.6876
2.8838,38.5946
2.9028,39.5838
2.93118,41.2352
2.95957,43.127
2.98795,45.3053
3.00215,46.5195
3.01634,47.828
3.03053,49.2404
3.04472,50.7675
3.05892,52.4215
3.07311,54.216
3.0873,56.1668
3.10149,58.292
3.11569,60.6136
3.12988,63.1571
3.14038,65.1997
3.15088,67.394
3.16138,69.7553
3.17189,72.3005
3.18239,75.0492
3.19289,78.0231
3.20339,81.2476
3.21389,84.7513
3.22559,89.0215
3.23728,93.7325
3.24897,98.9471
3.26066,104.74
3.27235,111.2
3.28405,118.433
3.29574,126.569
3.30158,131.024
3.30743,135.767
3.3155,142.838
3.32358,150.584
3.33165,159.092
3.33972,168.468
3.3478,178.833
3.35587,190.328
3.35991,196.553
3.36394,203.124
3.36798,210.071
3.37201,217.421
3.3787,230.56
3.38204,237.626
3.38538,245.052
3.38872,252.863
3.39206,261.085
3.3954,269.747
3.39874,278.877
3.40208,288.512
3.40542,298.688
3.40876,309.442
3.41211,320.816
3.41545,332.857
3.41879,345.614
3.42213,359.139
3.42547,373.485
3.42955,392.238
3.43364,412.432
3.43772,434.208
3.4418,457.697
