E_eV,Sig_b
1e-05,72.8518
1.03125e-05,71.7496
1.0625e-05,70.6965
1.09375e-05,69.689
1.125e-05,68.7239
1.15625e-05,67.7984
1.1875e-05,66.9098
1.21875e-05,66.0556
1.25e-05,65.2339
1.28102e-05,64.4481
1.31205e-05,63.6905
1.34307e-05,62.9594
1.37409e-05,62.2533
1.43613e-05,60.9106
1.49818e-05,59.6526
1.5e-05,59.6168
1.50391e-05,59.5404
1.50781e-05,59.4642
1.51562e-05,59.3129
1.53125e-05,59.0136
1.5625e-05,58.4286
1.625e-05,57.31
1.6875e-05,56.2544
1.75e-05,55.2561
1.8125e-05,54.3102
1.875e-05,53.4122
1.9375e-05,52.5583
2e-05,51.7449
2.09341e-05,50.5983
2.18683e-05,49.5263
2.28024e-05,48.5213
2.37365e-05,47.5767
2.46707e-05,46.6865
2.56048e-05,45.8459
2.6539e-05,45.0504
2.74731e-05,44.2961
2.75e-05,44.275
2.75586e-05,44.229
2.76172e-05,44.1832
2.78479e-05,44.0043
2.80786e-05,43.8276
2.854e-05,43.4807
2.94629e-05,42.8117
3.03857e-05,42.1736
3.13086e-05,41.5643
3.22315e-05,40.9815
3.31543e-05,40.4234
3.40772e-05,39.8884
3.5e-05,39.3749
3.59375e-05,38.8738
3.6875e-05,38.3922
3.78125e-05,37.9287
3.875e-05,37.4824
3.96875e-05,37.0521
4.0625e-05,36.637
4.25e-05,35.8489
4.4375e-05,35.1118
4.625e-05,34.4205
4.8125e-05,33.7706
5e-05,33.158
5.15625e-05,32.6737
5.3125e-05,32.2111
5.46875e-05,31.7688
5.625e-05,31.3454
5.78125e-05,30.9395
5.9375e-05,30.5499
6.09375e-05,30.1757
6.25e-05,29.8158
6.40625e-05,29.4694
6.5625e-05,29.1357
6.71875e-05,28.8139
6.875e-05,28.5033
7.1875e-05,27.9133
7.5e-05,27.3613
7.8125e-05,26.8434
8.125e-05,26.3562
8.4375e-05,25.897
8.75e-05,25.4631
9.0625e-05,25.0523
9.375e-05,24.6627
9.6875e-05,24.2926
0.0001,23.9404
0.000103125,23.6047
0.00010625,23.2843
0.000109375,22.9781
0.0001125,22.6851
0.000115625,22.4044
0.00011875,22.1352
0.000121875,21.8766
0.000125,21.6281
0.000128125,21.3891
0.00013125,21.1588
0.000134375,20.9369
0.0001375,20.7229
0.00014375,20.3166
0.00015,19.9368
0.00015625,19.5808
0.0001625,19.2463
0.00016875,18.9311
0.000175,18.6337
0.00018125,18.3523
0.0001875,18.0857
0.00019375,17.8326
0.0002,17.592
0.000209375,17.2522
0.00021875,16.9355
0.000228125,16.6394
0.0002375,16.3617
0.000246875,16.1008
0.00025625,15.855
0.000265625,15.6229
0.000275,15.4034
0.000284375,15.1954
0.00029375,14.9979
0.000303125,14.8101
0.0003125,14.6313
0.000321875,14.4608
0.00033125,14.298
0.000340625,14.1423
0.00035,13.9932
0.000359375,13.8504
0.00036875,13.7133
0.000378125,13.5817
0.0003875,13.4551
0.000396875,13.3333
0.00040625,13.2161
0.000425,12.9939
0.00044375,12.7868
0.0004625,12.5932
0.00048125,12.4118
0.0005,12.2412
0.000515625,12.1067
0.00053125,11.9786
0.000546875,11.8563
0.0005625,11.7395
0.000578125,11.6278
0.00059375,11.5208
0.000609375,11.4181
0.000625,11.3197
0.000640625,11.225
0.00065625,11.134
0.000671875,11.0464
0.0006875,10.962
0.00071875,10.802
0.00075,10.6528
0.00078125,10.5132
0.0008125,10.3823
0.00084375,10.2592
0.000875,10.1431
0.00090625,10.0335
0.0009375,9.92977
0.00096875,9.83141
0.001,9.73798
0.00103125,9.6491
0.0010625,9.56441
0.00109375,9.4836
0.001125,9.40639
0.00115625,9.33252
0.0011875,9.26175
0.00121875,9.19389
0.00125,9.12875
0.00128125,9.06614
0.0013125,9.00591
0.00134375,8.94791
0.001375,8.89202
0.0014375,8.78607
0.0015,8.68717
0.0015625,8.5946
0.00156509,8.5909
0.00157086,8.58265
0.00157664,8.57446
0.0015882,8.55821
0.00161131,8.52628
0.00165754,8.46453
0.00170377,8.40544
0.00175,8.34883
0.0018125,8.27595
0.001875,8.20693
0.0019375,8.14145
0.002,8.07921
0.00209375,7.99139
0.0021875,7.90955
0.00228125,7.83304
0.002375,7.76132
0.00246875,7.69391
0.0025625,7.6304
0.00265625,7.57043
0.00275,7.51369
0.00284375,7.45989
0.0029375,7.4088
0.00303125,7.36021
0.003125,7.3139
0.00321875,7.26971
0.0033125,7.22749
0.00340625,7.1871
0.0035,7.1484
0.00359375,7.11128
0.0036875,7.07565
0.00378125,7.04139
0.003875,7.00844
0.00396875,6.9767
0.0040625,6.94611
0.00425,6.8881
0.0044375,6.83394
0.004625,6.78322
0.0048125,6.73559
0.005,6.69076
0.00515625,6.65534
0.0053125,6.62155
0.00546875,6.58927
0.005625,6.55838
0.00578125,6.52879
0.0059375,6.50042
0.00609375,6.47317
0.00625,6.44699
0.00640625,6.4218
0.0065625,6.39753
0.00671875,6.37415
0.006875,6.35159
0.0071875,6.30876
0.0075,6.26871
0.0078125,6.23115
0.008125,6.19583
0.0084375,6.16255
0.00875,6.13111
0.0090625,6.10136
0.009375,6.07314
0.0096875,6.04633
0.01,6.02082
0.0103125,5.9965
0.010625,5.97329
0.0109375,5.95111
0.01125,5.92988
0.0115625,5.90953
0.011875,5.89001
